Obs,experiment,year,treatment,plot,subplot_id,id,date,flowering_time
1,DN13,2013,dense,31,31001,RIL_095,06/12/2013,40
2,DN13,2013,dense,31,31002,RIL_076,06/08/2013,36
3,DN13,2013,dense,31,31003,RIL_212,06/21/2013,49
4,DN13,2013,dense,31,31004,RIL_074,06/14/2013,42
5,DN13,2013,dense,31,31005,RIL_126,05/31/2013,27
6,DN13,2013,dense,31,31006,A10,06/03/2013,30
7,DN13,2013,dense,31,31007,RIL_090,06/13/2013,41
8,DN13,2013,dense,31,31008,A10,06/03/2013,30
9,DN13,2013,dense,31,31009,RIL_196,06/09/2013,37
10,DN13,2013,dense,31,31010,RIL_146,06/25/2013,52
11,DN13,2013,dense,31,31011,RIL_094,06/21/2013,50
12,DN13,2013,dense,31,31012,RIL_216,06/11/2013,39
13,DN13,2013,dense,31,31013,RIL_010,06/10/2013,38
14,DN13,2013,dense,31,31014,RIL_063,07/01/2013,59
15,DN13,2013,dense,31,31015,A10,06/05/2013,33
16,DN13,2013,dense,31,31016,RIL_078,06/10/2013,38
17,DN13,2013,dense,31,31017,RIL_200,06/22/2013,49
18,DN13,2013,dense,31,31018,RIL_036,06/11/2013,39
19,DN13,2013,dense,31,31019,RIL_070,06/15/2013,42
20,DN13,2013,dense,31,31020,A10,06/03/2013,31
21,DN13,2013,dense,31,31021,RIL_062,06/17/2013,45
22,DN13,2013,dense,31,31022,RIL_015,05/31/2013,27
23,DN13,2013,dense,31,31023,RIL_054,06/10/2013,38
24,DN13,2013,dense,31,31024,B100,06/22/2013,49
25,DN13,2013,dense,31,31025,RIL_047,06/06/2013,34
26,DN13,2013,dense,31,31026,B100,06/22/2013,49
27,DN13,2013,dense,31,31027,B100,06/21/2013,50
28,DN13,2013,dense,31,31028,A10,06/03/2013,30
29,DN13,2013,dense,31,31029,RIL_164,06/07/2013,35
30,DN13,2013,dense,31,31030,RIL_038,06/08/2013,36
31,DN13,2013,dense,31,31031,RIL_018,06/11/2013,38
32,DN13,2013,dense,31,31032,RIL_209,06/11/2013,39
33,DN13,2013,dense,31,31033,RIL_157,06/09/2013,37
34,DN13,2013,dense,31,31034,A10,06/03/2013,30
35,DN13,2013,dense,31,31035,RIL_136,06/10/2013,38
36,DN13,2013,dense,31,31036,RIL_093,06/10/2013,38
37,DN13,2013,dense,31,31037,RIL_153,06/13/2013,41
38,DN13,2013,dense,31,31038,RIL_201,06/25/2013,51
39,DN13,2013,dense,31,31039,RIL_115,06/06/2013,34
40,DN13,2013,dense,31,31040,RIL_033,06/13/2013,41
41,DN13,2013,dense,31,31041,RIL_206,06/10/2013,38
42,DN13,2013,dense,31,31042,RIL_029,06/13/2013,41
43,DN13,2013,dense,31,31043,RIL_134,06/13/2013,41
44,DN13,2013,dense,31,31044,RIL_060,06/22/2013,49
45,DN13,2013,dense,31,31045,RIL_016,06/09/2013,37
46,DN13,2013,dense,31,31046,RIL_170,07/08/2013,66
47,DN13,2013,dense,31,31047,RIL_031,06/07/2013,35
48,DN13,2013,dense,31,31048,RIL_105,06/08/2013,36
49,DN13,2013,dense,31,31049,RIL_163,06/10/2013,38
50,DN13,2013,dense,31,31050,RIL_127,06/13/2013,41
51,DN13,2013,dense,31,31051,RIL_159,06/20/2013,48
52,DN13,2013,dense,31,31052,RIL_100,06/22/2013,50
53,DN13,2013,dense,31,31053,RIL_109,06/13/2013,41
54,DN13,2013,dense,31,31054,RIL_082,06/11/2013,38
55,DN13,2013,dense,31,31055,RIL_179,06/10/2013,38
56,DN13,2013,dense,31,31056,RIL_116,06/12/2013,40
57,DN13,2013,dense,31,31057,RIL_125,06/14/2013,42
58,DN13,2013,dense,31,31058,RIL_203,06/13/2013,41
59,DN13,2013,dense,31,31059,RIL_175,06/10/2013,38
60,DN13,2013,dense,31,31060,RIL_156,06/13/2013,41
61,DN13,2013,dense,31,31061,RIL_142,06/07/2013,35
62,DN13,2013,dense,31,31062,RIL_087,05/31/2013,27
63,DN13,2013,dense,31,31063,RIL_128,06/17/2013,44
64,DN13,2013,dense,31,31064,RIL_208,06/10/2013,38
65,DN13,2013,dense,31,31065,RIL_185,06/10/2013,38
66,DN13,2013,dense,31,31066,RIL_067,06/08/2013,36
67,DN13,2013,dense,31,31067,RIL_150,06/11/2013,38
68,DN13,2013,dense,31,31068,B100,06/21/2013,50
69,DN13,2013,dense,31,31069,RIL_058,06/18/2013,45
70,DN13,2013,dense,31,31070,RIL_171,06/13/2013,41
71,DN13,2013,dense,31,31071,RIL_190,06/10/2013,38
72,DN13,2013,dense,31,31072,RIL_135,06/11/2013,38
73,DN13,2013,dense,31,31073,RIL_137,06/17/2013,45
74,DN13,2013,dense,31,31074,RIL_183,06/20/2013,48
75,DN13,2013,dense,31,31075,RIL_117,06/12/2013,40
76,DN13,2013,dense,31,31076,RIL_149,06/08/2013,36
77,DN13,2013,dense,31,31077,RIL_019,06/06/2013,34
78,DN13,2013,dense,31,31078,RIL_084,06/11/2013,39
79,DN13,2013,dense,31,31079,RIL_218,06/17/2013,45
80,DN13,2013,dense,31,31080,RIL_037,06/06/2013,34
81,DN13,2013,dense,31,31081,RIL_059,06/15/2013,41
82,DN13,2013,dense,31,31082,RIL_066,06/15/2013,44
83,DN13,2013,dense,31,31083,RIL_166,06/10/2013,38
84,DN13,2013,dense,31,31084,RIL_075,06/04/2013,32
85,DN13,2013,dense,31,31086,RIL_119,06/17/2013,44
86,DN13,2013,dense,31,31087,RIL_099,06/12/2013,40
87,DN13,2013,dense,31,31088,RIL_110,06/06/2013,34
88,DN13,2013,dense,31,31089,RIL_061,06/28/2013,56
89,DN13,2013,dense,31,31090,RIL_199,06/12/2013,40
90,DN13,2013,dense,31,31091,B100,06/25/2013,51
91,DN13,2013,dense,31,31092,RIL_188,06/08/2013,36
92,DN13,2013,dense,31,31093,B100,06/20/2013,48
93,DN13,2013,dense,31,31094,A10,06/03/2013,27
94,DN13,2013,dense,31,31095,RIL_189,06/09/2013,37
