Obs,experiment,year,treatment,plot,subplot_id,id,sowing_doy,flowering_time
1,DR13,2013,dry,11,11001,RIL_209,188,33
2,DR13,2013,dry,11,11002,RIL_069,188,30
3,DR13,2013,dry,11,11003,B100,188,41
4,DR13,2013,dry,11,11006,RIL_185,188,29
5,DR13,2013,dry,11,11010,RIL_062,188,42
6,DR13,2013,dry,11,11011,RIL_109,188,35
7,DR13,2013,dry,11,11013,RIL_160,188,36
8,DR13,2013,dry,11,11014,RIL_040,188,32
9,DR13,2013,dry,11,11015,B100,188,40
10,DR13,2013,dry,11,11016,RIL_066,188,33
11,DR13,2013,dry,11,11017,RIL_052,188,35
12,DR13,2013,dry,11,11018,RIL_059,188,35
13,DR13,2013,dry,11,11019,RIL_182,188,40
14,DR13,2013,dry,11,11020,RIL_175,188,32
15,DR13,2013,dry,11,11021,RIL_065,188,42
16,DR13,2013,dry,11,11022,RIL_084,188,32
17,DR13,2013,dry,11,11023,RIL_064,188,29
18,DR13,2013,dry,11,11024,RIL_194,188,30
19,DR13,2013,dry,11,11025,B100,188,40
20,DR13,2013,dry,11,11026,RIL_218,188,37
21,DR13,2013,dry,11,11027,RIL_034,188,30
22,DR13,2013,dry,11,11028,RIL_207,188,32
23,DR13,2013,dry,11,11029,RIL_208,188,32
24,DR13,2013,dry,11,11031,RIL_058,188,42
25,DR13,2013,dry,11,11033,RIL_212,188,38
26,DR13,2013,dry,11,11034,RIL_114,188,36
27,DR13,2013,dry,11,11035,RIL_036,188,31
28,DR13,2013,dry,11,11036,RIL_117,188,30
29,DR13,2013,dry,11,11037,RIL_161,188,40
30,DR13,2013,dry,11,11038,RIL_016,188,32
31,DR13,2013,dry,11,11039,RIL_159,188,35
32,DR13,2013,dry,11,11040,RIL_129,188,42
33,DR13,2013,dry,11,11041,RIL_151,188,37
34,DR13,2013,dry,11,11042,RIL_055,188,28
35,DR13,2013,dry,11,11043,RIL_197,188,42
36,DR13,2013,dry,11,11044,RIL_216,188,30
37,DR13,2013,dry,11,11045,RIL_004,188,36
38,DR13,2013,dry,11,11046,RIL_105,188,33
39,DR13,2013,dry,11,11047,RIL_149,188,30
40,DR13,2013,dry,11,11048,RIL_219,188,30
