plantbarcode,fresh_wt,sat_wt,dry_wt,cartag
Dr49AA001442,34.8,41.98,7.36,1010
Dr102AB001763,13.19,14.99,2.02,1015
Dr93AB001709,9.96,10.36,1.87,1026
Dr45AB001422,8.93,9.8,1.04,1034
Dr93AA001706,22.95,26.76,3.5,1037
Dr87AA001668,27.43,34.05,3.04,1049
Dr102AA0001759,36.34,44.46,8.29,1086
Dr45AA001418,25.15,30.35,3.19,1118
Dr90AB001691,12.43,14.44,1.65,1126
Dr49AB001446,13.13,15.92,2.07,1146
Dr90AA001688,24.51,28.09,1.82,1150
Dr86AA001663,31.4,37.25,7.15,1181
Dr86AA001662,35.03,41.73,7.57,1182
Dr86AB001654,9.34,10.68,1.23,1190
Dr84AA001652,29.46,35.82,7.03,1192
Dr80AB001631,11.55,13.86,1.18,1206
Dr81AB001637,12.1,14.22,2.21,1213
Dr81AA001632,28.57,34.74,6.99,1219
Dr133AA001943,22.08,26.49,1.11,1228
Dp2AA002329,19,21.88,1.95,1234
Dr133AB001946,8.52,10.06,1.5,1241
Dr183AA002243,19.51,22.95,3.4,1245
Dr80AA001628,23.38,27.22,2.45,1254
Dr183AB002246,9.39,10.56,1.54,1263
Dr94AB001715,11.59,14,1.49,1264
Dr135AB001958,6.63,7.6,0.96,1285
Dr85AA001658,38.12,44.04,5.35,1287
Dr188AA002273,34.54,40.15,6.28,1300
Dr188AB002276,15.63,18.54,2.58,1312
Dr88AA001676,28.53,36.19,4.32,1314
Dr88AB001679,13.12,15.37,1.99,1315
Dr185AA002255,28.42,35.98,4.77,1316
Dr185AB002258,10.46,11.82,1.22,1327
Dr91AB001697,12.58,14.38,2.43,1332
Dr91AA001694,28.35,31.55,4.45,1333
Dr125AA001895,29.96,35.72,6.32,1336
Dr85AB001661,14.18,15.9,2.06,1337
Dr125AB001898,13.7,16,2.81,1338
Dr78AA001616,36.31,43.64,6.17,1339
Dr94AA001712,23,31.3,3.45,1340
Dr74AA001591,18.6,22.21,2.51,1345
Dr74AB001594,8.45,7.33,1.2,1349
Dr113AB001827,14.68,17.37,2.11,1354
Dp2AA002333,27.08,30.72,3.72,1362
Dr113AA001824,40.05,48.62,7.51,1369
Dp2AB002342,10.37,10.81,1.46,1373
Dp1AA002291,27.6,35.28,5.26,1380
Dp2AB002336,11.16,12.85,1.64,1386
Dr173AA002183,11.05,13.13,0.88,1394
Dr25AA001298,23.69,29.22,3.6,1399
Dr25AB001301,10.78,12.25,1.37,1403
Dr23AA001286,31.59,37.8,6.17,1411
Dr23AB001289,9.76,11.55,1.72,1414
Dr20AA001268,25.94,31.74,3.83,1416
Dr20AB001271,9.46,11.29,1.49,1426
Dp1AB002318,7.93,8.91,1.02,1443
Dr17AB001253,11.93,14.01,1.63,1446
Dr17AA001250,19.63,23.4,2.11,1449
Dr6AB001187,8.61,10.49,1.35,1459
Dr6AA001532,26.73,31.7,4.01,1469
Dr62AB001523,11.6,13.72,2.75,1473
Dr62AA001520,31.8,37.64,8.93,1474
Dr46AB001427,12.17,14.97,3.24,1485
Dr46AA001424,35.91,43.27,8.74,1495
Dr34AA001353,27.46,33.06,4.2,1500
Dr34AB001355,10.63,12.5,1.72,1501
