phe,ril
1,39
2,31
3,36
4,10
5,68
6,60
7,207
8,43
9,62
10,33
11,84
12,4
13,83
14,73
15,5
16,8
17,65
18,17
19,74
20,53
21,7
22,34
23,2
24,81
25,16
26,9
27,100
28,71
29,32
30,54
31,56
32,63
33,72
34,77
35,78
36,52
37,79
38,85
39,18
40,23
41,12
42,26
43,6
44,30
45,21
46,22
47,49
48,75
49,51
50,14
51,29
52,37
53,20
54,41
55,70
56,48
57,19
58,67
59,15
60,27
61,28
62,47
63,24
64,66
65,40
66,69
67,57
68,35
69,215
70,13
71,216
72,100
73,187
74,206
75,130
76,149
77,146
78,93
79,88
80,58
81,127
82,121
83,169
84,174
85,44
86,113
87,141
88,92
89,108
90,137
91,152
92,155
93,118
94,115
95,94
96,117
97,55
98,82
99,114
100,175
101,132
102,11
103,134
104,139
105,136
106,87
107,61
108,86
109,104
110,200
111,101
112,89
113,182
114,120
115,133
116,128
117,11
118,164
119,76
120,42
121,202
122,170
123,197
124,168
125,91
126,163
127,129
128,105
129,148
130,179
131,142
132,154
133,95
134,159
135,25
136,112
137,172
138,38
139,90
140,99
141,135
142,199
143,126
144,102
145,59
147,140
148,153
149,125
150,195
151,189
152,150
153,210
154,131
155,181
156,188
157,145
158,219
159,173
160,157
161,98
162,185
163,162
164,116
165,221
166,109
167,124
168,96
169,119
170,209
171,180
172,194
173,122
174,143
175,203
176,45
177,106
178,103
179,147
180,144
181,151
182,176
183,167
184,218
185,166
186,186
187,208
188,220
189,213
190,161
146,0
