,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
3@47.4,S3_7345986,3,47.38986671,0.999366472912051,2.51814388747727,239.425480645664,112.517916669356,S3_152240,3,0,0.679519088597392,S3_15496244,3,64.25922531,0.350282762784678,wet.ma_te_residual_day_17_BP14
5@104.1,S5_42739726,5,104.1345531,0.411978779544899,1.02982725935759,-169.805603464222,124.784720733285,S5_22793232,5,57.05732598,0.699469214043274,S5_44163859,5,116.340362,0.93805410775648,wet.ma_te_residual_day_17_BP14
7@99.9,S7_32133319,7,99.94477983,0.192145097454377,0.478876959196029,152.506649059546,164.34950232489,S7_30436117,7,85.84098672,1.8517376673463,S7_32940091,7,101.9471039,2.17409240082024,wet.ma_te_residual_day_17_BP14
9@33.9,S9_6295446,9,33.93753681,2.10935850589099,5.39611690675267,-395.15746637452,126.858947147748,S9_4775142,9,30.60506955,2.49654183643804,S9_9022705,9,39.59727801,2.71320795793917,wet.ma_te_residual_day_17_BP14
3@47.41,S3_7345986,3,47.38986671,1.14903073737694,2.84025240175735,269.922566202545,118.180207793,S3_152240,3,0,0.679519088597392,S3_15496244,3,64.25922531,0.350282762784678,wet.ma_te_residual_day_18_BP14
5@104.11,S5_42739726,5,104.1345531,0.448699097673524,1.09861627702111,-186.175903423692,131.064319907261,S5_22793232,5,57.05732598,0.699469214043274,S5_44163859,5,116.340362,0.93805410775648,wet.ma_te_residual_day_18_BP14
7@99.91,S7_32133319,7,99.94477983,0.146919822591771,0.358256162205262,140.024577799763,172.620138288798,S7_30436117,7,85.84098672,1.8517376673463,S7_32940091,7,101.9471039,2.17409240082024,wet.ma_te_residual_day_18_BP14
9@33.91,S9_6295446,9,33.93753681,2.88963035561363,7.31475430941332,-488.382415320585,133.242928576237,S9_4775142,9,30.60506955,2.49654183643804,S9_9022705,9,39.59727801,2.71320795793917,wet.ma_te_residual_day_18_BP14
3@47.42,S3_7345986,3,47.38986671,0.639220886417755,1.55606077279135,232.421611088898,136.907708287035,S3_152240,3,0,0.679519088597392,S3_15496244,3,64.25922531,0.350282762784678,wet.ma_te_residual_day_19_BP14
5@104.12,S5_42739726,5,104.1345531,1.13920238688229,2.79208965011066,-345.27699112397,151.833509280433,S5_22793232,5,57.05732598,0.699469214043274,S5_44163859,5,116.340362,0.93805410775648,wet.ma_te_residual_day_19_BP14
7@99.92,S7_32133319,7,99.94477983,0.624677418551425,1.52035711401414,335.569705081518,199.974496395413,S7_30436117,7,85.84098672,1.8517376673463,S7_32940091,7,101.9471039,2.17409240082024,wet.ma_te_residual_day_19_BP14
9@33.92,S9_6295446,9,33.93753681,2.54874170071139,6.36817119580367,-530.114905094836,154.357352533833,S9_4775142,9,30.60506955,2.49654183643804,S9_9022705,9,39.59727801,2.71320795793917,wet.ma_te_residual_day_19_BP14
