,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.1,S2_44586954,2,96.05450929,4.03994388159922,4.99244221264819,3130.63449430663,739.417845246709,4.1298738031677,2,93.52620611,3.50849609424982,4.22956990714329,2,114.5694173,3.52330754976642,wet.sv_area_day_17_BP14
2@11.4,S2_2504271,2,11.41378601,0.0505127362946709,0.0591091472045235,-287.860096680354,624.839109817537,4.1298738031677,2,93.52620611,3.50849609424982,4.22956990714329,2,114.5694173,3.52330754976642,wet.sv_area_day_17_BP14
2@106.3,S2_45980428,2,106.3362737,0.0252595626073457,0.0295482014445199,240.418269895448,738.101396232899,4.1298738031677,2,93.52620611,3.50849609424982,4.22956990714329,2,114.5694173,3.52330754976642,wet.sv_area_day_17_BP14
3@47.4,S3_7345986,3,47.38986671,4.70277967301723,5.86500402437606,2624.32407114439,571.870101825986,1.85541786932856,3,46.70151328,1.33182430251085,2.32318530947487,3,57.64133659,1.38656100040748,wet.sv_area_day_17_BP14
3@16.5,S3_2542615,3,16.46388381,5.02415337315654e-05,5.87516158176982e-05,-8.14700484606355,560.921584451329,1.85541786932856,3,46.70151328,1.33182430251085,2.32318530947487,3,57.64133659,1.38656100040748,wet.sv_area_day_17_BP14
5@104.1,S5_42739726,5,104.1345531,5.69018683744743,7.19423651647366,-3776.05877073549,742.951517671003,3.12702128083208,5,76.16548797,2.74846728586976,2.88396461839625,5,111.9145952,1.61840772969139,wet.sv_area_day_17_BP14
5@80.9,S5_33587455,5,80.92708184,1.63763960046617,1.95814004334523,-1732.58613922485,653.411909968268,3.12702128083208,5,76.16548797,2.74846728586976,2.88396461839625,5,111.9145952,1.61840772969139,wet.sv_area_day_17_BP14
6@61.9,S6_31575043,6,61.87251494,0.934081119755586,1.1062350274361,1520.88788303547,763.110768236025,0.480966203093658,6,0,0.272925523651485,0.746251307761099,6,92.0202595,0.620454196831173,wet.sv_area_day_17_BP14
6@73.8,S6_33052891,6,73.8397152,0.00885044276282088,0.0103507946145527,-150.626979852634,781.321918269026,0.480966203093658,6,0,0.272925523651485,0.746251307761099,6,92.0202595,0.620454196831173,wet.sv_area_day_17_BP14
7@99.9,S7_32133319,7,99.94477983,6.62927559496537,8.49184121350004,-4580.98151709772,829.605632572074,2.63233370429407,7,94.85882286,2.15937461951208,2.19215108789649,7,101.9471039,1.9327448949902,wet.sv_area_day_17_BP14
