,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@97.7,S2_44908249,2,97.68940295,4.3383305130236,10.0618026653455,20.1529999608659,4.46901890023816,4.80400722867216,2,85.66812681,2.67548392326276,4.85261059401159,2,113.8524469,3.0294822169665,dry.wue_total_17_BP14
2@4.6,S2_1456283,2,4.608227826,1.4043968610076,3.04613361978891,13.465086197141,5.42681539134118,4.80400722867216,2,85.66812681,2.67548392326276,4.85261059401159,2,113.8524469,3.0294822169665,dry.wue_total_17_BP14
5@93.1,S5_38761953,5,93.06952405,6.61701014909888,16.1822962514559,-28.6251289350203,5.00538816993209,4.36963607238084,5,79.95790853,1.93897927422021,4.13051036399378,5,112.9382883,2.12412460986308,dry.wue_total_17_BP14
5@109.7,S5_43714262,5,109.7001769,2.84902174292355,6.38561280939233,-18.169371165639,5.05765255221513,4.36963607238084,5,79.95790853,1.93897927422021,4.13051036399378,5,112.9382883,2.12412460986308,dry.wue_total_17_BP14
9@32.8,S9_6184858,9,32.79210864,0.967000488561533,2.07683363077187,11.7161654636315,5.71866989011021,1.28377653856006,9,29.42213919,0.639669499073203,1.90914974473731,9,168.493715,1.13288032333247,dry.wue_total_17_BP14
9@124.0,S9_46250912,9,124.0052113,0.190002929697041,0.401013623667758,4.17841654125237,4.64133112870904,1.28377653856006,9,29.42213919,0.639669499073203,1.90914974473731,9,168.493715,1.13288032333247,dry.wue_total_17_BP14
9@87.9,S9_34338749,9,87.94089861,0.0327207268111991,0.068816644524496,1.68106954591455,4.50764098847952,1.28377653856006,9,29.42213919,0.639669499073203,1.90914974473731,9,168.493715,1.13288032333247,dry.wue_total_17_BP14
2@97.71,S2_44908249,2,97.68940295,9.75351459017051,16.4427543812618,25.7000094952,3.6755347107068,4.80400722867216,2,85.66812681,2.67548392326276,4.85261059401159,2,113.8524469,3.0294822169665,dry.wue_total_18_BP14
2@4.61,S2_1456283,2,4.608227826,0.00969953940440149,0.0143337702897739,0.911269110529209,4.41408770860192,4.80400722867216,2,85.66812681,2.67548392326276,4.85261059401159,2,113.8524469,3.0294822169665,dry.wue_total_18_BP14
5@93.11,S5_38761953,5,93.06952405,7.12910779326289,11.5932360927436,-25.0377023716201,4.2644856942132,4.36963607238084,5,79.95790853,1.93897927422021,4.13051036399378,5,112.9382883,2.12412460986308,dry.wue_total_18_BP14
5@109.71,S5_43714262,5,109.7001769,0.797269797567363,1.19055362739479,-8.5578766615497,4.54847771363808,4.36963607238084,5,79.95790853,1.93897927422021,4.13051036399378,5,112.9382883,2.12412460986308,dry.wue_total_18_BP14
9@32.81,S9_6184858,9,32.79210864,3.97729579169364,6.19726388932467,17.3987672417939,4.05315313901747,1.28377653856006,9,29.42213919,0.639669499073203,1.90914974473731,9,168.493715,1.13288032333247,dry.wue_total_18_BP14
9@124.01,S9_46250912,9,124.0052113,1.05604625316335,1.58241317568738,8.18465586479508,3.77324502265372,1.28377653856006,9,29.42213919,0.639669499073203,1.90914974473731,9,168.493715,1.13288032333247,dry.wue_total_18_BP14
9@87.91,S9_34338749,9,87.94089861,0.00354422727965087,0.00523715606838948,0.468617153314707,3.75530272871613,1.28377653856006,9,29.42213919,0.639669499073203,1.90914974473731,9,168.493715,1.13288032333247,dry.wue_total_18_BP14
2@97.72,S2_44908249,2,97.68940295,9.87073188520364,16.3598937819205,22.0243625163218,3.12856432713549,4.80400722867216,2,85.66812681,2.67548392326276,4.85261059401159,2,113.8524469,3.0294822169665,dry.wue_total_19_BP14
2@4.62,S2_1456283,2,4.608227826,0.00317402021821778,0.00460358767450941,-0.443692151250726,3.75721042757438,4.80400722867216,2,85.66812681,2.67548392326276,4.85261059401159,2,113.8524469,3.0294822169665,dry.wue_total_19_BP14
5@93.12,S5_38761953,5,93.06952405,6.25404212270198,9.86433303275407,-19.842349890108,3.62987126135165,4.36963607238084,5,79.95790853,1.93897927422021,4.13051036399378,5,112.9382883,2.12412460986308,dry.wue_total_19_BP14
5@109.72,S5_43714262,5,109.7001769,0.985748381777338,1.44847865007692,-8.1098850552233,3.87160134176027,4.36963607238084,5,79.95790853,1.93897927422021,4.13051036399378,5,112.9382883,2.12412460986308,dry.wue_total_19_BP14
9@32.82,S9_6184858,9,32.79210864,5.53982562824738,8.65349604523024,17.6636882508904,3.44998791229177,1.28377653856006,9,29.42213919,0.639669499073203,1.90914974473731,9,168.493715,1.13288032333247,dry.wue_total_19_BP14
9@124.02,S9_46250912,9,124.0052113,1.33950323905875,1.97757650545383,7.86093550812749,3.21173399370399,1.28377653856006,9,29.42213919,0.639669499073203,1.90914974473731,9,168.493715,1.13288032333247,dry.wue_total_19_BP14
9@87.92,S9_34338749,9,87.94089861,0.0403226995495274,0.0585126608839346,1.34574401027116,3.19646176117776,1.28377653856006,9,29.42213919,0.639669499073203,1.90914974473731,9,168.493715,1.13288032333247,dry.wue_total_19_BP14
2@97.73,S2_44908249,2,97.68940295,10.0025709880259,16.2874923485606,19.9769425835692,2.81639902888169,4.80400722867216,2,85.66812681,2.67548392326276,4.85261059401159,2,113.8524469,3.0294822169665,dry.wue_total_20_BP14
