,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.1,S2_44586954,2,96.05450929,4.4282199312474,7.18239105311606,2801.71820485926,622.384203400396,1.89158886877271,2,84.60658262,1.59079171056111,1.71608073048969,2,114.5694173,1.52354256380382,wet.rma_te_fit_total_17_BP14
3@47.4,S3_7345986,3,47.38986671,0.786077454539569,1.21291029929579,1163.05717471129,628.717220316777,1.24050625366294,3,45.16807388,0.861030312480459,1.53373403762851,3,57.64133659,1.08562312453248,wet.rma_te_fit_total_17_BP14
5@109.7,S5_43714208,5,109.7001758,4.48757143784363,7.28462821362315,-3398.04067920786,749.53775008024,1.39232075373138,5,71.92483855,0.915559929371745,1.53245819360541,5,116.340362,1.24420700601752,wet.rma_te_fit_total_17_BP14
5@80.0,S5_33184214,5,79.95790853,0.166908334441416,0.255382632899064,-602.109181430376,709.329795020155,1.39232075373138,5,71.92483855,0.915559929371745,1.53245819360541,5,116.340362,1.24420700601752,wet.rma_te_fit_total_17_BP14
5@39.1,S5_5738550,5,39.12975592,1.06308694844128,1.64652526551402,1589.57353762548,737.505150261826,1.39232075373138,5,71.92483855,0.915559929371745,1.53245819360541,5,116.340362,1.24420700601752,wet.rma_te_fit_total_17_BP14
6@59.4,S6_31006529,6,59.39487638,0.872261434133311,1.34746929290328,1238.5722682133,635.229335841259,0.337231287923942,6,0,0.222296737130357,1.17599839037939,6,92.0202595,1.02314425965241,wet.rma_te_fit_total_17_BP14
7@99.9,S7_32133319,7,99.94477983,5.23594756331616,8.58796209416754,-4579.70476373439,930.381476106095,3.88378680640426,7,96.48121012,3.30872970321102,3.49774591641813,7,101.9471039,3.09772023889451,wet.rma_te_fit_total_17_BP14
7@51.2,S7_19532160,7,51.17962841,0.00781822076575622,0.0119367218202058,128.739677854514,701.51750817707,3.88378680640426,7,96.48121012,3.30872970321102,3.49774591641813,7,101.9471039,3.09772023889451,wet.rma_te_fit_total_17_BP14
7@33.2,S7_16511236,7,33.24039283,2.22386828210294,3.49935064807379,-2162.78658397055,688.317115106794,3.88378680640426,7,96.48121012,3.30872970321102,3.49774591641813,7,101.9471039,3.09772023889451,wet.rma_te_fit_total_17_BP14
9@34.9,S9_6724364,9,34.93391023,6.77831652008048,11.3588768115135,3928.61469718969,693.969486399526,6.08860063865393,9,32.79210864,5.38528767150653,6.91163176334362,9,36.4077051,6.01966333541178,wet.rma_te_fit_total_17_BP14
2@96.11,S2_44586954,2,96.05450929,5.77102180264859,8.53610054597934,4243.87416484956,818.171827819713,1.89158886877271,2,84.60658262,1.59079171056111,1.71608073048969,2,114.5694173,1.52354256380382,wet.rma_te_fit_total_18_BP14
3@47.41,S3_7345986,3,47.38986671,1.03185627992157,1.4299490005876,1754.64719201206,826.497064864258,1.24050625366294,3,45.16807388,0.861030312480459,1.53373403762851,3,57.64133659,1.08562312453248,wet.rma_te_fit_total_18_BP14
5@109.71,S5_43714208,5,109.7001758,5.3514965645318,7.86959393122437,-4907.31400652295,985.324928962737,1.39232075373138,5,71.92483855,0.915559929371745,1.53245819360541,5,116.340362,1.24420700601752,wet.rma_te_fit_total_18_BP14
5@80.01,S5_33184214,5,79.95790853,0.392326272019591,0.538982534923619,-1215.37339331398,932.468484495366,1.39232075373138,5,71.92483855,0.915559929371745,1.53245819360541,5,116.340362,1.24420700601752,wet.rma_te_fit_total_18_BP14
5@39.11,S5_5738550,5,39.12975592,1.39574476566297,1.94383588525672,2399.76674618517,969.507152526465,1.39232075373138,5,71.92483855,0.915559929371745,1.53245819360541,5,116.340362,1.24420700601752,wet.rma_te_fit_total_18_BP14
6@59.41,S6_31006529,6,59.39487638,1.21609264997143,1.68949629354986,1927.0072282513,835.05774078201,0.337231287923942,6,0,0.222296737130357,1.17599839037939,6,92.0202595,1.02314425965241,wet.rma_te_fit_total_18_BP14
7@99.91,S7_32133319,7,99.94477983,6.33409898225566,9.44265977868261,-6672.405042607,1223.0578936876,3.88378680640426,7,96.48121012,3.30872970321102,3.49774591641813,7,101.9471039,3.09772023889451,wet.rma_te_fit_total_18_BP14
7@51.21,S7_19532160,7,51.17962841,0.00287136999570947,0.00392395035423476,-102.55915695405,922.19863354006,3.88378680640426,7,96.48121012,3.30872970321102,3.49774591641813,7,101.9471039,3.09772023889451,wet.rma_te_fit_total_18_BP14
7@33.21,S7_16511236,7,33.24039283,2.47246518643128,3.49440088383,-3002.95695884576,904.845703200183,3.88378680640426,7,96.48121012,3.30872970321102,3.49774591641813,7,101.9471039,3.09772023889451,wet.rma_te_fit_total_18_BP14
9@34.91,S9_6724364,9,34.93391023,8.10432909103229,12.384511102894,5699.72607528897,912.276179306138,6.08860063865393,9,32.79210864,5.38528767150653,6.91163176334362,9,36.4077051,6.01966333541178,wet.rma_te_fit_total_18_BP14
2@96.12,S2_44586954,2,96.05450929,7.12307373799486,9.66681628140943,6104.30958390678,1049.3464503867,1.89158886877271,2,84.60658262,1.59079171056111,1.71608073048969,2,114.5694173,1.52354256380382,wet.rma_te_fit_total_19_BP14
