,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.9,S2_44784129,2,96.94547802,6.32601975984396,11.1516956853228,3483.0057100254,627.158021747037,S2_44209808,2,93.99718694,6.06338182051479,S2_45156658,2,100.2097111,5.95467779306658,wet.sv_area_day_17_BP14
5@89.1,S5_36742284,5,89.1281049,5.18194864542102,8.99081125541665,-3178.55034034324,637.415916231681,S5_31260652,5,76.16548797,2.61277820743419,S5_43769059,5,111.9145952,2.42372966361523,wet.sv_area_day_17_BP14
7@99.9,S7_32133319,7,99.94477983,5.79455899262392,10.1395577798256,-4891.83257624468,923.751863561255,S7_31956171,7,96.48121012,2.99088080843347,S7_32940091,7,101.9471039,2.94445146819613,wet.sv_area_day_17_BP14
9@33.9,S9_6501061,9,33.93753996,4.70575031438767,8.11093616618945,3349.96028406415,707.289834745115,S9_4775142,9,30.60506955,3.9155957698194,S9_8182398,9,37.12013546,4.13491904813996,wet.sv_area_day_17_BP14
2@96.91,S2_44784129,2,96.94547802,6.97813204883987,12.0719571257761,5030.71905984766,858.56462612655,S2_44209808,2,93.99718694,6.06338182051479,S2_45156658,2,100.2097111,5.95467779306658,wet.sv_area_day_18_BP14
5@89.11,S5_36742284,5,89.1281049,5.20164650646342,8.7789430725801,-4360.21857914116,872.607443148201,S5_31260652,5,76.16548797,2.61277820743419,S5_43769059,5,111.9145952,2.42372966361523,wet.sv_area_day_18_BP14
7@99.91,S7_32133319,7,99.94477983,6.15429724380565,10.5251257365939,-6918.83884529536,1264.59464101707,S7_31956171,7,96.48121012,2.99088080843347,S7_32940091,7,101.9471039,2.94445146819613,wet.sv_area_day_18_BP14
9@33.91,S9_6501061,9,33.93753996,5.12819268399934,8.64616618732848,4801.46145661205,968.263199184566,S9_4775142,9,30.60506955,3.9155957698194,S9_8182398,9,37.12013546,4.13491904813996,wet.sv_area_day_18_BP14
2@96.92,S2_44784129,2,96.94547802,7.47724974377135,12.7414651210527,6983.42163368306,1147.34485452626,S2_44209808,2,93.99718694,6.06338182051479,S2_45156658,2,100.2097111,5.95467779306658,wet.sv_area_day_19_BP14
5@89.12,S5_36742284,5,89.1281049,5.31109384385224,8.78115623186232,-5892.23898459662,1166.11100603373,S5_31260652,5,76.16548797,2.61277820743419,S5_43769059,5,111.9145952,2.42372966361523,wet.sv_area_day_19_BP14
7@99.92,S7_32133319,7,99.94477983,6.28565240018788,10.5341815913095,-9352.70692115398,1689.9440185165,S7_31956171,7,96.48121012,2.99088080843347,S7_32940091,7,101.9471039,2.94445146819613,wet.sv_area_day_19_BP14
9@33.92,S9_6501061,9,33.93753996,5.54890432571595,9.20466809466893,6693.9595014451,1293.94080026748,S9_4775142,9,30.60506955,3.9155957698194,S9_8182398,9,37.12013546,4.13491904813996,wet.sv_area_day_19_BP14
2@96.93,S2_44784129,2,96.94547802,8.0063762959197,13.452181620233,9282.86204841653,1468.41880732369,S2_44209808,2,93.99718694,6.06338182051479,S2_45156658,2,100.2097111,5.95467779306658,wet.sv_area_day_20_BP14
5@89.13,S5_36742284,5,89.1281049,5.38922859009068,8.7301773764453,-7600.51448921655,1492.43649451332,S5_31260652,5,76.16548797,2.61277820743419,S5_43769059,5,111.9145952,2.42372966361523,wet.sv_area_day_20_BP14
7@99.93,S7_32133319,7,99.94477983,6.38124560576063,10.4807486022425,-12068.6872579131,2162.85937948311,S7_31956171,7,96.48121012,2.99088080843347,S7_32940091,7,101.9471039,2.94445146819613,wet.sv_area_day_20_BP14
9@33.93,S9_6501061,9,33.93753996,5.99198147508046,9.78821699321512,8930.12965867476,1656.03828629255,S9_4775142,9,30.60506955,3.9155957698194,S9_8182398,9,37.12013546,4.13491904813996,wet.sv_area_day_20_BP14
2@96.94,S2_44784129,2,96.94547802,8.49597640315186,14.0621279119029,12001.2919273231,1836.59666713659,S2_44209808,2,93.99718694,6.06338182051479,S2_45156658,2,100.2097111,5.95467779306658,wet.sv_area_day_21_BP14
5@89.14,S5_36742284,5,89.1281049,5.53232252121605,8.78537389569702,-9641.14300282238,1866.63632886308,S5_31260652,5,76.16548797,2.61277820743419,S5_43769059,5,111.9145952,2.42372966361523,wet.sv_area_day_21_BP14
7@99.94,S7_32133319,7,99.94477983,6.46497979858893,10.400510782335,-15202.2600815129,2705.15489724872,S7_31956171,7,96.48121012,2.99088080843347,S7_32940091,7,101.9471039,2.94445146819613,wet.sv_area_day_21_BP14
9@33.94,S9_6501061,9,33.93753996,6.44974394189802,10.3737967664192,11624.9683858248,2071.25813295651,S9_4775142,9,30.60506955,3.9155957698194,S9_8182398,9,37.12013546,4.13491904813996,wet.sv_area_day_21_BP14
2@96.95,S2_44784129,2,96.94547802,9.03495430283417,14.7671513480551,14955.0263029236,2210.89814940769,S2_44209808,2,93.99718694,6.06338182051479,S2_45156658,2,100.2097111,5.95467779306658,wet.sv_area_day_22_BP14
5@89.15,S5_36742284,5,89.1281049,5.61080391630955,8.74154750429591,-11694.4257618426,2247.05994459568,S5_31260652,5,76.16548797,2.61277820743419,S5_43769059,5,111.9145952,2.42372966361523,wet.sv_area_day_22_BP14
7@99.95,S7_32133319,7,99.94477983,6.47090285219495,10.202942581933,-18309.643378897,3256.47000411525,S7_31956171,7,96.48121012,2.99088080843347,S7_32940091,7,101.9471039,2.94445146819613,wet.sv_area_day_22_BP14
9@33.95,S9_6501061,9,33.93753996,6.92306115583182,10.9849696624956,14546.5057847544,2493.38401568526,S9_4775142,9,30.60506955,3.9155957698194,S9_8182398,9,37.12013546,4.13491904813996,wet.sv_area_day_22_BP14
2@96.96,S2_44784129,2,96.94547802,9.47269718733119,15.3082425198354,18000.2225314065,2590.8625209362,S2_44209808,2,93.99718694,6.06338182051479,S2_45156658,2,100.2097111,5.95467779306658,wet.sv_area_day_23_BP14
5@89.16,S5_36742284,5,89.1281049,5.59735618706569,8.56768629451074,-13686.5159384485,2633.23907268619,S5_31260652,5,76.16548797,2.61277820743419,S5_43769059,5,111.9145952,2.42372966361523,wet.sv_area_day_23_BP14
7@99.96,S7_32133319,7,99.94477983,6.55320935394636,10.1650957861597,-21604.7522737052,3816.12607820739,S7_31956171,7,96.48121012,2.99088080843347,S7_32940091,7,101.9471039,2.94445146819613,wet.sv_area_day_23_BP14
9@33.96,S9_6501061,9,33.93753996,7.37554214007659,11.5728584657531,17650.4573460852,2921.89633351993,S9_4775142,9,30.60506955,3.9155957698194,S9_8182398,9,37.12013546,4.13491904813996,wet.sv_area_day_23_BP14
2@96.97,S2_44784129,2,96.94547802,9.82563405655288,15.7827683574049,20916.0939018739,2948.63075704618,S2_44209808,2,93.99718694,6.06338182051479,S2_45156658,2,100.2097111,5.95467779306658,wet.sv_area_day_24_BP14
5@89.17,S5_36742284,5,89.1281049,5.57617021080365,8.43904582801285,-15544.6728489425,2996.8590219031,S5_31260652,5,76.16548797,2.61277820743419,S5_43769059,5,111.9145952,2.42372966361523,wet.sv_area_day_24_BP14
7@99.97,S7_32133319,7,99.94477983,6.41288829894432,9.8189719449143,-24299.6684066738,4343.08908174037,S7_31956171,7,96.48121012,2.99088080843347,S7_32940091,7,101.9471039,2.94445146819613,wet.sv_area_day_24_BP14
9@33.97,S9_6501061,9,33.93753996,7.7864960553955,12.1532741802581,20699.3198036682,3325.37652163964,S9_4775142,9,30.60506955,3.9155957698194,S9_8182398,9,37.12013546,4.13491904813996,wet.sv_area_day_24_BP14
2@96.98,S2_44784129,2,96.94547802,10.0607558907569,16.1943160579266,23406.9725110462,3255.57345342571,S2_44209808,2,93.99718694,6.06338182051479,S2_45156658,2,100.2097111,5.95467779306658,wet.sv_area_day_25_BP14
5@89.18,S5_36742284,5,89.1281049,5.37510169878901,8.10207655387067,-16827.0518458967,3308.82212092935,S5_31260652,5,76.16548797,2.61277820743419,S5_43769059,5,111.9145952,2.42372966361523,wet.sv_area_day_25_BP14
7@99.98,S7_32133319,7,99.94477983,6.17888817134341,9.41827612013605,-26292.2646418825,4795.19027148082,S7_31956171,7,96.48121012,2.99088080843347,S7_32940091,7,101.9471039,2.94445146819613,wet.sv_area_day_25_BP14
9@33.98,S9_6501061,9,33.93753996,8.04668259969008,12.5897639822116,23275.1864545614,3671.53720438709,S9_4775142,9,30.60506955,3.9155957698194,S9_8182398,9,37.12013546,4.13491904813996,wet.sv_area_day_25_BP14
2@96.99,S2_44784129,2,96.94547802,10.0590966531574,16.3315686005326,25373.900035423,3529.4773134263,S2_44209808,2,93.99718694,6.06338182051479,S2_45156658,2,100.2097111,5.95467779306658,wet.sv_area_day_26_BP14
5@89.19,S5_36742284,5,89.1281049,5.13575655650614,7.78251381485123,-17802.4242698901,3587.20599521246,S5_31260652,5,76.16548797,2.61277820743419,S5_43769059,5,111.9145952,2.42372966361523,wet.sv_area_day_26_BP14
7@99.99,S7_32133319,7,99.94477983,5.90568009308986,9.04538787300726,-27814.113213216,5198.62798946989,S7_31956171,7,96.48121012,2.99088080843347,S7_32940091,7,101.9471039,2.94445146819613,wet.sv_area_day_26_BP14
9@33.99,S9_6501061,9,33.93753996,8.07741334660145,12.7528570311183,25287.0085353504,3980.43768745228,S9_4775142,9,30.60506955,3.9155957698194,S9_8182398,9,37.12013546,4.13491904813996,wet.sv_area_day_26_BP14
2@96.910,S2_44784129,2,96.94547802,10.0019214625525,16.4537007406382,26801.3383333196,3740.1859144127,S2_44209808,2,93.99718694,6.06338182051479,S2_45156658,2,100.2097111,5.95467779306658,wet.sv_area_day_27_BP14
5@89.110,S5_36742284,5,89.1281049,4.9195434790511,7.53706645205339,-18436.2156027598,3801.36097896201,S5_31260652,5,76.16548797,2.61277820743419,S5_43769059,5,111.9145952,2.42372966361523,wet.sv_area_day_27_BP14
7@99.910,S7_32133319,7,99.94477983,5.54626380654901,8.57139923240742,-28492.3907731015,5508.98432085726,S7_31956171,7,96.48121012,2.99088080843347,S7_32940091,7,101.9471039,2.94445146819613,wet.sv_area_day_27_BP14
9@33.910,S9_6501061,9,33.93753996,7.93965940139667,12.6870378268456,26541.4861195324,4218.06847013109,S9_4775142,9,30.60506955,3.9155957698194,S9_8182398,9,37.12013546,4.13491904813996,wet.sv_area_day_27_BP14
2@96.911,S2_44784129,2,96.94547802,9.81285377988107,16.4346941629787,27760.7072066859,3916.44666370322,S2_44209808,2,93.99718694,6.06338182051479,S2_45156658,2,100.2097111,5.95467779306658,wet.sv_area_day_28_BP14
5@89.111,S5_36742284,5,89.1281049,4.67460902383542,7.28616233546726,-18786.4644877494,3980.50467657706,S5_31260652,5,76.16548797,2.61277820743419,S5_43769059,5,111.9145952,2.42372966361523,wet.sv_area_day_28_BP14
7@99.911,S7_32133319,7,99.94477983,5.16021196718737,8.09731396585371,-28701.1003932487,5768.60181753898,S7_31956171,7,96.48121012,2.99088080843347,S7_32940091,7,101.9471039,2.94445146819613,wet.sv_area_day_28_BP14
