,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.1,S2_44586954,2,96.05450929,4.13326427941808,7.68646319129916,2483.0122695943,561.593209768646,S2_44209808,2,93.99718694,5.64275532142224,S2_44908249,2,97.68940295,6.00911107964721,wet.te_fit_total_17_BP14
5@109.5,S5_43706919,5,109.5147878,3.00231209851694,5.49704647535146,-2288.92798218725,612.172311287259,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100413,wet.te_fit_total_17_BP14
7@99.9,S7_32133319,7,99.94477983,4.46159985413409,8.33475512853226,-3789.49935273281,823.079287833192,S7_31956171,7,96.48121012,4.62127096685523,S7_32940091,7,101.9471039,4.52076139027727,wet.te_fit_total_17_BP14
9@34.9,S9_6724364,9,34.93391023,7.11842417137901,13.7982127519202,3671.27139176135,619.742571741136,S9_5686516,9,31.99307473,8.44804946390422,S9_8182398,9,37.12013546,8.92953487424295,wet.te_fit_total_17_BP14
2@96.11,S2_44586954,2,96.05450929,5.27694491197382,9.27475547571813,3963.12421159133,787.047186134963,S2_44209808,2,93.99718694,5.64275532142224,S2_44908249,2,97.68940295,6.00911107964721,wet.te_fit_total_18_BP14
5@109.51,S5_43706919,5,109.5147878,3.56731505379731,6.1235602273884,-3510.26804904016,857.931482517141,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100413,wet.te_fit_total_18_BP14
7@99.91,S7_32133319,7,99.94477983,5.31838153764107,9.3529577175237,-5832.84936021059,1153.50795947471,S7_31956171,7,96.48121012,4.62127096685523,S7_32940091,7,101.9471039,4.52076139027727,wet.te_fit_total_18_BP14
9@34.91,S9_6724364,9,34.93391023,8.3063545081117,15.2298816258774,5604.33639742715,868.540856143627,S9_5686516,9,31.99307473,8.44804946390422,S9_8182398,9,37.12013546,8.92953487424295,wet.te_fit_total_18_BP14
2@96.12,S2_44586954,2,96.05450929,6.34669466306355,10.6134002324915,5875.28583465118,1056.04084849018,S2_44209808,2,93.99718694,5.64275532142224,S2_44908249,2,97.68940295,6.00911107964721,wet.te_fit_total_19_BP14
5@109.52,S5_43706919,5,109.5147878,4.05544296711926,6.56978113926568,-5038.82197255759,1151.15168023544,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100413,wet.te_fit_total_19_BP14
7@99.92,S7_32133319,7,99.94477983,6.13333164368495,10.2261690197983,-8452.36099905474,1547.74903680928,S7_31956171,7,96.48121012,4.62127096685523,S7_32940091,7,101.9471039,4.52076139027727,wet.te_fit_total_19_BP14
9@34.92,S9_6724364,9,34.93391023,9.42780537100126,16.4621523779705,8074.85104385231,1165.38708076013,S9_5686516,9,31.99307473,8.44804946390422,S9_8182398,9,37.12013546,8.92953487424295,wet.te_fit_total_19_BP14
2@96.13,S2_44586954,2,96.05450929,7.17713997600187,11.6012153303663,8045.46190416044,1352.02207614045,S2_44209808,2,93.99718694,5.64275532142224,S2_44908249,2,97.68940295,6.00911107964721,wet.te_fit_total_20_BP14
5@109.53,S5_43706919,5,109.5147878,4.3941133545699,6.83321588197978,-6730.75285401376,1473.79004030918,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100413,wet.te_fit_total_20_BP14
7@99.93,S7_32133319,7,99.94477983,6.71570217645019,10.7855943449554,-11369.4931655264,1981.54348771929,S7_31956171,7,96.48121012,4.62127096685523,S7_32940091,7,101.9471039,4.52076139027727,wet.te_fit_total_20_BP14
9@34.93,S9_6724364,9,34.93391023,10.2306215222355,17.2631844373883,10830.516691622,1492.01525934271,S9_5686516,9,31.99307473,8.44804946390422,S9_8182398,9,37.12013546,8.92953487424295,wet.te_fit_total_20_BP14
2@96.14,S2_44586954,2,96.05450929,7.84036633947935,12.3491372436499,10544.6538808404,1687.54712653494,S2_44209808,2,93.99718694,5.64275532142224,S2_44908249,2,97.68940295,6.00911107964721,wet.te_fit_total_21_BP14
5@109.54,S5_43706919,5,109.5147878,4.64546161834809,6.99851882478318,-8653.04420313999,1839.53368183111,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100413,wet.te_fit_total_21_BP14
7@99.94,S7_32133319,7,99.94477983,7.18640816852922,11.2159206461351,-14728.2554943995,2473.29394823975,S7_31956171,7,96.48121012,4.62127096685523,S7_32940091,7,101.9471039,4.52076139027727,wet.te_fit_total_21_BP14
9@34.94,S9_6724364,9,34.93391023,10.8629702233985,17.85577694145,13992.4214720409,1862.28176897647,S9_5686516,9,31.99307473,8.44804946390422,S9_8182398,9,37.12013546,8.92953487424295,wet.te_fit_total_21_BP14
2@96.15,S2_44586954,2,96.05450929,8.3771013585101,12.9370426540294,13157.841417656,2029.5190950505,S2_44209808,2,93.99718694,5.64275532142224,S2_44908249,2,97.68940295,6.00911107964721,wet.te_fit_total_22_BP14
5@109.55,S5_43706919,5,109.5147878,4.80092717267322,7.0534987765703,-10590.6173023887,2212.30487407517,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100413,wet.te_fit_total_22_BP14
7@99.95,S7_32133319,7,99.94477983,7.63333988383476,11.6660214493921,-18312.5301683568,2974.49310700568,S7_31956171,7,96.48121012,4.62127096685523,S7_32940091,7,101.9471039,4.52076139027727,wet.te_fit_total_22_BP14
9@34.95,S9_6724364,9,34.93391023,11.3080319666135,18.2026347014222,17223.5928856122,2239.66273360481,S9_5686516,9,31.99307473,8.44804946390422,S9_8182398,9,37.12013546,8.92953487424295,wet.te_fit_total_22_BP14
2@96.16,S2_44586954,2,96.05450929,8.8394439504498,13.4306939882325,15853.1212803187,2372.71215186985,S2_44209808,2,93.99718694,5.64275532142224,S2_44908249,2,97.68940295,6.00911107964721,wet.te_fit_total_23_BP14
