,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.1,S2_44586954,2,96.05450929,5.08506092867598,7.02909550380305,1073.83816379076,222.29828441533,1.90187049881604,2,84.60658262,1.41500197840824,1.74452522050944,2,114.5694173,1.30522901772036,wet.te_fit_day_17_BP14
2@106.3,S2_45980428,2,106.3362737,0.0484559600506884,0.0625144069925412,-101.703329584688,223.250331166701,1.90187049881604,2,84.60658262,1.41500197840824,1.74452522050944,2,114.5694173,1.30522901772036,wet.te_fit_day_17_BP14
5@109.7,S5_43714208,5,109.7001758,6.11437033297262,8.57359177417586,-1112.36455310982,208.5032069155,1.54164625552028,5,71.92483855,1.07768828401748,1.2069330110985,5,120.9842738,0.854111701728531,wet.te_fit_day_17_BP14
5@40.3,S5_5909140,5,40.32890934,2.26244416609006,3.00816865075984,649.749846982342,205.608987252522,1.54164625552028,5,71.92483855,1.07768828401748,1.2069330110985,5,120.9842738,0.854111701728531,wet.te_fit_day_17_BP14
5@79.0,S5_32800961,5,79.00989287,0.900028135932061,1.17465132525975,-383.470210185294,194.18878459072,1.54164625552028,5,71.92483855,1.07768828401748,1.2069330110985,5,120.9842738,0.854111701728531,wet.te_fit_day_17_BP14
6@73.8,S6_33052891,6,73.8397152,0.0529514963343658,0.0683183864809536,99.6373349549438,209.218604444262,0.401276174716031,6,0,0.212935439863957,1.17791614887892,6,92.0202595,0.938616672778507,wet.te_fit_day_17_BP14
6@59.4,S6_31006529,6,59.39487638,0.77706591006395,1.01247590835121,382.971149866139,208.891471037577,0.401276174716031,6,0,0.212935439863957,1.17791614887892,6,92.0202595,0.938616672778507,wet.te_fit_day_17_BP14
7@99.9,S7_32133319,7,99.94477983,6.73070696194873,9.51924116733549,-1429.86962129244,254.35616771543,4.1396091161763,7,94.85882286,2.77317138789306,3.71146932271608,7,101.9471039,2.51428499809703,wet.te_fit_day_17_BP14
7@51.2,S7_19532160,7,51.17962841,0.0783946268294855,0.101180162046219,-114.231547428887,197.099432208135,4.1396091161763,7,94.85882286,2.77317138789306,3.71146932271608,7,101.9471039,2.51428499809703,wet.te_fit_day_17_BP14
7@34.0,S7_17165775,7,34.01418423,1.95671246290704,2.59081123719287,-574.5478753262,195.90942748765,4.1396091161763,7,94.85882286,2.77317138789306,3.71146932271608,7,101.9471039,2.51428499809703,wet.te_fit_day_17_BP14
9@34.9,S9_6724364,9,34.93391023,9.41446436878572,13.8260772000902,1285.18661223477,189.698415188419,6.08973401578908,9,32.79210864,4.97856610524685,6.3490094088761,9,36.65100204,5.56954790103948,wet.te_fit_day_17_BP14
2@96.11,S2_44586954,2,96.05450929,5.73270824635841,7.4107268465747,1399.46332625988,271.628674007297,1.90187049881604,2,84.60658262,1.41500197840824,1.74452522050944,2,114.5694173,1.30522901772036,wet.te_fit_day_18_BP14
2@106.31,S2_45980428,2,106.3362737,0.0259887094875495,0.0310656494307651,-90.9970552461152,272.791990212585,1.90187049881604,2,84.60658262,1.41500197840824,1.74452522050944,2,114.5694173,1.30522901772036,wet.te_fit_day_18_BP14
5@109.71,S5_43714208,5,109.7001758,6.60392495516152,8.64113030869145,-1417.40194486375,254.772319857006,1.54164625552028,5,71.92483855,1.07768828401748,1.2069330110985,5,120.9842738,0.854111701728531,wet.te_fit_day_18_BP14
5@40.31,S5_5909140,5,40.32890934,2.68750955620311,3.33117648523389,867.832525579517,251.235841600288,1.54164625552028,5,71.92483855,1.07768828401748,1.2069330110985,5,120.9842738,0.854111701728531,wet.te_fit_day_18_BP14
5@79.01,S5_32800961,5,79.00989287,1.37186644649795,1.6701268832375,-580.355206503793,237.281372657451,1.54164625552028,5,71.92483855,1.07768828401748,1.2069330110985,5,120.9842738,0.854111701728531,wet.te_fit_day_18_BP14
6@73.81,S6_33052891,6,73.8397152,0.106686771985984,0.127667729323406,172.876466021721,255.646471821953,0.401276174716031,6,0,0.212935439863957,1.17791614887892,6,92.0202595,0.938616672778507,wet.te_fit_day_18_BP14
6@59.41,S6_31006529,6,59.39487638,0.891115458138589,1.07777775729872,501.510840005933,255.246743980079,0.401276174716031,6,0,0.212935439863957,1.17791614887892,6,92.0202595,0.938616672778507,wet.te_fit_day_18_BP14
7@99.91,S7_32133319,7,99.94477983,7.50941271255667,9.95108399866716,-1855.54921278933,310.800547758772,4.1396091161763,7,94.85882286,2.77317138789306,3.71146932271608,7,101.9471039,2.51428499809703,wet.te_fit_day_18_BP14
7@51.21,S7_19532160,7,51.17962841,0.19739772345428,0.23650844849459,-221.668361334907,240.837924409078,4.1396091161763,7,94.85882286,2.77317138789306,3.71146932271608,7,101.9471039,2.51428499809703,wet.te_fit_day_18_BP14
7@34.01,S7_17165775,7,34.01418423,1.94300737715788,2.3839485288353,-699.517817200081,239.383844791963,4.1396091161763,7,94.85882286,2.77317138789306,3.71146932271608,7,101.9471039,2.51428499809703,wet.te_fit_day_18_BP14
9@34.91,S9_6724364,9,34.93391023,10.2086808543216,14.0522721596475,1644.49284000392,231.794541799723,6.08973401578908,9,32.79210864,4.97856610524685,6.3490094088761,9,36.65100204,5.56954790103948,wet.te_fit_day_18_BP14
2@96.12,S2_44586954,2,96.05450929,6.21357984679069,7.55435852892656,1775.70524647093,329.944956675789,1.90187049881604,2,84.60658262,1.41500197840824,1.74452522050944,2,114.5694173,1.30522901772036,wet.te_fit_day_19_BP14
2@106.32,S2_45980428,2,106.3362737,0.00720686584592301,0.0080460274049372,-58.1994440465672,331.358026618999,1.90187049881604,2,84.60658262,1.41500197840824,1.74452522050944,2,114.5694173,1.30522901772036,wet.te_fit_day_19_BP14
5@109.72,S5_43714208,5,109.7001758,7.03703253735417,8.65433934585553,-1782.6483018552,309.469691830663,1.54164625552028,5,71.92483855,1.07768828401748,1.2069330110985,5,120.9842738,0.854111701728531,wet.te_fit_day_19_BP14
5@40.32,S5_5909140,5,40.32890934,3.09485330769386,3.60383538005822,1134.38516079347,305.173962856313,1.54164625552028,5,71.92483855,1.07768828401748,1.2069330110985,5,120.9842738,0.854111701728531,wet.te_fit_day_19_BP14
5@79.02,S5_32800961,5,79.00989287,1.81336868580708,2.07486252466183,-812.933044682405,288.223592400746,1.54164625552028,5,71.92483855,1.07768828401748,1.2069330110985,5,120.9842738,0.854111701728531,wet.te_fit_day_19_BP14
6@73.82,S6_33052891,6,73.8397152,0.186878120750862,0.209146634545853,278.074850053532,310.531516519299,0.401276174716031,6,0,0.212935439863957,1.17791614887892,6,92.0202595,0.938616672778507,wet.te_fit_day_19_BP14
6@59.42,S6_31006529,6,59.39487638,0.961313122528839,1.0872379444397,633.022255765958,310.045970632249,0.401276174716031,6,0,0.212935439863957,1.17791614887892,6,92.0202595,0.938616672778507,wet.te_fit_day_19_BP14
7@99.92,S7_32133319,7,99.94477983,8.2766149070007,10.3571593728207,-2379.02262941502,377.526686532086,4.1396091161763,7,94.85882286,2.77317138789306,3.71146932271608,7,101.9471039,2.51428499809703,wet.te_fit_day_19_BP14
7@51.22,S7_19532160,7,51.17962841,0.391898532477612,0.439818646512769,-379.890263288567,292.543704472471,4.1396091161763,7,94.85882286,2.77317138789306,3.71146932271608,7,101.9471039,2.51428499809703,wet.te_fit_day_19_BP14
7@34.02,S7_17165775,7,34.01418423,1.82165657954236,2.08458147475692,-822.054749733815,290.777446775174,4.1396091161763,7,94.85882286,2.77317138789306,3.71146932271608,7,101.9471039,2.51428499809703,wet.te_fit_day_19_BP14
9@34.92,S9_6724364,9,34.93391023,10.9821915220599,14.2785202254576,2083.24943975643,281.558787308807,6.08973401578908,9,32.79210864,4.97856610524685,6.3490094088761,9,36.65100204,5.56954790103948,wet.te_fit_day_19_BP14
2@96.13,S2_44586954,2,96.05450929,6.62059321275154,7.59334345517405,2001.70277190081,359.303074395441,1.90187049881604,2,84.60658262,1.41500197840824,1.74452522050944,2,114.5694173,1.30522901772036,wet.te_fit_day_20_BP14
2@106.33,S2_45980428,2,106.3362737,1.45042468844281e-05,1.51881489713901e-05,2.84309580823303,360.841877655374,1.90187049881604,2,84.60658262,1.41500197840824,1.74452522050944,2,114.5694173,1.30522901772036,wet.te_fit_day_20_BP14
5@109.73,S5_43714208,5,109.7001758,7.41663492164214,8.60149483185235,-1998.23546677777,337.005944346736,1.54164625552028,5,71.92483855,1.07768828401748,1.2069330110985,5,120.9842738,0.854111701728531,wet.te_fit_day_20_BP14
5@40.33,S5_5909140,5,40.32890934,3.50177249786347,3.84644023965188,1317.70606898768,332.327986414588,1.54164625552028,5,71.92483855,1.07768828401748,1.2069330110985,5,120.9842738,0.854111701728531,wet.te_fit_day_20_BP14
5@79.03,S5_32800961,5,79.00989287,2.25971888907543,2.44019349062918,-991.250075115369,313.869391750232,1.54164625552028,5,71.92483855,1.07768828401748,1.2069330110985,5,120.9842738,0.854111701728531,wet.te_fit_day_20_BP14
