,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.9,S2_44784129,2,96.94547802,5.98124511239714,9.87938872475048,2.45368753611188,0.456850153365934,S2_44257418,2,94.71205672,8.77675748060418,S2_45156658,2,100.2097111,8.59130234686257,wet.water_lost_17_BP14
5@109.7,S5_43714262,5,109.7001769,4.22159801734002,6.80496913702551,-2.23134179326982,0.500578940936514,S5_42719546,5,103.4003774,4.31863818366625,S5_44050206,5,115.8565285,4.11597993647954,wet.water_lost_17_BP14
7@51.2,S7_19532160,7,51.17962841,1.33553360687686,2.06925640069862,-1.13268471536712,0.460809518872653,S7_18223567,7,43.92895216,3.19837527342409,S7_19806344,7,52.34268693,3.12753772321721,wet.water_lost_17_BP14
7@99.9,S7_32133319,7,99.94477983,5.10042250698923,8.32211571780098,-3.35401204669957,0.680404689443619,S7_31429416,7,92.5060333,5.69365776441137,S7_32940091,7,101.9471039,4.45945163416008,wet.water_lost_17_BP14
9@34.9,S9_6724364,9,34.93391023,8.42479294512594,14.3992098928673,3.28554651000278,0.506708096095258,S9_6184858,9,32.79210864,9.58631908877596,S9_8182398,9,37.12013546,9.64680338000253,wet.water_lost_17_BP14
2@96.91,S2_44784129,2,96.94547802,6.88823039413266,10.957965213293,3.54411011073099,0.611024506106692,S2_44257418,2,94.71205672,8.77675748060418,S2_45156658,2,100.2097111,8.59130234686257,wet.water_lost_18_BP14
5@109.71,S5_43714262,5,109.7001769,4.58438788064738,7.06318791644164,-3.11775100707266,0.669510555922147,S5_42719546,5,103.4003774,4.31863818366625,S5_44050206,5,115.8565285,4.11597993647954,wet.water_lost_18_BP14
7@51.21,S7_19532160,7,51.17962841,1.73297852994836,2.56744072455529,-1.73037458251146,0.616320048497155,S7_18223567,7,43.92895216,3.19837527342409,S7_19806344,7,52.34268693,3.12753772321721,wet.water_lost_18_BP14
7@99.91,S7_32133319,7,99.94477983,5.57142739582425,8.70211993369092,-4.70379410006462,0.910022545153785,S7_31429416,7,92.5060333,5.69365776441137,S7_32940091,7,101.9471039,4.45945163416008,wet.water_lost_18_BP14
9@34.91,S9_6724364,9,34.93391023,9.0193403506948,14.7836878748737,4.56580867007059,0.677708132252439,S9_6184858,9,32.79210864,9.58631908877596,S9_8182398,9,37.12013546,9.64680338000253,wet.water_lost_18_BP14
2@96.92,S2_44784129,2,96.94547802,7.68143688577464,11.7851061411723,4.63623920572663,0.752731715523347,S2_44257418,2,94.71205672,8.77675748060418,S2_45156658,2,100.2097111,8.59130234686257,wet.water_lost_19_BP14
5@109.72,S5_43714262,5,109.7001769,4.9161661070094,7.25753152292741,-3.98650535283944,0.824781697433703,S5_42719546,5,103.4003774,4.31863818366625,S5_44050206,5,115.8565285,4.11597993647954,wet.water_lost_19_BP14
7@51.22,S7_19532160,7,51.17962841,2.15648700260482,3.06490263829469,-2.38481719378612,0.759255386290005,S7_18223567,7,43.92895216,3.19837527342409,S7_19806344,7,52.34268693,3.12753772321721,wet.water_lost_19_BP14
7@99.92,S7_32133319,7,99.94477983,6.05242363760253,9.0769722155982,-6.05986727485736,1.12107259976071,S7_31429416,7,92.5060333,5.69365776441137,S7_32940091,7,101.9471039,4.45945163416008,wet.water_lost_19_BP14
9@34.92,S9_6724364,9,34.93391023,9.62722174664638,15.1804487395619,5.83613674604601,0.834880434280695,S9_6184858,9,32.79210864,9.58631908877596,S9_8182398,9,37.12013546,9.64680338000253,wet.water_lost_19_BP14
2@96.93,S2_44784129,2,96.94547802,8.44106177330327,12.5200452899218,5.79197799040921,0.892295157237549,S2_44257418,2,94.71205672,8.77675748060418,S2_45156658,2,100.2097111,8.59130234686257,wet.water_lost_20_BP14
5@109.73,S5_43714262,5,109.7001769,5.20873886518094,7.38485913804495,-4.87409355502608,0.977703874064321,S5_42719546,5,103.4003774,4.31863818366625,S5_44050206,5,115.8565285,4.11597993647954,wet.water_lost_20_BP14
