,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.1,S2_44586954,2,96.05450929,7.76553319034219,13.4491594440774,3825.43581152369,615.48132950267,S2_44209808,2,93.99718694,7.79387895601333,S2_45043544,2,98.51301522,8.91521144463683,wet.sv_area_day_17_BP14
5@104.1,S5_42739726,5,104.1345531,7.01067056732577,12.014205006238,-4038.83455781441,687.527509062151,S5_31260652,5,76.16548797,4.02519012266335,S5_43769059,5,111.9145952,4.49167329261854,wet.sv_area_day_17_BP14
7@99.9,S7_32133319,7,99.94477983,5.43189051381558,9.10623419906142,-4637.30367095794,906.729329370097,S7_31956171,7,96.48121012,4.38634397067087,S7_32940091,7,101.9471039,3.92754622687471,wet.sv_area_day_17_BP14
9@34.9,S9_6724364,9,34.93391023,4.78342445950916,7.94738560990496,3269.30991126516,684.266822926683,S9_5497941,9,31.29811037,6.25063486666921,S9_8182398,9,37.12013546,5.89582135142805,wet.sv_area_day_17_BP14
2@96.11,S2_44586954,2,96.05450929,8.47509094147022,14.4869834705334,5511.62703030956,844.624855502824,S2_44209808,2,93.99718694,7.79387895601333,S2_45043544,2,98.51301522,8.91521144463683,wet.sv_area_day_18_BP14
5@104.11,S5_42739726,5,104.1345531,6.66540575651322,11.1083972370558,-5391.27811987295,943.493807464581,S5_31260652,5,76.16548797,4.02519012266335,S5_43769059,5,111.9145952,4.49167329261854,wet.sv_area_day_18_BP14
7@99.91,S7_32133319,7,99.94477983,5.76862908166045,9.4945474526141,-6573.41050172838,1244.30440386912,S7_31956171,7,96.48121012,4.38634397067087,S7_32940091,7,101.9471039,3.92754622687471,wet.sv_area_day_18_BP14
9@34.91,S9_6724364,9,34.93391023,5.37937071568362,8.80614377612039,4777.42992107518,939.019168797254,S9_5497941,9,31.29811037,6.25063486666921,S9_8182398,9,37.12013546,5.89582135142805,wet.sv_area_day_18_BP14
2@96.12,S2_44586954,2,96.05450929,9.09123756595459,15.3036885527224,7654.31365963868,1127.63093285032,S2_44209808,2,93.99718694,7.79387895601333,S2_45043544,2,98.51301522,8.91521144463683,wet.sv_area_day_19_BP14
5@104.12,S5_42739726,5,104.1345531,6.66889655299878,10.8510427792355,-7199.77840194605,1259.62762677214,S5_31260652,5,76.16548797,4.02519012266335,S5_43769059,5,111.9145952,4.49167329261854,wet.sv_area_day_19_BP14
