,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.1,S2_44586954,2,96.05450929,4.4282199312474,7.18239105311603,3250.31323992001,722.036789110628,1.89158886877249,2,84.60658262,1.59079171056109,1.71608073048969,2,114.5694173,1.5235425638038,wet.ma_te_fit_total_17_BP14
3@47.4,S3_7345986,3,47.38986671,0.786077454539569,1.21291029929579,1349.27921273151,729.383812339534,1.24050625366283,3,45.16807388,0.861030312480426,1.53373403762851,3,57.64133659,1.08562312453244,wet.ma_te_fit_total_17_BP14
5@109.7,S5_43714208,5,109.7001758,4.48757143784378,7.28462821362338,-3942.11544553636,869.549431730959,1.39232075373138,5,71.92483855,0.915559929371732,1.53245819360541,5,116.340362,1.24420700601751,wet.ma_te_fit_total_17_BP14
5@80.0,S5_33184214,5,79.95790853,0.16690833444142,0.255382632899057,-698.515447016147,822.903609729576,1.39232075373138,5,71.92483855,0.915559929371732,1.53245819360541,5,116.340362,1.24420700601751,wet.ma_te_fit_total_17_BP14
5@39.1,S5_5738550,5,39.12975592,1.06308694844128,1.64652526551401,1844.08692716122,855.590241105501,1.39232075373138,5,71.92483855,0.915559929371732,1.53245819360541,5,116.340362,1.24420700601751,wet.ma_te_fit_total_17_BP14
6@59.4,S6_31006529,6,59.39487638,0.872261434133311,1.34746929290327,1436.88534949349,736.938610417514,0.337231287924055,6,0,0.222296737130317,1.17599839037939,6,92.0202595,1.02314425965237,wet.ma_te_fit_total_17_BP14
7@99.9,S7_32133319,7,99.94477983,5.23594756331616,8.5879620941675,-5312.98079966552,1079.34881699349,3.88378680640426,7,96.48121012,3.30872970321096,3.49774591641801,7,101.9471039,3.0977202388945,wet.ma_te_fit_total_17_BP14
7@51.2,S7_19532160,7,51.17962841,0.00781822076575622,0.0119367218201916,149.352736013141,813.840464365388,3.88378680640426,7,96.48121012,3.30872970321096,3.49774591641801,7,101.9471039,3.0977202388945,wet.ma_te_fit_total_17_BP14
7@33.2,S7_16511236,7,33.24039283,2.22386828210294,3.49935064807377,-2509.07955582705,798.526500136561,3.88378680640426,7,96.48121012,3.30872970321096,3.49774591641801,7,101.9471039,3.0977202388945,wet.ma_te_fit_total_17_BP14
9@34.9,S9_6724364,9,34.93391023,6.77831652008048,11.3588768115134,4557.64192939648,805.083896671961,6.08860063865393,9,32.79210864,5.38528767150648,6.91163176334362,9,36.4077051,6.01966333541177,wet.ma_te_fit_total_17_BP14
2@96.11,S2_44586954,2,96.05450929,5.77102180264859,8.53610054597931,4707.98647475146,907.647529067215,1.89158886877249,2,84.60658262,1.59079171056109,1.71608073048969,2,114.5694173,1.5235425638038,wet.ma_te_fit_total_18_BP14
3@47.41,S3_7345986,3,47.38986671,1.03185627992172,1.4299490005878,1946.53633144333,916.883218411978,1.24050625366283,3,45.16807388,0.861030312480426,1.53373403762851,3,57.64133659,1.08562312453244,wet.ma_te_fit_total_18_BP14
5@109.71,S5_43714208,5,109.7001758,5.35149656453195,7.86959393122458,-5443.98044631644,1093.08058123266,1.39232075373138,5,71.92483855,0.915559929371732,1.53245819360541,5,116.340362,1.24420700601751,wet.ma_te_fit_total_18_BP14
5@80.01,S5_33184214,5,79.95790853,0.392326272019744,0.538982534923825,-1348.28726659426,1034.44372820885,1.39232075373138,5,71.92483855,0.915559929371732,1.53245819360541,5,116.340362,1.24420700601751,wet.ma_te_fit_total_18_BP14
5@39.11,S5_5738550,5,39.12975592,1.39574476566312,1.94383588525692,2662.20649923503,1075.53296444905,1.39232075373138,5,71.92483855,0.915559929371732,1.53245819360541,5,116.340362,1.24420700601751,wet.ma_te_fit_total_18_BP14
6@59.41,S6_31006529,6,59.39487638,1.21609264997158,1.68949629355006,2137.74575186468,926.380094348905,0.337231287924055,6,0,0.222296737130317,1.17599839037939,6,92.0202595,1.02314425965237,wet.ma_te_fit_total_18_BP14
7@99.91,S7_32133319,7,99.94477983,6.33409898225566,9.44265977868257,-7402.10276611036,1356.8121479689,3.88378680640426,7,96.48121012,3.30872970321096,3.49774591641801,7,101.9471039,3.0977202388945,wet.ma_te_fit_total_18_BP14
7@51.21,S7_19532160,7,51.17962841,0.00287136999586224,0.00392395035444082,-113.775080279435,1023.05076095365,3.88378680640426,7,96.48121012,3.30872970321096,3.49774591641801,7,101.9471039,3.0977202388945,wet.ma_te_fit_total_18_BP14
7@33.21,S7_16511236,7,33.24039283,2.47246518643144,3.4944008838302,-3331.36191068186,1003.80010502843,3.88378680640426,7,96.48121012,3.30872970321096,3.49774591641801,7,101.9471039,3.0977202388945,wet.ma_te_fit_total_18_BP14
