,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
1,S9_6501061,9,33.93753996,3.04059632316275,12.7110449137321,1763.06791038733,0,S9_4505809,1,29.42213919,2.32870455489002,S9_7478538,1,36.4077051,2.27024968429735,dry.sv_area_day_17_BP14
2,S9_6501061,9,33.93753996,5.75332121434646,14.1243828621244,2320.08216655794,0,S9_4505809,1,29.42213919,2.32870455489002,S9_7478538,1,36.4077051,2.27024968429735,dry.sv_area_day_18_BP14
3,S9_6501061,9,33.93753996,6.36713002677691,15.5081931826007,2994.47955423218,0,S9_4505809,1,29.42213919,2.32870455489002,S9_7478538,1,36.4077051,2.27024968429735,dry.sv_area_day_19_BP14
4,S9_6501061,9,33.93753996,6.93774042074336,16.7746064998064,3774.75595258321,0,S9_4505809,1,29.42213919,2.32870455489002,S9_7478538,1,36.4077051,2.27024968429735,dry.sv_area_day_20_BP14
5,S9_6501061,9,33.93753996,7.43528078057846,17.8633468522435,4657.43670501599,0,S9_4505809,1,29.42213919,2.32870455489002,S9_7478538,1,36.4077051,2.27024968429735,dry.sv_area_day_21_BP14
6,S9_6501061,9,33.93753996,7.92405767078965,18.9190408883941,5663.67542358661,0,S9_4505809,1,29.42213919,2.32870455489002,S9_7478538,1,36.4077051,2.27024968429735,dry.sv_area_day_22_BP14
7,S9_6501061,9,33.93753996,8.1791709307161,19.4646517440266,6810.92595739557,0,S9_4505809,1,29.42213919,2.32870455489002,S9_7478538,1,36.4077051,2.27024968429735,dry.sv_area_day_23_BP14
8,S9_6501061,9,33.93753996,8.29891144409278,19.7194732692236,7983.84508522822,0,S9_4505809,1,29.42213919,2.32870455489002,S9_7478538,1,36.4077051,2.27024968429735,dry.sv_area_day_24_BP14
9,S9_6501061,9,33.93753996,8.22943314013156,19.5717138350122,9065.49465799921,0,S9_4505809,1,29.42213919,2.32870455489002,S9_7478538,1,36.4077051,2.27024968429735,dry.sv_area_day_25_BP14
10,S9_6501061,9,33.93753996,7.91149839842413,18.8920851040017,9949.26159833919,0,S9_4505809,1,29.42213919,2.32870455489002,S9_7478538,1,36.4077051,2.27024968429735,dry.sv_area_day_26_BP14
11,S9_6501061,9,33.93753996,7.3072555937193,17.5845647801845,10466.5262257144,0,S9_4505809,1,29.42213919,2.32870455489002,S9_7478538,1,36.4077051,2.27024968429735,dry.sv_area_day_27_BP14
12,S9_6501061,9,33.93753996,6.48881603222036,15.7798699563266,10653.8226772541,0,S9_4505809,1,29.42213919,2.32870455489002,S9_7478538,1,36.4077051,2.27024968429735,dry.sv_area_day_28_BP14
13,S9_6501061,9,33.93753996,5.53771199941414,13.6329396418762,10581.2786054411,0,S9_4505809,1,29.42213919,2.32870455489002,S9_7478538,1,36.4077051,2.27024968429735,dry.sv_area_day_29_BP14
14,S9_6501061,9,33.93753996,4.49351960962424,11.2128022376619,10211.8157823383,0,S9_4505809,1,29.42213919,2.32870455489002,S9_7478538,1,36.4077051,2.27024968429735,dry.sv_area_day_30_BP14
15,S9_6501061,9,33.93753996,3.03854340422757,8.13096154686727,9044.29069111846,0,S9_4505809,1,29.42213919,2.32870455489002,S9_7478538,1,36.4077051,2.27024968429735,dry.sv_area_day_31_BP14
16,S9_6501061,9,33.93753996,2.2227691841447,6.05080597071437,8321.88934223661,0,S9_4505809,1,29.42213919,2.32870455489002,S9_7478538,1,36.4077051,2.27024968429735,dry.sv_area_day_32_BP14
17,S9_6501061,9,33.93753996,1.34703748462356,4.24525261069694,7195.04299766668,0,S9_4505809,1,29.42213919,2.32870455489002,S9_7478538,1,36.4077051,2.27024968429735,dry.sv_area_day_33_BP14
