,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.9,S2_44752288,2,96.94547487,4.31112574224487,7.15862242336161,4.21620024248434,0.94408564897222,2.04287532645924,2,85.66812681,1.80709826519787,1.71608073048969,2,114.5694173,1.5745801871268,wet.water_lost_total_17_BP14
3@47.4,S3_7345986,3,47.38986671,0.93902027271346,1.48882192441305,1.94579751963506,0.95539103772324,1.08339936221603,3,45.16807388,0.859230839497119,1.03965500678993,3,111.6015536,0.740267922352235,wet.water_lost_total_17_BP14
5@109.7,S5_43714208,5,109.7001758,4.34281340502873,7.21439595881914,-4.75707921737857,1.06107306817055,1.97735635940001,5,78.29328827,1.44076295871542,1.69401944751871,5,116.340362,1.34800129047327,wet.water_lost_total_17_BP14
6@59.4,S6_31006529,6,59.39487638,1.07565140959893,1.70862479982774,2.11041187812287,0.967272331403001,0.337231287923942,6,0,0.232811761723981,1.16769162523985,6,92.0202595,1.03030753581195,wet.water_lost_total_17_BP14
7@99.9,S7_32133319,7,99.94477983,4.91084367007491,8.22235170950187,-6.7358118824428,1.40733283398641,3.88378680640437,7,96.48121012,3.37919906130235,3.49774591641813,7,101.9471039,3.08524451174592,wet.water_lost_total_17_BP14
7@51.2,S7_19532160,7,51.17962841,0.00438061321095518,0.00685793092979736,-0.14734238259016,1.06594802738219,3.88378680640437,7,96.48121012,3.37919906130235,3.49774591641813,7,101.9471039,3.08524451174592,wet.water_lost_total_17_BP14
7@33.2,S7_16511236,7,33.24039283,2.01478154124407,3.24164872782862,-3.13401832645246,1.04285385538661,3.88378680640437,7,96.48121012,3.37919906130235,3.49774591641813,7,101.9471039,3.08524451174592,wet.water_lost_total_17_BP14
9@34.9,S9_6724364,9,34.93391023,6.45225086154072,11.0369932481948,5.86935607304749,1.05844906666886,6.21102825843968,9,32.79210864,5.45856765372918,7.09959265122279,9,36.4077051,6.12881573429191,wet.water_lost_total_17_BP14
2@96.91,S2_44752288,2,96.94547487,5.64051525445648,8.61756261653517,7.59778842166587,1.47372190292205,2.04287532645924,2,85.66812681,1.80709826519787,1.71608073048969,2,114.5694173,1.5745801871268,wet.water_lost_total_18_BP14
3@47.41,S3_7345986,3,47.38986671,1.20655621754248,1.73431529795154,3.4492825078101,1.49136966511562,1.08339936221603,3,45.16807388,0.859230839497119,1.03965500678993,3,111.6015536,0.740267922352235,wet.water_lost_total_18_BP14
5@109.71,S5_43714208,5,109.7001758,5.35080675326875,8.14213877005783,-8.30038271076833,1.65633978534256,1.97735635940001,5,78.29328827,1.44076295871542,1.69401944751871,5,116.340362,1.34800129047327,wet.water_lost_total_18_BP14
6@59.41,S6_31006529,6,59.39487638,1.49797197258771,2.16176686839557,3.89885217196213,1.50991641746799,0.337231287923942,6,0,0.232811761723981,1.16769162523985,6,92.0202595,1.03030753581195,wet.water_lost_total_18_BP14
