,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.1,S2_44586954,2,96.05450929,4.07951817170227,7.55368801000598,3305.91620534114,752.901187595944,S2_44209808,2,93.99718694,6.55805963219194,S2_45156658,2,100.2097111,5.91893986736864,wet.ma_te_fit_total_17_BP14
5@109.7,S5_43714208,5,109.7001758,3.1350134158434,5.72984921990086,-3157.49185692141,825.65060743036,S5_42251884,5,101.3829046,2.71785744064902,S5_44003086,5,115.1315049,2.9139235248493,wet.ma_te_fit_total_17_BP14
7@99.9,S7_32133319,7,99.94477983,4.5048495786009,8.39036565979933,-5114.65942127765,1105.22815102652,S7_31956171,7,96.48121012,5.57779280511062,S7_32940091,7,101.9471039,5.39873619762048,wet.ma_te_fit_total_17_BP14
9@34.9,S9_6724364,9,34.93391023,6.94844569651107,13.3885592366724,4868.9215351161,832.897418346398,S9_6184858,9,32.79210864,10.7908680096742,S9_7478538,9,36.4077051,10.0048294291933,wet.ma_te_fit_total_17_BP14
2@96.11,S2_44586954,2,96.05450929,5.21233437393389,9.11796028924539,4825.87335011794,964.73643756897,S2_44209808,2,93.99718694,6.55805963219194,S2_45156658,2,100.2097111,5.91893986736864,wet.ma_te_fit_total_18_BP14
5@109.71,S5_43714208,5,109.7001758,3.70887587015681,6.35456447331863,-4418.02622713948,1057.9545348207,S5_42251884,5,101.3829046,2.71785744064902,S5_44003086,5,115.1315049,2.9139235248493,wet.ma_te_fit_total_18_BP14
7@99.91,S7_32133319,7,99.94477983,5.37205742931477,9.41820336712662,-7199.87671377296,1416.19363428935,S7_31956171,7,96.48121012,5.57779280511062,S7_32940091,7,101.9471039,5.39873619762048,wet.ma_te_fit_total_18_BP14
9@34.91,S9_6724364,9,34.93391023,8.11233603103353,14.7768894636504,6796.2933790546,1067.24029855976,S9_6184858,9,32.79210864,10.7908680096742,S9_7478538,9,36.4077051,10.0048294291933,wet.ma_te_fit_total_18_BP14
2@96.12,S2_44586954,2,96.05450929,6.27854481511585,10.4421816892718,6808.18885935283,1230.93116063782,S2_44209808,2,93.99718694,6.55805963219194,S2_45156658,2,100.2097111,5.91893986736864,wet.ma_te_fit_total_19_BP14
5@109.72,S5_43714208,5,109.7001758,4.22224599027296,6.82485254550749,-6035.88463936,1349.87044412925,S5_42251884,5,101.3829046,2.71785744064902,S5_44003086,5,115.1315049,2.9139235248493,wet.ma_te_fit_total_19_BP14
7@99.92,S7_32133319,7,99.94477983,6.19770977698757,10.2961437276917,-9924.01075097721,1806.95660084784,S7_31956171,7,96.48121012,5.57779280511062,S7_32940091,7,101.9471039,5.39873619762048,wet.ma_te_fit_total_19_BP14
9@34.92,S9_6724364,9,34.93391023,9.21703446553414,15.9739703753358,9315.28063143836,1361.71838051023,S9_6184858,9,32.79210864,10.7908680096742,S9_7478538,9,36.4077051,10.0048294291933,wet.ma_te_fit_total_19_BP14
2@96.13,S2_44586954,2,96.05450929,7.10883027002125,11.4214043293447,9078.91459829729,1533.73649910466,S2_44209808,2,93.99718694,6.55805963219194,S2_45156658,2,100.2097111,5.91893986736864,wet.ma_te_fit_total_20_BP14
5@109.73,S5_43714208,5,109.7001758,4.58246808385775,7.10833376852334,-7854.46133536365,1681.93448620707,S5_42251884,5,101.3829046,2.71785744064902,S5_44003086,5,115.1315049,2.9139235248493,wet.ma_te_fit_total_20_BP14
7@99.93,S7_32133319,7,99.94477983,6.78840693597452,10.8578863073444,-12994.5360621786,2251.46245349935,S7_31956171,7,96.48121012,5.57779280511062,S7_32940091,7,101.9471039,5.39873619762048,wet.ma_te_fit_total_20_BP14
9@34.93,S9_6724364,9,34.93391023,10.0101804734463,16.752860562884,12163.881998446,1696.69697906424,S9_6184858,9,32.79210864,10.7908680096742,S9_7478538,9,36.4077051,10.0048294291933,wet.ma_te_fit_total_20_BP14
2@96.14,S2_44586954,2,96.05450929,7.77502069697508,12.1650748071584,11757.4948480361,1890.4044970786,S2_44209808,2,93.99718694,6.55805963219194,S2_45156658,2,100.2097111,5.91893986736864,wet.ma_te_fit_total_21_BP14
5@109.74,S5_43714208,5,109.7001758,4.85703560372614,7.29677043327257,-9985.75874214991,2073.0656917753,S5_42251884,5,101.3829046,2.71785744064902,S5_44003086,5,115.1315049,2.9139235248493,wet.ma_te_fit_total_21_BP14
7@99.94,S7_32133319,7,99.94477983,7.26653211126375,11.2888011725902,-16626.2870088521,2775.03648741709,S7_31956171,7,96.48121012,5.57779280511062,S7_32940091,7,101.9471039,5.39873619762048,wet.ma_te_fit_total_21_BP14
9@34.94,S9_6724364,9,34.93391023,10.6375458160435,17.3297463291038,15524.1218086928,2091.26117900636,S9_6184858,9,32.79210864,10.7908680096742,S9_7478538,9,36.4077051,10.0048294291933,wet.ma_te_fit_total_21_BP14
2@96.15,S2_44586954,2,96.05450929,8.31618248212645,12.7517607837678,14582.5983215485,2258.46937822966,S2_44209808,2,93.99718694,6.55805963219194,S2_45156658,2,100.2097111,5.91893986736864,wet.ma_te_fit_total_22_BP14
5@109.75,S5_43714208,5,109.7001758,5.03240381019601,7.37095142487906,-12158.2181629279,2476.69500954342,S5_42251884,5,101.3829046,2.71785744064902,S5_44003086,5,115.1315049,2.9139235248493,wet.ma_te_fit_total_22_BP14
7@99.95,S7_32133319,7,99.94477983,7.71998838631728,11.7389408080307,-20538.9504511474,3315.34067972593,S7_31956171,7,96.48121012,5.57779280511062,S7_32940091,7,101.9471039,5.39873619762048,wet.ma_te_fit_total_22_BP14
9@34.95,S9_6724364,9,34.93391023,11.0810577438953,17.6686215894355,18989.114068078,2498.43318822255,S9_6184858,9,32.79210864,10.7908680096742,S9_7478538,9,36.4077051,10.0048294291933,wet.ma_te_fit_total_22_BP14
2@96.16,S2_44586954,2,96.05450929,8.78570988849848,13.2457161989561,17534.3931708579,2633.35482090747,S2_44209808,2,93.99718694,6.55805963219194,S2_45156658,2,100.2097111,5.91893986736864,wet.ma_te_fit_total_23_BP14
5@109.76,S5_43714208,5,109.7001758,5.22213238114007,7.49068963696757,-14460.1314786296,2887.80392869928,S5_42251884,5,101.3829046,2.71785744064902,S5_44003086,5,115.1315049,2.9139235248493,wet.ma_te_fit_total_23_BP14
