,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
1@41.9,S1_7184697,1,41.87860783,0.369679156055867,1.5264395956939,-4.02987812234074,3.13733266890602,S1_3090020,1,17.48231934,0.423614473246007,S1_36889798,1,85.71320528,0.372311983387343,dry.wue_day_17_BP14
9@7.7,S9_823427,9,7.668729814,0.0991742076757367,0.4070263721916,2.49785848529465,3.76586742668933,2,9,0.370690221,0.674955575899866,20,9,19.90209146,0.599556603605797,dry.wue_day_17_BP14
9@33.9,S9_6368482,9,33.93753786,1.51346325162727,6.41223086804043,10.6282189161341,4.03705241067487,S9_4005852,9,26.89565247,0.643547466724271,S9_9022705,9,39.59727801,1.02822685864937,dry.wue_day_17_BP14
1@41.91,S1_7184697,1,41.87860783,0.0531112034949546,0.123665206512181,-1.39332172996617,2.84926618565275,S1_3090020,1,17.48231934,0.423614473246007,S1_36889798,1,85.71320528,0.372311983387343,dry.wue_day_18_BP14
9@7.71,S9_823427,9,7.668729814,0.104668595904973,0.243878880471904,2.35508688247612,3.42945583527674,2,9,0.370690221,0.674955575899866,20,9,19.90209146,0.599556603605797,dry.wue_day_18_BP14
9@33.91,S9_6368482,9,33.93753786,4.69920608537873,11.6430672703693,15.1200091979133,3.18657195235279,S9_4005852,9,26.89565247,0.643547466724271,S9_9022705,9,39.59727801,1.02822685864937,dry.wue_day_18_BP14
1@41.92,S1_7184697,1,41.87860783,0.0145836985173586,0.0336047623215947,-0.696773736518452,2.7198399359396,S1_3090020,1,17.48231934,0.423614473246007,S1_36889798,1,85.71320528,0.372311983387343,dry.wue_day_19_BP14
9@7.72,S9_823427,9,7.668729814,0.0293442388960425,0.0676302260308468,1.18974521884484,3.27367481013007,2,9,0.370690221,0.674955575899866,20,9,19.90209146,0.599556603605797,dry.wue_day_19_BP14
9@33.92,S9_6368482,9,33.93753786,5.18357817531681,12.8000066859502,15.2085273063408,3.04182378550518,S9_4005852,9,26.89565247,0.643547466724271,S9_9022705,9,39.59727801,1.02822685864937,dry.wue_day_19_BP14
1@41.93,S1_7184697,1,41.87860783,0.00598536336656608,0.0137725288975279,-0.448448977488417,2.7326115473963,S1_3090020,1,17.48231934,0.423614473246007,S1_36889798,1,85.71320528,0.372311983387343,dry.wue_day_20_BP14
9@7.73,S9_823427,9,7.668729814,4.7594667090145e-05,0.000109508376123557,-0.0481306860157448,3.28904707603368,2,9,0.370690221,0.674955575899866,20,9,19.90209146,0.599556603605797,dry.wue_day_20_BP14
9@33.93,S9_6368482,9,33.93753786,5.28432105596507,13.0497299164487,15.4382354063703,3.05610734351712,S9_4005852,9,26.89565247,0.643547466724271,S9_9022705,9,39.59727801,1.02822685864937,dry.wue_day_20_BP14
1@41.94,S1_7184697,1,41.87860783,0.0477770324722018,0.113790950862679,-1.38202864337883,2.97987107740345,S1_3090020,1,17.48231934,0.423614473246007,S1_36889798,1,85.71320528,0.372311983387343,dry.wue_day_21_BP14
9@7.74,S9_823427,9,7.668729814,0.00788021924405058,0.0187584752932572,-0.67538924259927,3.58665550668178,2,9,0.370690221,0.674955575899866,20,9,19.90209146,0.599556603605797,dry.wue_day_21_BP14
9@33.94,S9_6368482,9,33.93753786,3.97263910584509,9.9706700120498,14.4682517742607,3.33263829286829,S9_4005852,9,26.89565247,0.643547466724271,S9_9022705,9,39.59727801,1.02822685864937,dry.wue_day_21_BP14
1@41.95,S1_7184697,1,41.87860783,0.171698110387257,0.417761462087329,-2.84044437528112,3.22802790320911,S1_3090020,1,17.48231934,0.423614473246007,S1_36889798,1,85.71320528,0.372311983387343,dry.wue_day_22_BP14
9@7.75,S9_823427,9,7.668729814,0.0421984470401453,0.102497842855364,-1.69344717808333,3.88534394744886,2,9,0.370690221,0.674955575899866,20,9,19.90209146,0.599556603605797,dry.wue_day_22_BP14
9@33.95,S9_6368482,9,33.93753786,3.09342223268199,7.82554321800609,13.7489665063295,3.61017276292907,S9_4005852,9,26.89565247,0.643547466724271,S9_9022705,9,39.59727801,1.02822685864937,dry.wue_day_22_BP14
1@41.96,S1_7184697,1,41.87860783,0.137380037668076,0.344809175010264,-2.78768084808609,3.54253106454943,S1_3090020,1,17.48231934,0.423614473246007,S1_36889798,1,85.71320528,0.372311983387343,dry.wue_day_23_BP14
9@7.76,S9_823427,9,7.668729814,0.000249004122385266,0.000623840219716065,0.1427192386999,4.26388867847561,2,9,0.370690221,0.674955575899866,20,9,19.90209146,0.599556603605797,dry.wue_day_23_BP14
9@33.96,S9_6368482,9,33.93753786,1.95064245690318,5.01535747774485,11.8903680181826,3.96190787209499,S9_4005852,9,26.89565247,0.643547466724271,S9_9022705,9,39.59727801,1.02822685864937,dry.wue_day_23_BP14
1@41.97,S1_7184697,1,41.87860783,0.44984368365245,1.15934441530595,-5.00806845446598,3.50972288601133,S1_3090020,1,17.48231934,0.423614473246007,S1_36889798,1,85.71320528,0.372311983387343,dry.wue_day_24_BP14
9@7.77,S9_823427,9,7.668729814,0.00368251827871635,0.00943472072439944,0.543776874709761,4.22439984450887,2,9,0.370690221,0.674955575899866,20,9,19.90209146,0.599556603605797,dry.wue_day_24_BP14
9@33.97,S9_6368482,9,33.93753786,0.797015984833189,2.06356716614249,7.47246740213616,3.92521575043091,S9_4005852,9,26.89565247,0.643547466724271,S9_9022705,9,39.59727801,1.02822685864937,dry.wue_day_24_BP14
1@41.98,S1_7184697,1,41.87860783,0.922869221101251,2.4030111053988,-7.0504841821164,3.4388945754373,S1_3090020,1,17.48231934,0.423614473246007,S1_36889798,1,85.71320528,0.372311983387343,dry.wue_day_25_BP14
9@7.78,S9_823427,9,7.668729814,0.106643156524325,0.27469262618004,2.86917306198188,4.13914892473731,2,9,0.370690221,0.674955575899866,20,9,19.90209146,0.599556603605797,dry.wue_day_25_BP14
9@33.98,S9_6368482,9,33.93753786,0.0773686679283117,0.199209854049964,2.27032048349623,3.8460025449241,S9_4005852,9,26.89565247,0.643547466724271,S9_9022705,9,39.59727801,1.02822685864937,dry.wue_day_25_BP14
1@41.99,S1_7184697,1,41.87860783,0.80360238831434,2.0680142283929,-6.38084454689921,3.33788662348128,S1_3090020,1,17.48231934,0.423614473246007,S1_36889798,1,85.71320528,0.372311983387343,dry.wue_day_26_BP14
9@7.79,S9_823427,9,7.668729814,0.530737161470679,1.36087737865336,6.23021581468142,4.0175729512501,2,9,0.370690221,0.674955575899866,20,9,19.90209146,0.599556603605797,dry.wue_day_26_BP14
9@33.99,S9_6368482,9,33.93753786,0.206658403556929,0.527627006887188,-3.60458786890114,3.73303693002705,S9_4005852,9,26.89565247,0.643547466724271,S9_9022705,9,39.59727801,1.02822685864937,dry.wue_day_26_BP14
1@41.910,S1_7184697,1,41.87860783,0.791449932181954,1.9343657827817,-6.09675112493658,3.21392556272291,S1_3090020,1,17.48231934,0.423614473246007,S1_36889798,1,85.71320528,0.372311983387343,dry.wue_day_27_BP14
9@7.710,S9_823427,9,7.668729814,0.576179816360157,1.40421070501713,6.25226671884823,3.86836997916362,2,9,0.370690221,0.674955575899866,20,9,19.90209146,0.599556603605797,dry.wue_day_27_BP14
9@33.910,S9_6368482,9,33.93753786,2.20835423389339,5.50023057890545,-11.4976827118212,3.59440093968484,S9_4005852,9,26.89565247,0.643547466724271,S9_9022705,9,39.59727801,1.02822685864937,dry.wue_day_27_BP14
1@41.911,S1_7184697,1,41.87860783,0.704098360567235,1.61718484738589,-5.90978360801228,3.30488095727852,S1_3090020,1,17.48231934,0.423614473246007,S1_36889798,1,85.71320528,0.372311983387343,dry.wue_day_28_BP14
9@7.711,S9_823427,9,7.668729814,0.520801714393269,1.19328027190004,6.11019637234639,3.9778464156508,2,9,0.370690221,0.674955575899866,20,9,19.90209146,0.599556603605797,dry.wue_day_28_BP14
9@33.911,S9_6368482,9,33.93753786,4.72047426973381,11.4411771941282,-17.5799569993992,3.69612394144071,S9_4005852,9,26.89565247,0.643547466724271,S9_9022705,9,39.59727801,1.02822685864937,dry.wue_day_28_BP14
1@41.912,S1_7184697,1,41.87860783,0.635406274986595,1.41073201906059,-6.20890060254876,3.65668743952405,S1_3090020,1,17.48231934,0.423614473246007,S1_36889798,1,85.71320528,0.372311983387343,dry.wue_day_29_BP14
9@7.712,S9_823427,9,7.668729814,0.645320581614284,1.43293232672954,7.53177740092627,4.40129045871717,2,9,0.370690221,0.674955575899866,20,9,19.90209146,0.599556603605797,dry.wue_day_29_BP14
9@33.912,S9_6368482,9,33.93753786,5.97277284946591,14.2459205583322,-22.0662436824737,4.0895784647929,S9_4005852,9,26.89565247,0.643547466724271,S9_9022705,9,39.59727801,1.02822685864937,dry.wue_day_29_BP14
1@41.913,S1_7184697,1,41.87860783,0.563908451211164,1.2396219560619,-6.75704146499386,4.22626924748445,S1_3090020,1,17.48231934,0.423614473246007,S1_36889798,1,85.71320528,0.372311983387343,dry.wue_day_30_BP14
9@7.713,S9_823427,9,7.668729814,0.686558297494746,1.51169753503582,8.98124610011778,5.0868549260924,2,9,0.370690221,0.674955575899866,20,9,19.90209146,0.599556603605797,dry.wue_day_30_BP14
9@33.913,S9_6368482,9,33.93753786,6.3534131732264,15.0962221632562,-26.3716193548487,4.72658929339023,S9_4005852,9,26.89565247,0.643547466724271,S9_9022705,9,39.59727801,1.02822685864937,dry.wue_day_30_BP14
1@41.914,S1_7184697,1,41.87860783,0.668237464202422,1.59860018908909,-9.07874091994141,5.21480766627805,S1_3090020,1,17.48231934,0.423614473246007,S1_36889798,1,85.71320528,0.372311983387343,dry.wue_day_31_BP14
9@7.714,S9_823427,9,7.668729814,0.922967289551169,2.21587307230833,12.66984231867,6.18132206929438,2,9,0.370690221,0.674955575899866,20,9,19.90209146,0.599556603605797,dry.wue_day_31_BP14
9@33.914,S9_6368482,9,33.93753786,4.37084613234412,11.0173609281918,-27.3112977644625,5.97566374123149,S9_4005852,9,26.89565247,0.643547466724271,S9_9022705,9,39.59727801,1.02822685864937,dry.wue_day_31_BP14
1@41.915,S1_7184697,1,41.87860783,0.508580169627516,1.2821257625043,-10.6511550582784,7.02107628781645,S1_3090020,1,17.48231934,0.423614473246007,S1_36889798,1,85.71320528,0.372311983387343,dry.wue_day_32_BP14
9@7.715,S9_823427,9,7.668729814,0.815036271514247,2.06358595565198,15.989529700871,8.30800418211719,2,9,0.370690221,0.674955575899866,20,9,19.90209146,0.599556603605797,dry.wue_day_32_BP14
9@33.915,S9_6368482,9,33.93753786,2.81857648508799,7.34168977989751,-29.1637255099173,8.03373099160324,S9_4005852,9,26.89565247,0.643547466724271,S9_9022705,9,39.59727801,1.02822685864937,dry.wue_day_32_BP14
1@41.916,S1_7184697,1,41.87860783,0.571396958656047,1.45603265590731,-11.3715938439714,7.07765189816198,S1_3090020,1,17.48231934,0.423614473246007,S1_36889798,1,85.71320528,0.372311983387343,dry.wue_day_33_BP14
9@7.716,S9_823427,9,7.668729814,1.24348401100183,3.20328954689587,20.2329307324289,8.49012556444057,2,9,0.370690221,0.674955575899866,20,9,19.90209146,0.599556603605797,dry.wue_day_33_BP14
9@33.916,S9_6368482,9,33.93753786,5.87082209714637,16.3166703132538,-42.2717953454391,7.85938096934513,S9_4005852,9,26.89565247,0.643547466724271,S9_9022705,9,39.59727801,1.02822685864937,dry.wue_day_33_BP14
