,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@113.1,S2_46701398,2,113.0877388,3.23420273317889,6.55944034721335,1407.13789212166,363.120632603727,5.00953972799982,2,110.0512956,3.29263975056886,5.27816723586614,2,115.3816967,3.13159401641155,wet.te_residual_total_17_BP14
2@11.4,S2_2504271,2,11.41378601,0.170600228163647,0.331832912802223,-351.037102028556,402.755011104143,5.00953972799982,2,110.0512956,3.29263975056886,5.27816723586614,2,115.3816967,3.13159401641155,wet.te_residual_total_17_BP14
3@79.8,S3_40647237,3,79.79867924,0.43171259499613,0.842699263328541,519.310568511988,373.885407761736,1.20158600098148,3,0,0.562762250578985,1.45284331159087,3,129.9167988,0.426427282674534,wet.te_residual_total_17_BP14
5@80.9,S5_33587455,5,80.92708184,6.33210781873922,13.4049200742774,-2091.41907786395,377.534472101899,3.6046956932812,5,64.67695116,2.13161012296365,4.85268354741788,5,100.4130166,2.34934917367866,wet.te_residual_total_17_BP14
6@47.5,S6_27690603,6,47.52661946,2.0812380002363,4.15487320616819,1233.52507319672,399.960180542829,0.45238062260114,6,0,0.0754490608830151,0.160930476661292,6,92.0202595,0.0833811547294023,wet.te_residual_total_17_BP14
2@113.11,S2_46701398,2,113.0877388,3.73732246913124,7.45193701868492,1777.63818025206,425.263317727441,5.00953972799982,2,110.0512956,3.29263975056886,5.27816723586614,2,115.3816967,3.13159401641155,wet.te_residual_total_18_BP14
2@11.41,S2_2504271,2,11.41378601,0.333352080587153,0.634460273551973,-575.308810488017,471.680529485127,5.00953972799982,2,110.0512956,3.29263975056886,5.27816723586614,2,115.3816967,3.13159401641155,wet.te_residual_total_18_BP14
3@79.81,S3_40647237,3,79.79867924,0.343242020550116,0.65337118737926,541.971388797008,437.870323739355,1.20158600098148,3,0,0.562762250578985,1.45284331159087,3,129.9167988,0.426427282674534,wet.te_residual_total_18_BP14
5@80.91,S5_33587455,5,80.92708184,6.45035215071069,13.3542015910105,-2474.13522110382,442.143871063755,3.6046956932812,5,64.67695116,2.13161012296365,4.85268354741788,5,100.4130166,2.34934917367866,wet.te_residual_total_18_BP14
6@47.51,S6_27690603,6,47.52661946,2.22698064843088,4.34931715490372,1495.84002599046,468.407405321215,0.45238062260114,6,0,0.0754490608830151,0.160930476661292,6,92.0202595,0.0833811547294023,wet.te_residual_total_18_BP14
2@113.12,S2_46701398,2,113.0877388,4.63509286261221,9.08753054328914,2330.48831972421,497.533300629389,5.00953972799982,2,110.0512956,3.29263975056886,5.27816723586614,2,115.3816967,3.13159401641155,wet.te_residual_total_19_BP14
2@11.42,S2_2504271,2,11.41378601,0.444775165532381,0.82337262319102,-778.058455155197,551.838733543816,5.00953972799982,2,110.0512956,3.29263975056886,5.27816723586614,2,115.3816967,3.13159401641155,wet.te_residual_total_19_BP14
3@79.82,S3_40647237,3,79.79867924,0.255841977588185,0.472405088282098,547.102704270899,512.282763022902,1.20158600098148,3,0,0.562762250578985,1.45284331159087,3,129.9167988,0.426427282674534,wet.te_residual_total_19_BP14
5@80.92,S5_33587455,5,80.92708184,6.34899360806217,12.7474698904881,-2869.7341935725,517.282564362617,3.6046956932812,5,64.67695116,2.13161012296365,4.85268354741788,5,100.4130166,2.34934917367866,wet.te_residual_total_19_BP14
6@47.52,S6_27690603,6,47.52661946,2.56658451838481,4.89077335917855,1883.12256391562,548.009369004821,0.45238062260114,6,0,0.0754490608830151,0.160930476661292,6,92.0202595,0.0833811547294023,wet.te_residual_total_19_BP14
2@113.13,S2_46701398,2,113.0877388,5.52894667163424,10.7087775396721,2990.23265392165,580.896739263698,5.00953972799982,2,110.0512956,3.29263975056886,5.27816723586614,2,115.3816967,3.13159401641155,wet.te_residual_total_20_BP14
2@11.43,S2_2504271,2,11.41378601,0.608836157886978,1.10218671927899,-1064.02699041625,644.301236740326,5.00953972799982,2,110.0512956,3.29263975056886,5.27816723586614,2,115.3816967,3.13159401641155,wet.te_residual_total_20_BP14
3@79.83,S3_40647237,3,79.79867924,0.151583388225918,0.272716872651145,491.336043804801,598.117525489356,1.20158600098148,3,0,0.562762250578985,1.45284331159087,3,129.9167988,0.426427282674534,wet.te_residual_total_20_BP14
5@80.93,S5_33587455,5,80.92708184,6.0570598977621,11.8180855605151,-3265.98572743346,603.95506096996,3.6046956932812,5,64.67695116,2.13161012296365,4.85268354741788,5,100.4130166,2.34934917367866,wet.te_residual_total_20_BP14
6@47.53,S6_27690603,6,47.52661946,2.87278629399073,5.3638926026728,2330.99261518108,639.830248825868,0.45238062260114,6,0,0.0754490608830151,0.160930476661292,6,92.0202595,0.0833811547294023,wet.te_residual_total_20_BP14
2@113.14,S2_46701398,2,113.0877388,6.45083115328144,12.3916240808443,3858.64470910697,689.536714032392,5.00953972799982,2,110.0512956,3.29263975056886,5.27816723586614,2,115.3816967,3.13159401641155,wet.te_residual_total_21_BP14
2@11.44,S2_2504271,2,11.41378601,0.70654814080731,1.25406081881112,-1361.5073901204,764.799193385134,5.00953972799982,2,110.0512956,3.29263975056886,5.27816723586614,2,115.3816967,3.13159401641155,wet.te_residual_total_21_BP14
3@79.84,S3_40647237,3,79.79867924,0.0379452923417567,0.0667413791244016,291.57873977796,709.978151459197,1.20158600098148,3,0,0.562762250578985,1.45284331159087,3,129.9167988,0.426427282674534,wet.te_residual_total_21_BP14
5@80.94,S5_33587455,5,80.92708184,5.90285994345412,11.2528317162052,-3823.0262089514,716.907429524083,3.6046956932812,5,64.67695116,2.13161012296365,4.85268354741788,5,100.4130166,2.34934917367866,wet.te_residual_total_21_BP14
6@47.54,S6_27690603,6,47.52661946,2.91316372368183,5.32878114733037,2787.08650570981,759.492036180358,0.45238062260114,6,0,0.0754490608830151,0.160930476661292,6,92.0202595,0.0833811547294023,wet.te_residual_total_21_BP14
2@113.15,S2_46701398,2,113.0877388,7.24978637282998,13.929334057275,4814.91887489361,807.112931878877,5.00953972799982,2,110.0512956,3.29263975056886,5.27816723586614,2,115.3816967,3.13159401641155,wet.te_residual_total_22_BP14
2@11.45,S2_2504271,2,11.41378601,0.817327625482793,1.4370586280949,-1715.34336444672,895.208778169103,5.00953972799982,2,110.0512956,3.29263975056886,5.27816723586614,2,115.3816967,3.13159401641155,wet.te_residual_total_22_BP14
3@79.85,S3_40647237,3,79.79867924,0.000857488289653929,0.00149105914225345,51.2930851363893,831.039937007994,1.20158600098148,3,0,0.562762250578985,1.45284331159087,3,129.9167988,0.426427282674534,wet.te_residual_total_22_BP14
5@80.95,S5_33587455,5,80.92708184,5.40109229843559,10.1135042775855,-4265.60183678229,839.15075956601,3.6046956932812,5,64.67695116,2.13161012296365,4.85268354741788,5,100.4130166,2.34934917367866,wet.te_residual_total_22_BP14
6@47.55,S6_27690603,6,47.52661946,2.9536787474806,5.34706311150997,3285.84657925408,888.996672092199,0.45238062260114,6,0,0.0754490608830151,0.160930476661292,6,92.0202595,0.0833811547294023,wet.te_residual_total_22_BP14
2@113.16,S2_46701398,2,113.0877388,7.82071949963869,15.116531783371,5825.92189682554,936.511114993294,5.00953972799982,2,110.0512956,3.29263975056886,5.27816723586614,2,115.3816967,3.13159401641155,wet.te_residual_total_23_BP14
2@11.46,S2_2504271,2,11.41378601,0.927826059908028,1.63051623261246,-2122.22373338382,1038.73068796368,5.00953972799982,2,110.0512956,3.29263975056886,5.27816723586614,2,115.3816967,3.13159401641155,wet.te_residual_total_23_BP14
3@79.86,S3_40647237,3,79.79867924,0.0884306421289587,0.153642863036936,-604.75903067558,964.274152068857,1.20158600098148,3,0,0.562762250578985,1.45284331159087,3,129.9167988,0.426427282674534,wet.te_residual_total_23_BP14
5@80.96,S5_33587455,5,80.92708184,4.82250333690809,8.94001634306402,-4658.1494692275,973.685320168516,3.6046956932812,5,64.67695116,2.13161012296365,4.85268354741788,5,100.4130166,2.34934917367866,wet.te_residual_total_23_BP14
6@47.56,S6_27690603,6,47.52661946,2.77707504841704,5.00512681514607,3692.42726893958,1031.52264289495,0.45238062260114,6,0,0.0754490608830151,0.160930476661292,6,92.0202595,0.0833811547294023,wet.te_residual_total_23_BP14
2@113.17,S2_46701398,2,113.0877388,8.29438055835607,16.0662475552375,6844.40503153846,1064.80871101748,5.00953972799982,2,110.0512956,3.29263975056886,5.27816723586614,2,115.3816967,3.13159401641155,wet.te_residual_total_24_BP14
2@11.47,S2_2504271,2,11.41378601,1.24211778283864,2.18231126530664,-2797.86559753055,1181.03188231015,5.00953972799982,2,110.0512956,3.29263975056886,5.27816723586614,2,115.3816967,3.13159401641155,wet.te_residual_total_24_BP14
3@79.87,S3_40647237,3,79.79867924,0.276831387078751,0.480033579988238,-1218.15309589846,1096.37515294121,1.20158600098148,3,0,0.562762250578985,1.45284331159087,3,129.9167988,0.426427282674534,wet.te_residual_total_24_BP14
5@80.97,S5_33587455,5,80.92708184,4.1109451021159,7.51233507235348,-4865.9947510625,1107.07560658552,3.6046956932812,5,64.67695116,2.13161012296365,4.85268354741788,5,100.4130166,2.34934917367866,wet.te_residual_total_24_BP14
6@47.57,S6_27690603,6,47.52661946,2.6496886221282,4.74571139011303,4097.273601977,1172.83636913822,0.45238062260114,6,0,0.0754490608830151,0.160930476661292,6,92.0202595,0.0833811547294023,wet.te_residual_total_24_BP14
2@113.18,S2_46701398,2,113.0877388,7.93801057515866,15.6577823021192,7531.0985541009,1200.65128659053,5.00953972799982,2,110.0512956,3.29263975056886,5.27816723586614,2,115.3816967,3.13159401641155,wet.te_residual_total_25_BP14
2@11.48,S2_2504271,2,11.41378601,1.63609597428084,2.95771548968805,-3630.4581085881,1331.70158576665,5.00953972799982,2,110.0512956,3.29263975056886,5.27816723586614,2,115.3816967,3.13159401641155,wet.te_residual_total_25_BP14
3@79.88,S3_40647237,3,79.79867924,0.531975559966238,0.947354859518192,-1907.37962229733,1236.24480561105,1.20158600098148,3,0,0.562762250578985,1.45284331159087,3,129.9167988,0.426427282674534,wet.te_residual_total_25_BP14
5@80.98,S5_33587455,5,80.92708184,3.19971948297177,5.90959489570995,-4810.36185858283,1248.31036565222,3.6046956932812,5,64.67695116,2.13161012296365,4.85268354741788,5,100.4130166,2.34934917367866,wet.te_residual_total_25_BP14
6@47.58,S6_27690603,6,47.52661946,2.22251238532963,4.05015238477047,4218.85614371692,1322.46053304766,0.45238062260114,6,0,0.0754490608830151,0.160930476661292,6,92.0202595,0.0833811547294023,wet.te_residual_total_25_BP14
2@113.19,S2_46701398,2,113.0877388,7.30657998845507,14.7969545836088,8125.49095504658,1356.21314856797,5.00953972799982,2,110.0512956,3.29263975056886,5.27816723586614,2,115.3816967,3.13159401641155,wet.te_residual_total_26_BP14
2@11.49,S2_2504271,2,11.41378601,1.87534554500849,3.52313330897127,-4397.62310066402,1504.2429227842,5.00953972799982,2,110.0512956,3.29263975056886,5.27816723586614,2,115.3816967,3.13159401641155,wet.te_residual_total_26_BP14
3@79.89,S3_40647237,3,79.79867924,0.837064964466139,1.55046515808417,-2708.20811845489,1396.41832640649,1.20158600098148,3,0,0.562762250578985,1.45284331159087,3,129.9167988,0.426427282674534,wet.te_residual_total_26_BP14
5@80.99,S5_33587455,5,80.92708184,2.28290092970247,4.31275440939333,-4560.85737019739,1410.04715548903,3.6046956932812,5,64.67695116,2.13161012296365,4.85268354741788,5,100.4130166,2.34934917367866,wet.te_residual_total_26_BP14
6@47.59,S6_27690603,6,47.52661946,1.77659653048026,3.3331197718166,4247.70874041138,1493.80455708712,0.45238062260114,6,0,0.0754490608830151,0.160930476661292,6,92.0202595,0.0833811547294023,wet.te_residual_total_26_BP14
2@113.110,S2_46701398,2,113.0877388,6.69621772996883,13.7498135507414,8581.10945868324,1502.5051352336,5.00953972799982,2,110.0512956,3.29263975056886,5.27816723586614,2,115.3816967,3.13159401641155,wet.te_residual_total_27_BP14
2@11.410,S2_2504271,2,11.41378601,2.10478683242803,4.05630413283638,-5169.52117418966,1666.50258368939,5.00953972799982,2,110.0512956,3.29263975056886,5.27816723586614,2,115.3816967,3.13159401641155,wet.te_residual_total_27_BP14
3@79.810,S3_40647237,3,79.79867924,1.27032344667874,2.42041981673601,-3707.04601103482,1547.04716480258,1.20158600098148,3,0,0.562762250578985,1.45284331159087,3,129.9167988,0.426427282674534,wet.te_residual_total_27_BP14
5@80.910,S5_33587455,5,80.92708184,1.6299652603692,3.12093069705269,-4250.527065018,1562.1461082875,3.6046956932812,5,64.67695116,2.13161012296365,4.85268354741788,5,100.4130166,2.34934917367866,wet.te_residual_total_27_BP14
6@47.510,S6_27690603,6,47.52661946,1.54647440465903,2.9576982803193,4383.66947265315,1654.93825246324,0.45238062260114,6,0,0.0754490608830151,0.160930476661292,6,92.0202595,0.0833811547294023,wet.te_residual_total_27_BP14
2@113.111,S2_46701398,2,113.0877388,6.0454500743457,12.5645799475541,8980.58676643259,1662.44294516893,5.00953972799982,2,110.0512956,3.29263975056886,5.27816723586614,2,115.3816967,3.13159401641155,wet.te_residual_total_28_BP14
2@11.411,S2_2504271,2,11.41378601,2.16012396490566,4.2551992818147,-5796.69839578406,1843.89750050971,5.00953972799982,2,110.0512956,3.29263975056886,5.27816723586614,2,115.3816967,3.13159401641155,wet.te_residual_total_28_BP14
3@79.811,S3_40647237,3,79.79867924,1.75617466366353,3.44042232847162,-4838.64983604101,1711.72635930445,1.20158600098148,3,0,0.562762250578985,1.45284331159087,3,129.9167988,0.426427282674534,wet.te_residual_total_28_BP14
5@80.911,S5_33587455,5,80.92708184,1.14562286754539,2.22572096821396,-3929.81196851015,1728.43254651632,3.6046956932812,5,64.67695116,2.13161012296365,4.85268354741788,5,100.4130166,2.34934917367866,wet.te_residual_total_28_BP14
