,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.1,S2_44586954,2,96.05450929,4.13326427941808,7.68646319129914,3341.80151895571,755.829145277122,S2_44209808,2,93.99718694,5.64275532142223,S2_44908249,2,97.68940295,6.00911107964722,wet.ma_te_fit_total_17_BP14
5@109.5,S5_43706919,5,109.5147878,3.00231209851694,5.49704647535144,-3080.59009668258,823.901832775333,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100412,wet.ma_te_fit_total_17_BP14
7@99.9,S7_32133319,7,99.94477983,4.46159985413409,8.33475512853222,-5100.15792032847,1107.75433854435,S7_31956171,7,96.48121012,4.62127096685522,S7_32940091,7,101.9471039,4.5207613902773,wet.ma_te_fit_total_17_BP14
9@34.9,S9_6724364,9,34.93391023,7.11842417137901,13.7982127519201,4941.03894037192,834.090388101236,S9_5686516,9,31.99307473,8.44804946390425,S9_8182398,9,37.12013546,8.92953487424296,wet.ma_te_fit_total_17_BP14
2@96.11,S2_44586954,2,96.05450929,5.27694491197382,9.27475547571809,4877.34371968695,968.604425560331,S2_44209808,2,93.99718694,5.64275532142223,S2_44908249,2,97.68940295,6.00911107964722,wet.ma_te_fit_total_18_BP14
5@109.51,S5_43706919,5,109.5147878,3.56731505379731,6.12356022738837,-4320.0220102436,1055.84041901541,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100412,wet.ma_te_fit_total_18_BP14
7@99.91,S7_32133319,7,99.94477983,5.31838153764107,9.35295771752367,-7178.3799033339,1419.60092628382,S7_31956171,7,96.48121012,4.62127096685522,S7_32940091,7,101.9471039,4.5207613902773,wet.ma_te_fit_total_18_BP14
9@34.91,S9_6724364,9,34.93391023,8.3063545081117,15.2298816258773,6897.15322347384,1068.89717905225,S9_5686516,9,31.99307473,8.44804946390425,S9_8182398,9,37.12013546,8.92953487424296,wet.ma_te_fit_total_18_BP14
2@96.12,S2_44586954,2,96.05450929,6.34669466306355,10.6134002324915,6878.097046257,1236.28903259279,S2_44209808,2,93.99718694,5.64275532142223,S2_44908249,2,97.68940295,6.00911107964722,wet.ma_te_fit_total_19_BP14
5@109.52,S5_43706919,5,109.5147878,4.05544296711926,6.56978113926568,-5898.86305133627,1347.63366318691,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100412,wet.ma_te_fit_total_19_BP14
7@99.92,S7_32133319,7,99.94477983,6.13333164368495,10.2261690197983,-9895.03504299682,1811.9234328379,S7_31956171,7,96.48121012,4.62127096685522,S7_32940091,7,101.9471039,4.5207613902773,wet.ma_te_fit_total_19_BP14
9@34.92,S9_6724364,9,34.93391023,9.42780537100126,16.4621523779705,9453.09056899411,1364.29880409354,S9_5686516,9,31.99307473,8.44804946390425,S9_8182398,9,37.12013546,8.92953487424296,wet.ma_te_fit_total_19_BP14
2@96.13,S2_44586954,2,96.05450929,7.17713997600187,11.6012153303662,9169.19012656072,1540.8621181872,S2_44209808,2,93.99718694,5.64275532142223,S2_44908249,2,97.68940295,6.00911107964722,wet.ma_te_fit_total_20_BP14
5@109.53,S5_43706919,5,109.5147878,4.3941133545699,6.83321588197976,-7670.85263077675,1679.63769479021,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100412,wet.ma_te_fit_total_20_BP14
7@99.93,S7_32133319,7,99.94477983,6.71570217645019,10.7855943449554,-12957.4965016533,2258.31023742103,S7_31956171,7,96.48121012,4.62127096685522,S7_32940091,7,101.9471039,4.5207613902773,wet.ma_te_fit_total_20_BP14
9@34.93,S9_6724364,9,34.93391023,10.2306215222355,17.2631844373882,12343.2399403965,1700.40847220576,S9_5686516,9,31.99307473,8.44804946390425,S9_8182398,9,37.12013546,8.92953487424296,wet.ma_te_fit_total_20_BP14
2@96.14,S2_44586954,2,96.05450929,7.84036633947919,12.3491372436497,11870.8213799187,1899.78454823353,S2_44209808,2,93.99718694,5.64275532142223,S2_44908249,2,97.68940295,6.00911107964722,wet.ma_te_fit_total_21_BP14
5@109.54,S5_43706919,5,109.5147878,4.64546161834809,6.9985188247832,-9741.30998407213,2070.88596801063,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100412,wet.ma_te_fit_total_21_BP14
7@99.94,S7_32133319,7,99.94477983,7.18640816852922,11.2159206461352,-16580.58122984,2784.35224250793,S7_31956171,7,96.48121012,4.62127096685522,S7_32940091,7,101.9471039,4.5207613902773,wet.ma_te_fit_total_21_BP14
9@34.94,S9_6724364,9,34.93391023,10.8629702233985,17.8557769414501,15752.2037085486,2096.49500954855,S9_5686516,9,31.99307473,8.44804946390425,S9_8182398,9,37.12013546,8.92953487424296,wet.ma_te_fit_total_21_BP14
2@96.15,S2_44586954,2,96.05450929,8.3771013585101,12.9370426540293,14718.799733109,2270.28766849894,S2_44209808,2,93.99718694,5.64275532142223,S2_44908249,2,97.68940295,6.00911107964722,wet.ma_te_fit_total_22_BP14
5@109.55,S5_43706919,5,109.5147878,4.80092717267322,7.05349877657026,-11847.0173165856,2474.75793000507,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100412,wet.ma_te_fit_total_22_BP14
7@99.95,S7_32133319,7,99.94477983,7.63333988383476,11.6660214493921,-20485.0062862803,3327.36707791461,S7_31956171,7,96.48121012,4.62127096685522,S7_32940091,7,101.9471039,4.5207613902773,wet.ma_te_fit_total_22_BP14
9@34.95,S9_6724364,9,34.93391023,11.3080319666136,18.2026347014224,19266.8847663532,2505.36134303929,S9_5686516,9,31.99307473,8.44804946390425,S9_8182398,9,37.12013546,8.92953487424296,wet.ma_te_fit_total_22_BP14
2@96.16,S2_44586954,2,96.05450929,8.8394439504498,13.4306939882325,17693.2372503513,2648.11946414258,S2_44209808,2,93.99718694,5.64275532142223,S2_44908249,2,97.68940295,6.00911107964722,wet.ma_te_fit_total_23_BP14
5@109.56,S5_43706919,5,109.5147878,4.96319914130337,7.14370897995988,-14066.0379687709,2886.61861420435,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100412,wet.ma_te_fit_total_23_BP14
7@99.96,S7_32133319,7,99.94477983,7.94883734708813,11.9272379092975,-24436.9972592051,3881.12292800264,S7_31956171,7,96.48121012,4.62127096685522,S7_32940091,7,101.9471039,4.5207613902773,wet.ma_te_fit_total_23_BP14
9@34.96,S9_6724364,9,34.93391023,11.7185145537137,18.5467024474441,22944.6220442991,2922.31518906999,S9_5686516,9,31.99307473,8.44804946390425,S9_8182398,9,37.12013546,8.92953487424296,wet.ma_te_fit_total_23_BP14
2@96.17,S2_44586954,2,96.05450929,9.21622828597063,13.781114400128,20504.9534089992,2997.58569157474,S2_44209808,2,93.99718694,5.64275532142223,S2_44908249,2,97.68940295,6.00911107964722,wet.ma_te_fit_total_24_BP14
5@109.57,S5_43706919,5,109.5147878,5.05748567706592,7.13534313731753,-16083.32669773,3267.5590252398,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100412,wet.ma_te_fit_total_24_BP14
7@99.97,S7_32133319,7,99.94477983,8.3290198067593,12.2998446174364,-28391.3638505939,4393.30578312497,S7_31956171,7,96.48121012,4.62127096685522,S7_32940091,7,101.9471039,4.5207613902773,wet.ma_te_fit_total_24_BP14
9@34.97,S9_6724364,9,34.93391023,12.1196913575392,18.8852751057472,26489.1338367383,3307.96639488621,S9_5686516,9,31.99307473,8.44804946390425,S9_8182398,9,37.12013546,8.92953487424296,wet.ma_te_fit_total_24_BP14
2@96.18,S2_44586954,2,96.05450929,9.46602917470609,13.9785242735036,22876.2019295673,3294.00135222099,S2_44209808,2,93.99718694,5.64275532142223,S2_44908249,2,97.68940295,6.00911107964722,wet.ma_te_fit_total_25_BP14
5@109.58,S5_43706919,5,109.5147878,5.13725213677413,7.14039344259668,-17822.3990957804,3590.67094490548,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100412,wet.ma_te_fit_total_25_BP14
7@99.98,S7_32133319,7,99.94477983,8.56138474260802,12.4824466457251,-31682.755307726,4827.73694543875,S7_31956171,7,96.48121012,4.62127096685522,S7_32940091,7,101.9471039,4.5207613902773,wet.ma_te_fit_total_25_BP14
9@34.98,S9_6724364,9,34.93391023,12.5042155169896,19.2799837042071,29648.0457488952,3635.07398920512,S9_5686516,9,31.99307473,8.44804946390425,S9_8182398,9,37.12013546,8.92953487424296,wet.ma_te_fit_total_25_BP14
2@96.19,S2_44586954,2,96.05450929,9.6114308635455,14.0656848448475,24875.727682381,3551.07212165844,S2_44209808,2,93.99718694,5.64275532142223,S2_44908249,2,97.68940295,6.00911107964722,wet.ma_te_fit_total_26_BP14
5@109.59,S5_43706919,5,109.5147878,5.18330680404686,7.12955868698101,-19305.3869632666,3870.89443114696,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100412,wet.ma_te_fit_total_26_BP14
7@99.99,S7_32133319,7,99.94477983,8.71788541517028,12.5982604177632,-34504.0812983866,5204.50365513325,S7_31956171,7,96.48121012,4.62127096685522,S7_32940091,7,101.9471039,4.5207613902773,wet.ma_te_fit_total_26_BP14
9@34.99,S9_6724364,9,34.93391023,12.8059277529148,19.6121178819908,32415.0788294829,3918.76278208826,S9_5686516,9,31.99307473,8.44804946390425,S9_8182398,9,37.12013546,8.92953487424296,wet.ma_te_fit_total_26_BP14
2@96.110,S2_44586954,2,96.05450929,9.62559896081764,13.9993692182207,26261.7164825141,3745.79038419189,S2_44209808,2,93.99718694,5.64275532142223,S2_44908249,2,97.68940295,6.00911107964722,wet.ma_te_fit_total_27_BP14
5@109.510,S5_43706919,5,109.5147878,5.24899596953066,7.18039584541553,-20501.9373668444,4083.14971976422,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100412,wet.ma_te_fit_total_27_BP14
7@99.910,S7_32133319,7,99.94477983,8.70962868468234,12.5045912055229,-36376.7126013284,5489.88561144317,S7_31956171,7,96.48121012,4.62127096685522,S7_32940091,7,101.9471039,4.5207613902773,wet.ma_te_fit_total_27_BP14
9@34.910,S9_6724364,9,34.93391023,13.102023496207,20.0223998847261,34659.0314290927,4133.64286733209,S9_5686516,9,31.99307473,8.44804946390425,S9_8182398,9,37.12013546,8.92953487424296,wet.ma_te_fit_total_27_BP14
2@96.111,S2_44586954,2,96.05450929,9.55231916260149,13.8434052421648,27295.4021124541,3910.15683551281,S2_44209808,2,93.99718694,5.64275532142223,S2_44908249,2,97.68940295,6.00911107964722,wet.ma_te_fit_total_28_BP14
5@109.511,S5_43706919,5,109.5147878,5.29441763200444,7.22881297739519,-21500.7376159984,4262.31960403805,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100412,wet.ma_te_fit_total_28_BP14
7@99.911,S7_32133319,7,99.94477983,8.65117249718403,12.379143799123,-37829.7228420262,5730.78350576179,S7_31956171,7,96.48121012,4.62127096685522,S7_32940091,7,101.9471039,4.5207613902773,wet.ma_te_fit_total_28_BP14
9@34.911,S9_6724364,9,34.93391023,13.3177272723628,20.363636462797,36532.9868087931,4315.02840668283,S9_5686516,9,31.99307473,8.44804946390425,S9_8182398,9,37.12013546,8.92953487424296,wet.ma_te_fit_total_28_BP14
2@96.112,S2_44586954,2,96.05450929,9.42651382880395,13.6538685542307,28148.7649573839,4062.83078103996,S2_44209808,2,93.99718694,5.64275532142223,S2_44908249,2,97.68940295,6.00911107964722,wet.ma_te_fit_total_29_BP14
5@109.512,S5_43706919,5,109.5147878,5.34799083066878,7.3165164709997,-22461.3315030176,4428.74391345091,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100412,wet.ma_te_fit_total_29_BP14
7@99.912,S7_32133319,7,99.94477983,8.50353966032943,12.1578156033761,-38929.5234177185,5954.54469120585,S7_31956171,7,96.48121012,4.62127096685522,S7_32940091,7,101.9471039,4.5207613902773,wet.ma_te_fit_total_29_BP14
9@34.912,S9_6724364,9,34.93391023,13.4471651489086,20.6255464076454,38178.9252876006,4483.51075652791,S9_5686516,9,31.99307473,8.44804946390425,S9_8182398,9,37.12013546,8.92953487424296,wet.ma_te_fit_total_29_BP14
2@96.113,S2_44586954,2,96.05450929,9.26070241544751,13.4308109855787,28927.297946574,4217.34451420342,S2_44209808,2,93.99718694,5.64275532142223,S2_44908249,2,97.68940295,6.00911107964722,wet.ma_te_fit_total_30_BP14
5@109.513,S5_43706919,5,109.5147878,5.39912302074255,7.41848390856403,-23435.0650859081,4597.17370838249,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100412,wet.ma_te_fit_total_30_BP14
7@99.913,S7_32133319,7,99.94477983,8.32272347389824,11.912075799556,-39927.3327667386,6181.00229653378,S7_31956171,7,96.48121012,4.62127096685522,S7_32940091,7,101.9471039,4.5207613902773,wet.ma_te_fit_total_30_BP14
9@34.913,S9_6724364,9,34.93391023,13.5112390089242,20.8180407903687,39743.5044990808,4654.02339217658,S9_5686516,9,31.99307473,8.44804946390425,S9_8182398,9,37.12013546,8.92953487424296,wet.ma_te_fit_total_30_BP14
2@96.114,S2_44586954,2,96.05450929,9.67701645327693,14.4718474500428,30485.8710124406,4325.24090358012,S2_44209808,2,93.99718694,5.64275532142223,S2_44908249,2,97.68940295,6.00911107964722,wet.ma_te_fit_total_31_BP14
5@109.514,S5_43706919,5,109.5147878,5.02431236494413,7.0198482639515,-22846.2878673534,4653.99019399679,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100412,wet.ma_te_fit_total_31_BP14
7@99.914,S7_32133319,7,99.94477983,8.90277334680092,13.1628615261416,-42622.5690302667,6340.71375961289,S7_31956171,7,96.48121012,4.62127096685522,S7_32940091,7,101.9471039,4.5207613902773,wet.ma_te_fit_total_31_BP14
9@34.914,S9_6724364,9,34.93391023,13.857646431087,22.0565947238494,42125.7843554245,4841.19359659824,S9_5686516,9,31.99307473,8.44804946390425,S9_8182398,9,37.12013546,8.92953487424296,wet.ma_te_fit_total_31_BP14
2@96.115,S2_44586954,2,96.05450929,9.42888921498427,14.1829636917952,32009.9885398013,4609.27911874519,S2_44209808,2,93.99718694,5.64275532142223,S2_44908249,2,97.68940295,6.00911107964722,wet.ma_te_fit_total_32_BP14
5@109.515,S5_43706919,5,109.5147878,5.06126705719328,7.14261185608766,-24442.5048887014,4959.61734808304,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100412,wet.ma_te_fit_total_32_BP14
7@99.915,S7_32133319,7,99.94477983,8.60608282448951,12.7893943874298,-44560.9929677106,6757.10791182354,S7_31956171,7,96.48121012,4.62127096685522,S7_32940091,7,101.9471039,4.5207613902773,wet.ma_te_fit_total_32_BP14
9@34.915,S9_6724364,9,34.93391023,13.7928197247003,22.1407902840671,44765.2208070756,5159.11438276952,S9_5686516,9,31.99307473,8.44804946390425,S9_8182398,9,37.12013546,8.92953487424296,wet.ma_te_fit_total_32_BP14
2@96.116,S2_44586954,2,96.05450929,6.9877735517213,11.6139820542727,32208.6363698661,5453.09499873909,S2_44209808,2,93.99718694,5.64275532142223,S2_44908249,2,97.68940295,6.00911107964722,wet.ma_te_fit_total_33_BP14
5@109.516,S5_43706919,5,109.5147878,4.99230925183221,8.02089315566489,-28935.2715831009,5894.91433046895,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100412,wet.ma_te_fit_total_33_BP14
7@99.916,S7_32133319,7,99.94477983,8.38906476928264,14.2819181606096,-50190.8492739558,7662.88971104664,S7_31956171,7,96.48121012,4.62127096685522,S7_32940091,7,101.9471039,4.5207613902773,wet.ma_te_fit_total_33_BP14
9@34.916,S9_6724364,9,34.93391023,12.4316895155046,22.70511721713,49732.0855000722,6021.93547995314,S9_5686516,9,31.99307473,8.44804946390425,S9_8182398,9,37.12013546,8.92953487424296,wet.ma_te_fit_total_33_BP14
