,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@98.5,S2_45043544,2,98.51301522,0.854063873119308,2.06491565354075,217.847813791494,111.191331029861,S2_44209808,2,93.99718694,3.94420230562879,S2_45205644,2,100.5702577,4.11463398932669,wet.ma_te_residual_day_17_BP14
3@47.4,S3_7345986,3,47.38986671,1.0441351276801,2.53099640904949,241.599479169302,111.383051180553,S3_7095091,3,46.70151328,4.42921022176531,S3_8119264,3,49.77537052,4.87225970893151,wet.ma_te_residual_day_17_BP14
5@104.1,S5_42739726,5,104.1345531,0.440792135768602,1.05976039795936,-172.15795345142,122.656941016831,S5_42366438,5,102.9057427,6.05283297189915,S5_43769059,5,111.9145952,5.07554784172175,wet.ma_te_residual_day_17_BP14
7@99.9,S7_32133319,7,99.94477983,0.190596089232429,0.456682105750485,148.883647689371,161.587917718473,S7_31956171,7,96.48121012,7.70255774702365,S7_32940091,7,101.9471039,7.89630665304209,wet.ma_te_residual_day_17_BP14
9@34.9,S9_6724364,9,34.93391023,2.62885306166228,6.51178860247119,-429.711130119066,123.508070611383,S9_5686516,9,31.99307473,9.52474293170081,S9_7478538,9,36.4077051,9.789152837931,wet.ma_te_residual_day_17_BP14
2@98.51,S2_45043544,2,98.51301522,1.24541599809834,2.92892640943951,275.414567152572,116.101035998306,S2_44209808,2,93.99718694,3.94420230562879,S2_45205644,2,100.5702577,4.11463398932669,wet.ma_te_residual_day_18_BP14
3@47.41,S3_7345986,3,47.38986671,1.19515163683876,2.80879296513445,270.172239695503,116.301221641476,S3_7095091,3,46.70151328,4.42921022176531,S3_8119264,3,49.77537052,4.87225970893151,wet.ma_te_residual_day_18_BP14
5@104.11,S5_42739726,5,104.1345531,0.484002620238915,1.12653670015519,-188.419804954571,128.072915330179,S5_42366438,5,102.9057427,6.05283297189915,S5_43769059,5,111.9145952,5.07554784172175,wet.ma_te_residual_day_18_BP14
7@99.91,S7_32133319,7,99.94477983,0.146442668929936,0.33929448028247,136.225694236599,168.72290742599,S7_31956171,7,96.48121012,7.70255774702365,S7_32940091,7,101.9471039,7.89630665304209,wet.ma_te_residual_day_18_BP14
9@34.91,S9_6724364,9,34.93391023,3.45625221241802,8.37803913120583,-517.402208019849,128.961626948081,S9_5686516,9,31.99307473,9.52474293170081,S9_7478538,9,36.4077051,9.789152837931,wet.ma_te_residual_day_18_BP14
2@98.52,S2_45043544,2,98.51301522,1.48065813715541,3.45999950025447,348.23562567811,134.4175767161,S2_44209808,2,93.99718694,3.94420230562879,S2_45205644,2,100.5702577,4.11463398932669,wet.ma_te_residual_day_19_BP14
3@47.42,S3_7345986,3,47.38986671,0.638791706585042,1.4757223631453,227.816770827053,134.649344407205,S3_7095091,3,46.70151328,4.42921022176531,S3_8119264,3,49.77537052,4.87225970893151,wet.ma_te_residual_day_19_BP14
5@104.12,S5_42739726,5,104.1345531,1.21926710392993,2.8390505765601,-347.970915628793,148.278185234282,S5_42366438,5,102.9057427,6.05283297189915,S5_43769059,5,111.9145952,5.07554784172175,wet.ma_te_residual_day_19_BP14
7@99.92,S7_32133319,7,99.94477983,0.64048670684123,1.47967218317759,330.94505102229,195.341274586278,S7_31956171,7,96.48121012,7.70255774702365,S7_32940091,7,101.9471039,7.89630665304209,wet.ma_te_residual_day_19_BP14
9@34.92,S9_6724364,9,34.93391023,2.9249431647643,6.97138315169182,-549.05906406933,149.307103374855,S9_5686516,9,31.99307473,9.52474293170081,S9_7478538,9,36.4077051,9.789152837931,wet.ma_te_residual_day_19_BP14
2@98.53,S2_45043544,2,98.51301522,1.71510643971327,4.05281452321807,430.520528839721,154.157287379568,S2_44209808,2,93.99718694,3.94420230562879,S2_45205644,2,100.5702577,4.11463398932669,wet.ma_te_residual_day_20_BP14
3@47.43,S3_7345986,3,47.38986671,0.489278477232364,1.13703839148801,228.429004235821,154.423091000165,S3_7095091,3,46.70151328,4.42921022176531,S3_8119264,3,49.77537052,4.87225970893151,wet.ma_te_residual_day_20_BP14
5@104.13,S5_42739726,5,104.1345531,1.13643624214015,2.66431072486256,-385.060648253996,170.05337673629,S5_42366438,5,102.9057427,6.05283297189915,S5_43769059,5,111.9145952,5.07554784172175,wet.ma_te_residual_day_20_BP14
7@99.93,S7_32133319,7,99.94477983,1.02775732070061,2.40595757796786,482.055940280362,224.027852154258,S7_31956171,7,96.48121012,7.70255774702365,S7_32940091,7,101.9471039,7.89630665304209,wet.ma_te_residual_day_20_BP14
