,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
5@66.4,S5_27496297,5,66.43972035,1.9651577780659,4.65312551018769,-1351.0441187462,448.448811572619,S5_11863225,5,53.89546898,0.814329228504876,S5_42366438,5,102.9057427,0.722522432132874,wet.ma_te_residual_total_17_BP14
7@89.3,S7_31178325,7,89.28412826,1.4715071293568,3.46085463708937,1278.30977792606,491.99440206677,S7_30250027,7,84.31080267,1.95842723427355,S7_32940091,7,101.9471039,1.39248170256683,wet.ma_te_residual_total_17_BP14
9@37.1,S9_8182398,9,37.12013546,2.71201254660921,6.48751959871839,-1757.13509671977,493.948352937248,S9_5497941,9,31.29811037,2.84114028077245,S9_8458511,9,38.57941159,3.17180337923269,wet.ma_te_residual_total_17_BP14
5@66.41,S5_27496297,5,66.43972035,2.31043835153992,5.31999810019008,-1638.63953375658,500.441090879096,S5_11863225,5,53.89546898,0.814329228504876,S5_42366438,5,102.9057427,0.722522432132874,wet.ma_te_residual_total_18_BP14
7@89.31,S7_31178325,7,89.28412826,1.64996005665055,3.76504892025845,1512.37777113722,549.035272082179,S7_30250027,7,84.31080267,1.95842723427355,S7_32940091,7,101.9471039,1.39248170256683,wet.ma_te_residual_total_18_BP14
9@37.11,S9_8182398,9,37.12013546,3.49070892023923,8.16891556136686,-2236.54972110719,551.215760200137,S9_5497941,9,31.29811037,2.84114028077245,S9_8458511,9,38.57941159,3.17180337923269,wet.ma_te_residual_total_18_BP14
5@66.42,S5_27496297,5,66.43972035,2.50316464581923,5.55081671158273,-1938.53008678228,568.030378632256,S5_11863225,5,53.89546898,0.814329228504876,S5_42366438,5,102.9057427,0.722522432132874,wet.ma_te_residual_total_19_BP14
7@89.32,S7_31178325,7,89.28412826,2.3144390461341,5.11906913938723,2042.3815747033,623.187662179103,S7_30250027,7,84.31080267,1.95842723427355,S7_32940091,7,101.9471039,1.39248170256683,wet.ma_te_residual_total_19_BP14
9@37.12,S9_8182398,9,37.12013546,4.37265096643016,9.94901136949295,-2858.59566008306,625.662645776216,S9_5497941,9,31.29811037,2.84114028077245,S9_8458511,9,38.57941159,3.17180337923269,wet.ma_te_residual_total_19_BP14
5@66.43,S5_27496297,5,66.43972035,2.56269635932941,5.56501792317082,-2261.26585561514,654.590470630866,S5_11863225,5,53.89546898,0.814329228504876,S5_42366438,5,102.9057427,0.722522432132874,wet.ma_te_residual_total_20_BP14
7@89.33,S7_31178325,7,89.28412826,2.78342148471819,6.06264923232434,2589.38630227799,718.152972838209,S7_30250027,7,84.31080267,1.95842723427355,S7_32940091,7,101.9471039,1.39248170256683,wet.ma_te_residual_total_20_BP14
9@37.13,S9_8182398,9,37.12013546,4.82120566983977,10.8002008475,-3469.78784693578,721.005110221316,S9_5497941,9,31.29811037,2.84114028077245,S9_8458511,9,38.57941159,3.17180337923269,wet.ma_te_residual_total_20_BP14
5@66.44,S5_27496297,5,66.43972035,2.56129898722567,5.52073332364836,-2680.99965124686,776.313977345715,S5_11863225,5,53.89546898,0.814329228504876,S5_42366438,5,102.9057427,0.722522432132874,wet.ma_te_residual_total_21_BP14
7@89.34,S7_31178325,7,89.28412826,3.10245157382651,6.73698296054158,3249.21448951957,851.696160729888,S7_30250027,7,84.31080267,1.95842723427355,S7_32940091,7,101.9471039,1.39248170256683,wet.ma_te_residual_total_21_BP14
9@37.14,S9_8182398,9,37.12013546,4.86627450081542,10.8272726786979,-4135.48618378234,855.078663554414,S9_5497941,9,31.29811037,2.84114028077245,S9_8458511,9,38.57941159,3.17180337923269,wet.ma_te_residual_total_21_BP14
5@66.45,S5_27496297,5,66.43972035,2.46443672487248,5.32115366632183,-3085.69498904874,911.492432069845,S5_11863225,5,53.89546898,0.814329228504876,S5_42366438,5,102.9057427,0.722522432132874,wet.ma_te_residual_total_22_BP14
7@89.35,S7_31178325,7,89.28412826,3.34437688432477,7.30882103572787,3967.53752216546,1000.00080841327,S7_30250027,7,84.31080267,1.95842723427355,S7_32940091,7,101.9471039,1.39248170256683,wet.ma_te_residual_total_22_BP14
9@37.15,S9_8182398,9,37.12013546,4.63470661460887,10.3105356079431,-4731.06998263177,1003.97230166984,S9_5497941,9,31.29811037,2.84114028077245,S9_8458511,9,38.57941159,3.17180337923269,wet.ma_te_residual_total_22_BP14
5@66.46,S5_27496297,5,66.43972035,2.32231827565393,5.04419445760687,-3481.85418380267,1060.54995344664,S5_11863225,5,53.89546898,0.814329228504876,S5_42366438,5,102.9057427,0.722522432132874,wet.ma_te_residual_total_23_BP14
7@89.36,S7_31178325,7,89.28412826,3.45091218503126,7.61253475790281,4692.74112812629,1163.5322175972,S7_30250027,7,84.31080267,1.95842723427355,S7_32940091,7,101.9471039,1.39248170256683,wet.ma_te_residual_total_23_BP14
9@37.16,S9_8182398,9,37.12013546,4.36106264520154,9.74172642291772,-5329.68200703823,1168.15317421755,S9_5497941,9,31.29811037,2.84114028077245,S9_8458511,9,38.57941159,3.17180337923269,wet.ma_te_residual_total_23_BP14
5@66.47,S5_27496297,5,66.43972035,2.08316771242186,4.53071666348925,-3758.67336698276,1210.77729262373,S5_11863225,5,53.89546898,0.814329228504876,S5_42366438,5,102.9057427,0.722522432132874,wet.ma_te_residual_total_24_BP14
7@89.37,S7_31178325,7,89.28412826,3.74392322780269,8.3304266437154,5591.54778872847,1328.34703704855,S7_30250027,7,84.31080267,1.95842723427355,S7_32940091,7,101.9471039,1.39248170256683,wet.ma_te_residual_total_24_BP14
9@37.17,S9_8182398,9,37.12013546,4.16505313757852,9.32142503369123,-5938.2838716276,1333.62255408378,S9_5497941,9,31.29811037,2.84114028077245,S9_8458511,9,38.57941159,3.17180337923269,wet.ma_te_residual_total_24_BP14
5@66.48,S5_27496297,5,66.43972035,1.82591956102367,4.00030850490292,-3946.39048591551,1360.23617972381,S5_11863225,5,53.89546898,0.814329228504876,S5_42366438,5,102.9057427,0.722522432132874,wet.ma_te_residual_total_25_BP14
7@89.38,S7_31178325,7,89.28412826,3.7091362864297,8.33874672715935,6251.02143648157,1492.31878565126,S7_30250027,7,84.31080267,1.95842723427355,S7_32940091,7,101.9471039,1.39248170256683,wet.ma_te_residual_total_25_BP14
9@37.18,S9_8182398,9,37.12013546,4.01966634981562,9.07562431422339,-6547.26971159916,1498.24551485388,S9_5497941,9,31.29811037,2.84114028077245,S9_8458511,9,38.57941159,3.17180337923269,wet.ma_te_residual_total_25_BP14
5@66.49,S5_27496297,5,66.43972035,1.51821299619283,3.35359857668954,-4026.9502256626,1525.37578478569,S5_11863225,5,53.89546898,0.814329228504876,S5_42366438,5,102.9057427,0.722522432132874,wet.ma_te_residual_total_26_BP14
7@89.39,S7_31178325,7,89.28412826,3.56730048312026,8.10419503158042,6867.88396861254,1673.49389227055,S7_30250027,7,84.31080267,1.95842723427355,S7_32940091,7,101.9471039,1.39248170256683,wet.ma_te_residual_total_26_BP14
9@37.19,S9_8182398,9,37.12013546,3.9660323590765,9.05965806644497,-7290.29816468328,1680.14015660569,S9_5497941,9,31.29811037,2.84114028077245,S9_8458511,9,38.57941159,3.17180337923269,wet.ma_te_residual_total_26_BP14
5@66.410,S5_27496297,5,66.43972035,1.19820637486011,2.66050492296587,-3951.15698645169,1688.38847200521,S5_11863225,5,53.89546898,0.814329228504876,S5_42366438,5,102.9057427,0.722522432132874,wet.ma_te_residual_total_27_BP14
7@89.310,S7_31178325,7,89.28412826,3.34859003777506,7.65726295679868,7354.04556695639,1852.33555158193,S7_30250027,7,84.31080267,1.95842723427355,S7_32940091,7,101.9471039,1.39248170256683,wet.ma_te_residual_total_27_BP14
9@37.110,S9_8182398,9,37.12013546,4.1247790466305,9.53355996970551,-8238.3164008056,1859.69208378682,S9_5497941,9,31.29811037,2.84114028077245,S9_8458511,9,38.57941159,3.17180337923269,wet.ma_te_residual_total_27_BP14
5@66.411,S5_27496297,5,66.43972035,0.872852728020224,1.94287237621835,-3727.39446737978,1870.29525305644,S5_11863225,5,53.89546898,0.814329228504876,S5_42366438,5,102.9057427,0.722522432132874,wet.ma_te_residual_total_28_BP14
7@89.311,S7_31178325,7,89.28412826,3.17592429105925,7.29532651893444,7924.15333480875,2051.90597225346,S7_30250027,7,84.31080267,1.95842723427355,S7_32940091,7,101.9471039,1.39248170256683,wet.ma_te_residual_total_28_BP14
9@37.111,S9_8182398,9,37.12013546,4.36602307338169,10.1948389145575,-9404.63765757057,2060.05509639752,S9_5497941,9,31.29811037,2.84114028077245,S9_8458511,9,38.57941159,3.17180337923269,wet.ma_te_residual_total_28_BP14
5@66.412,S5_27496297,5,66.43972035,0.566315194318507,1.26629297191233,-3378.86907643638,2109.22091614161,S5_11863225,5,53.89546898,0.814329228504876,S5_42366438,5,102.9057427,0.722522432132874,wet.ma_te_residual_total_29_BP14
7@89.312,S7_31178325,7,89.28412826,2.8913804434029,6.67367150182152,8510.0862685903,2314.0319623654,S7_30250027,7,84.31080267,1.95842723427355,S7_32940091,7,101.9471039,1.39248170256683,wet.ma_te_residual_total_29_BP14
9@37.112,S9_8182398,9,37.12013546,4.61875599713819,10.9173660987625,-10927.7780872947,2323.22211726998,S9_5497941,9,31.29811037,2.84114028077245,S9_8458511,9,38.57941159,3.17180337923269,wet.ma_te_residual_total_29_BP14
