,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@98.5,S2_45043544,2,98.51301522,5.05399467961826,7.45864907096756,1006.3720619644,208.357904909095,1.90187049881627,2,84.60658262,1.41500197840821,1.74452522050956,2,114.5694173,1.30522901772041,wet.ma_te_fit_day_17_BP14
5@109.7,S5_43714208,5,109.7001758,4.69038465731002,6.88728311367713,-1141.27356372839,245.893634777977,1.54164625551971,5,71.92483855,1.07768828401747,1.20693301109895,5,120.9842738,0.854111701728497,wet.ma_te_fit_day_17_BP14
5@40.3,S5_5909140,5,40.32890934,1.85838736697547,2.62464563732644,717.500876178961,250.419759919187,1.54164625551971,5,71.92483855,1.07768828401747,1.20693301109895,5,120.9842738,0.854111701728497,wet.ma_te_fit_day_17_BP14
5@79.0,S5_32800961,5,79.00989287,0.869500446929784,1.2115781679997,-461.407687676147,237.023061747737,1.54164625551971,5,71.92483855,1.07768828401747,1.20693301109895,5,120.9842738,0.854111701728497,wet.ma_te_fit_day_17_BP14
6@73.8,S6_33052891,6,73.8397152,0.0290638510732073,0.0400387966173881,89.1514976600578,251.92405166332,0.401276174716145,6,0,0.212935439863967,1.17791614887869,6,92.0202595,0.938616672778547,wet.ma_te_fit_day_17_BP14
6@59.4,S6_31006529,6,59.39487638,0.931243599333442,1.29870227577874,511.28600981367,253.682556549359,0.401276174716145,6,0,0.212935439863967,1.17791614887869,6,92.0202595,0.938616672778547,wet.ma_te_fit_day_17_BP14
7@99.9,S7_32133319,7,99.94477983,6.3978767027237,9.61990380367593,-1702.79363233559,310.426043702196,4.13960911617619,7,94.85882286,2.77317138789304,3.7114693227162,7,101.9471039,2.51428499809706,wet.ma_te_fit_day_17_BP14
7@51.2,S7_19532160,7,51.17962841,0.0944132326229159,0.1301802914859,-153.473185708215,240.514567214866,4.13960911617619,7,94.85882286,2.77317138789304,3.7114693227162,7,101.9471039,2.51428499809706,wet.ma_te_fit_day_17_BP14
7@34.0,S7_17165775,7,34.01418423,1.88105573120559,2.6574834177604,-687.385820382949,238.422251376159,4.13960911617619,7,94.85882286,2.77317138789304,3.7114693227162,7,101.9471039,2.51428499809706,wet.ma_te_fit_day_17_BP14
9@34.9,S9_6724364,9,34.93391023,8.74527278109953,13.5890196496371,1509.12303818949,231.479258701914,6.08973401578896,9,32.79210864,4.97856610524683,6.34900940887621,9,36.65100204,5.56954790103951,wet.ma_te_fit_day_17_BP14
2@98.51,S2_45043544,2,98.51301522,5.95426141949797,8.31452967868107,1294.86626038097,245.451758064681,1.90187049881627,2,84.60658262,1.41500197840821,1.74452522050956,2,114.5694173,1.30522901772041,wet.ma_te_fit_day_18_BP14
5@109.71,S5_43714208,5,109.7001758,5.04531893613932,6.95695156808757,-1397.82520025713,289.669955068426,1.54164625551971,5,71.92483855,1.07768828401747,1.20693301109895,5,120.9842738,0.854111701728497,wet.ma_te_fit_day_18_BP14
5@40.31,S5_5909140,5,40.32890934,2.2047150260083,2.92347886183343,922.81503768212,295.001863995114,1.54164625551971,5,71.92483855,1.07768828401747,1.20693301109895,5,120.9842738,0.854111701728497,wet.ma_te_fit_day_18_BP14
5@79.01,S5_32800961,5,79.00989287,1.30623321708028,1.71096507690307,-668.20122185844,279.220158377183,1.54164625551971,5,71.92483855,1.07768828401747,1.20693301109895,5,120.9842738,0.854111701728497,wet.ma_te_fit_day_18_BP14
6@73.81,S6_33052891,6,73.8397152,0.0736675417196864,0.0948906950996715,167.25439374877,296.77396404287,0.401276174716145,6,0,0.212935439863967,1.17791614887869,6,92.0202595,0.938616672778547,wet.ma_te_fit_day_18_BP14
6@59.41,S6_31006529,6,59.39487638,1.04786241662194,1.36771868700954,639.418334814046,298.845534670496,0.401276174716145,6,0,0.212935439863967,1.17791614887869,6,92.0202595,0.938616672778547,wet.ma_te_fit_day_18_BP14
7@99.91,S7_32133319,7,99.94477983,7.10324020532812,10.0791546195378,-2124.05761508391,365.691036339661,4.13960911617619,7,94.85882286,2.77317138789304,3.7114693227162,7,101.9471039,2.51428499809706,wet.ma_te_fit_day_18_BP14
7@51.21,S7_19532160,7,51.17962841,0.216974289852651,0.280026582242485,-274.307135102313,283.333254808888,4.13960911617619,7,94.85882286,2.77317138789304,3.7114693227162,7,101.9471039,2.51428499809706,wet.ma_te_fit_day_18_BP14
7@34.01,S7_17165775,7,34.01418423,1.84224785833119,2.43077028469626,-801.151837285567,280.868445032359,4.13960911617619,7,94.85882286,2.77317138789304,3.7114693227162,7,101.9471039,2.51428499809706,wet.ma_te_fit_day_18_BP14
9@34.91,S9_6724364,9,34.93391023,9.41276199817538,13.796730870835,1853.08895834641,272.689394859689,6.08973401578896,9,32.79210864,4.97856610524683,6.34900940887621,9,36.65100204,5.56954790103951,wet.ma_te_fit_day_18_BP14
2@98.52,S2_45043544,2,98.51301522,6.861851972238,9.09882422198866,1676.64512623591,294.190798666048,1.90187049881627,2,84.60658262,1.41500197840821,1.74452522050956,2,114.5694173,1.30522901772041,wet.ma_te_fit_day_19_BP14
5@109.72,S5_43714208,5,109.7001758,5.40483109284777,7.0229264841394,-1738.38065041539,347.18934630194,1.54164625551971,5,71.92483855,1.07768828401747,1.20693301109895,5,120.9842738,0.854111701728497,wet.ma_te_fit_day_19_BP14
5@40.32,S5_5909140,5,40.32890934,2.5503784987706,3.18601829442369,1192.42551121139,353.58000554156,1.54164625551971,5,71.92483855,1.07768828401747,1.20693301109895,5,120.9842738,0.854111701728497,wet.ma_te_fit_day_19_BP14
5@79.02,S5_32800961,5,79.00989287,1.71171786035707,2.11395164354359,-919.341065104598,334.664546892336,1.54164625551971,5,71.92483855,1.07768828401747,1.20693301109895,5,120.9842738,0.854111701728497,wet.ma_te_fit_day_19_BP14
6@73.82,S6_33052891,6,73.8397152,0.147339323569337,0.178131486926318,283.64720626566,355.703989221595,0.401276174716145,6,0,0.212935439863967,1.17791614887869,6,92.0202595,0.938616672778547,wet.ma_te_fit_day_19_BP14
6@59.42,S6_31006529,6,59.39487638,1.11615688499956,1.36729569221698,791.334973369858,358.186908970225,0.401276174716145,6,0,0.212935439863967,1.17791614887869,6,92.0202595,0.938616672778547,wet.ma_te_fit_day_19_BP14
7@99.92,S7_32133319,7,99.94477983,7.82543154589709,10.5173940911392,-2685.65829486287,438.305836120471,4.13960911617619,7,94.85882286,2.77317138789304,3.7114693227162,7,101.9471039,2.51428499809706,wet.ma_te_fit_day_19_BP14
7@51.22,S7_19532160,7,51.17962841,0.409544002294346,0.496897613604951,-452.286236893411,339.594375603993,4.13960911617619,7,94.85882286,2.77317138789304,3.7114693227162,7,101.9471039,2.51428499809706,wet.ma_te_fit_day_19_BP14
7@34.02,S7_17165775,7,34.01418423,1.70979572363199,2.11152242907924,-924.23660610497,336.640131713322,4.13960911617619,7,94.85882286,2.77317138789304,3.7114693227162,7,101.9471039,2.51428499809706,wet.ma_te_fit_day_19_BP14
9@34.92,S9_6724364,9,34.93391023,10.0975700137082,14.0127209888135,2311.59556051463,326.83697804435,6.08973401578896,9,32.79210864,4.97856610524683,6.34900940887621,9,36.65100204,5.56954790103951,wet.ma_te_fit_day_19_BP14
2@98.53,S2_45043544,2,98.51301522,7.80965558170761,9.85980749374507,1970.87361427629,322.011600643523,1.90187049881627,2,84.60658262,1.41500197840821,1.74452522050956,2,114.5694173,1.30522901772041,wet.ma_te_fit_day_20_BP14
5@109.73,S5_43714208,5,109.7001758,5.74584722303529,7.04821752823594,-1966.53423734927,380.022072872426,1.54164625551971,5,71.92483855,1.07768828401747,1.20693301109895,5,120.9842738,0.854111701728497,wet.ma_te_fit_day_20_BP14
5@40.33,S5_5909140,5,40.32890934,2.9044665705213,3.42571557920448,1396.23596881301,387.01707890337,1.54164625551971,5,71.92483855,1.07768828401747,1.20693301109895,5,120.9842738,0.854111701728497,wet.ma_te_fit_day_20_BP14
5@79.03,S5_32800961,5,79.00989287,2.12057023277174,2.4744240202365,-1123.16158446568,366.312838171977,1.54164625551971,5,71.92483855,1.07768828401747,1.20693301109895,5,120.9842738,0.854111701728497,wet.ma_te_fit_day_20_BP14
6@73.83,S6_33052891,6,73.8397152,0.258138453234906,0.293670185521222,411.257789400858,389.341921786459,0.401276174716145,6,0,0.212935439863967,1.17791614887869,6,92.0202595,0.938616672778547,wet.ma_te_fit_day_20_BP14
6@59.43,S6_31006529,6,59.39487638,1.15931525217103,1.33513968822634,883.015921385578,392.059644319423,0.401276174716145,6,0,0.212935439863967,1.17791614887869,6,92.0202595,0.938616672778547,wet.ma_te_fit_day_20_BP14
7@99.93,S7_32133319,7,99.94477983,8.53616870880082,10.8875638943666,-3085.58904460601,479.755194589773,4.13960911617619,7,94.85882286,2.77317138789304,3.7114693227162,7,101.9471039,2.51428499809706,wet.ma_te_fit_day_20_BP14
7@51.23,S7_19532160,7,51.17962841,0.690028166959529,0.789623270504592,-643.822174086534,371.708867012909,4.13960911617619,7,94.85882286,2.77317138789304,3.7114693227162,7,101.9471039,2.51428499809706,wet.ma_te_fit_day_20_BP14
7@34.03,S7_17165775,7,34.01418423,1.52961320659805,1.77050935537785,-955.675545588473,368.475248530483,4.13960911617619,7,94.85882286,2.77317138789304,3.7114693227162,7,101.9471039,2.51428499809706,wet.ma_te_fit_day_20_BP14
9@34.93,S9_6724364,9,34.93391023,10.7534432887013,14.1522458103691,2623.2479375671,357.745038005158,6.08973401578896,9,32.79210864,4.97856610524683,6.34900940887621,9,36.65100204,5.56954790103951,wet.ma_te_fit_day_20_BP14
2@98.54,S2_45043544,2,98.51301522,8.79865436329662,10.5810432673548,2422.63202056636,370.331130949076,1.90187049881627,2,84.60658262,1.41500197840821,1.74452522050956,2,114.5694173,1.30522901772041,wet.ma_te_fit_day_21_BP14
