,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
1,S5_38228097,5,92.3513435,4.2048878648678,17.1387096657259,-1227.38776345708,0,S5_36886697,1,89.87760443,1.8011773112951,S5_41999990,1,100.4130166,1.77531247821942,dry.ma_te_residual_total_17_BP14
2,S5_38228097,5,92.3513435,6.71729199363157,16.2876088573617,-1335.26668270667,0,S5_36886697,1,89.87760443,1.8011773112951,S5_41999990,1,100.4130166,1.77531247821942,dry.ma_te_residual_total_18_BP14
3,S5_38228097,5,92.3513435,6.33751307211423,15.4419377250487,-1517.7728119234,0,S5_36886697,1,89.87760443,1.8011773112951,S5_41999990,1,100.4130166,1.77531247821942,dry.ma_te_residual_total_19_BP14
4,S5_38228097,5,92.3513435,5.74287652682727,14.1006406168672,-1711.58156303578,0,S5_36886697,1,89.87760443,1.8011773112951,S5_41999990,1,100.4130166,1.77531247821942,dry.ma_te_residual_total_20_BP14
5,S5_38228097,5,92.3513435,5.24109091322576,12.952244847964,-1953.39292457102,0,S5_36886697,1,89.87760443,1.8011773112951,S5_41999990,1,100.4130166,1.77531247821942,dry.ma_te_residual_total_21_BP14
6,S5_38228097,5,92.3513435,4.70516485366596,11.7087540880316,-2196.3975164568,0,S5_36886697,1,89.87760443,1.8011773112951,S5_41999990,1,100.4130166,1.77531247821942,dry.ma_te_residual_total_22_BP14
7,S5_38228097,5,92.3513435,4.13757289868421,10.3724157780709,-2471.09137977929,0,S5_36886697,1,89.87760443,1.8011773112951,S5_41999990,1,100.4130166,1.77531247821942,dry.ma_te_residual_total_23_BP14
8,S5_38228097,5,92.3513435,3.52435591349984,8.90591835380431,-2653.30510173519,0,S5_36886697,1,89.87760443,1.8011773112951,S5_41999990,1,100.4130166,1.77531247821942,dry.ma_te_residual_total_24_BP14
9,S5_38228097,5,92.3513435,2.63537363294608,6.73722167975915,-2635.00888399059,0,S5_36886697,1,89.87760443,1.8011773112951,S5_41999990,1,100.4130166,1.77531247821942,dry.ma_te_residual_total_25_BP14
10,S5_38228097,5,92.3513435,1.75977528603105,4.55071096228712,-2469.20123879439,0,S5_36886697,1,89.87760443,1.8011773112951,S5_41999990,1,100.4130166,1.77531247821942,dry.ma_te_residual_total_26_BP14
11,S5_38228097,5,92.3513435,1.10122507700827,2.87249327324508,-2223.00747903378,0,S5_36886697,1,89.87760443,1.8011773112951,S5_41999990,1,100.4130166,1.77531247821942,dry.ma_te_residual_total_27_BP14
12,S5_38228097,5,92.3513435,0.689812211371109,1.80912638576634,-2018.75664095143,0,S5_36886697,1,89.87760443,1.8011773112951,S5_41999990,1,100.4130166,1.77531247821942,dry.ma_te_residual_total_28_BP14
13,S5_38228097,5,92.3513435,0.385343996208517,1.01468746311228,-1757.51588756651,0,S5_36886697,1,89.87760443,1.8011773112951,S5_41999990,1,100.4130166,1.77531247821942,dry.ma_te_residual_total_29_BP14
14,S5_38228097,5,92.3513435,0.17770838801172,0.469227493895119,-1414.44757002798,0,S5_36886697,1,89.87760443,1.8011773112951,S5_41999990,1,100.4130166,1.77531247821942,dry.ma_te_residual_total_30_BP14
15,S5_38228097,5,92.3513435,0.101293882900464,0.282313211041252,-1330.26963212323,0,S5_36886697,1,89.87760443,1.8011773112951,S5_41999990,1,100.4130166,1.77531247821942,dry.ma_te_residual_total_31_BP14
16,S5_38228097,5,92.3513435,0.0126317148814508,0.035463951986292,-591.383808285395,0,S5_36886697,1,89.87760443,1.8011773112951,S5_41999990,1,100.4130166,1.77531247821942,dry.ma_te_residual_total_32_BP14
17,S5_38228097,5,92.3513435,0.016450027540297,0.0529616182044834,-842.881860953692,0,S5_36886697,1,89.87760443,1.8011773112951,S5_41999990,1,100.4130166,1.77531247821942,dry.ma_te_residual_total_33_BP14
