,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
5@115.1,S5_44003086,5,115.1315049,0.0189248153297843,0.06741323331768,-18.8991209540668,65.9544051707189,0.109056323256141,5,0,0.0437216418676184,0.653799001291191,5,136.1281106,0.265246845952771,dry.ma_te_residual_day_17_BP14
5@92.4,S5_38228097,5,92.3513435,1.72287120490369,6.37700626209335,-188.906685414324,67.7818921801562,0.109056323256141,5,0,0.0437216418676184,0.653799001291191,5,136.1281106,0.265246845952771,dry.ma_te_residual_day_17_BP14
7@99.9,S7_32133319,7,99.94477983,2.40662478823869,9.04717360068394,438.844623986785,132.199283911745,5.02037955707578,7,93.27304403,1.78237735514813,3.83660777837929,7,101.9471039,1.77985860183859,dry.ma_te_residual_day_17_BP14
9@34.9,S9_6724364,9,34.93391023,1.26293638069701,4.62626435631882,-186.914641438967,78.7413545000194,8.88033292880937,9,32.79210864,3.08725476576174,7.47751248880866,9,38.57941159,2.9823910977212,dry.ma_te_residual_day_17_BP14
9@16.7,S9_1875625,9,16.73880778,0.000178579061162587,0.000635860763875229,-3.39349564480911,121.938560726384,8.88033292880937,9,32.79210864,3.08725476576174,7.47751248880866,9,38.57941159,2.9823910977212,dry.ma_te_residual_day_17_BP14
5@115.11,S5_44003086,5,115.1315049,0.00285241392428581,0.00627162076926169,-6.06166424989942,53.8238238003859,0.109056323256141,5,0,0.0437216418676184,0.653799001291191,5,136.1281106,0.265246845952771,dry.ma_te_residual_day_18_BP14
5@92.41,S5_38228097,5,92.3513435,3.78798557938952,8.76014029260989,-218.836266649394,51.9919769920114,0.109056323256141,5,0,0.0437216418676184,0.653799001291191,5,136.1281106,0.265246845952771,dry.ma_te_residual_day_18_BP14
7@99.91,S7_32133319,7,99.94477983,3.2017049585481,7.34619899339393,281.574274654944,73.0523506825203,5.02037955707578,7,93.27304403,1.78237735514813,3.83660777837929,7,101.9471039,1.77985860183859,dry.ma_te_residual_day_18_BP14
9@34.91,S9_6724364,9,34.93391023,0.285408006156121,0.629880710333087,-62.8444534581557,55.681428013688,8.88033292880937,9,32.79210864,3.08725476576174,7.47751248880866,9,38.57941159,2.9823910977212,dry.ma_te_residual_day_18_BP14
9@16.71,S9_1875625,9,16.73880778,0.00337660972773257,0.00742422494153416,11.6540989272732,95.1098955664082,8.88033292880937,9,32.79210864,3.08725476576174,7.47751248880866,9,38.57941159,2.9823910977212,dry.ma_te_residual_day_18_BP14
5@115.12,S5_44003086,5,115.1315049,0.0448336063867538,0.0981146045366472,-27.1345762889951,60.7560461357046,0.109056323256141,5,0,0.0437216418676184,0.653799001291191,5,136.1281106,0.265246845952771,dry.ma_te_residual_day_19_BP14
5@92.42,S5_38228097,5,92.3513435,2.97570699327504,6.77136862632437,-217.749029341217,58.6882671979631,0.109056323256141,5,0,0.0437216418676184,0.653799001291191,5,136.1281106,0.265246845952771,dry.ma_te_residual_day_19_BP14
