,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
1,S5_38228097,5,92.3513435,7.00417529834294,26.8866646911706,-1261.56693186179,0,S5_37997803,1,91.36022511,6.42545266433623,S5_38859599,1,93.79879919,5.56297223638244,dry.sma_te_residual_total_17_BP14
2,S5_38228097,5,92.3513435,8.79829253846102,20.7735492104072,-1345.74607213568,0,S5_37997803,1,91.36022511,6.42545266433623,S5_38859599,1,93.79879919,5.56297223638244,dry.sma_te_residual_total_18_BP14
3,S5_38228097,5,92.3513435,8.19775739120533,19.5042588267618,-1539.71773028055,0,S5_37997803,1,91.36022511,6.42545266433623,S5_38859599,1,93.79879919,5.56297223638244,dry.sma_te_residual_total_19_BP14
4,S5_38228097,5,92.3513435,7.41969481864318,17.8294580181705,-1747.52080205862,0,S5_37997803,1,91.36022511,6.42545266433623,S5_38859599,1,93.79879919,5.56297223638244,dry.sma_te_residual_total_20_BP14
5,S5_38228097,5,92.3513435,6.84057587070979,16.560308225521,-2007.67352749021,0,S5_37997803,1,91.36022511,6.42545266433623,S5_38859599,1,93.79879919,5.56297223638244,dry.sma_te_residual_total_21_BP14
6,S5_38228097,5,92.3513435,6.20470633311028,15.144199186778,-2271.49217019963,0,S5_37997803,1,91.36022511,6.42545266433623,S5_38859599,1,93.79879919,5.56297223638244,dry.sma_te_residual_total_22_BP14
7,S5_38228097,5,92.3513435,5.5401969592636,13.6386196593108,-2575.37484463213,0,S5_37997803,1,91.36022511,6.42545266433623,S5_38859599,1,93.79879919,5.56297223638244,dry.sma_te_residual_total_23_BP14
8,S5_38228097,5,92.3513435,4.77579959996902,11.8736563403588,-2791.55054827274,0,S5_37997803,1,91.36022511,6.42545266433623,S5_38859599,1,93.79879919,5.56297223638244,dry.sma_te_residual_total_24_BP14
9,S5_38228097,5,92.3513435,3.68348771253057,9.28876896172407,-2820.82791528939,0,S5_37997803,1,91.36022511,6.42545266433623,S5_38859599,1,93.79879919,5.56297223638244,dry.sma_te_residual_total_25_BP14
10,S5_38228097,5,92.3513435,2.61391512504923,6.68423976665492,-2718.7095083243,0,S5_37997803,1,91.36022511,6.42545266433623,S5_38859599,1,93.79879919,5.56297223638244,dry.sma_te_residual_total_26_BP14
11,S5_38228097,5,92.3513435,1.80675789638988,4.66932505451568,-2556.65449952123,0,S5_37997803,1,91.36022511,6.42545266433623,S5_38859599,1,93.79879919,5.56297223638244,dry.sma_te_residual_total_27_BP14
12,S5_38228097,5,92.3513435,1.30952681536712,3.40648556066399,-2466.69249321409,0,S5_37997803,1,91.36022511,6.42545266433623,S5_38859599,1,93.79879919,5.56297223638244,dry.sma_te_residual_total_28_BP14
13,S5_38228097,5,92.3513435,0.922478230840451,2.4119136183027,-2365.2574710768,0,S5_37997803,1,91.36022511,6.42545266433623,S5_38859599,1,93.79879919,5.56297223638244,dry.sma_te_residual_total_29_BP14
14,S5_38228097,5,92.3513435,0.631255158227351,1.65683219019431,-2253.90119732451,0,S5_37997803,1,91.36022511,6.42545266433623,S5_38859599,1,93.79879919,5.56297223638244,dry.sma_te_residual_total_30_BP14
15,S5_38228097,5,92.3513435,0.502209831387543,1.39189607360484,-2361.97303314795,0,S5_37997803,1,91.36022511,6.42545266433623,S5_38859599,1,93.79879919,5.56297223638244,dry.sma_te_residual_total_31_BP14
16,S5_38228097,5,92.3513435,0.337343074310898,0.94279720982422,-2288.39239717344,0,S5_37997803,1,91.36022511,6.42545266433623,S5_38859599,1,93.79879919,5.56297223638244,dry.sma_te_residual_total_32_BP14
17,S5_38228097,5,92.3513435,0.249516645198061,0.800323310077167,-2350.69135823262,0,S5_37997803,1,91.36022511,6.42545266433623,S5_38859599,1,93.79879919,5.56297223638244,dry.sma_te_residual_total_33_BP14
