,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
5@111.9,S5_43769059,5,111.9145952,0.212702701309492,0.898948451635428,-67.4070326153425,68.9574385164179,S5_43575577,5,107.8767063,2.53368048161494,S5_44179618,5,116.8150866,3.40433806362664,dry.ma_te_residual_day_17_BP14
9@34.9,S9_6724364,9,34.93391023,1.14314250157444,4.93334155315069,-187.723120891976,81.9767090726048,S9_6184858,9,32.79210864,6.29714639871006,S9_7478538,9,36.4077051,6.22651284851639,dry.ma_te_residual_day_17_BP14
5@111.91,S5_43769059,5,111.9145952,0.958720493782884,2.47892276155847,-118.024723295229,56.30149706096,S5_43575577,5,107.8767063,2.53368048161494,S5_44179618,5,116.8150866,3.40433806362664,dry.ma_te_residual_day_18_BP14
9@34.91,S9_6724364,9,34.93391023,0.390547876989011,1.00223643850559,-75.9467298475144,56.9773745949892,S9_6184858,9,32.79210864,6.29714639871006,S9_7478538,9,36.4077051,6.22651284851639,dry.ma_te_residual_day_18_BP14
5@111.92,S5_43769059,5,111.9145952,0.998816881546698,2.58564437040667,-136.420652379102,63.7403473226099,S5_43575577,5,107.8767063,2.53368048161494,S5_44179618,5,116.8150866,3.40433806362664,dry.ma_te_residual_day_19_BP14
9@34.92,S9_6724364,9,34.93391023,0.326217333568186,0.836976260582034,-78.5479377431694,64.5055253554412,S9_6184858,9,32.79210864,6.29714639871006,S9_7478538,9,36.4077051,6.22651284851639,dry.ma_te_residual_day_19_BP14
5@111.93,S5_43769059,5,111.9145952,1.44849431588102,3.73253971099857,-188.187088193539,72.7963348995318,S5_43575577,5,107.8767063,2.53368048161494,S5_44179618,5,116.8150866,3.40433806362664,dry.ma_te_residual_day_20_BP14
9@34.93,S9_6724364,9,34.93391023,0.275957485946609,0.700108700137525,-82.4807938681216,73.6702265345088,S9_6184858,9,32.79210864,6.29714639871006,S9_7478538,9,36.4077051,6.22651284851639,dry.ma_te_residual_day_20_BP14
5@111.94,S5_43769059,5,111.9145952,1.15361542189587,2.95848777245487,-211.15204225359,91.7054328687115,S5_43575577,5,107.8767063,2.53368048161494,S5_44179618,5,116.8150866,3.40433806362664,dry.ma_te_residual_day_21_BP14
9@34.94,S9_6724364,9,34.93391023,0.604097408596839,1.53796093956743,-154.069098261766,92.8063208567746,S9_6184858,9,32.79210864,6.29714639871006,S9_7478538,9,36.4077051,6.22651284851639,dry.ma_te_residual_day_21_BP14
