,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
1@19.2,S1_3450097,1,19.19944234,2.09593695491216,4.31027373321367,1379.89370013328,448.54595942396,1.42300484811994,1,0,1.04145280330864,0.617395673048009,1,118.6339761,0.139032981488312,wet.sma_te_residual_total_17_BP14
1@39.1,S1_6712560,1,39.10907663,1.57819005303802,3.22266460612834,-1204.20440302691,452.695730972971,1.42300484811994,1,0,1.04145280330864,0.617395673048009,1,118.6339761,0.139032981488312,wet.sma_te_residual_total_17_BP14
2@113.9,S2_46820675,2,113.8524469,2.86690473793594,5.95834722033144,1391.71576718144,384.770162202933,3.37789845717248,2,102.3964743,2.08682485612966,3.69212761928395,2,118.5659378,1.92749124374626,wet.sma_te_residual_total_17_BP14
2@1.2,S2_697842,2,1.200339294,0.699402840222634,1.41119583116686,-776.372415925105,441.05240766839,3.37789845717248,2,102.3964743,2.08682485612966,3.69212761928395,2,118.5659378,1.92749124374626,wet.sma_te_residual_total_17_BP14
3@0.7,S3_503853,3,0.714249338,0.397630130064748,0.799023677199575,-513.276166755732,387.5118765016,1.18550421068016,3,0,0.544689413670727,0.875205552951456,3,129.9167988,0.251310091536391,wet.sma_te_residual_total_17_BP14
5@80.9,S5_33587455,5,80.92708184,2.60550242570567,5.39569475541305,-1413.39653425569,410.633217980859,2.82321488133312,5,61.08070473,1.21199689132845,1.36088419415898,5,102.9057427,0.76390545535731,wet.sma_te_residual_total_17_BP14
9@37.1,S9_8182398,9,37.12013546,0.582790635978165,1.17404439283496,-689.396448795364,429.378728349711,1.24564228214535,9,26.89565247,0.71947318357528,1.01481671563226,9,50.45688939,0.71109210260276,wet.sma_te_residual_total_17_BP14
1@19.21,S1_3450097,1,19.19944234,2.82705459920424,5.50397810882238,1827.81901145176,509.02870643415,1.42300484811994,1,0,1.04145280330864,0.617395673048009,1,118.6339761,0.139032981488312,wet.sma_te_residual_total_18_BP14
1@39.11,S1_6712560,1,39.10907663,2.00468184545677,3.8592037855352,-1544.69644653073,513.738040671165,1.42300484811994,1,0,1.04145280330864,0.617395673048009,1,118.6339761,0.139032981488312,wet.sma_te_residual_total_18_BP14
2@113.91,S2_46820675,2,113.8524469,3.56972060146242,7.02115284234342,1770.89777557594,436.653265569813,3.37789845717248,2,102.3964743,2.08682485612966,3.69212761928395,2,118.5659378,1.92749124374626,wet.sma_te_residual_total_18_BP14
2@1.21,S2_697842,2,1.200339294,0.939939383991284,1.78339390860372,-1023.06147060744,500.52471063039,3.37789845717248,2,102.3964743,2.08682485612966,3.69212761928395,2,118.5659378,1.92749124374626,wet.sma_te_residual_total_18_BP14
3@0.71,S3_503853,3,0.714249338,0.556030476275282,1.04949437169921,-689.545560470631,439.764677574627,1.18550421068016,3,0,0.544689413670727,0.875205552951456,3,129.9167988,0.251310091536391,wet.sma_te_residual_total_18_BP14
5@80.91,S5_33587455,5,80.92708184,2.71883135636643,5.28542841519964,-1639.76672225282,466.003742484105,2.82321488133312,5,61.08070473,1.21199689132845,1.36088419415898,5,102.9057427,0.76390545535731,wet.sma_te_residual_total_18_BP14
9@37.11,S9_8182398,9,37.12013546,1.02162377548502,1.9405330653712,-1038.93634991854,487.276931315766,1.24564228214535,9,26.89565247,0.71947318357528,1.01481671563226,9,50.45688939,0.71109210260276,wet.sma_te_residual_total_18_BP14
1@19.22,S1_3450097,1,19.19944234,3.42748967866184,6.34619529123108,2314.94517718007,583.093094959072,1.42300484811994,1,0,1.04145280330864,0.617395673048009,1,118.6339761,0.139032981488312,wet.sma_te_residual_total_19_BP14
1@39.12,S1_6712560,1,39.10907663,2.23633358256569,4.07359157732435,-1871.85492485042,588.487643912301,1.42300484811994,1,0,1.04145280330864,0.617395673048009,1,118.6339761,0.139032981488312,wet.sma_te_residual_total_19_BP14
2@113.92,S2_46820675,2,113.8524469,4.63722357440409,8.7305362449023,2329.15768584346,500.186926251526,3.37789845717248,2,102.3964743,2.08682485612966,3.69212761928395,2,118.5659378,1.92749124374626,wet.sma_te_residual_total_19_BP14
2@1.22,S2_697842,2,1.200339294,1.12054195954773,2.01027654844138,-1281.13573642292,573.35175587533,3.37789845717248,2,102.3964743,2.08682485612966,3.69212761928395,2,118.5659378,1.92749124374626,wet.sma_te_residual_total_19_BP14
3@0.72,S3_503853,3,0.714249338,0.638703783296481,1.13836510061522,-847.037912234496,503.751053053507,1.18550421068016,3,0,0.544689413670727,0.875205552951456,3,129.9167988,0.251310091536391,wet.sma_te_residual_total_19_BP14
