,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.9,S2_44784129,2,96.94547802,8.44871725308878,14.27536306113,16.8210727591287,2.58223076872258,S2_44209808,2,93.99718694,6.98044769117869,S2_45043544,2,98.51301522,7.08138937642294,wet.wue_day_17_BP14
3@48.6,S3_7671407,3,48.57267674,6.13914576182929,10.0431863514262,14.0618477934031,2.57360312794128,S3_7095091,3,46.70151328,4.82302927313724,S3_8325193,3,50.73315615,4.76614103283539,wet.wue_day_17_BP14
5@100.2,S5_41875724,5,100.1689707,4.75850756920363,7.63683171341875,-12.9359454174457,2.71504172130337,S5_31260652,5,76.16548797,4.79581105455837,S5_43054075,5,105.0885057,4.82990520761417,wet.wue_day_17_BP14
7@99.9,S7_32133319,7,99.94477983,7.40206923527413,12.324594639645,-23.0576218592904,3.8094575110787,S7_31956171,7,96.48121012,4.37969996006535,S7_32940091,7,101.9471039,4.76886589841978,wet.wue_day_17_BP14
2@96.91,S2_44784129,2,96.94547802,9.69726792802428,16.0187575623196,19.1974480519313,2.72667308915351,S2_44209808,2,93.99718694,6.98044769117869,S2_45043544,2,98.51301522,7.08138937642294,wet.wue_day_18_BP14
3@48.61,S3_7671407,3,48.57267674,6.16480251303081,9.69116393487354,14.8820781530955,2.71756284376949,S3_7095091,3,46.70151328,4.82302927313724,S3_8325193,3,50.73315615,4.76614103283539,wet.wue_day_18_BP14
5@100.21,S5_41875724,5,100.1689707,4.97857157311011,7.69853758286172,-13.9931232670436,2.8669130919965,S5_31260652,5,76.16548797,4.79581105455837,S5_43054075,5,105.0885057,4.82990520761417,wet.wue_day_18_BP14
7@99.91,S7_32133319,7,99.94477983,8.10528733238323,13.0920386462432,-25.6035867210362,4.02254725082938,S7_31956171,7,96.48121012,4.37969996006535,S7_32940091,7,101.9471039,4.76886589841978,wet.wue_day_18_BP14
2@96.92,S2_44784129,2,96.94547802,10.4185404525095,17.2607216420759,21.5696325564918,2.94060012085001,S2_44209808,2,93.99718694,6.98044769117869,S2_45043544,2,98.51301522,7.08138937642294,wet.wue_day_19_BP14
3@48.62,S3_7671407,3,48.57267674,5.84238556764546,9.07687715107932,15.589350634694,2.93077511146996,S3_7095091,3,46.70151328,4.82302927313724,S3_8325193,3,50.73315615,4.76614103283539,wet.wue_day_19_BP14
5@100.22,S5_41875724,5,100.1689707,6.18476848809138,9.65469069514374,-16.9614864936844,3.09184295628508,S5_31260652,5,76.16548797,4.79581105455837,S5_43054075,5,105.0885057,4.82990520761417,wet.wue_day_19_BP14
7@99.92,S7_32133319,7,99.94477983,6.80462057553648,10.714499308748,-25.0707482170629,4.33814489128431,S7_31956171,7,96.48121012,4.37969996006535,S7_32940091,7,101.9471039,4.76886589841978,wet.wue_day_19_BP14
2@96.93,S2_44784129,2,96.94547802,10.8737958893003,18.741722192292,22.1856339260672,2.95103704958648,S2_44209808,2,93.99718694,6.98044769117869,S2_45043544,2,98.51301522,7.08138937642294,wet.wue_day_20_BP14
3@48.63,S3_7671407,3,48.57267674,5.55538431899958,8.88583871405057,15.2251938805439,2.94117716877934,S3_7095091,3,46.70151328,4.82302927313724,S3_8325193,3,50.73315615,4.76614103283539,wet.wue_day_20_BP14
5@100.23,S5_41875724,5,100.1689707,5.95438909051006,9.57700189508896,-16.6749038068647,3.10281668384849,S5_31260652,5,76.16548797,4.79581105455837,S5_43054075,5,105.0885057,4.82990520761417,wet.wue_day_20_BP14
7@99.93,S7_32133319,7,99.94477983,4.8654893719105,7.70827508501984,-20.9900648035372,4.35354205758306,S7_31956171,7,96.48121012,4.37969996006535,S7_32940091,7,101.9471039,4.76886589841978,wet.wue_day_20_BP14
2@96.94,S2_44784129,2,96.94547802,10.0610375166619,18.4255172282165,23.0471809704298,3.2054803657673,S2_44209808,2,93.99718694,6.98044769117869,S2_45043544,2,98.51301522,7.08138937642294,wet.wue_day_21_BP14
3@48.64,S3_7671407,3,48.57267674,4.04412931263846,6.80898221553257,13.9635418828664,3.19477034965939,S3_7095091,3,46.70151328,4.82302927313724,S3_8325193,3,50.73315615,4.76614103283539,wet.wue_day_21_BP14
5@100.24,S5_41875724,5,100.1689707,6.16068839555076,10.6812843449216,-18.4502035684725,3.37034669220612,S5_31260652,5,76.16548797,4.79581105455837,S5_43054075,5,105.0885057,4.82990520761417,wet.wue_day_21_BP14
