,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.1,S2_44586954,2,96.05450929,4.13326427941808,7.68646319129917,2880.57964312233,651.512675786979,S2_44209808,2,93.99718694,5.64275532142222,S2_44908249,2,97.68940295,6.00911107964721,wet.rma_te_fit_total_17_BP14
5@109.5,S5_43706919,5,109.5147878,3.00231209851694,5.49704647535146,-2655.41956066891,710.190247374549,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100414,wet.rma_te_fit_total_17_BP14
7@99.9,S7_32133319,7,99.94477983,4.46159985413409,8.33475512853226,-4396.2548340089,954.866582916764,S7_31956171,7,96.48121012,4.62127096685522,S7_32940091,7,101.9471039,4.52076139027728,wet.rma_te_fit_total_17_BP14
9@34.9,S9_6724364,9,34.93391023,7.11842417137886,13.7982127519199,4259.09680954295,718.972619666305,S9_5686516,9,31.99307473,8.44804946390425,S9_8182398,9,37.12013546,8.92953487424299,wet.rma_te_fit_total_17_BP14
2@96.11,S2_44586954,2,96.05450929,5.27694491197367,9.27475547571784,4396.53620843578,873.119606362386,S2_44209808,2,93.99718694,5.64275532142222,S2_44908249,2,97.68940295,6.00911107964721,wet.rma_te_fit_total_18_BP14
5@109.51,S5_43706919,5,109.5147878,3.56731505379716,6.12356022738813,-3894.15515511269,951.755894052345,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100414,wet.rma_te_fit_total_18_BP14
7@99.91,S7_32133319,7,99.94477983,5.31838153764092,9.35295771752342,-6470.73673227624,1279.65696752994,S7_31956171,7,96.48121012,4.62127096685522,S7_32940091,7,101.9471039,4.52076139027728,wet.rma_te_fit_total_18_BP14
9@34.91,S9_6724364,9,34.93391023,8.3063545081117,15.2298816258774,6217.23331897522,963.525521449146,S9_5686516,9,31.99307473,8.44804946390425,S9_8182398,9,37.12013546,8.92953487424299,wet.rma_te_fit_total_18_BP14
2@96.12,S2_44586954,2,96.05450929,6.3466946630634,10.6134002324912,6356.94965996036,1142.61649588533,S2_44209808,2,93.99718694,5.64275532142222,S2_44908249,2,97.68940295,6.00911107964721,wet.rma_te_fit_total_19_BP14
5@109.52,S5_43706919,5,109.5147878,4.0554429671191,6.56978113926542,-5451.91136678586,1245.52464138452,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100414,wet.rma_te_fit_total_19_BP14
7@99.92,S7_32133319,7,99.94477983,6.1333316436848,10.2261690197981,-9145.29690826409,1674.63558202064,S7_31956171,7,96.48121012,4.62127096685522,S7_32940091,7,101.9471039,4.52076139027728,wet.rma_te_fit_total_19_BP14
9@34.92,S9_6724364,9,34.93391023,9.42780537100111,16.4621523779702,8736.83817980492,1260.9270791674,S9_5686516,9,31.99307473,8.44804946390425,S9_8182398,9,37.12013546,8.92953487424299,wet.rma_te_fit_total_19_BP14
2@96.13,S2_44586954,2,96.05450929,7.17713997600187,11.6012153303662,8588.97031156573,1443.35746174458,S2_44209808,2,93.99718694,5.64275532142222,S2_44908249,2,97.68940295,6.00911107964721,wet.rma_te_fit_total_20_BP14
5@109.53,S5_43706919,5,109.5147878,4.3941133545699,6.83321588197976,-7185.44654443216,1573.35141878566,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100414,wet.rma_te_fit_total_20_BP14
7@99.93,S7_32133319,7,99.94477983,6.71570217645019,10.7855943449554,-12137.5553597187,2115.40597542279,S7_31956171,7,96.48121012,4.62127096685522,S7_32940091,7,101.9471039,4.52076139027728,wet.rma_te_fit_total_20_BP14
9@34.93,S9_6724364,9,34.93391023,10.2306215222355,17.2631844373882,11562.1685157883,1592.80783621271,S9_5686516,9,31.99307473,8.44804946390425,S9_8182398,9,37.12013546,8.92953487424299,wet.rma_te_fit_total_20_BP14
2@96.14,S2_44586954,2,96.05450929,7.84036633947919,12.3491372436497,11188.1085903122,1790.52444170292,S2_44209808,2,93.99718694,5.64275532142222,S2_44908249,2,97.68940295,6.00911107964721,wet.rma_te_fit_total_21_BP14
5@109.54,S5_43706919,5,109.5147878,4.64546161834809,6.9985188247832,-9181.06931488836,1951.7855038617,S5_42251884,5,101.3829046,2.42690761555382,S5_44003086,5,115.1315049,2.51555573100414,wet.rma_te_fit_total_21_BP14
7@99.94,S7_32133319,7,99.94477983,7.18640816852922,11.2159206461352,-15627.0014814437,2624.21901954955,S7_31956171,7,96.48121012,4.62127096685522,S7_32940091,7,101.9471039,4.52076139027728,wet.rma_te_fit_total_21_BP14
9@34.94,S9_6724364,9,34.93391023,10.8629702233985,17.8557769414501,14846.2654762958,1975.92172227913,S9_5686516,9,31.99307473,8.44804946390425,S9_8182398,9,37.12013546,8.92953487424299,wet.rma_te_fit_total_21_BP14
