,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@98.5,S2_45043544,2,98.51301522,0.00493052293290219,0.0111519236856381,19.5090717776345,133.449588973152,1.38592097661842,2,0,0.520265103760086,1.94354379401125,2,119.7658678,0.964472072363184,wet.ma_te_residual_day_17_BP14
2@113.1,S2_46701398,2,113.0877388,1.27830946584695,2.94174465697793,318.008901261384,133.93445597585,1.38592097661842,2,0,0.520265103760086,1.94354379401125,2,119.7658678,0.964472072363184,wet.ma_te_residual_day_17_BP14
3@47.4,S3_7345986,3,47.38986671,1.01353842711926,2.32404029151449,247.176305802227,117.122555295361,1.34111341533264,3,0,0.543298266833938,1.05687723089488,3,119.0445886,0.172260213114522,wet.ma_te_residual_day_17_BP14
3@23.4,S3_3346389,3,23.38668286,0.403872676435038,0.918438672825373,-153.766192857743,115.902101046653,1.34111341533264,3,0,0.543298266833938,1.05687723089488,3,119.0445886,0.172260213114522,wet.ma_te_residual_day_17_BP14
5@104.1,S5_42739726,5,104.1345531,0.0239849882941368,0.0542635757895269,-41.7943470375284,129.604138145362,0.79701355771283,5,55.89671655,0.445537801948898,0.936014197886152,5,124.3787711,0.295634492625074,wet.ma_te_residual_day_17_BP14
7@99.9,S7_32133319,7,99.94477983,0.110441862510733,0.25015624215402,111.513975914305,161.056833608037,2.22100348575202,7,52.34268693,1.22442016790754,1.99360818409332,7,104.8359143,0.997873931391048,wet.ma_te_residual_day_17_BP14
7@44.6,S7_18357032,7,44.64341996,0.172987673786063,0.392157868005693,96.6137164710824,111.4458370507,2.22100348575202,7,52.34268693,1.22442016790754,1.99360818409332,7,104.8359143,0.997873931391048,wet.ma_te_residual_day_17_BP14
9@35.4,S9_6930910,9,35.42306752,2.01687083839622,4.68839128210552,-367.833822812859,122.714325369491,4.35057353999923,9,31.52841363,2.23332326045294,3.178664992074,9,45.61491815,1.95675693635561,wet.ma_te_residual_day_17_BP14
9@11.1,S9_1198094,9,11.13856621,0.61649164733768,1.40600371251334,-242.315718804908,147.619551650148,4.35057353999923,9,31.52841363,2.23332326045294,3.178664992074,9,45.61491815,1.95675693635561,wet.ma_te_residual_day_17_BP14
2@98.51,S2_45043544,2,98.51301522,0.0518009009702425,0.113266301362458,65.9998124167784,139.239770322014,1.38592097661842,2,0,0.520265103760086,1.94354379401125,2,119.7658678,0.964472072363184,wet.ma_te_residual_day_18_BP14
2@113.11,S2_46701398,2,113.0877388,1.39231850317628,3.10036698961481,346.556438035093,139.745674990674,1.38592097661842,2,0,0.520265103760086,1.94354379401125,2,119.7658678,0.964472072363184,wet.ma_te_residual_day_18_BP14
3@47.41,S3_7345986,3,47.38986671,1.22810080263053,2.7285808330539,284.304708390524,122.20433067152,1.34111341533264,3,0,0.543298266833938,1.05687723089488,3,119.0445886,0.172260213114522,wet.ma_te_residual_day_18_BP14
3@23.41,S3_3346389,3,23.38668286,0.436538347068485,0.959514322342901,-166.836911215462,120.930922708361,1.34111341533264,3,0,0.543298266833938,1.05687723089488,3,119.0445886,0.172260213114522,wet.ma_te_residual_day_18_BP14
5@104.11,S5_42739726,5,104.1345531,0.0283592776156194,0.0619898596188158,-47.4192079876778,135.22747103982,0.79701355771283,5,55.89671655,0.445537801948898,0.936014197886152,5,124.3787711,0.295634492625074,wet.ma_te_residual_day_18_BP14
7@99.91,S7_32133319,7,99.94477983,0.0563214629235276,0.123158369486209,83.058909144691,168.044852688798,2.22100348575202,7,52.34268693,1.22442016790754,1.99360818409332,7,104.8359143,0.997873931391048,wet.ma_te_residual_day_18_BP14
7@44.61,S7_18357032,7,44.64341996,0.439206291513434,0.965413437578786,160.914663483316,116.281307973201,2.22100348575202,7,52.34268693,1.22442016790754,1.99360818409332,7,104.8359143,0.997873931391048,wet.ma_te_residual_day_18_BP14
9@35.41,S9_6930910,9,35.42306752,2.79180381013981,6.33679159079087,-453.946923650115,128.038719423156,4.35057353999923,9,31.52841363,2.23332326045294,3.178664992074,9,45.61491815,1.95675693635561,wet.ma_te_residual_day_18_BP14
9@11.11,S9_1198094,9,11.13856621,0.402305881754383,0.883860438376693,-203.943951996675,154.024546834239,4.35057353999923,9,31.52841363,2.23332326045294,3.178664992074,9,45.61491815,1.95675693635561,wet.ma_te_residual_day_18_BP14
2@98.52,S2_45043544,2,98.51301522,0.0341935853596453,0.0715744947886847,61.034303217878,158.50491021218,1.38592097661842,2,0,0.520265103760086,1.94354379401125,2,119.7658678,0.964472072363184,wet.ma_te_residual_day_19_BP14
2@113.12,S2_46701398,2,113.0877388,2.25537321424661,4.86592443104373,505.071197388399,159.080811579272,1.38592097661842,2,0,0.520265103760086,1.94354379401125,2,119.7658678,0.964472072363184,wet.ma_te_residual_day_19_BP14
3@47.42,S3_7345986,3,47.38986671,0.872771882187227,1.84780998454581,272.174101874662,139.11245627476,1.34111341533264,3,0,0.543298266833938,1.05687723089488,3,119.0445886,0.172260213114522,wet.ma_te_residual_day_19_BP14
3@23.42,S3_3346389,3,23.38668286,0.793476613959969,1.67811800589262,-256.672985599063,137.662860269272,1.34111341533264,3,0,0.543298266833938,1.05687723089488,3,119.0445886,0.172260213114522,wet.ma_te_residual_day_19_BP14
5@104.12,S5_42739726,5,104.1345531,0.266395667450867,0.559380894411333,-165.710599210026,153.937471354749,0.79701355771283,5,55.89671655,0.445537801948898,0.936014197886152,5,124.3787711,0.295634492625074,wet.ma_te_residual_day_19_BP14
7@99.92,S7_32133319,7,99.94477983,0.348958490669924,0.73356834062135,235.818054046858,191.295448315213,2.22100348575202,7,52.34268693,1.22442016790754,1.99360818409332,7,104.8359143,0.997873931391048,wet.ma_te_residual_day_19_BP14
