,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.1,S2_44586954,2,96.05450929,4.08887949518535,7.47849268592983,4.30139834759993,0.981409126123817,S2_44209808,2,93.99718694,6.93449334513079,S2_45043544,2,98.51301522,7.02143883321072,wet.water_lost_total_17_BP14
5@109.7,S5_43714262,5,109.7001769,3.33136151754581,6.02977226694983,-4.24777337398129,1.07934018895422,S5_42719546,5,103.4003774,4.30557547297455,S5_44003086,5,115.1315049,4.24821376855287,wet.water_lost_total_17_BP14
7@51.2,S7_19532160,7,51.17962841,0.458701758530708,0.798301573852974,-1.41693691627893,0.98949701288062,S7_9428033,7,8.555063982,0.975458234892447,S7_22850966,7,63.3307682,1.32748335861498,wet.water_lost_total_17_BP14
7@99.9,S7_32133319,7,99.94477983,4.01440800792506,7.33474792045429,-6.34043491922797,1.46074334928459,S7_31429416,7,92.5060333,4.86887735364879,S7_32940091,7,101.9471039,3.20314731359627,wet.water_lost_total_17_BP14
9@34.9,S9_6724364,9,34.93391023,6.74472133742551,12.7990665027723,6.24366458124675,1.08892478058721,S9_6184858,9,32.79210864,8.94586179759,S9_8279734,9,37.58932098,9.11625085032206,wet.water_lost_total_17_BP14
2@96.11,S2_44586954,2,96.05450929,5.2568981046832,9.01656574213358,7.75731942746626,1.54839468881049,S2_44209808,2,93.99718694,6.93449334513079,S2_45043544,2,98.51301522,7.02143883321072,wet.water_lost_total_18_BP14
5@109.71,S5_43714262,5,109.7001769,4.00458335447087,6.75069368160432,-7.38199174524773,1.70290307223572,S5_42719546,5,103.4003774,4.30557547297455,S5_44003086,5,115.1315049,4.24821376855287,wet.water_lost_total_18_BP14
7@51.21,S7_19532160,7,51.17962841,0.749884161604029,1.20902280262176,-2.8639981919661,1.56115515798138,S7_9428033,7,8.555063982,0.975458234892447,S7_22850966,7,63.3307682,1.32748335861498,wet.water_lost_total_18_BP14
7@99.91,S7_32133319,7,99.94477983,4.74900282819588,8.08833146731335,-10.9356447638849,2.30465275239569,S7_31429416,7,92.5060333,4.86887735364879,S7_32940091,7,101.9471039,3.20314731359627,wet.water_lost_total_18_BP14
9@34.91,S9_6724364,9,34.93391023,7.88617097926476,14.0314554690795,10.7371803598681,1.71802493159478,S9_6184858,9,32.79210864,8.94586179759,S9_8279734,9,37.58932098,9.11625085032206,wet.water_lost_total_18_BP14
2@96.12,S2_44586954,2,96.05450929,6.38497433577171,10.3137709821208,12.3123580631257,2.2125413983913,S2_44209808,2,93.99718694,6.93449334513079,S2_45043544,2,98.51301522,7.02143883321072,wet.water_lost_total_19_BP14
5@109.72,S5_43714262,5,109.7001769,4.64192963711684,7.31894604598298,-11.406831440985,2.43332244162097,S5_42719546,5,103.4003774,4.30557547297455,S5_44003086,5,115.1315049,4.24821376855287,wet.water_lost_total_19_BP14
7@51.22,S7_19532160,7,51.17962841,1.13201840868417,1.70093559351322,-5.04128006545822,2.23077516430869,S7_9428033,7,8.555063982,0.975458234892447,S7_22850966,7,63.3307682,1.32748335861498,wet.water_lost_total_19_BP14
7@99.92,S7_32133319,7,99.94477983,5.45043290915705,8.69050895522646,-16.8220502664829,3.29317819315772,S7_31429416,7,92.5060333,4.86887735364879,S7_32940091,7,101.9471039,3.20314731359627,wet.water_lost_total_19_BP14
9@34.92,S9_6724364,9,34.93391023,8.99433151359915,15.0698479836068,16.5133322801669,2.45493045932754,S9_6184858,9,32.79210864,8.94586179759,S9_8279734,9,37.58932098,9.11625085032206,wet.water_lost_total_19_BP14
2@96.13,S2_44586954,2,96.05450929,7.28843677502768,11.2707411484553,18.0272200723679,3.01302056187589,S2_44209808,2,93.99718694,6.93449334513079,S2_45043544,2,98.51301522,7.02143883321072,wet.water_lost_total_20_BP14
