,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.1,S2_44586954,2,96.05450929,6.15800445463529,10.4323432403726,1177.48098004543,215.144402294267,S2_43829684,2,92.81876812,3.56052268454285,S2_45156658,2,100.2097111,3.75032159778813,wet.ma_te_fit_day_17_BP14
5@109.7,S5_43714208,5,109.7001758,4.18679945132042,6.9017307582353,-1050.26839315721,235.932828060345,S5_32611224,5,78.29328827,2.24332293017479,S5_44163859,5,116.340362,1.82730807135058,wet.ma_te_fit_day_17_BP14
7@99.9,S7_32133319,7,99.94477983,5.61512242500959,9.44110524112621,-1644.3275841448,315.823183531767,S7_31956171,7,96.48121012,3.72068287131546,S7_32940091,7,101.9471039,3.53532317000951,wet.ma_te_fit_day_17_BP14
9@34.9,S9_6724364,9,34.93391023,8.9284799650459,15.7242859736965,1599.19700384622,238.003632076538,S9_5686516,9,31.99307473,7.34913642619929,S9_7478538,9,36.4077051,7.53865502005467,wet.ma_te_fit_day_17_BP14
2@96.11,S2_44586954,2,96.05450929,7.02198346688427,11.5518336033765,1509.96199113393,256.81215991725,S2_43829684,2,92.81876812,3.56052268454285,S2_45156658,2,100.2097111,3.75032159778813,wet.ma_te_fit_day_18_BP14
5@109.71,S5_43714208,5,109.7001758,4.48842414705013,7.12844230713738,-1300.75707022064,281.626751723194,S5_32611224,5,78.29328827,2.24332293017479,S5_44163859,5,116.340362,1.82730807135058,wet.ma_te_fit_day_18_BP14
7@99.91,S7_32133319,7,99.94477983,6.14881643366417,9.99295062082882,-2061.58563678298,376.989747582648,S7_31956171,7,96.48121012,3.72068287131546,S7_32940091,7,101.9471039,3.53532317000951,wet.ma_te_fit_day_18_BP14
9@34.91,S9_6724364,9,34.93391023,9.53510015298852,16.2499296940555,1981.16127314281,284.098615487683,S9_5686516,9,31.99307473,7.34913642619929,S9_7478538,9,36.4077051,7.53865502005467,wet.ma_te_fit_day_18_BP14
2@96.12,S2_44586954,2,96.05450929,7.72429358469734,12.3684114211591,1933.92646694806,312.072648193158,S2_43829684,2,92.81876812,3.56052268454285,S2_45156658,2,100.2097111,3.75032159778813,wet.ma_te_fit_day_19_BP14
5@109.72,S5_43714208,5,109.7001758,4.74117558364645,7.2828252844106,-1627.38857859097,342.226809823232,S5_32611224,5,78.29328827,2.24332293017479,S5_44163859,5,116.340362,1.82730807135058,wet.ma_te_fit_day_19_BP14
7@99.92,S7_32133319,7,99.94477983,6.67780116654421,10.5373835207654,-2620.3743824577,458.109884312705,S7_31956171,7,96.48121012,3.72068287131546,S7_32940091,7,101.9471039,3.53532317000951,wet.ma_te_fit_day_19_BP14
9@34.92,S9_6724364,9,34.93391023,10.1272140621669,16.7744781147849,2491.50083982365,345.23056584166,S9_5686516,9,31.99307473,7.34913642619929,S9_7478538,9,36.4077051,7.53865502005467,wet.ma_te_fit_day_19_BP14
2@96.13,S2_44586954,2,96.05450929,8.35345801030515,13.0674591949953,2244.68092443233,346.775982912729,S2_43829684,2,92.81876812,3.56052268454285,S2_45156658,2,100.2097111,3.75032159778813,wet.ma_te_fit_day_20_BP14
5@109.73,S5_43714208,5,109.7001758,4.93772523186662,7.36472817769371,-1847.97343249977,380.283370050693,S5_32611224,5,78.29328827,2.24332293017479,S5_44163859,5,116.340362,1.82730807135058,wet.ma_te_fit_day_20_BP14
7@99.93,S7_32133319,7,99.94477983,7.16833044430608,11.0287793034547,-3027.16935808184,509.052960374299,S7_31956171,7,96.48121012,3.72068287131546,S7_32940091,7,101.9471039,3.53532317000951,wet.ma_te_fit_day_20_BP14
9@34.93,S9_6724364,9,34.93391023,10.655450300299,17.2194079899222,2850.50417495598,383.621151979841,S9_5686516,9,31.99307473,7.34913642619929,S9_7478538,9,36.4077051,7.53865502005467,wet.ma_te_fit_day_20_BP14
2@96.14,S2_44586954,2,96.05450929,8.89486932527547,13.6176898124445,2719.00126012524,405.520517662741,S2_43829684,2,92.81876812,3.56052268454285,S2_45156658,2,100.2097111,3.75032159778813,wet.ma_te_fit_day_21_BP14
5@109.74,S5_43714208,5,109.7001758,5.10690090228013,7.41541197896246,-2200.30889670661,444.704122200696,S5_32611224,5,78.29328827,2.24332293017479,S5_44163859,5,116.340362,1.82730807135058,wet.ma_te_fit_day_21_BP14
7@99.94,S7_32133319,7,99.94477983,7.64700158876049,11.5037853819351,-3668.52963344287,595.287534836829,S7_31956171,7,96.48121012,3.72068287131546,S7_32940091,7,101.9471039,3.53532317000951,wet.ma_te_fit_day_21_BP14
9@34.94,S9_6724364,9,34.93391023,11.1581337646873,17.6388664586792,3423.31261139105,448.607330964995,S9_5686516,9,31.99307473,7.34913642619929,S9_7478538,9,36.4077051,7.53865502005467,wet.ma_te_fit_day_21_BP14
2@96.15,S2_44586954,2,96.05450929,9.46431490188713,14.1136876482232,2932.14674214788,422.250466884839,S2_43829684,2,92.81876812,3.56052268454285,S2_45156658,2,100.2097111,3.75032159778813,wet.ma_te_fit_day_22_BP14
5@109.75,S5_43714208,5,109.7001758,5.19862835984181,7.30327810074797,-2313.03759736707,463.050610378794,S5_32611224,5,78.29328827,2.24332293017479,S5_44163859,5,116.340362,1.82730807135058,wet.ma_te_fit_day_22_BP14
7@99.95,S7_32133319,7,99.94477983,8.51024965769206,12.5214313392371,-4054.2114378005,619.846416068705,S7_31956171,7,96.48121012,3.72068287131546,S7_32940091,7,101.9471039,3.53532317000951,wet.ma_te_fit_day_22_BP14
