,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@98.5,S2_45043544,2,98.51301522,1.77450335864973,5.55653651507848,941.536455701341,334.416608000218,0.287395665403778,2,37.47027379,0.110811216397314,0.992044448105958,2,114.5694173,0.659287937934487,dry.sma_te_fit_total_17_BP14
4@52.9,S4_28815325,4,52.90088436,0.01233822915861,0.037132816044128,84.329264081571,366.397203996848,0.1054571372905,4,0,0.0229275137488217,0.0643142237317988,4,95.09955426,0.0278754698939966,dry.sma_te_fit_total_17_BP14
5@115.1,S5_44003086,5,115.1315049,0.526331702496572,1.60237745846976,-544.041828661729,359.834385493729,0.303248122027924,5,32.24837916,0.0953211796926091,0.498374922092864,5,136.1281106,0.336866889314061,dry.sma_te_fit_total_17_BP14
6@61.4,S6_31345498,6,61.39299496,0.447523650039235,1.36004533608871,472.189289978913,338.994165204273,1.07229984510013,6,0,0.304759233978135,1.36812442259691,6,92.0202595,1.13460536377112,dry.sma_te_fit_total_17_BP14
7@99.9,S7_32133319,7,99.94477983,1.93400547042704,6.07792034457896,-2131.27830758931,723.794779226256,2.90933693702948,7,93.27304403,2.20300254704072,3.17377494315622,7,101.9471039,2.75798583544128,dry.sma_te_fit_total_17_BP14
9@34.9,S9_6724364,9,34.93391023,5.55909737987572,18.9879760161784,2168.85860268485,416.720327466017,8.00031790790467,9,32.79210864,6.66678784380316,7.4781046132357,9,38.57941159,6.43860941402499,dry.sma_te_fit_total_17_BP14
2@98.51,S2_45043544,2,98.51301522,3.10192351571842,5.38623108969419,1309.14028071827,346.329621451482,0.287395665403778,2,37.47027379,0.110811216397314,0.992044448105958,2,114.5694173,0.659287937934487,dry.sma_te_fit_total_18_BP14
4@52.91,S4_28815325,4,52.90088436,0.37890603451822,0.634476815411219,470.850097848464,362.928212774214,0.1054571372905,4,0,0.0229275137488217,0.0643142237317988,4,95.09955426,0.0278754698939966,dry.sma_te_fit_total_18_BP14
5@115.11,S5_44003086,5,115.1315049,1.13036968394686,1.9117798026225,-851.787085023333,378.231817767482,0.303248122027924,5,32.24837916,0.0953211796926091,0.498374922092864,5,136.1281106,0.336866889314061,dry.sma_te_fit_total_18_BP14
6@61.41,S6_31345498,6,61.39299496,0.654731191516838,1.10036326232971,585.666073049607,342.789861876508,1.07229984510013,6,0,0.304759233978135,1.36812442259691,6,92.0202595,1.13460536377112,dry.sma_te_fit_total_18_BP14
7@99.91,S7_32133319,7,99.94477983,5.58774613906521,10.0334580607073,-2626.56246376536,509.106166231151,2.90933693702948,7,93.27304403,2.20300254704072,3.17377494315622,7,101.9471039,2.75798583544128,dry.sma_te_fit_total_18_BP14
9@34.91,S9_6724364,9,34.93391023,8.80159846257374,16.5132193924538,2471.7392859151,373.450227581441,8.00031790790467,9,32.79210864,6.66678784380316,7.4781046132357,9,38.57941159,6.43860941402499,dry.sma_te_fit_total_18_BP14
2@98.52,S2_45043544,2,98.51301522,3.61540593784231,6.05101329211797,1705.37485408846,416.450065549701,0.287395665403778,2,37.47027379,0.110811216397314,0.992044448105958,2,114.5694173,0.659287937934487,dry.sma_te_fit_total_19_BP14
4@52.92,S4_28815325,4,52.90088436,0.475706553916808,0.76348959492865,634.80224610438,436.40932983502,0.1054571372905,4,0,0.0229275137488217,0.0643142237317988,4,95.09955426,0.0278754698939966,dry.sma_te_fit_total_19_BP14
5@115.12,S5_44003086,5,115.1315049,1.21298280400536,1.96594621944259,-1061.59787319862,454.811415327687,0.303248122027924,5,32.24837916,0.0953211796926091,0.498374922092864,5,136.1281106,0.336866889314061,dry.sma_te_fit_total_19_BP14
