,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
1@25.0,S1_4203850,1,24.99841678,0.189996700622229,0.537165943993564,179.233322091007,200.149542275574,0.114961328024606,1,0,0.0200465973965954,0.351553906128856,1,118.6339761,0.186058746557756,dry.sma_te_residual_total_17_BP14
2@89.4,S2_43100924,2,89.4251276,2.20158612266416,6.51331522287632,623.603754472606,199.985153108285,0.71021295066123,2,1.200339294,0.38074919305814,1.4164521637673,2,119.7658678,0.621118534985813,dry.sma_te_residual_total_17_BP14
3@21.7,S3_3112424,3,21.70283653,0.0116106081325267,0.0326952132488643,44.9120520164482,203.287602171947,0.73073101613727,3,0,0.423082502394296,0.593435181336645,3,129.9167988,0.161698797135915,dry.sma_te_residual_total_17_BP14
5@92.4,S5_38228097,5,92.3513435,8.75045780201399,30.1487596021343,-1349.46998079673,201.149327888252,5.15663136996011,5,89.1281049,2.36750428963935,5.63611187773381,5,100.6567954,2.41151034280486,dry.sma_te_residual_total_17_BP14
7@99.9,S7_32133319,7,99.94477983,0.728572956908147,2.08488569682915,739.415898294495,419.119378438096,0.414789872575625,7,0.479463164,0.247082460674639,0.221477449380927,7,114.8052423,0.078505796984834,dry.sma_te_residual_total_17_BP14
9@87.9,S9_34338749,9,87.94089861,0.136866535142481,0.386494421148299,149.930340501749,197.382204301134,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_17_BP14
9@33.9,S9_6501061,9,33.93753996,0.00114077097544829,0.00321163377123668,-17.7582916724096,256.465090948826,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_17_BP14
9@9.7,S9_999361,9,9.72015668,0.185672479659837,0.524889527059287,221.684206694539,250.432611566364,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_17_BP14
1@25.01,S1_4203850,1,24.99841678,0.0474419207991854,0.0875843485416041,-85.8626799292206,188.580496844755,0.114961328024606,1,0,0.0200465973965954,0.351553906128856,1,118.6339761,0.186058746557756,dry.sma_te_residual_total_18_BP14
2@89.41,S2_43100924,2,89.4251276,3.55500461725576,6.87737917033318,769.190184424481,190.64606129883,0.71021295066123,2,1.200339294,0.38074919305814,1.4164521637673,2,119.7658678,0.621118534985813,dry.sma_te_residual_total_18_BP14
3@21.71,S3_3112424,3,21.70283653,0.0127990364154211,0.0236179604531159,-44.9776979073988,190.231142315684,0.73073101613727,3,0,0.423082502394296,0.593435181336645,3,129.9167988,0.161698797135915,dry.sma_te_residual_total_18_BP14
5@92.41,S5_38228097,5,92.3513435,10.2038854490173,21.6132021853028,-1387.74850432915,194.024600548111,5.15663136996011,5,89.1281049,2.36750428963935,5.63611187773381,5,100.6567954,2.41151034280486,dry.sma_te_residual_total_18_BP14
7@99.91,S7_32133319,7,99.94477983,0.399759293075089,0.741463228531792,373.562738689584,281.983911102119,0.414789872575625,7,0.479463164,0.247082460674639,0.221477449380927,7,114.8052423,0.078505796984834,dry.sma_te_residual_total_18_BP14
9@87.91,S9_34338749,9,87.94089861,0.308085043861322,0.570734307407662,218.578956946815,188.060223425625,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_18_BP14
9@33.91,S9_6501061,9,33.93753996,0.000812440669406556,0.00149895253568388,12.7243370994039,213.622411680698,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_18_BP14
9@9.71,S9_999361,9,9.72015668,0.500806009643155,0.930127453005458,361.677088029997,243.756022194401,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_18_BP14
1@25.02,S1_4203850,1,24.99841678,0.0654039913112143,0.121610561577,-119.466310135727,223.442182290029,0.114961328024606,1,0,0.0200465973965954,0.351553906128856,1,118.6339761,0.186058746557756,dry.sma_te_residual_total_19_BP14
2@89.42,S2_43100924,2,89.4251276,3.31071967608531,6.42805468683925,878.073046750639,225.889594599368,0.71021295066123,2,1.200339294,0.38074919305814,1.4164521637673,2,119.7658678,0.621118534985813,dry.sma_te_residual_total_19_BP14
3@21.72,S3_3112424,3,21.70283653,0.00956417333399173,0.017770248809132,-46.0671555946801,225.397972164286,0.73073101613727,3,0,0.423082502394296,0.593435181336645,3,129.9167988,0.161698797135915,dry.sma_te_residual_total_19_BP14
5@92.42,S5_38228097,5,92.3513435,9.79129034976065,20.7643017108082,-1606.12185197756,229.892703062028,5.15663136996011,5,89.1281049,2.36750428963935,5.63611187773381,5,100.6567954,2.41151034280486,dry.sma_te_residual_total_19_BP14
7@99.92,S7_32133319,7,99.94477983,0.796200602376649,1.4948496199519,626.3053335691,334.112495838867,0.414789872575625,7,0.479463164,0.247082460674639,0.221477449380927,7,114.8052423,0.078505796984834,dry.sma_te_residual_total_19_BP14
9@87.92,S9_34338749,9,87.94089861,0.530941309373096,0.993327774868025,340.491492303572,222.825729209763,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_19_BP14
9@33.92,S9_6501061,9,33.93753996,0.0177997591883727,0.0330755847472091,70.5770670759617,253.113437765988,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_19_BP14
9@9.72,S9_999361,9,9.72015668,0.458205267182798,0.856420796294863,409.790592358333,288.817658542341,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_19_BP14
1@25.03,S1_4203850,1,24.99841678,0.0901418043703455,0.169088276563023,-167.222014220132,266.36739099328,0.114961328024606,1,0,0.0200465973965954,0.351553906128856,1,118.6339761,0.186058746557756,dry.sma_te_residual_total_20_BP14
2@89.43,S2_43100924,2,89.4251276,3.11774113701242,6.08906205411849,1014.47877039932,269.284972735644,0.71021295066123,2,1.200339294,0.38074919305814,1.4164521637673,2,119.7658678,0.621118534985813,dry.sma_te_residual_total_20_BP14
3@21.73,S3_3112424,3,21.70283653,0.00711232529086914,0.0133266680036535,-47.3567980898315,268.69890530628,0.73073101613727,3,0,0.423082502394296,0.593435181336645,3,129.9167988,0.161698797135915,dry.sma_te_residual_total_20_BP14
5@92.43,S5_38228097,5,92.3513435,9.15188334155541,19.4016087469614,-1842.95866640633,274.057113546899,5.15663136996011,5,89.1281049,2.36750428963935,5.63611187773381,5,100.6567954,2.41151034280486,dry.sma_te_residual_total_20_BP14
7@99.93,S7_32133319,7,99.94477983,1.27824081061054,2.4358396317254,949.048925660655,398.298445274466,0.414789872575625,7,0.479463164,0.247082460674639,0.221477449380927,7,114.8052423,0.078505796984834,dry.sma_te_residual_total_20_BP14
9@87.93,S9_34338749,9,87.94089861,0.747510185192542,1.41445561459863,482.315851660766,265.632511853732,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_20_BP14
9@33.93,S9_6501061,9,33.93753996,0.0448559016817107,0.0840904158852176,133.5857059117,301.738755646207,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_20_BP14
9@9.73,S9_999361,9,9.72015668,0.388563520855328,0.731755767858676,449.653892325008,344.302071302069,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_20_BP14
1@25.04,S1_4203850,1,24.99841678,0.118825551996157,0.224591950476594,-229.741470343594,318.67848482723,0.114961328024606,1,0,0.0200465973965954,0.351553906128856,1,118.6339761,0.186058746557756,dry.sma_te_residual_total_21_BP14
2@89.44,S2_43100924,2,89.4251276,2.84219351265503,5.57046872270409,1156.69600208745,322.169041706393,0.71021295066123,2,1.200339294,0.38074919305814,1.4164521637673,2,119.7658678,0.621118534985813,dry.sma_te_residual_total_21_BP14
3@21.74,S3_3112424,3,21.70283653,0.00699807009064024,0.0132074741471442,-56.2000921443103,321.467878250536,0.73073101613727,3,0,0.423082502394296,0.593435181336645,3,129.9167988,0.161698797135915,dry.sma_te_residual_total_21_BP14
5@92.44,S5_38228097,5,92.3513435,8.6314323286267,18.2992799670382,-2133.6310654206,327.878368953402,5.15663136996011,5,89.1281049,2.36750428963935,5.63611187773381,5,100.6567954,2.41151034280486,dry.sma_te_residual_total_21_BP14
7@99.94,S7_32133319,7,99.94477983,1.8308770180239,3.5401788715423,1363.89978205539,476.51908357022,0.414789872575625,7,0.479463164,0.247082460674639,0.221477449380927,7,114.8052423,0.078505796984834,dry.sma_te_residual_total_21_BP14
9@87.94,S9_34338749,9,87.94089861,0.821278938793217,1.56682499526208,605.135624210426,317.799284975292,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_21_BP14
9@33.94,S9_6501061,9,33.93753996,0.0703191672282202,0.132824801816099,200.139093876538,360.99632580556,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_21_BP14
9@9.74,S9_999361,9,9.72015668,0.296187937851915,0.561140960860772,469.393279192532,411.91852349595,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_21_BP14
1@25.05,S1_4203850,1,24.99841678,0.187262694722572,0.35472235657582,-341.598367243233,377.278127817082,0.114961328024606,1,0,0.0200465973965954,0.351553906128856,1,118.6339761,0.186058746557756,dry.sma_te_residual_total_22_BP14
2@89.45,S2_43100924,2,89.4251276,2.74356711324285,5.37699023145876,1344.53524505223,381.410539721587,0.71021295066123,2,1.200339294,0.38074919305814,1.4164521637673,2,119.7658678,0.621118534985813,dry.sma_te_residual_total_22_BP14
3@21.75,S3_3112424,3,21.70283653,0.0178215871888199,0.0336828965985987,-106.184484238872,380.580444034196,0.73073101613727,3,0,0.423082502394296,0.593435181336645,3,129.9167988,0.161698797135915,dry.sma_te_residual_total_22_BP14
5@92.45,S5_38228097,5,92.3513435,8.04409458330768,16.939013492576,-2428.70957537871,388.169716752363,5.15663136996011,5,89.1281049,2.36750428963935,5.63611187773381,5,100.6567954,2.41151034280486,dry.sma_te_residual_total_22_BP14
7@99.95,S7_32133319,7,99.94477983,2.48117281736292,4.84568617835263,1887.89007019531,564.142972551006,0.414789872575625,7,0.479463164,0.247082460674639,0.221477449380927,7,114.8052423,0.078505796984834,dry.sma_te_residual_total_22_BP14
9@87.95,S9_34338749,9,87.94089861,0.882484948244208,1.68713391675669,742.927536879976,376.237257818293,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_22_BP14
9@33.95,S9_6501061,9,33.93753996,0.102781863203633,0.194476865432957,286.520378877274,427.37751192273,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_22_BP14
9@9.75,S9_999361,9,9.72015668,0.204811029355865,0.388053470970295,461.823332043159,487.66345001917,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_22_BP14
1@25.06,S1_4203850,1,24.99841678,0.206806143442327,0.397572170023473,-432.062571814616,454.025449160904,0.114961328024606,1,0,0.0200465973965954,0.351553906128856,1,118.6339761,0.186058746557756,dry.sma_te_residual_total_23_BP14
2@89.46,S2_43100924,2,89.4251276,2.59380424903015,5.14745846335279,1571.6873054009,458.998491679738,0.71021295066123,2,1.200339294,0.38074919305814,1.4164521637673,2,119.7658678,0.621118534985813,dry.sma_te_residual_total_23_BP14
3@21.76,S3_3112424,3,21.70283653,0.0712660842722279,0.136759024347665,-255.6239228864,457.999534837223,0.73073101613727,3,0,0.423082502394296,0.593435181336645,3,129.9167988,0.161698797135915,dry.sma_te_residual_total_23_BP14
5@92.46,S5_38228097,5,92.3513435,7.24922754081457,15.3208664620944,-2759.56319669824,467.132645666116,5.15663136996011,5,89.1281049,2.36750428963935,5.63611187773381,5,100.6567954,2.41151034280486,dry.sma_te_residual_total_23_BP14
7@99.96,S7_32133319,7,99.94477983,2.6766823970041,5.31782870327879,2362.83494094442,678.903036296929,0.414789872575625,7,0.479463164,0.247082460674639,0.221477449380927,7,114.8052423,0.078505796984834,dry.sma_te_residual_total_23_BP14
9@87.96,S9_34338749,9,87.94089861,0.956134659651116,1.85647512020425,931.072280222331,452.772841511866,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_23_BP14
9@33.96,S9_6501061,9,33.93753996,0.0768788570719519,0.1475408505766,298.156881790373,514.316236498249,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_23_BP14
9@9.76,S9_999361,9,9.72015668,0.181532248387015,0.348867851281721,523.15178558327,586.865764563108,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_23_BP14
1@25.07,S1_4203850,1,24.99841678,0.269677992672275,0.521038976560472,-574.6081518952,528.546792580298,0.114961328024606,1,0,0.0200465973965954,0.351553906128856,1,118.6339761,0.186058746557756,dry.sma_te_residual_total_24_BP14
2@89.47,S2_43100924,2,89.4251276,2.71667664283948,5.4227363322474,1874.03191538017,534.336084078282,0.71021295066123,2,1.200339294,0.38074919305814,1.4164521637673,2,119.7658678,0.621118534985813,dry.sma_te_residual_total_24_BP14
3@21.77,S3_3112424,3,21.70283653,0.187603243729054,0.36207028074573,-483.190020971824,533.17316372654,0.73073101613727,3,0,0.423082502394296,0.593435181336645,3,129.9167988,0.161698797135915,dry.sma_te_residual_total_24_BP14
5@92.47,S5_38228097,5,92.3513435,6.39473148139168,13.4142304949934,-2999.71214575638,543.805335213432,5.15663136996011,5,89.1281049,2.36750428963935,5.63611187773381,5,100.6567954,2.41151034280486,dry.sma_te_residual_total_24_BP14
7@99.97,S7_32133319,7,99.94477983,2.96615676514005,5.94054654193316,2901.19842200001,790.334601223201,0.414789872575625,7,0.479463164,0.247082460674639,0.221477449380927,7,114.8052423,0.078505796984834,dry.sma_te_residual_total_24_BP14
9@87.97,S9_34338749,9,87.94089861,1.0473315574708,2.04451899626047,1135.09555784126,527.088588516002,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_24_BP14
9@33.97,S9_6501061,9,33.93753996,0.0401552624491757,0.0773476594470814,250.790050685369,598.73339187377,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_24_BP14
9@9.77,S9_999361,9,9.72015668,0.213292174456345,0.411789459044353,660.287184446892,683.190816964727,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_24_BP14
1@25.08,S1_4203850,1,24.99841678,0.38465529072638,0.752760163812273,-789.058576297331,607.263153078655,0.114961328024606,1,0,0.0200465973965954,0.351553906128856,1,118.6339761,0.186058746557756,dry.sma_te_residual_total_25_BP14
2@89.48,S2_43100924,2,89.4251276,2.80463418329553,5.66848355106927,2188.99836674973,613.914642518208,0.71021295066123,2,1.200339294,0.38074919305814,1.4164521637673,2,119.7658678,0.621118534985813,dry.sma_te_residual_total_25_BP14
3@21.78,S3_3112424,3,21.70283653,0.390398201637117,0.764057050944867,-801.91560471514,612.578528687812,0.73073101613727,3,0,0.423082502394296,0.593435181336645,3,129.9167988,0.161698797135915,dry.sma_te_residual_total_25_BP14
5@92.48,S5_38228097,5,92.3513435,5.08851208288786,10.6056104050492,-3047.25492450982,624.794147194705,5.15663136996011,5,89.1281049,2.36750428963935,5.63611187773381,5,100.6567954,2.41151034280486,dry.sma_te_residual_total_25_BP14
7@99.98,S7_32133319,7,99.94477983,3.11251323043651,6.31676009679386,3417.87107212792,908.038963935343,0.414789872575625,7,0.479463164,0.247082460674639,0.221477449380927,7,114.8052423,0.078505796984834,dry.sma_te_residual_total_25_BP14
9@87.98,S9_34338749,9,87.94089861,1.16334494222153,2.30029709413084,1375.53950607154,605.587778995703,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_25_BP14
9@33.98,S9_6501061,9,33.93753996,0.00224916184344259,0.00437931327059715,68.1763859139002,687.902627556871,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_25_BP14
9@9.78,S9_999361,9,9.72015668,0.371785857071103,0.727450919384363,1002.63152926788,784.938278858921,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_25_BP14
1@25.09,S1_4203850,1,24.99841678,0.57456356331015,1.1445201100161,-1105.4317350197,695.215682989615,0.114961328024606,1,0,0.0200465973965954,0.351553906128856,1,118.6339761,0.186058746557756,dry.sma_te_residual_total_26_BP14
2@89.49,S2_43100924,2,89.4251276,2.79793947853424,5.74112134544289,2502.93539057129,702.830536204689,0.71021295066123,2,1.200339294,0.38074919305814,1.4164521637673,2,119.7658678,0.621118534985813,dry.sma_te_residual_total_26_BP14
3@21.79,S3_3112424,3,21.70283653,0.622147583716808,1.24008929555861,-1160.73086740842,701.300907271266,0.73073101613727,3,0,0.423082502394296,0.593435181336645,3,129.9167988,0.161698797135915,dry.sma_te_residual_total_26_BP14
5@92.49,S5_38228097,5,92.3513435,3.71724846724494,7.72216889930642,-2954.26796259704,715.285766257614,5.15663136996011,5,89.1281049,2.36750428963935,5.63611187773381,5,100.6567954,2.41151034280486,dry.sma_te_residual_total_26_BP14
7@99.99,S7_32133319,7,99.94477983,2.91689288135582,5.99475097445334,3782.97387454527,1039.55414599595,0.414789872575625,7,0.479463164,0.247082460674639,0.221477449380927,7,114.8052423,0.078505796984834,dry.sma_te_residual_total_26_BP14
9@87.99,S9_34338749,9,87.94089861,1.31976177213417,2.65510397427314,1679.04042639601,693.297657284552,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_26_BP14
9@33.99,S9_6501061,9,33.93753996,0.0323834125514217,0.0640453805173529,-296.21984989592,787.534518804169,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_26_BP14
9@9.79,S9_999361,9,9.72015668,0.654486998401739,1.30510948368563,1525.81635436992,898.624260133426,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_26_BP14
1@25.010,S1_4203850,1,24.99841678,0.818863237650937,1.63525218485139,-1486.69121588546,781.929491098859,0.114961328024606,1,0,0.0200465973965954,0.351553906128856,1,118.6339761,0.186058746557756,dry.sma_te_residual_total_27_BP14
2@89.410,S2_43100924,2,89.4251276,2.83619767998671,5.81831453672477,2835.03265573625,790.494140091888,0.71021295066123,2,1.200339294,0.38074919305814,1.4164521637673,2,119.7658678,0.621118534985813,dry.sma_te_residual_total_27_BP14
3@21.710,S3_3112424,3,21.70283653,0.830463233302481,1.6586726474977,-1510.40560304553,788.773721518564,0.73073101613727,3,0,0.423082502394296,0.593435181336645,3,129.9167988,0.161698797135915,dry.sma_te_residual_total_27_BP14
5@92.410,S5_38228097,5,92.3513435,2.68702323513515,5.50128763582781,-2805.56674494654,804.502903034235,5.15663136996011,5,89.1281049,2.36750428963935,5.63611187773381,5,100.6567954,2.41151034280486,dry.sma_te_residual_total_27_BP14
7@99.910,S7_32133319,7,99.94477983,2.69345838370853,5.51493785551196,4082.50074010496,1169.21707066909,0.414789872575625,7,0.479463164,0.247082460674639,0.221477449380927,7,114.8052423,0.078505796984834,dry.sma_te_residual_total_27_BP14
9@87.910,S9_34338749,9,87.94089861,1.64151922231038,3.31415563962838,2110.64419900257,779.772231272635,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_27_BP14
9@33.910,S9_6501061,9,33.93753996,0.241421614628715,0.478435198742265,-910.940489812502,885.76319634108,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_27_BP14
9@9.710,S9_999361,9,9.72015668,1.01297665089041,2.02811650963556,2140.09688588414,1010.70909015399,1.00475025349886,9,0,0.261577651963749,1.83930457709482,9,168.493715,1.14127062578763,dry.sma_te_residual_total_27_BP14
1@25.011,S1_4203850,1,24.99841678,1.01004619908412,2.00600316486318,-1859.99150630015,879.713495021457,0.114961328024606,1,0,0.0200465973965954,0.351553906128856,1,118.6339761,0.186058746557756,dry.sma_te_residual_total_28_BP14
2@89.411,S2_43100924,2,89.4251276,2.65583316214232,5.39170573423156,3082.75709862692,889.349194128676,0.71021295066123,2,1.200339294,0.38074919305814,1.4164521637673,2,119.7658678,0.621118534985813,dry.sma_te_residual_total_28_BP14
