,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@98.5,S2_45043544,2,98.51301522,3.11676227144706,5.11427349522845,0.756793948752671,0.200917536894504,0.924185740856331,2,0,0.474221857787781,0.78743108849153,2,119.7658678,0.562887292645408,dry.water_lost_17_BP14
4@52.9,S4_28902914,4,52.90088541,0.635295175166398,1.0085014174858,0.350821082458851,0.209739195001335,0.223357431216982,4,29.9831182,0.0995955454279403,0.454750263417509,4,71.23521902,0.162616202370958,dry.water_lost_17_BP14
5@115.9,S5_44050206,5,115.8565285,0.883777197280857,1.4075913521025,-0.436887567474924,0.221087179992647,0.737438569470896,5,48.49918863,0.331034123936698,0.831586774325785,5,128.7633351,0.417215563823892,dry.water_lost_17_BP14
5@80.9,S5_33587455,5,80.92708184,0.637476928080485,1.01199414789506,-0.346479303585089,0.206785682822525,0.737438569470896,5,48.49918863,0.331034123936698,0.831586774325785,5,128.7633351,0.417215563823892,dry.water_lost_17_BP14
6@61.4,S6_31345498,6,61.39299496,0.700937992504119,1.11367616699283,0.359103710465606,0.204301990859574,0.45326097777604,6,0,0.14953572759697,1.51375437974343,6,92.0202595,1.19338272130128,dry.water_lost_17_BP14
6@89.3,S6_35005650,6,89.29289545,0.302688642661487,0.478389452191401,0.237745535785068,0.206373410876291,0.45326097777604,6,0,0.14953572759697,1.51375437974343,6,92.0202595,1.19338272130128,dry.water_lost_17_BP14
7@99.9,S7_32133319,7,99.94477983,5.26228880955103,8.8881911738674,-1.45934791436515,0.29388966731165,3.44924346742982,7,93.27304403,1.78089186949906,1.86736391477797,7,104.8359143,1.3021304283478,dry.water_lost_17_BP14
9@34.9,S9_6724364,9,34.93391023,9.61390352293333,17.2332714220791,1.48811267496011,0.215220740227126,8.38222753940937,9,32.79210864,6.42389611301907,8.70871295010772,9,38.05852079,6.73843395722105,dry.water_lost_17_BP14
2@98.51,S2_45043544,2,98.51301522,3.90916458695028,6.06194976632374,0.934253551210482,0.220293922216981,0.924185740856331,2,0,0.474221857787781,0.78743108849153,2,119.7658678,0.562887292645408,dry.water_lost_18_BP14
4@52.91,S4_28902914,4,52.90088541,0.803259736414681,1.19494754620725,0.433006846295442,0.229966336555963,0.223357431216982,4,29.9831182,0.0995955454279403,0.454750263417509,4,71.23521902,0.162616202370958,dry.water_lost_18_BP14
5@115.91,S5_44050206,5,115.8565285,0.73310323358449,1.08956567730594,-0.435843940658762,0.24240871546243,0.737438569470896,5,48.49918863,0.331034123936698,0.831586774325785,5,128.7633351,0.417215563823892,dry.water_lost_18_BP14
5@80.91,S5_33587455,5,80.92708184,1.00932459060559,1.50561077040149,-0.47920083715169,0.226727989161094,0.737438569470896,5,48.49918863,0.331034123936698,0.831586774325785,5,128.7633351,0.417215563823892,dry.water_lost_18_BP14
