,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.1,S2_44586954,2,96.05450929,6.26082080641213,10.3031639935935,2.50633244416031,0.455227366291939,S2_43829684,2,92.81876812,4.82027566078084,S2_45322381,2,101.3191103,4.94284891366842,wet.water_lost_17_BP14
5@109.7,S5_43714262,5,109.7001769,4.60256039744907,7.4019344955904,-2.3363303169082,0.500652763940861,S5_42366438,5,102.9057427,3.72204611788124,S5_44050206,5,115.8565285,3.88322913186708,wet.water_lost_17_BP14
7@51.2,S7_19532160,7,51.17962841,1.12406377928316,1.72349674450751,-1.03352978944355,0.458978938688365,S7_16414980,7,32.98157305,1.49294942257835,S7_21479861,7,59.36936369,1.4679590411747,wet.water_lost_17_BP14
7@99.9,S7_32133319,7,99.94477983,4.89782842300161,7.90903356475596,-3.26842786634088,0.677566908664957,S7_31178325,7,89.28412826,2.60090254244444,S7_32940091,7,101.9471039,2.5425462019056,wet.water_lost_17_BP14
9@34.9,S9_6724364,9,34.93391023,8.70432061722542,14.822893363518,3.33555150364716,0.505098584027438,S9_6184858,9,32.79210864,7.96828477748065,S9_8279734,9,37.58932098,7.958926860977,wet.water_lost_17_BP14
2@96.11,S2_44586954,2,96.05450929,7.19485323410016,11.3998158239237,3.61568273148911,0.608631064321901,S2_43829684,2,92.81876812,4.82027566078084,S2_45322381,2,101.3191103,4.94284891366842,wet.water_lost_18_BP14
5@109.71,S5_43714262,5,109.7001769,5.01176279434135,7.70319690831526,-3.26877594512432,0.669364030231904,S5_42366438,5,102.9057427,3.72204611788124,S5_44050206,5,115.8565285,3.88322913186708,wet.water_lost_18_BP14
7@51.21,S7_19532160,7,51.17962841,1.47600141704141,2.16104649211112,-1.58722263436452,0.613646851310096,S7_16414980,7,32.98157305,1.49294942257835,S7_21479861,7,59.36936369,1.4679590411747,wet.water_lost_18_BP14
7@99.91,S7_32133319,7,99.94477983,5.34721720551881,8.25710310458474,-4.58014341374726,0.905895162079484,S7_31178325,7,89.28412826,2.60090254244444,S7_32940091,7,101.9471039,2.5425462019056,wet.water_lost_18_BP14
9@34.91,S9_6724364,9,34.93391023,9.33121884688211,15.2352489750524,4.63782080539947,0.675308014296653,S9_6184858,9,32.79210864,7.96828477748065,S9_8279734,9,37.58932098,7.958926860977,wet.water_lost_18_BP14
2@96.12,S2_44586954,2,96.05450929,7.98032517730338,12.1959481000511,4.71743603062741,0.749861745494501,S2_43829684,2,92.81876812,4.82027566078084,S2_45322381,2,101.3191103,4.94284891366842,wet.water_lost_19_BP14
5@109.72,S5_43714262,5,109.7001769,5.37776400395489,7.92549047217422,-4.18234222054457,0.824687580874875,S5_42366438,5,102.9057427,3.72204611788124,S5_44050206,5,115.8565285,3.88322913186708,wet.water_lost_19_BP14
7@51.22,S7_19532160,7,51.17962841,1.85466539907265,2.6039196460498,-2.19774054552237,0.756041428074762,S7_16414980,7,32.98157305,1.49294942257835,S7_21479861,7,59.36936369,1.4679590411747,wet.water_lost_19_BP14
7@99.92,S7_32133319,7,99.94477983,5.80457279673915,8.60535246754938,-5.8980220675851,1.11610492347901,S7_31178325,7,89.28412826,2.60090254244444,S7_32940091,7,101.9471039,2.5425462019056,wet.water_lost_19_BP14
9@34.92,S9_6724364,9,34.93391023,9.96017662209226,15.6523445820416,5.92974100597103,0.832010845373296,S9_6184858,9,32.79210864,7.96828477748065,S9_8279734,9,37.58932098,7.958926860977,wet.water_lost_19_BP14
2@96.13,S2_44586954,2,96.05450929,8.71078002933501,12.8748051770356,5.87480472969509,0.889244336512866,S2_43829684,2,92.81876812,4.82027566078084,S2_45322381,2,101.3191103,4.94284891366842,wet.water_lost_20_BP14
5@109.73,S5_43714262,5,109.7001769,5.69700835649521,8.07283710169128,-5.11616395291142,0.97797862751602,S5_42366438,5,102.9057427,3.72204611788124,S5_44050206,5,115.8565285,3.88322913186708,wet.water_lost_20_BP14
7@51.23,S7_19532160,7,51.17962841,2.28004252330682,3.08219855751643,-2.89812961357873,0.896572684396944,S7_16414980,7,32.98157305,1.49294942257835,S7_21479861,7,59.36936369,1.4679590411747,wet.water_lost_20_BP14
7@99.93,S7_32133319,7,99.94477983,6.23571081710968,8.902653283806,-7.27120950856038,1.32356396111837,S7_31178325,7,89.28412826,2.60090254244444,S7_32940091,7,101.9471039,2.5425462019056,wet.water_lost_20_BP14
9@34.93,S9_6724364,9,34.93391023,10.5429787933716,15.9916213445916,7.26469090320987,0.986663123716999,S9_6184858,9,32.79210864,7.96828477748065,S9_8279734,9,37.58932098,7.958926860977,wet.water_lost_20_BP14
2@96.14,S2_44586954,2,96.05450929,9.36766420671174,13.4062409488615,7.00170940948802,1.01726438475714,S2_43829684,2,92.81876812,4.82027566078084,S2_45322381,2,101.3191103,4.94284891366842,wet.water_lost_21_BP14
5@109.74,S5_43714262,5,109.7001769,5.99585742553872,8.18475104200794,-6.01674443594386,1.11877330670109,S5_42366438,5,102.9057427,3.72204611788124,S5_44050206,5,115.8565285,3.88322913186708,wet.water_lost_21_BP14
7@51.24,S7_19532160,7,51.17962841,2.73562688334761,3.56989385656371,-3.64286115789239,1.02564775814,S7_16414980,7,32.98157305,1.49294942257835,S7_21479861,7,59.36936369,1.4679590411747,wet.water_lost_21_BP14
7@99.94,S7_32133319,7,99.94477983,6.66865847685935,9.18889729302013,-8.62791973411756,1.51411082793477,S7_31178325,7,89.28412826,2.60090254244444,S7_32940091,7,101.9471039,2.5425462019056,wet.water_lost_21_BP14
9@34.94,S9_6724364,9,34.93391023,11.1173877900286,16.3097123404186,8.56882970136827,1.12870806627398,S9_6184858,9,32.79210864,7.96828477748065,S9_8279734,9,37.58932098,7.958926860977,wet.water_lost_21_BP14
2@96.15,S2_44586954,2,96.05450929,10.0955144537679,13.8815605310705,8.24981725470687,1.1486582371088,S2_43829684,2,92.81876812,4.82027566078084,S2_45322381,2,101.3191103,4.94284891366842,wet.water_lost_22_BP14
5@109.75,S5_43714262,5,109.7001769,6.24378277028786,8.13327364497629,-6.94490214896164,1.26327844900071,S5_42366438,5,102.9057427,3.72204611788124,S5_44050206,5,115.8565285,3.88322913186708,wet.water_lost_22_BP14
7@51.25,S7_19532160,7,51.17962841,3.32504491672207,4.15982742871812,-4.55331016919188,1.15812443983375,S7_16414980,7,32.98157305,1.49294942257835,S7_21479861,7,59.36936369,1.4679590411747,wet.water_lost_22_BP14
7@99.95,S7_32133319,7,99.94477983,7.49155913487421,9.93018008973341,-10.38550384092,1.70967931293311,S7_31178325,7,89.28412826,2.60090254244444,S7_32940091,7,101.9471039,2.5425462019056,wet.water_lost_22_BP14
9@34.95,S9_6724364,9,34.93391023,11.6891591945627,16.4409848090459,9.9617786109944,1.27449642103246,S9_6184858,9,32.79210864,7.96828477748065,S9_8279734,9,37.58932098,7.958926860977,wet.water_lost_22_BP14
2@96.16,S2_44586954,2,96.05450929,10.4674758266723,14.0254564828844,9.1985744154426,1.25448522697991,S2_43829684,2,92.81876812,4.82027566078084,S2_45322381,2,101.3191103,4.94284891366842,wet.water_lost_23_BP14
5@109.76,S5_43714262,5,109.7001769,6.46046946603853,8.18217193050226,-7.72688733927621,1.37966550940545,S5_42366438,5,102.9057427,3.72204611788124,S5_44050206,5,115.8565285,3.88322913186708,wet.water_lost_23_BP14
7@51.26,S7_19532160,7,51.17962841,3.85550691511471,4.70983810994209,-5.37439284909367,1.26482356008056,S7_16414980,7,32.98157305,1.49294942257835,S7_21479861,7,59.36936369,1.4679590411747,wet.water_lost_23_BP14
7@99.96,S7_32133319,7,99.94477983,7.7448493757101,9.98653435594069,-11.5529594573811,1.86719371494359,S7_31178325,7,89.28412826,2.60090254244444,S7_32940091,7,101.9471039,2.5425462019056,wet.water_lost_23_BP14
9@34.96,S9_6724364,9,34.93391023,12.2024994626317,16.7591248740158,11.156692956519,1.3919170040066,S9_6184858,9,32.79210864,7.96828477748065,S9_8279734,9,37.58932098,7.958926860977,wet.water_lost_23_BP14
2@96.17,S2_44586954,2,96.05450929,10.5100496020624,13.9591248509152,9.80168392996509,1.3336233196313,S2_43829684,2,92.81876812,4.82027566078084,S2_45322381,2,101.3191103,4.94284891366842,wet.water_lost_24_BP14
