,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@97.7,S2_44908249,2,97.68940295,0.408537929957879,1.01665034940708,299.463918421584,226.295577127618,1.60662968641702,2,55.60180501,1.16471774338933,2.49765054112493,2,115.3816967,1.47156088118181,dry.te_residual_total_17_BP14
2@5.3,S2_1558172,2,5.312472497,0.402203835236778,1.00074575349636,287.679101076698,219.11081039142,1.60662968641702,2,55.60180501,1.16471774338933,2.49765054112493,2,115.3816967,1.47156088118181,dry.te_residual_total_17_BP14
2@84.4,S2_42024286,2,84.3810523,1.39933229970218,3.56077264068941,522.923362612925,211.146211315915,1.60662968641702,2,55.60180501,1.16471774338933,2.49765054112493,2,115.3816967,1.47156088118181,dry.te_residual_total_17_BP14
2@113.1,S2_46701398,2,113.0877388,0.168697412992136,0.417555391961848,169.071144389185,199.35623096171,1.60662968641702,2,55.60180501,1.16471774338933,2.49765054112493,2,115.3816967,1.47156088118181,dry.te_residual_total_17_BP14
5@92.8,S5_38502687,5,92.83337609,8.66181310862205,26.0844382938377,-1244.97750541847,185.732596510185,5.49425442772917,5,88.88556146,2.9356552076603,6.65838697424738,5,100.6567954,2.95571861655946,dry.te_residual_total_17_BP14
9@124.4,S9_46501439,9,124.3534948,0.198794227994348,0.492381861816355,171.907609632307,186.664378437745,1.09871302855424,9,0,0.37614619802309,2.00495187171373,9,168.493715,1.3019283452431,dry.te_residual_total_17_BP14
9@87.9,S9_34338749,9,87.94089861,0.0986725482918409,0.243849285571031,119.773270408958,184.806198857824,1.09871302855424,9,0,0.37614619802309,2.00495187171373,9,168.493715,1.3019283452431,dry.te_residual_total_17_BP14
2@97.71,S2_44908249,2,97.68940295,1.02454858273721,1.7616850482496,537.560658273135,251.656515377772,1.60662968641702,2,55.60180501,1.16471774338933,2.49765054112493,2,115.3816967,1.47156088118181,dry.te_residual_total_18_BP14
2@5.31,S2_1558172,2,5.312472497,0.0059690193310189,0.0101258499244068,34.6475022411992,213.944449705987,1.60662968641702,2,55.60180501,1.16471774338933,2.49765054112493,2,115.3816967,1.47156088118181,dry.te_residual_total_18_BP14
2@84.41,S2_42024286,2,84.3810523,1.04127937604653,1.7908514805059,487.194676315799,226.213013240678,1.60662968641702,2,55.60180501,1.16471774338933,2.49765054112493,2,115.3816967,1.47156088118181,dry.te_residual_total_18_BP14
2@113.11,S2_46701398,2,113.0877388,0.0597232860795884,0.10138674344882,107.292658600528,209.374725889749,1.60662968641702,2,55.60180501,1.16471774338933,2.49765054112493,2,115.3816967,1.47156088118181,dry.te_residual_total_18_BP14
5@92.81,S5_38502687,5,92.83337609,10.0667889884667,19.5669913074206,-1335.26027797732,187.563677580646,5.49425442772917,5,88.88556146,2.9356552076603,6.65838697424738,5,100.6567954,2.95571861655946,dry.te_residual_total_18_BP14
9@124.41,S9_46501439,9,124.3534948,0.408914936207882,0.697395876626118,246.18861565556,183.177916300513,1.09871302855424,9,0,0.37614619802309,2.00495187171373,9,168.493715,1.3019283452431,dry.te_residual_total_18_BP14
9@87.91,S9_34338749,9,87.94089861,0.191410187627142,0.325506576765335,167.241275811776,182.141296630663,1.09871302855424,9,0,0.37614619802309,2.00495187171373,9,168.493715,1.3019283452431,dry.te_residual_total_18_BP14
2@97.72,S2_44908249,2,97.68940295,0.768692263222363,1.35161420675287,558.215683155163,302.211430196859,1.60662968641702,2,55.60180501,1.16471774338933,2.49765054112493,2,115.3816967,1.47156088118181,dry.te_residual_total_19_BP14
2@5.32,S2_1558172,2,5.312472497,0.0162514748497902,0.0282918377827315,-68.6592547291405,256.923441983085,1.60662968641702,2,55.60180501,1.16471774338933,2.49765054112493,2,115.3816967,1.47156088118181,dry.te_residual_total_19_BP14
2@84.42,S2_42024286,2,84.3810523,0.958131891871172,1.68895630503992,560.911408035748,271.656619571253,1.60662968641702,2,55.60180501,1.16471774338933,2.49765054112493,2,115.3816967,1.47156088118181,dry.te_residual_total_19_BP14
2@113.12,S2_46701398,2,113.0877388,0.147483958404832,0.257198035219503,202.59352468249,251.435712932889,1.60662968641702,2,55.60180501,1.16471774338933,2.49765054112493,2,115.3816967,1.47156088118181,dry.te_residual_total_19_BP14
5@92.82,S5_38502687,5,92.83337609,9.19653733621906,18.1227666283556,-1523.45092750166,225.243074551593,5.49425442772917,5,88.88556146,2.9356552076603,6.65838697424738,5,100.6567954,2.95571861655946,dry.te_residual_total_19_BP14
