,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@5.3,S2_1558172,2,5.312472497,0.173710882792672,0.585726789317388,50.6437711084395,58.5367861636407,0.79405684060589,2,0.733500223,0.355769238219687,1.82094972725599,2,119.7658678,0.51906295339253,dry.te_residual_day_17_BP14
2@58.2,S2_33713678,2,58.15369068,0.767027091179001,2.62095343710929,99.0992895034214,54.1491033295059,0.79405684060589,2,0.733500223,0.355769238219687,1.82094972725599,2,119.7658678,0.51906295339253,dry.te_residual_day_17_BP14
2@113.1,S2_46701398,2,113.0877388,0.243247018413796,0.82147006671115,49.3768413633687,48.1923178494508,0.79405684060589,2,0.733500223,0.355769238219687,1.82094972725599,2,119.7658678,0.51906295339253,dry.te_residual_day_17_BP14
5@91.9,S5_38161186,5,91.85580311,4.17216255812691,15.4055637689469,-217.63707932284,49.0506167454158,0.462577397220457,5,0,0.119772509711214,1.81134265758294,5,136.1281106,0.497211683371401,dry.te_residual_day_17_BP14
9@125.8,S9_46776010,9,125.7813951,1.17249079054282,4.04317956060724,115.121857422515,50.6461754179256,0.575666917858712,9,0,0.292918922684126,2.25470789386554,9,168.493715,0.928205025996272,dry.te_residual_day_17_BP14
9@33.9,S9_6368482,9,33.93753786,0.405032448898285,1.37280408048601,81.286603774078,61.3712655973334,0.575666917858712,9,0,0.292918922684126,2.25470789386554,9,168.493715,0.928205025996272,dry.te_residual_day_17_BP14
2@5.31,S2_1558172,2,5.312472497,0.0637341019505175,0.131064486420851,-26.6937156775985,50.2728459840828,0.79405684060589,2,0.733500223,0.355769238219687,1.82094972725599,2,119.7658678,0.51906295339253,dry.te_residual_day_18_BP14
2@58.21,S2_33713678,2,58.15369068,0.912682577566645,1.89811464858802,95.013817829412,47.0210697295782,0.79405684060589,2,0.733500223,0.355769238219687,1.82094972725599,2,119.7658678,0.51906295339253,dry.te_residual_day_18_BP14
2@113.11,S2_46701398,2,113.0877388,1.22358966182003,2.55525190419281,98.3393084780148,41.94471482381,0.79405684060589,2,0.733500223,0.355769238219687,1.82094972725599,2,119.7658678,0.51906295339253,dry.te_residual_day_18_BP14
5@91.91,S5_38161186,5,91.85580311,4.73268801614288,10.35947927973,-204.194125055209,43.2554899874597,0.462577397220457,5,0,0.119772509711214,1.81134265758294,5,136.1281106,0.497211683371401,dry.te_residual_day_18_BP14
9@125.81,S9_46776010,9,125.7813951,1.22139087698975,2.55058551277936,98.8316952410385,42.1932770053052,0.575666917858712,9,0,0.292918922684126,2.25470789386554,9,168.493715,0.928205025996272,dry.te_residual_day_18_BP14
9@33.91,S9_6368482,9,33.93753786,0.903064666619152,1.87787220667751,93.0255150262237,46.2845475128041,0.575666917858712,9,0,0.292918922684126,2.25470789386554,9,168.493715,0.928205025996272,dry.te_residual_day_18_BP14
2@5.32,S2_1558172,2,5.312472497,0.488488932662852,0.987811627525136,-82.6035539890081,56.035041638663,0.79405684060589,2,0.733500223,0.355769238219687,1.82094972725599,2,119.7658678,0.51906295339253,dry.te_residual_day_19_BP14
2@58.22,S2_33713678,2,58.15369068,0.665978447523848,1.34990197246228,90.3174808194263,52.4105518320093,0.79405684060589,2,0.733500223,0.355769238219687,1.82094972725599,2,119.7658678,0.51906295339253,dry.te_residual_day_19_BP14
2@113.12,S2_46701398,2,113.0877388,1.94869686787488,4.01791551507554,138.997132466882,46.752352998241,0.79405684060589,2,0.733500223,0.355769238219687,1.82094972725599,2,119.7658678,0.51906295339253,dry.te_residual_day_19_BP14
5@91.92,S5_38161186,5,91.85580311,3.85298652762585,8.14963620288683,-204.14490323639,48.2133671786852,0.462577397220457,5,0,0.119772509711214,1.81134265758294,5,136.1281106,0.497211683371401,dry.te_residual_day_19_BP14
9@125.82,S9_46776010,9,125.7813951,1.46516200285067,3.00152732703894,120.848872297756,47.0294049915633,0.575666917858712,9,0,0.292918922684126,2.25470789386554,9,168.493715,0.928205025996272,dry.te_residual_day_19_BP14
