,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.1,S2_44586954,2,96.05450929,4.4282199312474,7.18239105311606,2415.0350070067,536.484945706893,1.8915888687726,2,84.60658262,1.59079171056109,1.71608073048969,2,114.5694173,1.52354256380379,wet.te_fit_total_17_BP14
3@47.4,S3_7345986,3,47.38986671,0.786077454539569,1.21291029929579,1002.53615342417,541.943902116748,1.24050625366283,3,45.16807388,0.861030312480426,1.53373403762851,3,57.64133659,1.08562312453246,wet.te_fit_total_17_BP14
5@109.7,S5_43714208,5,109.7001758,4.48757143784378,7.28462821362341,-2929.05517096144,646.089211390817,1.39232075373127,5,71.92483855,0.915559929371725,1.53245819360518,5,116.340362,1.24420700601751,wet.te_fit_total_17_BP14
5@80.0,S5_33184214,5,79.95790853,0.166908334441416,0.255382632899064,-519.008210273435,611.430615511389,1.39232075373127,5,71.92483855,0.915559929371725,1.53245819360518,5,116.340362,1.24420700601751,wet.te_fit_total_17_BP14
5@39.1,S5_5738550,5,39.12975592,1.06308694844128,1.64652526551402,1370.1862424704,635.717308272091,1.39232075373127,5,71.92483855,0.915559929371725,1.53245819360518,5,116.340362,1.24420700601751,wet.te_fit_total_17_BP14
6@59.4,S6_31006529,6,59.39487638,0.872261434133311,1.34746929290328,1067.62892187192,547.557238580787,0.337231287923942,6,0,0.222296737130284,1.17599839037939,6,92.0202595,1.02314425965241,wet.te_fit_total_17_BP14
7@99.9,S7_32133319,7,99.94477983,5.23594756331616,8.58796209416754,-3947.63017458049,801.973528518959,3.88378680640449,7,96.48121012,3.308729703211,3.49774591641824,7,101.9471039,3.09772023889453,wet.te_fit_total_17_BP14
7@51.2,S7_19532160,7,51.17962841,0.00781822076590544,0.0119367218204331,110.971484666148,604.696552757288,3.88378680640449,7,96.48121012,3.308729703211,3.49774591641824,7,101.9471039,3.09772023889453,wet.te_fit_total_17_BP14
7@33.2,S7_16511236,7,33.24039283,2.22386828210294,3.49935064807379,-1864.28645961405,593.318031064537,3.88378680640449,7,96.48121012,3.308729703211,3.49774591641824,7,101.9471039,3.09772023889453,wet.te_fit_total_17_BP14
9@34.9,S9_6724364,9,34.93391023,6.77831652008048,11.3588768115135,3386.40124702716,598.190282142776,6.08860063865382,9,32.79210864,5.38528767150652,6.91163176334362,9,36.4077051,6.01966333541178,wet.te_fit_total_17_BP14
2@96.11,S2_44586954,2,96.05450929,5.77102180264859,8.53610054597935,3825.51164286809,737.51617781578,1.8915888687726,2,84.60658262,1.59079171056109,1.71608073048969,2,114.5694173,1.52354256380379,wet.te_fit_total_18_BP14
3@47.41,S3_7345986,3,47.38986671,1.03185627992172,1.4299490005878,1581.6734901719,745.020710232723,1.24050625366283,3,45.16807388,0.861030312480426,1.53373403762851,3,57.64133659,1.08562312453246,wet.te_fit_total_18_BP14
5@109.71,S5_43714208,5,109.7001758,5.35149656453195,7.86959393122461,-4423.54936502429,888.191270838198,1.39232075373127,5,71.92483855,0.915559929371725,1.53245819360518,5,116.340362,1.24420700601751,wet.te_fit_total_18_BP14
5@80.01,S5_33184214,5,79.95790853,0.392326272019591,0.538982534923619,-1095.56148131445,840.545432187912,1.39232075373127,5,71.92483855,0.915559929371725,1.53245819360518,5,116.340362,1.24420700601751,wet.te_fit_total_18_BP14
5@39.11,S5_5738550,5,39.12975592,1.39574476566312,1.94383588525695,2163.1969448426,873.932816046481,1.39232075373127,5,71.92483855,0.915559929371725,1.53245819360518,5,116.340362,1.24420700601751,wet.te_fit_total_18_BP14
6@59.41,S6_31006529,6,59.39487638,1.21609264997143,1.68949629354986,1737.04221690269,752.737471880707,0.337231287923942,6,0,0.222296737130284,1.17599839037939,6,92.0202595,1.02314425965241,wet.te_fit_total_18_BP14
7@99.91,S7_32133319,7,99.94477983,6.33409898225566,9.44265977868261,-6014.6371416575,1102.4884410939,3.88378680640449,7,96.48121012,3.308729703211,3.49774591641824,7,101.9471039,3.09772023889453,wet.te_fit_total_18_BP14
7@51.21,S7_19532160,7,51.17962841,0.00287136999570947,0.00392395035423476,-92.448841263968,831.287986544155,3.88378680640449,7,96.48121012,3.308729703211,3.49774591641824,7,101.9471039,3.09772023889453,wet.te_fit_total_18_BP14
7@33.21,S7_16511236,7,33.24039283,2.47246518643128,3.49440088383,-2706.92446638634,815.645713829542,3.88378680640449,7,96.48121012,3.308729703211,3.49774591641824,7,101.9471039,3.09772023889453,wet.te_fit_total_18_BP14
9@34.91,S9_6724364,9,34.93391023,8.10432909103245,12.3845111028943,5137.84518937303,822.343691137828,6.08860063865382,9,32.79210864,5.38528767150652,6.91163176334362,9,36.4077051,6.01966333541178,wet.te_fit_total_18_BP14
2@96.12,S2_44586954,2,96.05450929,7.12307373799501,9.66681628140965,5641.78820772297,969.837841320415,1.8915888687726,2,84.60658262,1.59079171056109,1.71608073048969,2,114.5694173,1.52354256380379,wet.te_fit_total_19_BP14
3@47.42,S3_7345986,3,47.38986671,1.29452675006554,1.62102678440448,2333.8177361318,979.706342837117,1.24050625366283,3,45.16807388,0.861030312480426,1.53373403762851,3,57.64133659,1.08562312453246,wet.te_fit_total_19_BP14
5@109.72,S5_43714208,5,109.7001758,6.20281772296197,8.31053567158335,-6299.76725395497,1167.97641963661,1.39232075373127,5,71.92483855,0.915559929371725,1.53245819360518,5,116.340362,1.24420700601751,wet.te_fit_total_19_BP14
5@80.02,S5_33184214,5,79.95790853,0.674898597424203,0.838024299024198,-1893.18473129392,1105.32187903881,1.39232075373127,5,71.92483855,0.915559929371725,1.53245819360518,5,116.340362,1.24420700601751,wet.te_fit_total_19_BP14
5@39.12,S5_5738550,5,39.12975592,1.75321908451508,2.20918509593891,3195.93247464169,1149.22647294837,1.39232075373127,5,71.92483855,0.915559929371725,1.53245819360518,5,116.340362,1.24420700601751,wet.te_fit_total_19_BP14
6@59.42,S6_31006529,6,59.39487638,1.57879422185176,1.9846672237485,2609.10093195365,989.853926963108,0.337231287923942,6,0,0.222296737130284,1.17599839037939,6,92.0202595,1.02314425965241,wet.te_fit_total_19_BP14
7@99.92,S7_32133319,7,99.94477983,7.43160386389169,10.1291511374395,-8633.0462103929,1449.77838039818,3.88378680640449,7,96.48121012,3.308729703211,3.49774591641824,7,101.9471039,3.09772023889453,wet.te_fit_total_19_BP14
7@51.22,S7_19532160,7,51.17962841,0.0539443396305472,0.0664209808997853,-527.117751297617,1093.14828696132,3.88378680640449,7,96.48121012,3.308729703211,3.49774591641824,7,101.9471039,3.09772023889453,wet.te_fit_total_19_BP14
7@33.22,S7_16511236,7,33.24039283,2.58711739664875,3.29735263290554,-3644.07872642155,1072.57861207254,3.88378680640449,7,96.48121012,3.308729703211,3.49774591641824,7,101.9471039,3.09772023889453,wet.te_fit_total_19_BP14
9@34.92,S9_6724364,9,34.93391023,9.43951658466055,13.2342990878231,7360.50026435993,1081.3864891731,6.08860063865382,9,32.79210864,5.38528767150652,6.91163176334362,9,36.4077051,6.01966333541178,wet.te_fit_total_19_BP14
2@96.13,S2_44586954,2,96.05450929,8.24341020300726,10.4910367567561,7698.06830671162,1220.49229935961,1.8915888687726,2,84.60658262,1.59079171056109,1.71608073048969,2,114.5694173,1.52354256380379,wet.te_fit_total_20_BP14
