,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@94.7,S2_44257418,2,94.71205672,0.884984859555473,3.15532354925657,104.546496404082,52.5016602937488,S2_41096419,2,80.95578959,1.66575118474207,S2_45383324,2,101.8130854,1.69941018417744,dry.sv_area_total_8_BP14
5@109.7,S5_43714262,5,109.7001769,1.67346386501095,6.06493430122604,-145.39323976426,52.6643426057005,S5_36726739,5,88.88556146,1.94676731557215,S5_44418942,5,120.9842738,1.99396928412836,dry.sv_area_total_8_BP14
7@99.9,S7_32133319,7,99.94477983,0.000451312418093153,0.00158002427750326,3.29481733528005,73.9409397743561,S7_31494503,7,93.27304403,2.02155187079645,S7_33411071,7,104.8359143,2.07520672715173,dry.sv_area_total_8_BP14
9@32.8,S9_6184858,9,32.79210864,2.30123839636005,8.44992455887746,186.068923698684,57.0995825929917,S9_4005852,9,26.89565247,1.50703879379548,S9_10073675,9,45.61491815,1.49615648674464,dry.sv_area_total_8_BP14
2@94.71,S2_44257418,2,94.71205672,1.66183996482847,5.68296622775643,100.119535187093,36.3963081751754,S2_41096419,2,80.95578959,1.66575118474207,S2_45383324,2,101.8130854,1.69941018417744,dry.sv_area_total_9_BP14
5@109.71,S5_43714262,5,109.7001769,2.88064667508831,10.1047930604605,-133.917899509353,36.5090862383322,S5_36726739,5,88.88556146,1.94676731557215,S5_44418942,5,120.9842738,1.99396928412836,dry.sv_area_total_9_BP14
7@99.91,S7_32133319,7,99.94477983,0.207950602520796,0.690051874945464,-49.1342222211742,51.2588976373759,S7_31494503,7,93.27304403,2.02155187079645,S7_33411071,7,104.8359143,2.07520672715173,dry.sv_area_total_9_BP14
9@32.81,S9_6184858,9,32.79210864,2.01156837657464,6.92919128356912,120.235429256786,39.5837768386889,S9_4005852,9,26.89565247,1.50703879379548,S9_10073675,9,45.61491815,1.49615648674464,dry.sv_area_total_9_BP14
2@94.72,S2_44257418,2,94.71205672,1.72425553458809,4.29688804140195,101.07339206071,35.9888396801356,S2_41096419,2,80.95578959,1.66575118474207,S2_45383324,2,101.8130854,1.69941018417744,dry.sv_area_total_10_BP14
5@109.72,S5_43714262,5,109.7001769,1.73659995804555,4.32841152960575,-108.97090366901,38.6593281711455,S5_36726739,5,88.88556146,1.94676731557215,S5_44418942,5,120.9842738,1.99396928412836,dry.sv_area_total_10_BP14
7@99.92,S7_32133319,7,99.94477983,1.5083140269995,3.74722095822578,-140.070602151574,53.4072685587598,S7_31494503,7,93.27304403,2.02155187079645,S7_33411071,7,104.8359143,2.07520672715173,dry.sv_area_total_10_BP14
9@32.82,S9_6184858,9,32.79210864,0.854592873554957,2.10350684291198,78.731678774359,40.0668841221838,S9_4005852,9,26.89565247,1.50703879379548,S9_10073675,9,45.61491815,1.49615648674464,dry.sv_area_total_10_BP14
2@94.73,S2_44257418,2,94.71205672,4.49434780165161,9.60331608998914,219.53266616467,47.5108117420353,S2_41096419,2,80.95578959,1.66575118474207,S2_45383324,2,101.8130854,1.69941018417744,dry.sv_area_total_11_BP14
5@109.73,S5_43714262,5,109.7001769,3.09003184169532,6.47833677070068,-197.213845257438,51.9648348410725,S5_36726739,5,88.88556146,1.94676731557215,S5_44418942,5,120.9842738,1.99396928412836,dry.sv_area_total_11_BP14
7@99.93,S7_32133319,7,99.94477983,3.18196876629787,6.6793668775121,-269.045880761021,69.8172290854879,S7_31494503,7,93.27304403,2.02155187079645,S7_33411071,7,104.8359143,2.07520672715173,dry.sv_area_total_11_BP14
9@32.83,S9_6184858,9,32.79210864,0.916432141608299,1.86605766990699,106.209513921067,52.1440550021972,S9_4005852,9,26.89565247,1.50703879379548,S9_10073675,9,45.61491815,1.49615648674464,dry.sv_area_total_11_BP14
2@94.74,S2_44257418,2,94.71205672,6.04314982896368,12.097134273772,364.831088743386,67.3761032949837,S2_41096419,2,80.95578959,1.66575118474207,S2_45383324,2,101.8130854,1.69941018417744,dry.sv_area_total_12_BP14
