,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.1,S2_44586954,2,96.05450929,3.96323689510194,11.8795963541899,729.6496765749,167.898724729399,S2_40984529,2,80.38207006,2.24387753668295,S2_45322381,2,101.3191103,2.67383376930596,wet.sv_area_total_8_BP14
5@87.9,S5_36228372,5,87.89272881,1.60408669427088,4.5934414825253,-449.548998643497,166.357270448005,S5_29574617,5,69.55526516,1.73099269695303,S5_44336611,5,119.8635321,1.76279071451511,wet.sv_area_total_8_BP14
7@99.9,S7_32133319,7,99.94477983,1.62187377198667,4.64596471365658,-662.990310565478,243.951264304805,S7_31956171,7,96.48121012,2.04502692038087,S7_32940091,7,101.9471039,2.48890448859578,wet.sv_area_total_8_BP14
9@33.9,S9_6501061,9,33.93753996,1.79118048697063,5.14769230957572,590.106597741132,206.280428861954,S9_4005852,9,26.89565247,1.74405278877679,S9_44029865,9,118.3500267,1.90489770157584,wet.sv_area_total_8_BP14
2@96.11,S2_44586954,2,96.05450929,1.29066331417769,4.61274639957949,155.936265823823,64.5247520927391,S2_40984529,2,80.38207006,2.24387753668295,S2_45322381,2,101.3191103,2.67383376930596,wet.sv_area_total_9_BP14
5@87.91,S5_36228372,5,87.89272881,0.515723215338392,1.81602632399919,-96.9444160495568,63.9323595327029,S5_29574617,5,69.55526516,1.73099269695303,S5_44336611,5,119.8635321,1.76279071451511,wet.sv_area_total_9_BP14
7@99.91,S7_32133319,7,99.94477983,0.226773039564572,0.794151275034693,-94.01012611282,93.7523193064586,S7_31956171,7,96.48121012,2.04502692038087,S7_32940091,7,101.9471039,2.48890448859578,wet.sv_area_total_9_BP14
9@33.91,S9_6501061,9,33.93753996,0.286627142277032,1.00490405220286,89.4211534741613,79.2751318114739,S9_4005852,9,26.89565247,1.74405278877679,S9_44029865,9,118.3500267,1.90489770157584,wet.sv_area_total_9_BP14
2@96.12,S2_44586954,2,96.05450929,2.09082224089122,5.30695932209839,-225.40601111973,72.6953547832032,S2_40984529,2,80.38207006,2.24387753668295,S2_45322381,2,101.3191103,2.67383376930596,wet.sv_area_total_10_BP14
5@87.92,S5_36228372,5,87.89272881,0.862656040402518,2.15145368593003,144.329651473092,73.1060986813053,S5_29574617,5,69.55526516,1.73099269695303,S5_44336611,5,119.8635321,1.76279071451511,wet.sv_area_total_10_BP14
7@99.92,S7_32133319,7,99.94477983,0.5587223588981,1.38741994730758,169.278192976419,106.772913505106,S7_31956171,7,96.48121012,2.04502692038087,S7_32940091,7,101.9471039,2.48890448859578,wet.sv_area_total_10_BP14
9@33.92,S9_6501061,9,33.93753996,1.93195596947477,4.89255674195716,-249.917457121578,83.944588391075,S9_4005852,9,26.89565247,1.74405278877679,S9_44029865,9,118.3500267,1.90489770157584,wet.sv_area_total_10_BP14
2@96.13,S2_44586954,2,96.05450929,2.97767801312566,7.18569432724842,-328.734905443548,88.2950335587609,S2_40984529,2,80.38207006,2.24387753668295,S2_45322381,2,101.3191103,2.67383376930596,wet.sv_area_total_11_BP14
5@87.93,S5_36228372,5,87.89272881,0.420924850314507,0.980731453679473,123.614316468335,89.8707869637451,S5_29574617,5,69.55526516,1.73099269695303,S5_44336611,5,119.8635321,1.76279071451511,wet.sv_area_total_11_BP14
7@99.93,S7_32133319,7,99.94477983,0.497220191005623,1.15970274986855,194.975588037529,130.356208520087,S7_31956171,7,96.48121012,2.04502692038087,S7_32940091,7,101.9471039,2.48890448859578,wet.sv_area_total_11_BP14
