,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@98.5,S2_45043544,2,98.51301522,1.66565184775303,4.894725818979,261.064768556966,96.3283790972785,0.924185740856387,2,0,0.434181530364647,0.78743108849153,2,119.7658678,0.52540777627179,dry.ma_te_fit_day_17_BP14
4@52.9,S4_28902914,4,52.90088541,0.0852971459743657,0.241899681994205,64.5579088653848,107.152418194958,0.420254454387418,4,29.9831182,0.135276921842593,0.846932613469107,4,71.23521902,0.210734297070002,dry.ma_te_fit_day_17_BP14
5@115.9,S5_44050206,5,115.8565285,0.768183454026005,2.21216131302481,-194.205628085028,106.591748416166,0.701259660881988,5,48.49918863,0.331529866269404,0.576399764014582,5,129.5304873,0.360677408548022,dry.ma_te_fit_day_17_BP14
5@80.9,S5_33587455,5,80.92708184,0.23384477876778,0.665384071064629,-99.5388145660175,99.6153889947856,0.701259660881988,5,48.49918863,0.331529866269404,0.576399764014582,5,129.5304873,0.360677408548022,dry.ma_te_fit_day_17_BP14
6@89.3,S6_35005650,6,89.29289545,0.218236370598511,0.620754761681631,95.805080951053,99.2655797079044,0.734897232449612,6,0,0.172181423506592,1.51375437974355,6,92.0202595,1.14949485264973,dry.ma_te_fit_day_17_BP14
7@99.9,S7_32133319,7,99.94477983,1.94242332974636,5.74395786276532,-619.977325996649,211.173955524872,3.44924346742971,7,93.27304403,1.65092728419779,1.86736391477814,7,104.8359143,1.23074143282042,dry.ma_te_fit_day_17_BP14
9@34.9,S9_6724364,9,34.93391023,5.83537228946597,18.8723568639778,638.091909403999,119.905840813965,8.38222753940943,9,32.79210864,6.27041342181563,8.70871295010772,9,38.05852079,6.49645155074278,dry.ma_te_fit_day_17_BP14
2@98.51,S2_45043544,2,98.51301522,4.01452055221119,6.40703704800268,362.78656784135,84.0996102927718,0.924185740856387,2,0,0.434181530364647,0.78743108849153,2,119.7658678,0.52540777627179,dry.ma_te_fit_day_18_BP14
4@52.91,S4_28902914,4,52.90088541,0.784008875179499,1.19834507836339,164.014156252382,87.9147585855763,0.420254454387418,4,29.9831182,0.135276921842593,0.846932613469107,4,71.23521902,0.210734297070002,dry.ma_te_fit_day_18_BP14
5@115.91,S5_44050206,5,115.8565285,0.431509054089698,0.656477034979247,-125.338783306482,90.7709974015156,0.701259660881988,5,48.49918863,0.331529866269404,0.576399764014582,5,129.5304873,0.360677408548022,dry.ma_te_fit_day_18_BP14
5@80.91,S5_33587455,5,80.92708184,0.911342893418709,1.39533108622491,-174.366846113229,86.6157119207962,0.701259660881988,5,48.49918863,0.331529866269404,0.576399764014582,5,129.5304873,0.360677408548022,dry.ma_te_fit_day_18_BP14
6@89.31,S6_35005650,6,89.29289545,0.760940380572858,1.16272904019571,154.217340883463,83.9199763380866,0.734897232449612,6,0,0.172181423506592,1.51375437974355,6,92.0202595,1.14949485264973,dry.ma_te_fit_day_18_BP14
7@99.91,S7_32133319,7,99.94477983,6.23652789832834,10.2571145452315,-672.347054028052,123.183433651813,3.44924346742971,7,93.27304403,1.65092728419779,1.86736391477814,7,104.8359143,1.23074143282042,dry.ma_te_fit_day_18_BP14
9@34.91,S9_6724364,9,34.93391023,9.84022441125169,17.0032532412731,632.584324600913,90.0168510310574,8.38222753940943,9,32.79210864,6.27041342181563,8.70871295010772,9,38.05852079,6.49645155074278,dry.ma_te_fit_day_18_BP14
2@98.52,S2_45043544,2,98.51301522,4.3196949419347,6.69451809585246,414.22948808168,92.3806569507292,0.924185740856387,2,0,0.434181530364647,0.78743108849153,2,119.7658678,0.52540777627179,dry.ma_te_fit_day_19_BP14
4@52.92,S4_28902914,4,52.90088541,0.9682296246575,1.43469207651055,200.460360312449,96.5714719191552,0.420254454387418,4,29.9831182,0.135276921842593,0.846932613469107,4,71.23521902,0.210734297070002,dry.ma_te_fit_day_19_BP14
5@115.92,S5_44050206,5,115.8565285,0.35803325273335,0.526243280799555,-125.350987107662,99.7089563534596,0.701259660881988,5,48.49918863,0.331529866269404,0.576399764014582,5,129.5304873,0.360677408548022,dry.ma_te_fit_day_19_BP14
5@80.92,S5_33587455,5,80.92708184,1.14228686745552,1.69652593228442,-214.765392198242,95.144511866852,0.701259660881988,5,48.49918863,0.331529866269404,0.576399764014582,5,129.5304873,0.360677408548022,dry.ma_te_fit_day_19_BP14
6@89.32,S6_35005650,6,89.29289545,0.916566244979773,1.357206847755,186.112585613072,92.1833349573608,0.734897232449612,6,0,0.172181423506592,1.51375437974355,6,92.0202595,1.14949485264973,dry.ma_te_fit_day_19_BP14
7@99.92,S7_32133319,7,99.94477983,6.74861418265086,10.808882349477,-770.956846080248,135.312951945737,3.44924346742971,7,93.27304403,1.65092728419779,1.86736391477814,7,104.8359143,1.23074143282042,dry.ma_te_fit_day_19_BP14
9@34.92,S9_6724364,9,34.93391023,10.2590167851027,17.2426005414967,711.561707776509,98.880551359698,8.38222753940943,9,32.79210864,6.27041342181563,8.70871295010772,9,38.05852079,6.49645155074278,dry.ma_te_fit_day_19_BP14
2@98.53,S2_45043544,2,98.51301522,4.66776819258189,7.00796276497154,477.53225927572,102.210288966958,0.924185740856387,2,0,0.434181530364647,0.78743108849153,2,119.7658678,0.52540777627179,dry.ma_te_fit_day_20_BP14
4@52.93,S4_28902914,4,52.90088541,1.22578156349726,1.75734473013728,249.978759564034,106.847021623647,0.420254454387418,4,29.9831182,0.135276921842593,0.846932613469107,4,71.23521902,0.210734297070002,dry.ma_te_fit_day_20_BP14
5@115.93,S5_44050206,5,115.8565285,0.343827021448661,0.487189177501733,-135.896653682704,110.318345613372,0.701259660881988,5,48.49918863,0.331529866269404,0.576399764014582,5,129.5304873,0.360677408548022,dry.ma_te_fit_day_20_BP14
5@80.93,S5_33587455,5,80.92708184,1.32342746564191,1.89980208661923,-256.072946457623,105.268227922624,0.701259660881988,5,48.49918863,0.331529866269404,0.576399764014582,5,129.5304873,0.360677408548022,dry.ma_te_fit_day_20_BP14
6@89.33,S6_35005650,6,89.29289545,1.09063331376107,1.56078094897693,224.879138870415,101.991971208377,0.734897232449612,6,0,0.172181423506592,1.51375437974355,6,92.0202595,1.14949485264973,dry.ma_te_fit_day_20_BP14
7@99.93,S7_32133319,7,99.94477983,7.04001127110357,10.9154423537503,-872.942855539,149.710733565384,3.44924346742971,7,93.27304403,1.65092728419779,1.86736391477814,7,104.8359143,1.23074143282042,dry.ma_te_fit_day_20_BP14
9@34.93,S9_6724364,9,34.93391023,10.9217684647526,17.8629346775023,816.04303153647,109.401795368019,8.38222753940943,9,32.79210864,6.27041342181563,8.70871295010772,9,38.05852079,6.49645155074278,dry.ma_te_fit_day_20_BP14
2@98.54,S2_45043544,2,98.51301522,4.51453098205864,6.5757486426085,545.275567123888,118.79701066596,0.924185740856387,2,0,0.434181530364647,0.78743108849153,2,119.7658678,0.52540777627179,dry.ma_te_fit_day_21_BP14
4@52.94,S4_28902914,4,52.90088541,1.55413103457006,2.17559830806899,327.869181770238,124.186193931551,0.420254454387418,4,29.9831182,0.135276921842593,0.846932613469107,4,71.23521902,0.210734297070002,dry.ma_te_fit_day_21_BP14
5@115.94,S5_44050206,5,115.8565285,0.415119327748378,0.572386732704295,-173.636626560975,128.220845601166,0.701259660881988,5,48.49918863,0.331529866269404,0.576399764014582,5,129.5304873,0.360677408548022,dry.ma_te_fit_day_21_BP14
5@80.94,S5_33587455,5,80.92708184,1.38241278759532,1.93079223613637,-304.308374377852,122.351193032567,0.701259660881988,5,48.49918863,0.331529866269404,0.576399764014582,5,129.5304873,0.360677408548022,dry.ma_te_fit_day_21_BP14
6@89.34,S6_35005650,6,89.29289545,1.31364995936324,1.83307367102017,287.279585372939,118.543264224611,0.734897232449612,6,0,0.172181423506592,1.51375437974355,6,92.0202595,1.14949485264973,dry.ma_te_fit_day_21_BP14
