,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@94.7,S2_44257418,2,94.71205672,4.62208410994289,13.0721286969691,22.6907643741964,4.73589877558746,S2_42812846,2,87.01798226,3.67537069597774,S2_45156658,2,100.2097111,3.96767404970708,dry.wue_total_17_BP14
5@92.4,S5_38228097,5,92.3513435,10.4214346907048,33.7978765682821,-36.8200218566308,4.77931633698669,S5_36886697,5,89.87760443,7.29267910139858,S5_38859599,5,93.79879919,6.88357678990799,dry.wue_total_17_BP14
2@94.71,S2_44257418,2,94.71205672,8.42091701287542,16.5892387060682,25.5829857834051,3.9154166979477,S2_42812846,2,87.01798226,3.67537069597774,S2_45156658,2,100.2097111,3.96767404970708,dry.wue_total_18_BP14
5@92.41,S5_38228097,5,92.3513435,9.1291478059238,18.1603831932537,-27.194185131466,3.9778969937658,S5_36886697,5,89.87760443,7.29267910139858,S5_38859599,5,93.79879919,6.88357678990799,dry.wue_total_18_BP14
2@94.72,S2_44257418,2,94.71205672,7.75901558298395,15.8356162305147,21.4744768904637,3.43950204739617,S2_42812846,2,87.01798226,3.67537069597774,S2_45156658,2,100.2097111,3.96767404970708,dry.wue_total_19_BP14
5@92.42,S5_38228097,5,92.3513435,7.73785187718408,15.7878492652411,-21.7842262709653,3.49438793106238,S5_36886697,5,89.87760443,7.29267910139858,S5_38859599,5,93.79879919,6.88357678990799,dry.wue_total_19_BP14
2@94.73,S2_44257418,2,94.71205672,7.17727498967223,15.0194834611707,19.0117200132295,3.17866389732605,S2_42812846,2,87.01798226,3.67537069597774,S2_45156658,2,100.2097111,3.96767404970708,dry.wue_total_20_BP14
5@92.43,S5_38228097,5,92.3513435,6.81523867966314,14.1916090123913,-18.7752303717771,3.22938745395678,S5_36886697,5,89.87760443,7.29267910139858,S5_38859599,5,93.79879919,6.88357678990799,dry.wue_total_20_BP14
2@94.74,S2_44257418,2,94.71205672,6.56810558804421,13.9688518241075,17.234336167508,3.02469100502513,S2_42812846,2,87.01798226,3.67537069597774,S2_45156658,2,100.2097111,3.96767404970708,dry.wue_total_21_BP14
5@92.44,S5_38228097,5,92.3513435,6.32159848125873,13.3995597459191,-17.1488504804988,3.07295753789541,S5_36886697,5,89.87760443,7.29267910139858,S5_38859599,5,93.79879919,6.88357678990799,dry.wue_total_21_BP14
2@94.75,S2_44257418,2,94.71205672,5.98116004226213,12.9270476234305,15.915384535725,2.938760732974,S2_42812846,2,87.01798226,3.67537069597774,S2_45156658,2,100.2097111,3.96767404970708,dry.wue_total_22_BP14
5@92.45,S5_38228097,5,92.3513435,5.83403559673033,12.5839050404103,-15.953306990109,2.98565603278489,S5_36886697,5,89.87760443,7.29267910139858,S5_38859599,5,93.79879919,6.88357678990799,dry.wue_total_22_BP14
2@94.76,S2_44257418,2,94.71205672,5.51147180934523,12.0911033693913,15.1425366833807,2.922055897741,S2_42812846,2,87.01798226,3.67537069597774,S2_45156658,2,100.2097111,3.96767404970708,dry.wue_total_23_BP14
5@92.46,S5_38228097,5,92.3513435,5.36184403912349,11.7390236093306,-15.158533918589,2.9686846299992,S5_36886697,5,89.87760443,7.29267910139858,S5_38859599,5,93.79879919,6.88357678990799,dry.wue_total_23_BP14
2@94.77,S2_44257418,2,94.71205672,5.11133567246025,11.3984126950802,14.3960501143255,2.89252136428392,S2_42812846,2,87.01798226,3.67537069597774,S2_45156658,2,100.2097111,3.96767404970708,dry.wue_total_24_BP14
