,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.9,S2_44784129,2,96.94547802,7.52613990026506,10.7514841637566,2.57637428272461,0.429649402367402,1.90187049881615,2,84.60658262,1.41915316783352,1.74452522050939,2,114.5694173,1.32183135170541,wet.water_lost_17_BP14
5@109.7,S5_43714208,5,109.7001758,6.00748283992351,8.40199901316974,-2.71711896521976,0.512574276232146,1.4669152162769,5,71.92483855,1.07192184188807,1.25927353768321,5,116.8150866,1.05632620624239,wet.water_lost_17_BP14
5@40.3,S5_5909140,5,40.32890934,2.20490213924134,2.92615082069715,1.62424611997308,0.519209883500019,1.4669152162769,5,71.92483855,1.07192184188807,1.25927353768321,5,116.8150866,1.05632620624239,wet.water_lost_17_BP14
5@79.0,S5_32800961,5,79.00989287,0.772135631109983,1.00488486516358,-0.900858854386586,0.491403296228141,1.4669152162769,5,71.92483855,1.07192184188807,1.25927353768321,5,116.8150866,1.05632620624239,wet.water_lost_17_BP14
6@73.8,S6_33052891,6,73.8397152,0.0346880056390475,0.0446947193270333,0.201686158155115,0.521659898562967,0.414964161896592,6,0,0.214844260139133,1.17791614887875,6,92.0202595,0.947462946076023,wet.water_lost_17_BP14
6@59.4,S6_31006529,6,59.39487638,1.01841247091303,1.32984481093765,1.10805973688359,0.525414627453099,0.414964161896592,6,0,0.214844260139133,1.17791614887875,6,92.0202595,0.947462946076023,wet.water_lost_17_BP14
7@99.9,S7_32133319,7,99.94477983,7.01376323389399,9.94796823230954,-3.70983561088972,0.643171715361482,4.13960911617625,7,94.85882286,2.79286336277231,3.71146932271608,7,101.9471039,2.52463356857841,wet.water_lost_17_BP14
7@51.2,S7_19532160,7,51.17962841,0.129090532897198,0.166543156318589,-0.371658903480662,0.497989988769528,4.13960911617625,7,94.85882286,2.79286336277231,3.71146932271608,7,101.9471039,2.52463356857841,wet.water_lost_17_BP14
7@34.0,S7_17165775,7,34.01418423,2.22094161398631,2.94808378544768,-1.55205315074052,0.494283536305008,4.13960911617625,7,94.85882286,2.79286336277231,3.71146932271608,7,101.9471039,2.52463356857841,wet.water_lost_17_BP14
9@34.9,S9_6724364,9,34.93391023,9.21611301968703,13.4821866268904,3.21800875486608,0.479232784274094,6.08973401578908,9,32.79210864,4.94617697845699,6.3490094088761,9,36.65100204,5.57699694073816,wet.water_lost_17_BP14
