,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@98.5,S2_45043544,2,98.51301522,4.85004681005061,12.677896424121,1424.05281036636,303.360478656472,3.54431647853517,2,93.52620611,2.52721344028538,2.99285949498358,2,111.1160166,2.24843969096468,dry.sv_area_day_17_BP14
4@50.7,S4_20239820,4,50.72638018,0.157259770885542,0.369409610509997,-275.298849861806,343.563333143572,0.538506716034476,4,36.62983921,0.183805680906787,1.56688717997304,4,70.46479416,0.296051168738292,dry.sv_area_day_17_BP14
5@80.0,S5_33184214,5,79.95790853,0.21198044599036,0.498561056896463,-373.50380860797,401.229044793178,2.13190039642848,5,71.92483855,1.04989132589302,1.25601081724631,5,124.3787711,0.961860239626624,dry.sv_area_day_17_BP14
5@112.9,S5_43866387,5,112.9382883,3.54761579930498,8.99906696038466,-1342.81957117223,339.527867710594,2.13190039642848,5,71.92483855,1.04989132589302,1.25601081724631,5,124.3787711,0.961860239626624,dry.sv_area_day_17_BP14
5@93.1,S5_38761953,5,93.06952405,0.999835140516003,2.39350620368727,-861.167046581031,422.208166561011,2.13190039642848,5,71.92483855,1.04989132589302,1.25601081724631,5,124.3787711,0.961860239626624,dry.sv_area_day_17_BP14
6@80.5,S6_33880986,6,80.45671922,0.0738017359029666,0.173039861371905,188.103412267266,342.988927338708,0.528969066182981,6,0,0.182661342592148,1.14062925118037,6,92.0202595,0.76674176912837,dry.sv_area_day_17_BP14
6@65.2,S6_31888552,6,65.16886519,0.4423195292032,1.04568389407007,469.188320581888,348.01942782418,0.528969066182981,6,0,0.182661342592148,1.14062925118037,6,92.0202595,0.76674176912837,dry.sv_area_day_17_BP14
7@96.5,S7_31956171,7,96.48121012,1.42220733413353,3.43721564157262,-1094.36874118035,447.730618749812,0.908346074535416,7,8.555063982,0.156781160184337,0.703867952946439,7,130.5206693,0.404949493137735,dry.sv_area_day_17_BP14
7@50.7,S7_19446572,7,50.71621801,0.623434771677456,1.4798602608063,-484.781351376983,302.267919169597,0.908346074535416,7,8.555063982,0.156781160184337,0.703867952946439,7,130.5206693,0.404949493137735,dry.sv_area_day_17_BP14
9@32.8,S9_6184858,9,32.79210864,3.8790607393928,9.91503830142436,1713.63804614824,412.789273128122,6.01331229193261,9,31.99307473,4.38885659043753,5.71719976343365,9,40.40441084,4.03524274830543,dry.sv_area_day_17_BP14
9@126.5,S9_47239379,9,126.5303951,0.0276003638952531,0.0646465961758125,110.435270544805,329.451487921021,6.01331229193261,9,31.99307473,4.38885659043753,5.71719976343365,9,40.40441084,4.03524274830543,dry.sv_area_day_17_BP14
2@98.51,S2_45043544,2,98.51301522,7.4510248987356,10.7092049527146,1879.99746512015,316.359438079152,3.54431647853517,2,93.52620611,2.52721344028538,2.99285949498358,2,111.1160166,2.24843969096468,dry.sv_area_day_18_BP14
4@50.71,S4_20239820,4,50.72638018,0.0302225859493177,0.0393116316940052,123.003956606245,341.633691021779,0.538506716034476,4,36.62983921,0.183805680906787,1.56688717997304,4,70.46479416,0.296051168738292,dry.sv_area_day_18_BP14
5@80.01,S5_33184214,5,79.95790853,0.361110643271267,0.471772948383652,-487.032864997309,390.475597334087,2.13190039642848,5,71.92483855,1.04989132589302,1.25601081724631,5,124.3787711,0.961860239626624,dry.sv_area_day_18_BP14
5@112.91,S5_43866387,5,112.9382883,3.2493678618065,4.41187275181221,-1437.04808644863,376.757545269438,2.13190039642848,5,71.92483855,1.04989132589302,1.25601081724631,5,124.3787711,0.961860239626624,dry.sv_area_day_18_BP14
5@93.11,S5_38761953,5,93.06952405,1.05179376354074,1.38677227346579,-893.677763103557,417.907844817068,2.13190039642848,5,71.92483855,1.04989132589302,1.25601081724631,5,124.3787711,0.961860239626624,dry.sv_area_day_18_BP14
6@80.51,S6_33880986,6,80.45671922,0.0661311019051425,0.08606005568803,194.330700208995,364.789854275407,0.528969066182981,6,0,0.182661342592148,1.14062925118037,6,92.0202595,0.76674176912837,dry.sv_area_day_18_BP14
6@65.21,S6_31888552,6,65.16886519,0.683274107614487,0.896485951749582,632.853934808871,368.07293764857,0.528969066182981,6,0,0.182661342592148,1.14062925118037,6,92.0202595,0.76674176912837,dry.sv_area_day_18_BP14
7@96.51,S7_31956171,7,96.48121012,5.72212521972484,8.03292719323404,-2029.64319953202,394.352800635902,0.908346074535416,7,8.555063982,0.156781160184337,0.703867952946439,7,130.5206693,0.404949493137735,dry.sv_area_day_18_BP14
7@50.71,S7_19446572,7,50.71621801,0.531180299724106,0.695527075349652,-477.400191822155,315.230126051739,0.908346074535416,7,8.555063982,0.156781160184337,0.703867952946439,7,130.5206693,0.404949493137735,dry.sv_area_day_18_BP14
9@32.81,S9_6184858,9,32.79210864,10.6572903314033,16.0084779441149,2547.21477554423,350.584483803308,6.01331229193261,9,31.99307473,4.38885659043753,5.71719976343365,9,40.40441084,4.03524274830543,dry.sv_area_day_18_BP14
9@126.51,S9_47239379,9,126.5303951,1.20151536065313,1.58733514184679,729.779049057258,318.976892288427,6.01331229193261,9,31.99307473,4.38885659043753,5.71719976343365,9,40.40441084,4.03524274830543,dry.sv_area_day_18_BP14
2@98.52,S2_45043544,2,98.51301522,7.67749015005038,10.6515521605714,2309.44287136105,382.258074020909,3.54431647853517,2,93.52620611,2.52721344028538,2.99285949498358,2,111.1160166,2.24843969096468,dry.sv_area_day_19_BP14
4@50.72,S4_20239820,4,50.72638018,0.0643915810611269,0.0806347872569759,216.991086424679,412.797030945433,0.538506716034476,4,36.62983921,0.183805680906787,1.56688717997304,4,70.46479416,0.296051168738292,dry.sv_area_day_19_BP14
5@80.02,S5_33184214,5,79.95790853,0.371142811100889,0.466658348825689,-596.641416185465,471.812855324858,2.13190039642848,5,71.92483855,1.04989132589302,1.25601081724631,5,124.3787711,0.961860239626624,dry.sv_area_day_19_BP14
5@112.92,S5_43866387,5,112.9382883,3.34334440608996,4.37381745413945,-1762.43157229188,455.237291171026,2.13190039642848,5,71.92483855,1.04989132589302,1.25601081724631,5,124.3787711,0.961860239626624,dry.sv_area_day_19_BP14
5@93.12,S5_38761953,5,93.06952405,1.06563232739466,1.352288457329,-1087.01408890418,504.959323635013,2.13190039642848,5,71.92483855,1.04989132589302,1.25601081724631,5,124.3787711,0.961860239626624,dry.sv_area_day_19_BP14
6@80.52,S6_33880986,6,80.45671922,0.0946369609985709,0.118557225230909,280.948516389502,440.776693637941,0.528969066182981,6,0,0.182661342592148,1.14062925118037,6,92.0202595,0.76674176912837,dry.sv_area_day_19_BP14
6@65.22,S6_31888552,6,65.16886519,0.800874997802865,1.01274202574848,828.520545397046,444.743653292108,0.528969066182981,6,0,0.182661342592148,1.14062925118037,6,92.0202595,0.76674176912837,dry.sv_area_day_19_BP14
7@96.52,S7_31956171,7,96.48121012,5.84447778717013,7.90843928815696,-2480.56322474482,476.497691901058,0.908346074535416,7,8.555063982,0.156781160184337,0.703867952946439,7,130.5206693,0.404949493137735,dry.sv_area_day_19_BP14
7@50.72,S7_19446572,7,50.71621801,0.62781758402123,0.792081472735163,-627.527296946125,380.893522853451,0.908346074535416,7,8.555063982,0.156781160184337,0.703867952946439,7,130.5206693,0.404949493137735,dry.sv_area_day_19_BP14
9@32.82,S9_6184858,9,32.79210864,11.7881270246447,17.3091548646229,3262.50061199278,423.612301165921,6.01331229193261,9,31.99307473,4.38885659043753,5.71719976343365,9,40.40441084,4.03524274830543,dry.sv_area_day_19_BP14
9@126.52,S9_47239379,9,126.5303951,1.55382206508227,1.98465551647682,1005.12892079481,385.420751925986,6.01331229193261,9,31.99307473,4.38885659043753,5.71719976343365,9,40.40441084,4.03524274830543,dry.sv_area_day_19_BP14
2@98.53,S2_45043544,2,98.51301522,7.95308459180316,10.6778289989562,2802.61996944415,454.921297535464,3.54431647853517,2,93.52620611,2.52721344028538,2.99285949498358,2,111.1160166,2.24843969096468,dry.sv_area_day_20_BP14
4@50.73,S4_20239820,4,50.72638018,0.109349735110978,0.132094537878395,336.623986582894,491.265387702998,0.538506716034476,4,36.62983921,0.183805680906787,1.56688717997304,4,70.46479416,0.296051168738292,dry.sv_area_day_20_BP14
5@80.03,S5_33184214,5,79.95790853,0.39221153449623,0.475570521707631,-730.034353492682,561.499497134378,2.13190039642848,5,71.92483855,1.04989132589302,1.25601081724631,5,124.3787711,0.961860239626624,dry.sv_area_day_20_BP14
