,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@98.5,S2_45043544,2,98.51301522,1.67663689606299,4.78394828916706,158.463437982946,58.5802947356579,0.924185740856387,2,0,0.43418153036466,0.78743108849153,2,119.7658678,0.52540777627178,dry.te_fit_day_17_BP14
4@52.9,S4_28902914,4,52.90088541,0.0781312946904507,0.215055990544784,37.3748094771942,65.1656800564334,0.420254454387475,4,29.9831182,0.13527692184255,0.846932613468994,4,71.23521902,0.210734297069962,dry.te_fit_day_17_BP14
5@115.9,S5_44050206,5,115.8565285,1.14192792498383,3.21914313973365,-149.11393922882,67.1991556171,0.701259660882101,5,48.49918863,0.331529866269481,0.576399764014468,5,129.5304873,0.360677408548012,dry.te_fit_day_17_BP14
5@80.9,S5_33587455,5,80.92708184,0.206355072730789,0.569623481307794,-56.5919331119901,60.6284274688753,0.701259660882101,5,48.49918863,0.331529866269481,0.576399764014468,5,129.5304873,0.360677408548012,dry.te_fit_day_17_BP14
6@61.4,S6_31345498,6,61.39299496,0.664589988560813,1.85348829750318,102.559382105911,60.9110643265121,0.734897232449725,6,0,0.172181423506646,1.51375437974343,6,92.0202595,1.1494948526498,dry.te_fit_day_17_BP14
6@89.3,S6_35005650,6,89.29289545,0.0955556437983738,0.263118960365865,39.0100312168839,61.4916210736767,0.734897232449725,6,0,0.172181423506646,1.51375437974343,6,92.0202595,1.1494948526498,dry.te_fit_day_17_BP14
7@99.9,S7_32133319,7,99.94477983,1.78634675038588,5.10966123532346,-360.505270844544,128.952949942248,3.44924346742982,7,93.27304403,1.65092728419791,1.86736391477791,7,104.8359143,1.23074143282053,dry.te_fit_day_17_BP14
9@34.9,S9_6724364,9,34.93391023,6.433370132059,20.4815261561487,415.941974155328,74.3134302084501,8.38222753940943,9,32.79210864,6.2704134218156,8.70871295010761,9,38.05852079,6.4964515507427,dry.te_fit_day_17_BP14
2@98.51,S2_45043544,2,98.51301522,3.90916458695016,6.06194976632356,263.022642743552,62.0198762175204,0.924185740856387,2,0,0.43418153036466,0.78743108849153,2,119.7658678,0.52540777627178,dry.te_fit_day_18_BP14
4@52.91,S4_28902914,4,52.90088541,0.803259736414528,1.19494754620705,121.905455848804,64.7429742221823,0.420254454387475,4,29.9831182,0.13527692184255,0.846932613468994,4,71.23521902,0.210734297069962,dry.te_fit_day_18_BP14
5@115.91,S5_44050206,5,115.8565285,0.733103233584416,1.08956567730584,-122.70418982866,68.2459069942926,0.701259660882101,5,48.49918863,0.331529866269481,0.576399764014468,5,129.5304873,0.360677408548012,dry.te_fit_day_18_BP14
5@80.91,S5_33587455,5,80.92708184,1.00932459060556,1.50561077040145,-134.910560874245,63.8312745140929,0.701259660882101,5,48.49918863,0.331529866269481,0.576399764014468,5,129.5304873,0.360677408548012,dry.te_fit_day_18_BP14
6@61.41,S6_31345498,6,61.39299496,1.03348157726128,1.54214090409867,134.897453717178,63.06460043235,0.734897232449725,6,0,0.172181423506646,1.51375437974343,6,92.0202595,1.1494948526498,dry.te_fit_day_18_BP14
