,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
3@48.1,S3_7542702,3,48.09912317,0.178437844126371,0.463944093144852,435.148065996355,485.194779968916,S3_6422015,3,45.16807388,1.66278550555798,S3_15496244,3,64.25922531,0.971344049302196,wet.ma_te_residual_total_17_BP14
7@99.9,S7_32133319,7,99.94477983,0.0794744702887851,0.206359205801543,422.649549881717,706.610967456706,S7_31956171,7,96.48121012,3.25942067219385,S7_32940091,7,101.9471039,2.74019862949441,wet.ma_te_residual_total_17_BP14
9@33.9,S9_6501061,9,33.93753996,1.42553901388109,3.76981676067942,-1401.91658556774,548.370319099437,S9_4775142,9,30.60506955,3.69361264157043,S9_8458511,9,38.57941159,3.39317097574602,wet.ma_te_residual_total_17_BP14
3@48.11,S3_7542702,3,48.09912317,0.307942195787616,0.78971872786382,643.977944439805,546.106851075772,S3_6422015,3,45.16807388,1.66278550555798,S3_15496244,3,64.25922531,0.971344049302196,wet.ma_te_residual_total_18_BP14
7@99.91,S7_32133319,7,99.94477983,0.114148439590167,0.291965922469617,570.24976017948,795.31995459248,S7_31956171,7,96.48121012,3.25942067219385,S7_32940091,7,101.9471039,2.74019862949441,wet.ma_te_residual_total_18_BP14
9@33.91,S9_6501061,9,33.93753996,1.89119745010159,4.95563839187143,-1823.23395253717,617.213540932975,S9_4775142,9,30.60506955,3.69361264157043,S9_8458511,9,38.57941159,3.39317097574602,wet.ma_te_residual_total_18_BP14
3@48.12,S3_7542702,3,48.09912317,0.348544861967559,0.878453566404879,786.612045395377,626.834492159909,S3_6422015,3,45.16807388,1.66278550555798,S3_15496244,3,64.25922531,0.971344049302196,wet.ma_te_residual_total_19_BP14
7@99.92,S7_32133319,7,99.94477983,0.256442028302502,0.645515696712939,982.016635953182,912.887246991245,S7_31956171,7,96.48121012,3.25942067219385,S7_32940091,7,101.9471039,2.74019862949441,wet.ma_te_residual_total_19_BP14
9@33.92,S9_6501061,9,33.93753996,2.37366286515099,6.14985422809635,-2352.29301312139,708.452449777561,S9_4775142,9,30.60506955,3.69361264157043,S9_8458511,9,38.57941159,3.39317097574602,wet.ma_te_residual_total_19_BP14
3@48.13,S3_7542702,3,48.09912317,0.380054376166044,0.94716265405801,951.563355982509,726.011749126468,S3_6422015,3,45.16807388,1.66278550555798,S3_15496244,3,64.25922531,0.971344049302196,wet.ma_te_residual_total_20_BP14
7@99.93,S7_32133319,7,99.94477983,0.432719895445315,1.07918539008463,1479.23682262865,1057.32354430535,S7_31956171,7,96.48121012,3.25942067219385,S7_32940091,7,101.9471039,2.74019862949441,wet.ma_te_residual_total_20_BP14
9@33.93,S9_6501061,9,33.93753996,2.59442578935362,6.66397340450378,-2852.65909351314,820.543235366068,S9_4775142,9,30.60506955,3.69361264157043,S9_8458511,9,38.57941159,3.39317097574602,wet.ma_te_residual_total_20_BP14
3@48.14,S3_7542702,3,48.09912317,0.318988454682092,0.790851060575704,1035.02969191891,862.331049502802,S3_6422015,3,45.16807388,1.66278550555798,S3_15496244,3,64.25922531,0.971344049302196,wet.ma_te_residual_total_21_BP14
7@99.94,S7_32133319,7,99.94477983,0.64753579664889,1.61257664881561,2152.43425654837,1255.85146896298,S7_31956171,7,96.48121012,3.25942067219385,S7_32940091,7,101.9471039,2.74019862949441,wet.ma_te_residual_total_21_BP14
9@33.94,S9_6501061,9,33.93753996,2.55774217246658,6.53779288026242,-3363.40261342801,974.612201754312,S9_4775142,9,30.60506955,3.69361264157043,S9_8458511,9,38.57941159,3.39317097574602,wet.ma_te_residual_total_21_BP14
3@48.15,S3_7542702,3,48.09912317,0.27241785698922,0.672592702451512,1119.00816480744,1009.16300672063,S3_6422015,3,45.16807388,1.66278550555798,S3_15496244,3,64.25922531,0.971344049302196,wet.ma_te_residual_total_22_BP14
7@99.95,S7_32133319,7,99.94477983,1.00548655749875,2.50736440383981,3146.51757615381,1469.68944832025,S7_31956171,7,96.48121012,3.25942067219385,S7_32940091,7,101.9471039,2.74019862949441,wet.ma_te_residual_total_22_BP14
9@33.95,S9_6501061,9,33.93753996,2.33215832268012,5.92191221787763,-3752.71845555166,1140.56264177902,S9_4775142,9,30.60506955,3.69361264157043,S9_8458511,9,38.57941159,3.39317097574602,wet.ma_te_residual_total_22_BP14
3@48.16,S3_7542702,3,48.09912317,0.12966439352927,0.320985739670121,895.910493595392,1172.2503035353,S3_6422015,3,45.16807388,1.66278550555798,S3_15496244,3,64.25922531,0.971344049302196,wet.ma_te_residual_total_23_BP14
7@99.96,S7_32133319,7,99.94477983,1.23060269805833,3.09228036055383,4049.72412591052,1707.200809406,S7_31956171,7,96.48121012,3.25942067219385,S7_32940091,7,101.9471039,2.74019862949441,wet.ma_te_residual_total_23_BP14
