,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
1@5.9,S1_1004313,1,5.904596741,1.50262506743624,3.16004137414093,1157.63492450343,447.61075147066,1.64723240924297,1,0,1.27454322335638,1.14200030557936,1,118.6339761,0.185536178072445,wet.ma_te_residual_total_17_BP14
2@113.1,S2_46701398,2,113.0877388,0.487963382047374,1.01212453675186,659.686239585566,450.708472409165,1.3682946782634,2,0,0.697017594674609,2.05501592560711,2,119.7658678,1.02839878152914,wet.ma_te_residual_total_17_BP14
3@53.4,S3_10844641,3,53.40431196,0.518626165633043,1.07617258374371,703.44987519796,466.08751371355,1.09796742056301,3,0,0.490668104284489,0.397455597605585,3,129.9167988,0.119922559095424,wet.ma_te_residual_total_17_BP14
5@80.9,S5_33587455,5,80.92708184,1.8570075590402,3.92424598890737,-1362.72171964106,472.829255545094,0.323774338581757,5,36.4370551,0.16955992526563,0.390135961091005,5,136.1281095,0.106672351294519,wet.ma_te_residual_total_17_BP14
5@111.9,S5_43769059,5,111.9145952,0.0320038307052517,0.0659725729372696,-186.172215548135,498.205399071039,0.323774338581757,5,36.4370551,0.16955992526563,0.390135961091005,5,136.1281095,0.106672351294519,wet.ma_te_residual_total_17_BP14
7@99.9,S7_32133319,7,99.94477983,0.154897273787657,0.319836805673326,-645.046700512913,783.974996750619,0.935487980029848,7,24.41187922,0.663521731496316,0.270679448367218,7,114.8052423,0.12656789031427,wet.ma_te_residual_total_17_BP14
7@89.3,S7_31178325,7,89.28412826,1.63011740919788,3.43412645543514,1582.38725433833,586.921350382998,0.935487980029848,7,24.41187922,0.663521731496316,0.270679448367218,7,114.8052423,0.12656789031427,wet.ma_te_residual_total_17_BP14
9@37.1,S9_8182398,9,37.12013546,2.8938267570587,6.20268063132267,-1744.33055649638,481.409162710057,5.00252508423591,9,32.79210864,2.19840049959227,2.36116294265992,9,45.61491815,1.72818865008403,wet.ma_te_residual_total_17_BP14
1@5.91,S1_1004313,1,5.904596741,1.79676945887272,3.5820037267484,1398.03741637841,493.350129240679,1.64723240924297,1,0,1.27454322335638,1.14200030557936,1,118.6339761,0.185536178072445,wet.ma_te_residual_total_18_BP14
2@113.11,S2_46701398,2,113.0877388,0.832688776746391,1.63836877766864,952.043565297792,496.764392683507,1.3682946782634,2,0,0.697017594674609,2.05501592560711,2,119.7658678,1.02839878152914,wet.ma_te_residual_total_18_BP14
3@53.41,S3_10844641,3,53.40431196,0.642004667274962,1.25991640839593,863.363338541375,513.714950707834,1.09796742056301,3,0,0.490668104284489,0.397455597605585,3,129.9167988,0.119922559095424,wet.ma_te_residual_total_18_BP14
5@80.91,S5_33587455,5,80.92708184,2.23765395199213,4.48790502689976,-1653.03267186711,521.145601542229,0.323774338581757,5,36.4370551,0.16955992526563,0.390135961091005,5,136.1281095,0.106672351294519,wet.ma_te_residual_total_18_BP14
5@111.91,S5_43769059,5,111.9145952,0.0122831103985899,0.0239002358264777,-127.105631100348,549.114821778834,0.323774338581757,5,36.4370551,0.16955992526563,0.390135961091005,5,136.1281095,0.106672351294519,wet.ma_te_residual_total_18_BP14
7@99.91,S7_32133319,7,99.94477983,0.123068830593809,0.239824630890162,-633.584250153399,864.085960173213,0.935487980029848,7,24.41187922,0.663521731496316,0.270679448367218,7,114.8052423,0.12656789031427,wet.ma_te_residual_total_18_BP14
