,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.9,S2_44784129,2,96.94547802,6.47521267161711,8.32050955429329,18.346979841687,3.31250190293287,5.34396868770341,2,93.52620611,3.92422629996437,5.74725973664789,2,114.5694173,4.10358182997927,wet.wue_total_17_BP14
2@11.4,S2_2504271,2,11.41378601,0.493045299294185,0.583498967166271,-4.56249242389967,3.11063192508952,5.34396868770341,2,93.52620611,3.92422629996437,5.74725973664789,2,114.5694173,4.10358182997927,wet.wue_total_17_BP14
2@113.1,S2_46701398,2,113.0877388,0.121903170960941,0.143543011057432,2.48446777780417,3.4151427142742,5.34396868770341,2,93.52620611,3.92422629996437,5.74725973664789,2,114.5694173,4.10358182997927,wet.wue_total_17_BP14
3@52.2,S3_10157778,3,52.17926891,3.78071618565391,4.68007862880695,12.4661393070234,3.00104090768959,1.56928390706014,3,3.183724647,0.753203555398262,1.73604974474165,3,64.25922531,0.948233156624162,wet.wue_total_17_BP14
5@89.1,S5_36742284,5,89.1281049,2.07239473944794,2.5059352350758,-10.5750496634666,3.47907674343406,3.42140907289649,5,76.16548797,2.40407619438442,4.03978078362178,5,102.9057427,1.92936616364849,wet.wue_total_17_BP14
5@104.1,S5_42739726,5,104.1345531,2.24013173844569,2.71498362149851,-12.336745380975,3.89927179973505,3.42140907289649,5,76.16548797,2.40407619438442,4.03978078362178,5,102.9057427,1.92936616364849,wet.wue_total_17_BP14
7@99.9,S7_32133319,7,99.94477983,7.59522835838006,9.91366384545462,-25.2179199668523,4.17117760595913,1.50346148251327,7,28.50092437,0.591379840756862,1.34724640947206,7,104.8359143,0.63756057851538,wet.wue_total_17_BP14
7@34.0,S7_17165775,7,34.01418423,4.32714604743078,5.39701641712323,-12.6330069010733,2.83202040567781,1.50346148251327,7,28.50092437,0.591379840756862,1.34724640947206,7,104.8359143,0.63756057851538,wet.wue_total_17_BP14
9@34.9,S9_6724364,9,34.93391023,3.59806552560262,4.44279047255886,12.7844511449095,3.15878950487834,0.59155318498523,9,29.42213919,0.353969066338172,0.928662341197196,9,147.5917196,0.219286368252724,wet.wue_total_17_BP14
2@96.91,S2_44784129,2,96.94547802,7.12314521193515,8.83480506871742,18.1135146539976,3.10399668314935,5.34396868770341,2,93.52620611,3.92422629996437,5.74725973664789,2,114.5694173,4.10358182997927,wet.wue_total_18_BP14
2@11.41,S2_2504271,2,11.41378601,0.8777789363225,0.998871340862429,-5.71941362749641,2.91483339811141,5.34396868770341,2,93.52620611,3.92422629996437,5.74725973664789,2,114.5694173,4.10358182997927,wet.wue_total_18_BP14
2@113.11,S2_46701398,2,113.0877388,0.219450534969049,0.247502123644338,3.12569376419765,3.20017677520519,5.34396868770341,2,93.52620611,3.92422629996437,5.74725973664789,2,114.5694173,4.10358182997927,wet.wue_total_18_BP14
3@52.21,S3_10157778,3,52.17926891,4.13910866823587,4.92530084382534,12.2528298130229,2.81214058027147,1.56928390706014,3,3.183724647,0.753203555398262,1.73604974474165,3,64.25922531,0.948233156624162,wet.wue_total_18_BP14
5@89.11,S5_36742284,5,89.1281049,2.28570190054437,2.65145968852183,-10.422085402728,3.26008648100095,3.42140907289649,5,76.16548797,2.40407619438442,4.03978078362178,5,102.9057427,1.92936616364849,wet.wue_total_18_BP14
5@104.11,S5_42739726,5,104.1345531,1.8135212216248,2.09018557726419,-10.371081250982,3.65383238643853,3.42140907289649,5,76.16548797,2.40407619438442,4.03978078362178,5,102.9057427,1.92936616364849,wet.wue_total_18_BP14
7@99.91,S7_32133319,7,99.94477983,8.38875207315854,10.5907759328729,-24.9729976695106,3.90862309913256,1.50346148251327,7,28.50092437,0.591379840756862,1.34724640947206,7,104.8359143,0.63756057851538,wet.wue_total_18_BP14
7@34.01,S7_17165775,7,34.01418423,4.22538163829594,5.03395053424922,-11.6895812684659,2.65375906291618,1.50346148251327,7,28.50092437,0.591379840756862,1.34724640947206,7,104.8359143,0.63756057851538,wet.wue_total_18_BP14
9@34.91,S9_6724364,9,34.93391023,3.96809595002343,4.71068143309063,12.6127752966041,2.95995970212973,0.59155318498523,9,29.42213919,0.353969066338172,0.928662341197196,9,147.5917196,0.219286368252724,wet.wue_total_18_BP14
2@96.92,S2_44784129,2,96.94547802,7.56444856053064,9.11028834022553,18.2875975623749,3.0316668983758,5.34396868770341,2,93.52620611,3.92422629996437,5.74725973664789,2,114.5694173,4.10358182997927,wet.wue_total_19_BP14
2@11.42,S2_2504271,2,11.41378601,1.26188784338513,1.39303905010703,-6.71528932389399,2.84691152387724,5.34396868770341,2,93.52620611,3.92422629996437,5.74725973664789,2,114.5694173,4.10358182997927,wet.wue_total_19_BP14
2@113.12,S2_46701398,2,113.0877388,0.386843162860075,0.421998571187267,4.05787631561707,3.12560578785702,5.34396868770341,2,93.52620611,3.92422629996437,5.74725973664789,2,114.5694173,4.10358182997927,wet.wue_total_19_BP14
3@52.22,S3_10157778,3,52.17926891,4.3210369266453,4.97453248474383,12.2428494594345,2.74661166910085,1.56928390706014,3,3.183724647,0.753203555398262,1.73604974474165,3,64.25922531,0.948233156624162,wet.wue_total_19_BP14
5@89.12,S5_36742284,5,89.1281049,2.43616375364259,2.73283983168749,-10.5197533323772,3.18411946892454,3.42140907289649,5,76.16548797,2.40407619438442,4.03978078362178,5,102.9057427,1.92936616364849,wet.wue_total_19_BP14
5@104.12,S5_42739726,5,104.1345531,1.60864444660317,1.78424940415457,-9.52677146932919,3.56869024967517,3.42140907289649,5,76.16548797,2.40407619438442,4.03978078362178,5,102.9057427,1.92936616364849,wet.wue_total_19_BP14
7@99.92,S7_32133319,7,99.94477983,8.71270604770208,10.6637598122075,-24.9142786718707,3.81754379191039,1.50346148251327,7,28.50092437,0.591379840756862,1.34724640947206,7,104.8359143,0.63756057851538,wet.wue_total_19_BP14
