,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@113.1,S2_46701398,2,113.0877388,2.72476475785171,6.56067760087414,1437.66792969204,401.951964279616,S2_46330162,2,110.0512956,4.12063829047616,S2_47321091,2,118.5659378,3.65050392059365,wet.sma_te_residual_total_17_BP14
5@66.4,S5_27496297,5,66.43972035,3.20015852682315,7.75577154988122,-1564.10623087248,402.201476562436,S5_24551850,5,59.87704458,2.99892055970298,S5_36886697,5,89.87760443,3.19623779970879,wet.sma_te_residual_total_17_BP14
2@113.11,S2_46701398,2,113.0877388,3.26355104434055,7.74562735863081,1831.10889196693,466.06121041571,S2_46330162,2,110.0512956,4.12063829047616,S2_47321091,2,118.5659378,3.65050392059365,wet.sma_te_residual_total_18_BP14
5@66.41,S5_27496297,5,66.43972035,3.53131717658329,8.41205625271966,-1909.44195741506,466.350518608924,S5_24551850,5,59.87704458,2.99892055970298,S5_36886697,5,89.87760443,3.19623779970879,wet.sma_te_residual_total_18_BP14
2@113.12,S2_46701398,2,113.0877388,4.07797830621289,9.55013998678058,2398.16960158758,542.995666836066,S2_46330162,2,110.0512956,4.12063829047616,S2_47321091,2,118.5659378,3.65050392059365,wet.sma_te_residual_total_19_BP14
5@66.42,S5_27496297,5,66.43972035,3.70652257986413,8.63590890175354,-2281.91023578992,543.332732208135,S5_24551850,5,59.87704458,2.99892055970298,S5_36886697,5,89.87760443,3.19623779970879,wet.sma_te_residual_total_19_BP14
2@113.13,S2_46701398,2,113.0877388,4.84770029491028,11.2435271628378,3063.02796406706,632.721386177863,S2_46330162,2,110.0512956,4.12063829047616,S2_47321091,2,118.5659378,3.65050392059365,wet.sma_te_residual_total_20_BP14
5@66.43,S5_27496297,5,66.43972035,3.75618924462785,8.58161338394031,-2677.64903670172,633.114148924369,S5_24551850,5,59.87704458,2.99892055970298,S5_36886697,5,89.87760443,3.19623779970879,wet.sma_te_residual_total_20_BP14
2@113.14,S2_46701398,2,113.0877388,5.59547606878493,12.8646404763417,3920.33299081656,749.864333121828,S2_46330162,2,110.0512956,4.12063829047616,S2_47321091,2,118.5659378,3.65050392059365,wet.sma_te_residual_total_21_BP14
5@66.44,S5_27496297,5,66.43972035,3.78005541332611,8.47527656568944,-3183.98179059651,750.3298125278,S5_24551850,5,59.87704458,2.99892055970298,S5_36886697,5,89.87760443,3.19623779970879,wet.sma_te_residual_total_21_BP14
2@113.15,S2_46701398,2,113.0877388,6.2103222547973,14.2092823480532,4842.51554186874,875.458716292176,S2_46330162,2,110.0512956,4.12063829047616,S2_47321091,2,118.5659378,3.65050392059365,wet.sma_te_residual_total_22_BP14
5@66.45,S5_27496297,5,66.43972035,3.69909784512584,8.17431892766875,-3675.1938029318,876.002158599288,S5_24551850,5,59.87704458,2.99892055970298,S5_36886697,5,89.87760443,3.19623779970879,wet.sma_te_residual_total_22_BP14
2@113.16,S2_46701398,2,113.0877388,6.55434971919945,14.9923476341574,5771.52565600964,1013.22653231583,S2_46330162,2,110.0512956,4.12063829047616,S2_47321091,2,118.5659378,3.65050392059365,wet.sma_te_residual_total_23_BP14
5@66.46,S5_27496297,5,66.43972035,3.54730114883765,7.78298768008034,-4161.00737407355,1013.85549420073,S5_24551850,5,59.87704458,2.99892055970298,S5_36886697,5,89.87760443,3.19623779970879,wet.sma_te_residual_total_23_BP14
2@113.17,S2_46701398,2,113.0877388,6.76853665734573,15.5471150768658,6693.96496507521,1154.69656225247,S2_46330162,2,110.0512956,4.12063829047616,S2_47321091,2,118.5659378,3.65050392059365,wet.sma_te_residual_total_24_BP14
