,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
1@54.3,S1_26170742,1,54.3176096,0.00125145768004487,0.00231615078126524,-6.73419211046304,91.4356094800028,1.06051148730978,1,0,0.332481386173112,0.750495260209618,1,118.6339761,0.236711493142299,wet.te_residual_day_17_BP14
2@113.1,S2_46701398,2,113.0877388,3.05820506123744,5.90097167547297,341.463233714409,91.853447377011,2.51907542113702,2,9.515531011,1.29020627643616,3.70148879394424,2,119.7658678,1.8298647950488,wet.te_residual_day_17_BP14
2@11.4,S2_2504271,2,11.41378601,1.01897185350984,1.9121115581598,-211.60323536055,99.995157105206,2.51907542113702,2,9.515531011,1.29020627643616,3.70148879394424,2,119.7658678,1.8298647950488,wet.te_residual_day_17_BP14
3@53.4,S3_10844641,3,53.40431196,1.64504048917038,3.11338288821863,284.85758670877,105.493281143345,1.52108635780291,3,0,0.589820224963707,1.11248768598125,3,129.9167988,0.364322504306188,wet.te_residual_day_17_BP14
3@76.1,S3_24429179,3,76.13784206,0.00623362822813611,0.0115377431224033,-16.9113128387264,102.879813311964,1.52108635780291,3,0,0.589820224963707,1.11248768598125,3,129.9167988,0.364322504306188,wet.te_residual_day_17_BP14
3@21.7,S3_3122887,3,21.70283758,0.0121387676471407,0.0224692876507611,-25.2459612663346,110.055192117591,1.52108635780291,3,0,0.589820224963707,1.11248768598125,3,129.9167988,0.364322504306188,wet.te_residual_day_17_BP14
3@9.4,S3_1475874,3,9.449682849,0.302502447244191,0.562150799757397,-125.477687274374,109.358706760218,1.52108635780291,3,0,0.589820224963707,1.11248768598125,3,129.9167988,0.364322504306188,wet.te_residual_day_17_BP14
5@80.9,S5_33587455,5,80.92708184,4.60141456409801,9.06949127310952,-434.451075395896,94.267651954111,2.54668860416587,5,61.08070473,0.682249479056362,0.964080531691707,5,116.340362,0.455118477909262,wet.te_residual_day_17_BP14
8@35.9,S8_2959300,8,35.90897138,1.13589466942114,2.1349132232778,-200.377011654851,89.6130086670588,0.309279296658133,8,0,0.182286462839115,0.246881785290952,8,91.00538693,0.116821694930683,wet.te_residual_day_17_BP14
1@54.31,S1_26170742,1,54.3176096,0.000334672890991428,0.000618480356983753,-3.77960222585882,99.2376499742749,1.06051148730978,1,0,0.332481386173112,0.750495260209618,1,118.6339761,0.236711493142299,wet.te_residual_day_18_BP14
2@113.11,S2_46701398,2,113.0877388,3.40137798153093,6.58445794318696,391.762850608801,99.6911412475885,2.51907542113702,2,9.515531011,1.29020627643616,3.70148879394424,2,119.7658678,1.8298647950488,wet.te_residual_day_18_BP14
2@11.41,S2_2504271,2,11.41378601,1.06339587468972,1.99374065140149,-234.682699726214,108.527568814416,2.51907542113702,2,9.515531011,1.29020627643616,3.70148879394424,2,119.7658678,1.8298647950488,wet.te_residual_day_18_BP14
3@53.41,S3_10844641,3,53.40431196,1.41085574822162,2.65773455003611,285.856701409431,114.494838151986,1.52108635780291,3,0,0.589820224963707,1.11248768598125,3,129.9167988,0.364322504306188,wet.te_residual_day_18_BP14
3@76.11,S3_24429179,3,76.13784206,0.0143399027010016,0.0265053758316647,-27.8397241237433,111.65836768556,1.52108635780291,3,0,0.589820224963707,1.11248768598125,3,129.9167988,0.364322504306188,wet.te_residual_day_18_BP14
3@21.71,S3_3122887,3,21.70283758,0.00905247730579539,0.0167310848878444,-23.6613960051534,119.446009003808,1.52108635780291,3,0,0.589820224963707,1.11248768598125,3,129.9167988,0.364322504306188,wet.te_residual_day_18_BP14
3@9.41,S3_1475874,3,9.449682849,0.21318427565804,0.395105617029213,-114.255665485593,118.690093770123,1.52108635780291,3,0,0.589820224963707,1.11248768598125,3,129.9167988,0.364322504306188,wet.te_residual_day_18_BP14
