,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
7@95.3,S7_31711920,7,95.32348365,4.58913829613677,9.43155648770693,-1.23753945222787,0.263345905191869,S7_31494503,7,93.27304403,5.2814872577391,S7_32940091,7,101.9471039,4.09512287325927,dry.water_lost_17_BP14
9@34.9,S9_6724364,9,34.93391023,8.66262745799392,18.8190013127839,1.54104893859456,0.232154628340367,S9_6184858,9,32.79210864,10.2267726828759,S9_8458511,9,38.57941159,9.40112420750605,dry.water_lost_17_BP14
7@95.31,S7_31711920,7,95.32348365,5.95290206792897,11.9635416899498,-1.58041144448719,0.29256942501255,S7_31494503,7,93.27304403,5.2814872577391,S7_32940091,7,101.9471039,4.09512287325927,dry.water_lost_18_BP14
9@34.91,S9_6724364,9,34.93391023,9.2286971633088,19.3966963187629,1.77400541858957,0.257916849240762,S9_6184858,9,32.79210864,10.2267726828759,S9_8458511,9,38.57941159,9.40112420750605,dry.water_lost_18_BP14
7@95.32,S7_31711920,7,95.32348365,6.70320642859456,13.2833262757816,-1.87121735765974,0.324780450508167,S7_31494503,7,93.27304403,5.2814872577391,S7_32940091,7,101.9471039,4.09512287325927,dry.water_lost_19_BP14
9@34.92,S9_6724364,9,34.93391023,9.62624579209158,19.8556819574062,2.01680541030096,0.286312728975246,S9_6184858,9,32.79210864,10.2267726828759,S9_8458511,9,38.57941159,9.40112420750605,dry.water_lost_19_BP14
7@95.33,S7_31711920,7,95.32348365,7.12612766521496,13.9176354242518,-2.0504564186509,0.344174226634996,S7_31494503,7,93.27304403,5.2814872577391,S7_32940091,7,101.9471039,4.09512287325927,dry.water_lost_20_BP14
9@34.93,S9_6724364,9,34.93391023,10.1508025895583,20.6660378532725,2.2026586649646,0.303409462966837,S9_6184858,9,32.79210864,10.2267726828759,S9_8458511,9,38.57941159,9.40112420750605,dry.water_lost_20_BP14
7@95.34,S7_31711920,7,95.32348365,7.21207845180707,13.869792325153,-2.20632739818253,0.367908267750726,S7_31494503,7,93.27304403,5.2814872577391,S7_32940091,7,101.9471039,4.09512287325927,dry.water_lost_21_BP14
9@34.94,S9_6724364,9,34.93391023,10.8174318075148,21.8613630218704,2.44188031292109,0.324332391273708,S9_6184858,9,32.79210864,10.2267726828759,S9_8458511,9,38.57941159,9.40112420750605,dry.water_lost_21_BP14
7@95.35,S7_31711920,7,95.32348365,7.07555796012514,13.3418058630904,-2.28904889264691,0.385726243891802,S7_31494503,7,93.27304403,5.2814872577391,S7_32940091,7,101.9471039,4.09512287325927,dry.water_lost_22_BP14
9@34.95,S9_6724364,9,34.93391023,11.7307286873422,23.5852917611488,2.68299067743516,0.340039966547359,S9_6184858,9,32.79210864,10.2267726828759,S9_8458511,9,38.57941159,9.40112420750605,dry.water_lost_22_BP14
7@95.36,S7_31711920,7,95.32348365,6.58214666004745,12.3001420125298,-2.43096200973818,0.426146960088821,S7_31494503,7,93.27304403,5.2814872577391,S7_32940091,7,101.9471039,4.09512287325927,dry.water_lost_23_BP14
9@34.96,S9_6724364,9,34.93391023,12.2469319703328,24.7443811268323,3.03957024008037,0.375673162890904,S9_6184858,9,32.79210864,10.2267726828759,S9_8458511,9,38.57941159,9.40112420750605,dry.water_lost_23_BP14
7@95.37,S7_31711920,7,95.32348365,5.95419379252839,11.1313410059831,-2.57007479148085,0.475722410712429,S7_31494503,7,93.27304403,5.2814872577391,S7_32940091,7,101.9471039,4.09512287325927,dry.water_lost_24_BP14
9@34.97,S9_6724364,9,34.93391023,12.3713166254267,25.264425516031,3.41332395255335,0.41937678648036,S9_6184858,9,32.79210864,10.2267726828759,S9_8458511,9,38.57941159,9.40112420750605,dry.water_lost_24_BP14
7@95.38,S7_31711920,7,95.32348365,5.12196141568492,9.64464276408454,-2.65490602120281,0.532844154196829,S7_31494503,7,93.27304403,5.2814872577391,S7_32940091,7,101.9471039,4.09512287325927,dry.water_lost_25_BP14
9@34.98,S9_6724364,9,34.93391023,12.2438710476428,25.425246876782,3.80005117491856,0.469732903159344,S9_6184858,9,32.79210864,10.2267726828759,S9_8458511,9,38.57941159,9.40112420750605,dry.water_lost_25_BP14
7@95.39,S7_31711920,7,95.32348365,4.38811585322768,8.35557502738475,-2.7099132019694,0.590525305769398,S7_31494503,7,93.27304403,5.2814872577391,S7_32940091,7,101.9471039,4.09512287325927,dry.water_lost_26_BP14
9@34.99,S9_6724364,9,34.93391023,11.9279693028903,25.1857650897256,4.14758752762506,0.520582170383826,S9_6184858,9,32.79210864,10.2267726828759,S9_8458511,9,38.57941159,9.40112420750605,dry.water_lost_26_BP14
7@95.310,S7_31711920,7,95.32348365,3.92668602369908,7.53535765071125,-2.80746800368428,0.648745205111606,S7_31494503,7,93.27304403,5.2814872577391,S7_32940091,7,101.9471039,4.09512287325927,dry.water_lost_27_BP14
9@34.910,S9_6724364,9,34.93391023,11.6994037014291,24.971830517101,4.50545696997995,0.571906374889517,S9_6184858,9,32.79210864,10.2267726828759,S9_8458511,9,38.57941159,9.40112420750605,dry.water_lost_27_BP14
7@95.311,S7_31711920,7,95.32348365,3.61344004838069,6.98886212280901,-2.7990683777818,0.675679299580008,S7_31494503,7,93.27304403,5.2814872577391,S7_32940091,7,101.9471039,4.09512287325927,dry.water_lost_28_BP14
9@34.911,S9_6724364,9,34.93391023,11.4397404479729,24.624792971083,4.63177380252821,0.595650335086811,S9_6184858,9,32.79210864,10.2267726828759,S9_8458511,9,38.57941159,9.40112420750605,dry.water_lost_28_BP14
