,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.1,S2_44586954,2,96.05450929,6.15800445463529,10.4323432403726,993.750183934807,181.573879303106,S2_44209808,2,93.99718694,6.3900242346042,S2_45156658,2,100.2097111,5.61191673893189,wet.te_fit_day_17_BP14
5@109.7,S5_43714208,5,109.7001758,4.18679945132027,6.90173075823503,-886.387488688456,199.118538009999,S5_32611224,5,78.29328827,2.76683653032526,S5_44003086,5,115.1315049,2.36022203820108,wet.te_fit_day_17_BP14
7@99.9,S7_32133319,7,99.94477983,5.61512242500959,9.44110524112621,-1387.75136659101,266.543028757425,S7_31956171,7,96.48121012,5.35169169778698,S7_32940091,7,101.9471039,5.12331445284184,wet.te_fit_day_17_BP14
9@34.9,S9_6724364,9,34.93391023,8.9284799650459,15.7242859736965,1349.66283417917,200.866219634466,S9_5686516,9,31.99307473,8.80731450632666,S9_7478538,9,36.4077051,8.8335128723938,wet.te_fit_day_17_BP14
2@96.11,S2_44586954,2,96.05450929,7.02198346688427,11.5518336033765,1327.25312671224,225.737299501113,S2_44209808,2,93.99718694,6.3900242346042,S2_45156658,2,100.2097111,5.61191673893189,wet.te_fit_day_18_BP14
5@109.71,S5_43714208,5,109.7001758,4.48842414705013,7.12844230713738,-1143.36248109591,247.549268779752,S5_32611224,5,78.29328827,2.76683653032526,S5_44003086,5,115.1315049,2.36022203820108,wet.te_fit_day_18_BP14
7@99.91,S7_32133319,7,99.94477983,6.14881643366417,9.99295062082882,-1812.12904594403,331.373123400131,S7_31956171,7,96.48121012,5.35169169778698,S7_32940091,7,101.9471039,5.12331445284184,wet.te_fit_day_18_BP14
9@34.91,S9_6724364,9,34.93391023,9.53510015298852,16.2499296940555,1741.43621477872,249.722031358869,S9_5686516,9,31.99307473,8.80731450632666,S9_7478538,9,36.4077051,8.8335128723938,wet.te_fit_day_18_BP14
2@96.12,S2_44586954,2,96.05450929,7.72429358469735,12.368411421159,1725.94208605456,278.510753448176,S2_44209808,2,93.99718694,6.3900242346042,S2_45156658,2,100.2097111,5.61191673893189,wet.te_fit_day_19_BP14
5@109.72,S5_43714208,5,109.7001758,4.7411755836466,7.28282528441082,-1452.37085595463,305.421981727277,S5_32611224,5,78.29328827,2.76683653032526,S5_44003086,5,115.1315049,2.36022203820108,wet.te_fit_day_19_BP14
7@99.92,S7_32133319,7,99.94477983,6.67780116654421,10.5373835207654,-2338.5658685566,408.842395450871,S7_31956171,7,96.48121012,5.35169169778698,S7_32940091,7,101.9471039,5.12331445284184,wet.te_fit_day_19_BP14
9@34.92,S9_6724364,9,34.93391023,10.1272140621669,16.7744781147848,2223.55204832481,308.102698402418,S9_5686516,9,31.99307473,8.80731450632666,S9_7478538,9,36.4077051,8.8335128723938,wet.te_fit_day_19_BP14
2@96.13,S2_44586954,2,96.05450929,8.35345801030515,13.0674591949953,1994.69188417681,308.15570766183,S2_44209808,2,93.99718694,6.3900242346042,S2_45156658,2,100.2097111,5.61191673893189,wet.te_fit_day_20_BP14
5@109.73,S5_43714208,5,109.7001758,4.93772523186662,7.36472817769371,-1642.1655157576,337.931393130789,S5_32611224,5,78.29328827,2.76683653032526,S5_44003086,5,115.1315049,2.36022203820108,wet.te_fit_day_20_BP14
7@99.93,S7_32133319,7,99.94477983,7.16833044430608,11.0287793034547,-2690.03495546773,452.359975808849,S7_31956171,7,96.48121012,5.35169169778698,S7_32940091,7,101.9471039,5.12331445284184,wet.te_fit_day_20_BP14
9@34.93,S9_6724364,9,34.93391023,10.6554503002992,17.2194079899225,2533.04488923509,340.897447883941,S9_5686516,9,31.99307473,8.80731450632666,S9_7478538,9,36.4077051,8.8335128723938,wet.te_fit_day_20_BP14
2@96.14,S2_44586954,2,96.05450929,8.89486932527562,13.6176898124447,2353.3659457774,350.988501026864,S2_44209808,2,93.99718694,6.3900242346042,S2_45156658,2,100.2097111,5.61191673893189,wet.te_fit_day_21_BP14
5@109.74,S5_43714208,5,109.7001758,5.10690090228013,7.41541197896243,-1904.42428388645,384.902924644375,S5_32611224,5,78.29328827,2.76683653032526,S5_44003086,5,115.1315049,2.36022203820108,wet.te_fit_day_21_BP14
7@99.94,S7_32133319,7,99.94477983,7.64700158876049,11.503785381935,-3175.20732227317,515.236764681101,S7_31956171,7,96.48121012,5.35169169778698,S7_32940091,7,101.9471039,5.12331445284184,wet.te_fit_day_21_BP14
9@34.94,S9_6724364,9,34.93391023,11.1581337646873,17.6388664586791,2962.96564460838,388.281252826811,S9_5686516,9,31.99307473,8.80731450632666,S9_7478538,9,36.4077051,8.8335128723938,wet.te_fit_day_21_BP14
2@96.15,S2_44586954,2,96.05450929,9.46431490188713,14.1136876482232,2499.83928519247,359.995047361223,S2_44209808,2,93.99718694,6.3900242346042,S2_45156658,2,100.2097111,5.61191673893189,wet.te_fit_day_22_BP14
5@109.75,S5_43714208,5,109.7001758,5.19862835984196,7.30327810074821,-1972.0098489306,394.779732616424,S5_32611224,5,78.29328827,2.76683653032526,S5_44003086,5,115.1315049,2.36022203820108,wet.te_fit_day_22_BP14
7@99.95,S7_32133319,7,99.94477983,8.51024965769206,12.5214313392371,-3456.46992253404,528.458006347676,S7_31956171,7,96.48121012,5.35169169778698,S7_32940091,7,101.9471039,5.12331445284184,wet.te_fit_day_22_BP14
9@34.95,S9_6724364,9,34.93391023,11.6250864216752,17.8756654579085,3112.26436938353,398.24475044601,S9_5686516,9,31.99307473,8.80731450632666,S9_7478538,9,36.4077051,8.8335128723938,wet.te_fit_day_22_BP14
2@96.16,S2_44586954,2,96.05450929,9.70093893879432,14.273603788505,2578.88525812148,366.208257701961,S2_44209808,2,93.99718694,6.3900242346042,S2_45156658,2,100.2097111,5.61191673893189,wet.te_fit_day_23_BP14
5@109.76,S5_43714208,5,109.7001758,5.27496455708349,7.29499083089838,-2021.78932281979,401.593297233453,S5_32611224,5,78.29328827,2.76683653032526,S5_44003086,5,115.1315049,2.36022203820108,wet.te_fit_day_23_BP14
7@99.96,S7_32133319,7,99.94477983,8.77400083363719,12.7420056387335,-3576.82797384958,537.578745018258,S7_31956171,7,96.48121012,5.35169169778698,S7_32940091,7,101.9471039,5.12331445284184,wet.te_fit_day_23_BP14
9@34.96,S9_6724364,9,34.93391023,12.0301473711239,18.2962967335479,3229.9837117957,405.118118343022,S9_5686516,9,31.99307473,8.80731450632666,S9_7478538,9,36.4077051,8.8335128723938,wet.te_fit_day_23_BP14
2@96.17,S2_44586954,2,96.05450929,9.67978961717598,14.2149528746332,2455.63983482194,349.140019496181,S2_44209808,2,93.99718694,6.3900242346042,S2_45156658,2,100.2097111,5.61191673893189,wet.te_fit_day_24_BP14
5@109.77,S5_43714208,5,109.7001758,5.25279507013497,7.25022758551751,-1923.20730488207,382.875832744698,S5_32611224,5,78.29328827,2.76683653032526,S5_44003086,5,115.1315049,2.36022203820108,wet.te_fit_day_24_BP14
7@99.97,S7_32133319,7,99.94477983,8.76870071647322,12.7125432210308,-3408.96180211872,512.523269393774,S7_31956171,7,96.48121012,5.35169169778698,S7_32940091,7,101.9471039,5.12331445284184,wet.te_fit_day_24_BP14
9@34.97,S9_6724364,9,34.93391023,12.1602816884661,18.4983329002081,3098.93014652103,386.236368956083,S9_5686516,9,31.99307473,8.80731450632666,S9_7478538,9,36.4077051,8.8335128723938,wet.te_fit_day_24_BP14
2@96.18,S2_44586954,2,96.05450929,9.32163763676389,13.7021399157189,2049.09530751485,297.633968254765,S2_44209808,2,93.99718694,6.3900242346042,S2_45156658,2,100.2097111,5.61191673893189,wet.te_fit_day_25_BP14
