,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
5@115.1,S5_44003086,5,115.1315049,1.94923547955619,3.83506589735518,-1.93634317366225,0.645434483913125,S5_33184214,5,79.95790853,2.77680124733128,S5_44418942,5,120.9842738,2.65282000692332,dry.water_lost_total_17_BP14
7@95.3,S7_31711920,7,95.32348365,4.10594760110929,8.31538451466693,-3.35847722053243,0.760251858131158,S7_31178325,7,89.28412826,3.88017866445626,S7_32133319,7,99.94477983,5.5633880457496,dry.water_lost_total_17_BP14
9@34.9,S9_6724364,9,34.93391023,8.14489771135421,17.4258436364764,4.28604526273696,0.670218016582174,S9_6184858,9,32.79210864,11.4842040044539,S9_7142713,9,35.91474829,11.8280644744816,dry.water_lost_total_17_BP14
5@115.11,S5_44003086,5,115.1315049,2.04454329512483,3.88580997318416,-2.66347380688149,0.866315289094544,S5_33184214,5,79.95790853,2.77680124733128,S5_44418942,5,120.9842738,2.65282000692332,dry.water_lost_total_18_BP14
7@95.31,S7_31711920,7,95.32348365,5.11606026690932,10.1333263647393,-5.06627770117163,1.02042550355925,S7_31178325,7,89.28412826,3.88017866445626,S7_32133319,7,99.94477983,5.5633880457496,dry.water_lost_total_18_BP14
9@34.91,S9_6724364,9,34.93391023,8.7954465423473,18.3176005906568,6.00490134540207,0.89958025061132,S9_6184858,9,32.79210864,11.4842040044539,S9_7142713,9,35.91474829,11.8280644744816,dry.water_lost_total_18_BP14
5@115.12,S5_44003086,5,115.1315049,2.18170742043417,4.03478133103416,-3.53225767172355,1.11117382823501,S5_33184214,5,79.95790853,2.77680124733128,S5_44418942,5,120.9842738,2.65282000692332,dry.water_lost_total_19_BP14
7@95.32,S7_31711920,7,95.32348365,5.79672979414512,11.2550661015459,-6.94899062943572,1.30884232044857,S7_31178325,7,89.28412826,3.88017866445626,S7_32133319,7,99.94477983,5.5633880457496,dry.water_lost_total_19_BP14
9@34.92,S9_6724364,9,34.93391023,9.41593055094248,19.2099233262827,8.00330051949615,1.15384092080511,S9_6184858,9,32.79210864,11.4842040044539,S9_7142713,9,35.91474829,11.8280644744816,dry.water_lost_total_19_BP14
5@115.13,S5_44003086,5,115.1315049,2.33420722484917,4.21694522466953,-4.52671839890448,1.37530516144224,S5_33184214,5,79.95790853,2.77680124733128,S5_44418942,5,120.9842738,2.65282000692332,dry.water_lost_total_20_BP14
7@95.33,S7_31711920,7,95.32348365,6.28875894591353,11.9834792783895,-8.98837718066791,1.61996039961287,S7_31178325,7,89.28412826,3.88017866445626,S7_32133319,7,99.94477983,5.5633880457496,dry.water_lost_total_20_BP14
9@34.93,S9_6724364,9,34.93391023,10.0362774576688,20.1327423996975,10.2706965997212,1.42811442597342,S9_6184858,9,32.79210864,11.4842040044539,S9_7142713,9,35.91474829,11.8280644744816,dry.water_lost_total_20_BP14
5@115.14,S5_44003086,5,115.1315049,2.50273555232292,4.43331332568918,-5.67476525495789,1.66316859454886,S5_33184214,5,79.95790853,2.77680124733128,S5_44418942,5,120.9842738,2.65282000692332,dry.water_lost_total_21_BP14
7@95.34,S7_31711920,7,95.32348365,6.64869904754336,12.4554178534475,-11.2038726599878,1.9590323199424,S7_31178325,7,89.28412826,3.88017866445626,S7_32133319,7,99.94477983,5.5633880457496,dry.water_lost_total_21_BP14
9@34.94,S9_6724364,9,34.93391023,10.6099378879139,20.9877550235728,12.8212572562756,1.72703130133706,S9_6184858,9,32.79210864,11.4842040044539,S9_7142713,9,35.91474829,11.8280644744816,dry.water_lost_total_21_BP14
5@115.15,S5_44003086,5,115.1315049,2.65099231292979,4.61639001819663,-6.89139853872485,1.96050575313305,S5_33184214,5,79.95790853,2.77680124733128,S5_44418942,5,120.9842738,2.65282000692332,dry.water_lost_total_22_BP14
7@95.35,S7_31711920,7,95.32348365,6.91392918284137,12.7536725937434,-13.4920852634955,2.30926326194998,S7_31178325,7,89.28412826,3.88017866445626,S7_32133319,7,99.94477983,5.5633880457496,dry.water_lost_total_22_BP14
9@34.95,S9_6724364,9,34.93391023,11.1568181723475,21.8175507987189,15.5568996757946,2.03578567633462,S9_6184858,9,32.79210864,11.4842040044539,S9_7142713,9,35.91474829,11.8280644744816,dry.water_lost_total_22_BP14
5@115.16,S5_44003086,5,115.1315049,2.79101566549252,4.78286425927653,-8.25719753212123,2.28722732547782,S5_33184214,5,79.95790853,2.77680124733128,S5_44418942,5,120.9842738,2.65282000692332,dry.water_lost_total_23_BP14
7@95.36,S7_31711920,7,95.32348365,7.11611458505707,12.929107806282,-15.9910967200252,2.69410585815078,S7_31178325,7,89.28412826,3.88017866445626,S7_32133319,7,99.94477983,5.5633880457496,dry.water_lost_total_23_BP14
9@34.96,S9_6724364,9,34.93391023,11.7167742489314,22.6814759020989,18.6718880637149,2.37505277415675,S9_6184858,9,32.79210864,11.4842040044539,S9_7142713,9,35.91474829,11.8280644744816,dry.water_lost_total_23_BP14
5@115.17,S5_44003086,5,115.1315049,2.9584943997641,5.00223480126739,-9.82778994379185,2.64113694696289,S5_33184214,5,79.95790853,2.77680124733128,S5_44418942,5,120.9842738,2.65282000692332,dry.water_lost_total_24_BP14
7@95.37,S7_31711920,7,95.32348365,7.2242795113129,12.9405956325625,-18.6189972333899,3.110973029104,S7_31178325,7,89.28412826,3.88017866445626,S7_32133319,7,99.94477983,5.5633880457496,dry.water_lost_total_24_BP14
9@34.97,S9_6724364,9,34.93391023,12.2362142327104,23.4879908868978,22.1136635099083,2.74255189370022,S9_6184858,9,32.79210864,11.4842040044539,S9_7142713,9,35.91474829,11.8280644744816,dry.water_lost_total_24_BP14
5@115.18,S5_44003086,5,115.1315049,3.2282587473306,5.39941555037002,-11.8113150226475,3.03318398540186,S5_33184214,5,79.95790853,2.77680124733128,S5_44418942,5,120.9842738,2.65282000692332,dry.water_lost_total_25_BP14
7@95.38,S7_31711920,7,95.32348365,7.19821286492932,12.7040856417551,-21.3403681885268,3.57276194320262,S7_31178325,7,89.28412826,3.88017866445626,S7_32133319,7,99.94477983,5.5633880457496,dry.water_lost_total_25_BP14
9@34.98,S9_6724364,9,34.93391023,12.7403828950765,24.2745784547241,26.0054670548022,3.14965283896805,S9_6184858,9,32.79210864,11.4842040044539,S9_7142713,9,35.91474829,11.8280644744816,dry.water_lost_total_25_BP14
5@115.19,S5_44003086,5,115.1315049,3.4818330890919,5.78022151021178,-13.9962181795125,3.45503105431094,S5_33184214,5,79.95790853,2.77680124733128,S5_44418942,5,120.9842738,2.65282000692332,dry.water_lost_total_26_BP14
