,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
5@115.1,S5_44003086,5,115.1315049,2.30485979016066,4.32191753784526,-0.711614108825003,0.217616984357653,S5_33184214,5,79.95790853,1.90000900577607,S5_44418942,5,120.9842738,1.63983034940381,dry.water_lost_17_BP14
7@95.3,S7_31711920,7,95.32348365,5.06356105028349,9.85372034741432,-1.26564455063978,0.256329218289913,S7_31178325,7,89.28412826,2.57208353197707,S7_32940091,7,101.9471039,2.3003033917935,dry.water_lost_17_BP14
9@34.9,S9_6724364,9,34.93391023,9.40337615912448,19.4162227753048,1.56621946951646,0.225973088308698,S9_6184858,9,32.79210864,9.22538815709616,S9_7478538,9,36.4077051,8.6930245698569,dry.water_lost_17_BP14
5@115.11,S5_44003086,5,115.1315049,2.25090121345198,4.05465865920241,-0.781549295335785,0.241938655499123,S5_33184214,5,79.95790853,1.90000900577607,S5_44418942,5,120.9842738,1.63983034940381,dry.water_lost_18_BP14
7@95.31,S7_31711920,7,95.32348365,6.5105909863539,12.4214469066891,-1.61127862318244,0.284977510469861,S7_31178325,7,89.28412826,2.57208353197707,S7_32940091,7,101.9471039,2.3003033917935,dry.water_lost_18_BP14
9@34.91,S9_6724364,9,34.93391023,9.98622806010998,19.9827085577094,1.80164962977269,0.25122866822995,S9_6184858,9,32.79210864,9.22538815709616,S9_7478538,9,36.4077051,8.6930245698569,dry.water_lost_18_BP14
5@115.12,S5_44003086,5,115.1315049,2.26680769437571,3.9845827420393,-0.870564966340806,0.268518855852842,S5_33184214,5,79.95790853,1.90000900577607,S5_44418942,5,120.9842738,1.63983034940381,dry.water_lost_19_BP14
7@95.32,S7_31711920,7,95.32348365,7.31232656430846,13.7604743491819,-1.90560019767026,0.316286105241401,S7_31178325,7,89.28412826,2.57208353197707,S7_32940091,7,101.9471039,2.3003033917935,dry.water_lost_19_BP14
9@34.92,S9_6724364,9,34.93391023,10.4103269935459,20.4428804232603,2.04759819832057,0.278829500855783,S9_6184858,9,32.79210864,9.22538815709616,S9_7478538,9,36.4077051,8.6930245698569,dry.water_lost_19_BP14
5@115.13,S5_44003086,5,115.1315049,2.36771970478592,4.07293396228562,-0.942237627441125,0.284173318742193,S5_33184214,5,79.95790853,1.90000900577607,S5_44418942,5,120.9842738,1.63983034940381,dry.water_lost_20_BP14
7@95.33,S7_31711920,7,95.32348365,7.78553682365347,14.4111790924827,-2.08766996025754,0.334725365609888,S7_31178325,7,89.28412826,2.57208353197707,S7_32940091,7,101.9471039,2.3003033917935,dry.water_lost_20_BP14
9@34.93,S9_6724364,9,34.93391023,10.9946136887022,21.2714455403858,2.23598658952818,0.295085067191114,S9_6184858,9,32.79210864,9.22538815709616,S9_7478538,9,36.4077051,8.6930245698569,dry.water_lost_20_BP14
