,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@94.7,S2_44257418,2,94.71205672,0.372854808385405,1.14858703945443,77.0100287098758,62.9087500664563,3.77845898145495,2,92.81876812,2.29832452505541,3.46666307701412,2,106.7975269,2.31273665214831,dry.sv_area_total_8_BP14
2@110.1,S2_46330162,2,110.0512956,0.0914825399769583,0.280185804336032,39.8105219351323,65.8446561673329,3.77845898145495,2,92.81876812,2.29832452505541,3.46666307701412,2,106.7975269,2.31273665214831,dry.sv_area_total_8_BP14
3@21.7,S3_3122887,3,21.70283758,0.00234516490322534,0.0071694390099708,4.88546759663077,50.5137111531585,1.32871023402663,3,0,0.257272182786024,1.19845265542835,3,129.9167988,0.369100668428018,dry.sv_area_total_8_BP14
4@50.7,S4_20239820,4,50.72638018,0.0604125017874253,0.184908629338366,26.6130481292471,54.1828389414155,0.052373556391899,4,0,0.00765355812689213,0.122533577422814,4,95.09955426,0.0344022500534125,dry.sv_area_total_8_BP14
5@109.7,S5_43714262,5,109.7001769,0.430159203089609,1.32668077659252,-104.329822432574,79.299596363526,2.7579532286544,5,55.89671655,1.06897186188133,1.6117596968495,5,121.4629871,1.12804617228405,dry.sv_area_total_8_BP14
5@80.0,S5_33184214,5,79.95790853,0.149431079846231,0.458212226597855,46.4880233144967,60.124775840358,2.7579532286544,5,55.89671655,1.06897186188133,1.6117596968495,5,121.4629871,1.12804617228405,dry.sv_area_total_8_BP14
5@97.2,S5_41265928,5,97.18561608,0.399356833542619,1.23089932855038,-82.6388217393132,65.2106569917142,2.7579532286544,5,55.89671655,1.06897186188133,1.6117596968495,5,121.4629871,1.12804617228405,dry.sv_area_total_8_BP14
5@119.9,S5_44336611,5,119.8635321,0.0721022452271569,0.22074128535802,-37.8250617490444,70.4828714575198,2.7579532286544,5,55.89671655,1.06897186188133,1.6117596968495,5,121.4629871,1.12804617228405,dry.sv_area_total_8_BP14
6@65.2,S6_31888552,6,65.16886519,0.273543089162011,0.840932688732934,61.9966660213192,59.1879699346517,0.355475003427159,6,0,0.189742661664378,1.14062925118037,6,92.0202595,0.585553739198024,dry.sv_area_total_8_BP14
6@80.5,S6_33880986,6,80.45671922,0.145041952217987,0.444713329615766,43.5287598841854,57.1454882509987,0.355475003427159,6,0,0.189742661664378,1.14062925118037,6,92.0202595,0.585553739198024,dry.sv_area_total_8_BP14
7@96.5,S7_31956171,7,96.48121012,0.204941548792888,0.629146787687397,-57.9753092236219,63.9901029168566,1.47324011491128,7,50.71621801,0.456857893116519,0.951396330504622,7,104.8359143,0.667421637601734,dry.sv_area_total_8_BP14
7@50.7,S7_19446572,7,50.71621801,0.406034727622583,1.25165426333519,-65.7485591317475,51.4505207744005,1.47324011491128,7,50.71621801,0.456857893116519,0.951396330504622,7,104.8359143,0.667421637601734,dry.sv_area_total_8_BP14
9@32.8,S9_6184858,9,32.79210864,1.90583665280943,6.06043837157222,171.649389353967,61.0430141467264,4.99807285934321,9,31.29811037,2.93871138426319,2.89798239998538,9,45.61491815,1.7561976707208,dry.sv_area_total_8_BP14
9@126.5,S9_47239379,9,126.5303951,1.338365479938,4.20600772382722,125.560240541259,53.5997584812725,4.99807285934321,9,31.29811037,2.93871138426319,2.89798239998538,9,45.61491815,1.7561976707208,dry.sv_area_total_8_BP14
2@94.71,S2_44257418,2,94.71205672,1.26039415899585,3.82717954239175,100.310986426636,44.1615748959813,3.77845898145495,2,92.81876812,2.29832452505541,3.46666307701412,2,106.7975269,2.31273665214831,dry.sv_area_total_9_BP14
2@110.11,S2_46330162,2,110.0512956,1.27510011083132e-06,3.77237302373601e-06,0.10423795329276,46.2225638208044,3.77845898145495,2,92.81876812,2.29832452505541,3.46666307701412,2,106.7975269,2.31273665214831,dry.sv_area_total_9_BP14
3@21.71,S3_3122887,3,21.70283758,0.37318548380081,1.11258026466858,43.4283149897446,35.4603300178053,1.32871023402663,3,0,0.257272182786024,1.19845265542835,3,129.9167988,0.369100668428018,dry.sv_area_total_9_BP14
4@50.71,S4_20239820,4,50.72638018,0.13702414049893,0.406528901747702,-28.1582393625765,38.0360362820828,0.052373556391899,4,0,0.00765355812689213,0.122533577422814,4,95.09955426,0.0344022500534125,dry.sv_area_total_9_BP14
5@109.71,S5_43714262,5,109.7001769,0.765234009666798,2.29993181367725,-98.0226600175841,55.6678532053087,2.7579532286544,5,55.89671655,1.06897186188133,1.6117596968495,5,121.4629871,1.12804617228405,dry.sv_area_total_9_BP14
5@80.01,S5_33184214,5,79.95790853,0.681190414491823,2.04378457528837,70.0598261681771,42.2072412593339,2.7579532286544,5,55.89671655,1.06897186188133,1.6117596968495,5,121.4629871,1.12804617228405,dry.sv_area_total_9_BP14
5@97.21,S5_41265928,5,97.18561608,1.77694947032819,5.45390577467712,-124.12818853896,45.7775001047316,2.7579532286544,5,55.89671655,1.06897186188133,1.6117596968495,5,121.4629871,1.12804617228405,dry.sv_area_total_9_BP14
5@119.91,S5_44336611,5,119.8635321,0.00134004098269713,0.00396460917137986,-3.6172773257268,49.4785638479054,2.7579532286544,5,55.89671655,1.06897186188133,1.6117596968495,5,121.4629871,1.12804617228405,dry.sv_area_total_9_BP14
6@65.21,S6_31888552,6,65.16886519,0.0580366721756533,0.171906035828872,-20.002166308947,41.5496089883995,0.355475003427159,6,0,0.189742661664378,1.14062925118037,6,92.0202595,0.585553739198024,dry.sv_area_total_9_BP14
6@80.51,S6_33880986,6,80.45671922,0.0114838465613474,0.0339828857524793,8.58637994549289,40.1157987831256,0.355475003427159,6,0,0.189742661664378,1.14062925118037,6,92.0202595,0.585553739198024,dry.sv_area_total_9_BP14
7@96.51,S7_31956171,7,96.48121012,0.0726795487427765,0.215343438925252,-24.2034155548145,44.9206782773311,1.47324011491128,7,50.71621801,0.456857893116519,0.951396330504622,7,104.8359143,0.667421637601734,dry.sv_area_total_9_BP14
7@50.71,S7_19446572,7,50.71621801,0.0669002963243628,0.198196434933038,-18.6696304167371,36.1179648970241,1.47324011491128,7,50.71621801,0.456857893116519,0.951396330504622,7,104.8359143,0.667421637601734,dry.sv_area_total_9_BP14
9@32.81,S9_6184858,9,32.79210864,1.54122522646929,4.7072802258905,107.949099242504,42.8518391840457,4.99807285934321,9,31.29811037,2.93871138426319,2.89798239998538,9,45.61491815,1.7561976707208,dry.sv_area_total_9_BP14
9@126.51,S9_47239379,9,126.5303951,0.144715479275604,0.42941584595857,28.628585627706,37.6267172066953,4.99807285934321,9,31.29811037,2.93871138426319,2.89798239998538,9,45.61491815,1.7561976707208,dry.sv_area_total_9_BP14
2@94.72,S2_44257418,2,94.71205672,1.30957880785027,2.9595618291799,99.6867076092685,42.2067621697579,3.77845898145495,2,92.81876812,2.29832452505541,3.46666307701412,2,106.7975269,2.31273665214831,dry.sv_area_total_10_BP14
2@110.12,S2_46330162,2,110.0512956,0.00869230341970884,0.019285237322741,8.26064452001915,43.3271310766998,3.77845898145495,2,92.81876812,2.29832452505541,3.46666307701412,2,106.7975269,2.31273665214831,dry.sv_area_total_10_BP14
3@21.72,S3_3122887,3,21.70283758,2.45763465207725,5.64571375420967,116.287257511132,35.6476737166229,1.32871023402663,3,0,0.257272182786024,1.19845265542835,3,129.9167988,0.369100668428018,dry.sv_area_total_10_BP14
4@50.72,S4_20239820,4,50.72638018,0.693498090659058,1.55361565138611,-67.0994195986227,39.210778318133,0.052373556391899,4,0,0.00765355812689213,0.122533577422814,4,95.09955426,0.0344022500534125,dry.sv_area_total_10_BP14
5@109.72,S5_43714262,5,109.7001769,0.510602360444398,1.14092184502488,-84.1267827110334,57.3673548950817,2.7579532286544,5,55.89671655,1.06897186188133,1.6117596968495,5,121.4629871,1.12804617228405,dry.sv_area_total_10_BP14
5@80.02,S5_33184214,5,79.95790853,0.00742044428612054,0.0164631227185694,7.32654228285791,41.5911995126722,2.7579532286544,5,55.89671655,1.06897186188133,1.6117596968495,5,121.4629871,1.12804617228405,dry.sv_area_total_10_BP14
5@97.22,S5_41265928,5,97.18561608,0.576307837599851,1.28893713434883,-74.0460685427032,47.505580567384,2.7579532286544,5,55.89671655,1.06897186188133,1.6117596968495,5,121.4629871,1.12804617228405,dry.sv_area_total_10_BP14
5@119.92,S5_44336611,5,119.8635321,0.00345464786072647,0.00766411056867256,5.665524454279,47.137628668057,2.7579532286544,5,55.89671655,1.06897186188133,1.6117596968495,5,121.4629871,1.12804617228405,dry.sv_area_total_10_BP14
6@65.22,S6_31888552,6,65.16886519,0.0975362095708832,0.216671193222261,-27.762494808649,43.4426586761162,0.355475003427159,6,0,0.189742661664378,1.14062925118037,6,92.0202595,0.585553739198024,dry.sv_area_total_10_BP14
6@80.52,S6_33880986,6,80.45671922,0.0541971746781371,0.1203222568952,-20.4646330166735,42.9723861411345,0.355475003427159,6,0,0.189742661664378,1.14062925118037,6,92.0202595,0.585553739198024,dry.sv_area_total_10_BP14
7@96.52,S7_31956171,7,96.48121012,0.394029123097608,0.878991556152144,-59.0990522186374,45.9141615272314,1.47324011491128,7,50.71621801,0.456857893116519,0.951396330504622,7,104.8359143,0.667421637601734,dry.sv_area_total_10_BP14
7@50.72,S7_19446572,7,50.71621801,0.000419934324849436,0.000931581237018975,1.51176879819973,36.0772565187377,1.47324011491128,7,50.71621801,0.456857893116519,0.951396330504622,7,104.8359143,0.667421637601734,dry.sv_area_total_10_BP14
