,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.9,S2_44784129,2,96.94547802,1.20643326847041,2.46339564350854,400.113377411647,180.136730734682,3.6573000729129,2,92.81876812,2.35345421671857,3.69938058780735,2,115.1131901,2.36885654375272,wet.sv_area_total_8_BP14
2@11.4,S2_2504271,2,11.41378601,0.100267758242293,0.200452934988547,-111.956752350088,176.697486360234,3.6573000729129,2,92.81876812,2.35345421671857,3.69938058780735,2,115.1131901,2.36885654375272,wet.sv_area_total_8_BP14
2@113.1,S2_46701398,2,113.0877388,1.57456485577358,3.23787934506432,454.236097325424,178.376485300371,3.6573000729129,2,92.81876812,2.35345421671857,3.69938058780735,2,115.1131901,2.36885654375272,wet.sv_area_total_8_BP14
3@47.4,S3_7345986,3,47.38986671,1.35568526933129,2.77608814789026,368.889610207987,156.446584695283,1.39997360194252,3,45.16807388,0.785351202141859,1.28259122652298,3,111.6015536,0.736912414025736,wet.sv_area_total_8_BP14
3@16.5,S3_2542615,3,16.46388381,0.808524897278943,1.6383804161347,-283.103256766518,156.287333173345,1.39997360194252,3,45.16807388,0.785351202141859,1.28259122652298,3,111.6015536,0.736912414025736,wet.sv_area_total_8_BP14
5@104.1,S5_42739726,5,104.1345531,0.00970983785873614,0.0193782439322234,-40.2947210270139,204.539520430907,2.4838888039485,5,71.92483855,1.72237576994422,2.82409881824378,5,116.340362,1.4272626270561,wet.sv_area_total_8_BP14
5@80.9,S5_33587455,5,80.92708184,1.17448909831719,2.39670101264752,-402.114829821642,183.539459967527,2.4838888039485,5,71.92483855,1.72237576994422,2.82409881824378,5,116.340362,1.4272626270561,wet.sv_area_total_8_BP14
6@61.9,S6_31575043,6,61.87251494,0.0209509726712263,0.0418214938845907,-56.2829844757471,194.474935726014,0.780624836425773,6,0,0.324277026259599,1.01688366929739,6,92.0202595,0.542912661582451,wet.sv_area_total_8_BP14
6@73.8,S6_33052891,6,73.8397152,0.0313694397429387,0.0626308392442923,70.0065815020816,197.665577086267,0.780624836425773,6,0,0.324277026259599,1.01688366929739,6,92.0202595,0.542912661582451,wet.sv_area_total_8_BP14
7@99.9,S7_32133319,7,99.94477983,1.81383472351688,3.74711054450758,-617.193915676842,225.299211916902,3.01412091103691,7,50.71621801,1.28852953295397,1.24981949282312,7,104.8359143,0.88876007704635,wet.sv_area_total_8_BP14
7@34.0,S7_17165775,7,34.01418423,0.528787730237511,1.06581305780789,-275.966987018572,188.887362699448,3.01412091103691,7,50.71621801,1.28852953295397,1.24981949282312,7,104.8359143,0.88876007704635,wet.sv_area_total_8_BP14
7@47.1,S7_18819185,7,47.10136368,0.383739444688576,0.771318760201012,236.854338464967,190.568311544283,3.01412091103691,7,50.71621801,1.28852953295397,1.24981949282312,7,104.8359143,0.88876007704635,wet.sv_area_total_8_BP14
9@34.9,S9_6724364,9,34.93391023,1.75686203995298,3.62543624808708,508.687554697638,188.780557996661,3.1882978220882,9,31.99307473,1.99389098951229,3.44293093734927,9,39.59727801,2.10773043415796,wet.sv_area_total_8_BP14
9@138.3,S9_51037483,9,138.3415057,0.0282101152944776,0.056319684728102,-65.4817503186419,194.973892113751,3.1882978220882,9,31.99307473,1.99389098951229,3.44293093734927,9,39.59727801,2.10773043415796,wet.sv_area_total_8_BP14
9@126.3,S9_46916335,9,126.2796557,3.3203168831891,7.06205819833831,738.45014335593,196.354935609856,3.1882978220882,9,31.99307473,1.99389098951229,3.44293093734927,9,39.59727801,2.10773043415796,wet.sv_area_total_8_BP14
2@96.91,S2_44784129,2,96.94547802,0.463970948020037,1.39682230776498,103.333313825676,75.5527193061311,3.6573000729129,2,92.81876812,2.35345421671857,3.69938058780735,2,115.1131901,2.36885654375272,wet.sv_area_total_9_BP14
2@11.41,S2_2504271,2,11.41378601,0.000197737558538691,0.000590066641624531,-2.08328363593978,74.110235789371,3.6573000729129,2,92.81876812,2.35345421671857,3.69938058780735,2,115.1131901,2.36885654375272,wet.sv_area_total_9_BP14
2@113.11,S2_46701398,2,113.0877388,0.43620997659595,1.31255008433002,99.1888931425559,74.8144393969423,3.6573000729129,2,92.81876812,2.35345421671857,3.69938058780735,2,115.1131901,2.36885654375272,wet.sv_area_total_9_BP14
3@47.41,S3_7345986,3,47.38986671,0.140441414519395,0.420210254386735,49.2228674079837,65.6166282782988,1.39997360194252,3,45.16807388,0.785351202141859,1.28259122652298,3,111.6015536,0.736912414025736,wet.sv_area_total_9_BP14
3@16.51,S3_2542615,3,16.46388381,0.116482212350264,0.348363696809475,-44.7721268293321,65.5498352067969,1.39997360194252,3,45.16807388,0.785351202141859,1.28259122652298,3,111.6015536,0.736912414025736,wet.sv_area_total_9_BP14
5@104.11,S5_42739726,5,104.1345531,0.135923189952006,0.406656422967522,63.3079937614094,85.7877064333318,2.4838888039485,5,71.92483855,1.72237576994422,2.82409881824378,5,116.340362,1.4272626270561,wet.sv_area_total_9_BP14
5@80.91,S5_33587455,5,80.92708184,0.262570908103786,0.787460325898948,-79.0517138812487,76.9798876884783,2.4838888039485,5,71.92483855,1.72237576994422,2.82409881824378,5,116.340362,1.4272626270561,wet.sv_area_total_9_BP14
6@61.91,S6_31575043,6,61.87251494,0.449562136807817,1.35307127812021,-109.797252749838,81.5664310718865,0.780624836425773,6,0,0.324277026259599,1.01688366929739,6,92.0202595,0.542912661582451,wet.sv_area_total_9_BP14
6@73.81,S6_33052891,6,73.8397152,0.000329519196742289,0.000983317356674007,-3.00846800172901,82.9046458275035,0.780624836425773,6,0,0.324277026259599,1.01688366929739,6,92.0202595,0.542912661582451,wet.sv_area_total_9_BP14
7@99.91,S7_32133319,7,99.94477983,0.325759763747049,0.978143816482913,-108.150499334306,94.4947099263252,3.01412091103691,7,50.71621801,1.28852953295397,1.24981949282312,7,104.8359143,0.88876007704635,wet.sv_area_total_9_BP14
7@34.01,S7_17165775,7,34.01418423,0.216212043741557,0.647855641773234,-73.7920413947335,79.2228982745671,3.01412091103691,7,50.71621801,1.28852953295397,1.24981949282312,7,104.8359143,0.88876007704635,wet.sv_area_total_9_BP14
7@47.11,S7_18819185,7,47.10136368,1.35506783354782,4.14971560766678,188.420153236274,79.9279197086955,3.01412091103691,7,50.71621801,1.28852953295397,1.24981949282312,7,104.8359143,0.88876007704635,wet.sv_area_total_9_BP14
9@34.91,S9_6724364,9,34.93391023,0.367063257834243,1.10303244857323,96.2318664460868,79.1781023814844,3.1882978220882,9,31.99307473,1.99389098951229,3.44293093734927,9,39.59727801,2.10773043415796,wet.sv_area_total_9_BP14
9@138.31,S9_51037483,9,138.3415057,0.011535451372449,0.0344302512560475,-17.5595772791925,81.7757027276724,3.1882978220882,9,31.99307473,1.99389098951229,3.44293093734927,9,39.59727801,2.10773043415796,wet.sv_area_total_9_BP14
9@126.31,S9_46916335,9,126.2796557,1.24615307408318,3.80821223075342,185.98156309072,82.3549382405257,3.1882978220882,9,31.99307473,1.99389098951229,3.44293093734927,9,39.59727801,2.10773043415796,wet.sv_area_total_9_BP14
2@96.92,S2_44784129,2,96.94547802,0.822190263149905,1.73898609076706,-157.527065141983,84.7782968520213,3.6573000729129,2,92.81876812,2.35345421671857,3.69938058780735,2,115.1131901,2.36885654375272,wet.sv_area_total_10_BP14
2@11.42,S2_2504271,2,11.41378601,0.224440577277345,0.470680487729702,76.0719469233652,78.693523977647,3.6573000729129,2,92.81876812,2.35345421671857,3.69938058780735,2,115.1131901,2.36885654375272,wet.sv_area_total_10_BP14
2@113.12,S2_46701398,2,113.0877388,0.169312910514048,0.354792378105941,-69.9305913524898,83.3216036440568,3.6573000729129,2,92.81876812,2.35345421671857,3.69938058780735,2,115.1131901,2.36885654375272,wet.sv_area_total_10_BP14
3@47.42,S3_7345986,3,47.38986671,0.050182606823638,0.104978815743653,-33.5246522880855,73.4329554272439,1.39997360194252,3,45.16807388,0.785351202141859,1.28259122652298,3,111.6015536,0.736912414025736,wet.sv_area_total_10_BP14
3@16.52,S3_2542615,3,16.46388381,0.236648570038374,0.496368419559591,70.9242575058363,71.4447443550408,1.39997360194252,3,45.16807388,0.785351202141859,1.28259122652298,3,111.6015536,0.736912414025736,wet.sv_area_total_10_BP14
5@104.12,S5_42739726,5,104.1345531,0.75208096050328,1.5891100926681,167.700363314594,94.4136027847094,2.4838888039485,5,71.92483855,1.72237576994422,2.82409881824378,5,116.340362,1.4272626270561,wet.sv_area_total_10_BP14
5@80.92,S5_33587455,5,80.92708184,0.125724305389237,0.263289898716259,61.0743219705047,84.4732328915884,2.4838888039485,5,71.92483855,1.72237576994422,2.82409881824378,5,116.340362,1.4272626270561,wet.sv_area_total_10_BP14
6@61.92,S6_31575043,6,61.87251494,0.721767494317291,1.52439999022218,-164.135573884058,94.3475895971385,0.780624836425773,6,0,0.324277026259599,1.01688366929739,6,92.0202595,0.542912661582451,wet.sv_area_total_10_BP14
6@73.82,S6_33052891,6,73.8397152,0.015567908083634,0.0325510502842583,24.4255152106938,96.0812821984535,0.780624836425773,6,0,0.324277026259599,1.01688366929739,6,92.0202595,0.542912661582451,wet.sv_area_total_10_BP14
7@99.92,S7_32133319,7,99.94477983,0.666184356550696,1.40589153024369,174.868338494872,104.667737435931,3.01412091103691,7,50.71621801,1.28852953295397,1.24981949282312,7,104.8359143,0.88876007704635,wet.sv_area_total_10_BP14
7@34.02,S7_17165775,7,34.01418423,2.08821650902023,4.49746880075737,252.41241658415,84.4703308169061,3.01412091103691,7,50.71621801,1.28852953295397,1.24981949282312,7,104.8359143,0.88876007704635,wet.sv_area_total_10_BP14
7@47.12,S7_18819185,7,47.10136368,0.0973440682639239,0.203774185512842,-54.522225534665,85.7188926242282,3.01412091103691,7,50.71621801,1.28852953295397,1.24981949282312,7,104.8359143,0.88876007704635,wet.sv_area_total_10_BP14
9@34.92,S9_6724364,9,34.93391023,2.02278376647162,4.35245465230364,-239.113327646306,81.3418818947433,3.1882978220882,9,31.99307473,1.99389098951229,3.44293093734927,9,39.59727801,2.10773043415796,wet.sv_area_total_10_BP14
9@138.32,S9_51037483,9,138.3415057,0.264084193545962,0.554130713729919,95.9798053869651,91.506367097297,3.1882978220882,9,31.99307473,1.99389098951229,3.44293093734927,9,39.59727801,2.10773043415796,wet.sv_area_total_10_BP14
9@126.32,S9_46916335,9,126.2796557,1.78737943730238,3.83296915562279,-246.182174756297,89.241426059319,3.1882978220882,9,31.99307473,1.99389098951229,3.44293093734927,9,39.59727801,2.10773043415796,wet.sv_area_total_10_BP14
2@96.93,S2_44784129,2,96.94547802,0.7016726230705,1.24637896758113,-167.403335202611,97.4074945103683,3.6573000729129,2,92.81876812,2.35345421671857,3.69938058780735,2,115.1131901,2.36885654375272,wet.sv_area_total_11_BP14
2@11.43,S2_2504271,2,11.41378601,2.17510394131863,3.942494317184,278.919428855146,91.2528740253439,3.6573000729129,2,92.81876812,2.35345421671857,3.69938058780735,2,115.1131901,2.36885654375272,wet.sv_area_total_11_BP14
2@113.13,S2_46701398,2,113.0877388,0.992865647818954,1.77066225729691,-199.537079144375,97.4112391326626,3.6573000729129,2,92.81876812,2.35345421671857,3.69938058780735,2,115.1131901,2.36885654375272,wet.sv_area_total_11_BP14
3@47.43,S3_7345986,3,47.38986671,0.796317978153205,1.41632863935273,-153.745301648792,83.9214843321296,1.39997360194252,3,45.16807388,0.785351202141859,1.28259122652298,3,111.6015536,0.736912414025736,wet.sv_area_total_11_BP14
3@16.53,S3_2542615,3,16.46388381,1.19366059919134,2.13461786153795,184.241473413878,81.9182471435121,1.39997360194252,3,45.16807388,0.785351202141859,1.28259122652298,3,111.6015536,0.736912414025736,wet.sv_area_total_11_BP14
5@104.13,S5_42739726,5,104.1345531,0.0432399220143225,0.076119835279421,46.7329131158184,110.034090017897,2.4838888039485,5,71.92483855,1.72237576994422,2.82409881824378,5,116.340362,1.4272626270561,wet.sv_area_total_11_BP14
5@80.93,S5_33587455,5,80.92708184,0.0646476864319112,0.113839408169056,50.1505689151056,96.5568016505692,2.4838888039485,5,71.92483855,1.72237576994422,2.82409881824378,5,116.340362,1.4272626270561,wet.sv_area_total_11_BP14
6@61.93,S6_31575043,6,61.87251494,0.368538483659334,0.651662043329907,-137.32937140339,110.511008331599,0.780624836425773,6,0,0.324277026259599,1.01688366929739,6,92.0202595,0.542912661582451,wet.sv_area_total_11_BP14
6@73.83,S6_33052891,6,73.8397152,0.00350426650644664,0.00616559392896221,13.5936424026749,112.460938703136,0.780624836425773,6,0,0.324277026259599,1.01688366929739,6,92.0202595,0.542912661582451,wet.sv_area_total_11_BP14
7@99.93,S7_32133319,7,99.94477983,0.789651463092502,1.40434357542419,220.062661231717,120.632130217653,3.01412091103691,7,50.71621801,1.28852953295397,1.24981949282312,7,104.8359143,0.88876007704635,wet.sv_area_total_11_BP14
7@34.03,S7_17165775,7,34.01418423,0.718508978637857,1.27657908207519,168.501549803036,96.8798282147938,3.01412091103691,7,50.71621801,1.28852953295397,1.24981949282312,7,104.8359143,0.88876007704635,wet.sv_area_total_11_BP14
7@47.13,S7_18819185,7,47.10136368,0.0117727838842292,0.0207159994164954,21.8285194977428,98.5200578689906,3.01412091103691,7,50.71621801,1.28852953295397,1.24981949282312,7,104.8359143,0.88876007704635,wet.sv_area_total_11_BP14
9@34.93,S9_6724364,9,34.93391023,2.96096851988453,5.42536756027994,-329.653099621677,91.9381801129308,3.1882978220882,9,31.99307473,1.99389098951229,3.44293093734927,9,39.59727801,2.10773043415796,wet.sv_area_total_11_BP14
9@138.33,S9_51037483,9,138.3415057,0.255140439757874,0.450450357906696,110.80074008227,107.243879341154,3.1882978220882,9,31.99307473,1.99389098951229,3.44293093734927,9,39.59727801,2.10773043415796,wet.sv_area_total_11_BP14
9@126.33,S9_46916335,9,126.2796557,2.91829488570497,5.34402735756926,-372.17846599537,104.585199084161,3.1882978220882,9,31.99307473,1.99389098951229,3.44293093734927,9,39.59727801,2.10773043415796,wet.sv_area_total_11_BP14
2@96.94,S2_44784129,2,96.94547802,0.0177344104491457,0.0367831026150682,-35.4834423504479,130.478721156901,3.6573000729129,2,92.81876812,2.35345421671857,3.69938058780735,2,115.1131901,2.36885654375272,wet.sv_area_total_12_BP14
2@11.44,S2_2504271,2,11.41378601,2.00490644481948,4.27305157223169,358.281853308964,122.234519680119,3.6573000729129,2,92.81876812,2.35345421671857,3.69938058780735,2,115.1131901,2.36885654375272,wet.sv_area_total_12_BP14
2@113.14,S2_46701398,2,113.0877388,0.654641081207274,1.36964902015632,-216.532408584089,130.483737131602,3.6573000729129,2,92.81876812,2.35345421671857,3.69938058780735,2,115.1131901,2.36885654375272,wet.sv_area_total_12_BP14
3@47.44,S3_7345986,3,47.38986671,0.0960686156798225,0.199469625157956,-71.1902856883195,112.414019150032,1.39997360194252,3,45.16807388,0.785351202141859,1.28259122652298,3,111.6015536,0.736912414025736,wet.sv_area_total_12_BP14
3@16.54,S3_2542615,3,16.46388381,1.51155090957564,3.19981027110438,278.32483368797,109.730654508958,1.39997360194252,3,45.16807388,0.785351202141859,1.28259122652298,3,111.6015536,0.736912414025736,wet.sv_area_total_12_BP14
5@104.14,S5_42739726,5,104.1345531,0.747423864133015,1.56575480911916,-261.516037177538,147.392225016837,2.4838888039485,5,71.92483855,1.72237576994422,2.82409881824378,5,116.340362,1.4272626270561,wet.sv_area_total_12_BP14
5@80.94,S5_33587455,5,80.92708184,0.0249299327842039,0.0517124711734809,41.7051522486966,129.33920599945,2.4838888039485,5,71.92483855,1.72237576994422,2.82409881824378,5,116.340362,1.4272626270561,wet.sv_area_total_12_BP14
