,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.9,S2_44752288,2,96.94547487,4.03816231508845,7.18894569829177,4.21639019567421,0.971340549503551,S2_44257418,2,94.71205672,9.20972086512274,S2_45156658,2,100.2097111,8.95176943162557,wet.water_lost_total_17_BP14
5@109.7,S5_43714262,5,109.7001769,3.86493952007628,6.86415372049818,-4.63741936393719,1.09331724071805,S5_43575577,5,107.8767063,7.74330279379356,S5_43769059,5,111.9145952,6.95660345314046,wet.water_lost_total_17_BP14
6@59.4,S6_31006529,6,59.39487638,1.15840086535628,1.98244813532639,2.26948112244785,0.995609388884648,S6_30703582,6,56.23729456,1.83783780747921,S6_33383362,6,78.16213009,1.80812898225057,wet.water_lost_total_17_BP14
7@51.2,S7_19532160,7,51.17962841,0.697180366014621,1.18566959377348,-1.73073591359033,0.981775726124796,S7_18223567,7,43.92895216,3.48988827010785,S7_19976887,7,53.27530926,3.64110395574492,wet.water_lost_total_17_BP14
7@99.9,S7_32133319,7,99.94477983,4.29118055926696,7.66610109651656,-6.48461796085923,1.44663993467727,S7_31956171,7,96.48121012,5.96848120945612,S7_32940091,7,101.9471039,4.08692850349384,wet.water_lost_total_17_BP14
9@34.9,S9_6724364,9,34.93391023,6.65055200870965,12.2765624797303,6.11223914070029,1.07751983729081,S9_6184858,9,32.79210864,11.0533090219924,S9_7478538,9,36.4077051,11.3480185536729,wet.water_lost_total_17_BP14
2@96.91,S2_44752288,2,96.94547487,5.25091406765498,8.68550070973534,7.61191787716536,1.52495685115989,S2_44257418,2,94.71205672,9.20972086512274,S2_45156658,2,100.2097111,8.95176943162557,wet.water_lost_total_18_BP14
5@109.71,S5_43714262,5,109.7001769,4.72962196278484,7.76695675873265,-8.10208481592479,1.71645425240031,S5_43575577,5,107.8767063,7.74330279379356,S5_43769059,5,111.9145952,6.95660345314046,wet.water_lost_total_18_BP14
6@59.41,S6_31006529,6,59.39487638,1.56961544719432,2.46811369139326,4.15907458858422,1.5630577344215,S6_30703582,6,56.23729456,1.83783780747921,S6_33383362,6,78.16213009,1.80812898225057,wet.water_lost_total_18_BP14
7@51.21,S7_19532160,7,51.17962841,1.1075515035586,1.73061864688207,-3.43429916732242,1.54133956481244,S7_18223567,7,43.92895216,3.48988827010785,S7_19976887,7,53.27530926,3.64110395574492,wet.water_lost_total_18_BP14
7@99.91,S7_32133319,7,99.94477983,5.12998895278542,8.47126740448321,-11.1959200911635,2.27115349058074,S7_31956171,7,96.48121012,5.96848120945612,S7_32940091,7,101.9471039,4.08692850349384,wet.water_lost_total_18_BP14
9@34.91,S9_6724364,9,34.93391023,7.83095937327946,13.4276374100471,10.4990552700855,1.69165310660316,S9_6184858,9,32.79210864,11.0533090219924,S9_7478538,9,36.4077051,11.3480185536729,wet.water_lost_total_18_BP14
2@96.92,S2_44752288,2,96.94547487,6.47304076015249,9.98943517122794,12.1145846099201,2.16743305009824,S2_44257418,2,94.71205672,9.20972086512274,S2_45156658,2,100.2097111,8.95176943162557,wet.water_lost_total_19_BP14
5@109.72,S5_43714262,5,109.7001769,5.56883978591902,8.48660451105626,-12.5683920832172,2.43960979801128,S5_43575577,5,107.8767063,7.74330279379356,S5_43769059,5,111.9145952,6.95660345314046,wet.water_lost_total_19_BP14
6@59.42,S6_31006529,6,59.39487638,1.98266032688514,2.87582761840531,6.66249583453043,2.22158613223714,S6_30703582,6,56.23729456,1.83783780747921,S6_33383362,6,78.16213009,1.80812898225057,wet.water_lost_total_19_BP14
7@51.22,S7_19532160,7,51.17962841,1.63453651864702,2.35963404694284,-5.95115359307685,2.19071792861387,S7_18223567,7,43.92895216,3.48988827010785,S7_19976887,7,53.27530926,3.64110395574492,wet.water_lost_total_19_BP14
7@99.92,S7_32133319,7,99.94477983,5.95071388097907,9.11681241160689,-17.2364768738744,3.22800814566428,S7_31956171,7,96.48121012,5.96848120945612,S7_32940091,7,101.9471039,4.08692850349384,wet.water_lost_total_19_BP14
9@34.92,S9_6724364,9,34.93391023,9.00554070349218,14.3999035643101,16.1350980205414,2.40435973631927,S9_6184858,9,32.79210864,11.0533090219924,S9_7478538,9,36.4077051,11.3480185536729,wet.water_lost_total_19_BP14
2@96.93,S2_44752288,2,96.94547487,7.47868932828891,10.9635352926511,17.7759736624007,2.93806294877059,S2_44257418,2,94.71205672,9.20972086512274,S2_45156658,2,100.2097111,8.95176943162557,wet.water_lost_total_20_BP14
5@109.73,S5_43714262,5,109.7001769,6.21815383638138,8.95658680114483,-18.0843971387779,3.30701202358696,S5_43575577,5,107.8767063,7.74330279379356,S5_43769059,5,111.9145952,6.95660345314046,wet.water_lost_total_20_BP14
6@59.43,S6_31006529,6,59.39487638,2.32782759829402,3.17765140956313,9.8090891023275,3.01147013622066,S6_30703582,6,56.23729456,1.83783780747921,S6_33383362,6,78.16213009,1.80812898225057,wet.water_lost_total_20_BP14
7@51.23,S7_19532160,7,51.17962841,2.14330022338535,2.9183813362345,-9.269789651575,2.96962675593423,S7_18223567,7,43.92895216,3.48988827010785,S7_19976887,7,53.27530926,3.64110395574492,wet.water_lost_total_20_BP14
7@99.93,S7_32133319,7,99.94477983,6.56026667720062,9.49452017842556,-24.6367564410775,4.37572506826727,S7_31956171,7,96.48121012,5.96848120945612,S7_32940091,7,101.9471039,4.08692850349384,wet.water_lost_total_20_BP14
9@34.93,S9_6724364,9,34.93391023,9.89540163790867,15.0083015164554,23.0715948618588,3.25922881746002,S9_6184858,9,32.79210864,11.0533090219924,S9_7478538,9,36.4077051,11.3480185536729,wet.water_lost_total_20_BP14
2@96.94,S2_44752288,2,96.94547487,8.33479772289068,11.7178207957514,24.5198935635071,3.8159590878451,S2_44257418,2,94.71205672,9.20972086512274,S2_45156658,2,100.2097111,8.95176943162557,wet.water_lost_total_21_BP14
5@109.74,S5_43714262,5,109.7001769,6.75718277733205,9.29226150662857,-24.5770947556555,4.29515051415089,S5_43575577,5,107.8767063,7.74330279379356,S5_43769059,5,111.9145952,6.95660345314046,wet.water_lost_total_21_BP14
