,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@98.5,S2_45043544,2,98.51301522,2.6585225380253,5.10805039384928,2.14458722411273,0.609209459308552,S2_43829684,2,92.81876812,2.47827361662462,S2_45980428,2,106.3362737,2.18959663264411,dry.water_lost_total_17_BP14
7@99.9,S7_32133319,7,99.94477983,4.70553170859679,9.2934933699263,-4.23104270301518,0.891063023506027,S7_31494503,7,93.27304403,4.01534360798343,S7_32940091,7,101.9471039,3.55676205982883,dry.water_lost_total_17_BP14
9@34.9,S9_6724364,9,34.93391023,7.61542548554045,15.6474015846395,4.05840446457573,0.658695540117965,S9_5686516,9,31.99307473,7.28723226208771,S9_8279734,9,37.58932098,8.86677535596968,dry.water_lost_total_17_BP14
2@98.51,S2_45043544,2,98.51301522,3.54640667500114,6.56708246724765,3.32287573518331,0.812412553989514,S2_43829684,2,92.81876812,2.47827361662462,S2_45980428,2,106.3362737,2.18959663264411,dry.water_lost_total_18_BP14
7@99.91,S7_32133319,7,99.94477983,5.52216272566486,10.5020748243498,-6.14620729081146,1.18827896650486,S7_31494503,7,93.27304403,4.01534360798343,S7_32940091,7,101.9471039,3.55676205982883,dry.water_lost_total_18_BP14
9@34.91,S9_6724364,9,34.93391023,8.30615392645648,16.4079200259437,5.67901107307464,0.878404820989006,S9_5686516,9,31.99307473,7.28723226208771,S9_8279734,9,37.58932098,8.86677535596968,dry.water_lost_total_18_BP14
2@98.52,S2_45043544,2,98.51301522,4.09769918708886,7.38850906949257,4.58712944276812,1.03948176344461,S2_43829684,2,92.81876812,2.47827361662462,S2_45980428,2,106.3362737,2.18959663264411,dry.water_lost_total_19_BP14
7@99.92,S7_32133319,7,99.94477983,6.03828809119029,11.1771897555133,-8.25221788404019,1.52040279227708,S7_31494503,7,93.27304403,4.01534360798343,S7_32940091,7,101.9471039,3.55676205982883,dry.water_lost_total_19_BP14
9@34.92,S9_6724364,9,34.93391023,8.92793784146066,17.191942253311,7.5655960077027,1.12391886099742,S9_5686516,9,31.99307473,7.28723226208771,S9_8279734,9,37.58932098,8.86677535596968,dry.water_lost_total_19_BP14
2@98.53,S2_45043544,2,98.51301522,4.47272115172947,7.89294814029206,5.94325463365386,1.28583820863414,S2_43829684,2,92.81876812,2.47827361662462,S2_45980428,2,106.3362737,2.18959663264411,dry.water_lost_total_20_BP14
7@99.93,S7_32133319,7,99.94477983,6.38505543050383,11.5634019510753,-10.5217822098773,1.8807371822912,S7_31494503,7,93.27304403,4.01534360798343,S7_32940091,7,101.9471039,3.55676205982883,dry.water_lost_total_20_BP14
9@34.93,S9_6724364,9,34.93391023,9.53106189948905,18.0209193021489,9.70982200560432,1.39028683878594,S9_5686516,9,31.99307473,7.28723226208771,S9_8279734,9,37.58932098,8.86677535596968,dry.water_lost_total_20_BP14
2@98.54,S2_45043544,2,98.51301522,4.68502215968017,8.13098805586282,7.37522992047039,1.55684458554698,S2_43829684,2,92.81876812,2.47827361662462,S2_45980428,2,106.3362737,2.18959663264411,dry.water_lost_total_21_BP14
7@99.94,S7_32133319,7,99.94477983,6.61272041533251,11.7805755936642,-12.9846109457634,2.27712590855203,S7_31494503,7,93.27304403,4.01534360798343,S7_32940091,7,101.9471039,3.55676205982883,dry.water_lost_total_21_BP14
9@34.94,S9_6724364,9,34.93391023,10.0606795505873,18.7913340308152,12.1227400728433,1.6833070621072,S9_5686516,9,31.99307473,7.28723226208771,S9_8279734,9,37.58932098,8.86677535596968,dry.water_lost_total_21_BP14
2@98.55,S2_45043544,2,98.51301522,4.87908887489028,8.34593552495366,8.89229469329473,1.8369637265488,S2_43829684,2,92.81876812,2.47827361662462,S2_45980428,2,106.3362737,2.18959663264411,dry.water_lost_total_22_BP14
7@99.95,S7_32133319,7,99.94477983,6.75869593667711,11.8598365097485,-15.5044894331507,2.68684346120837,S7_31494503,7,93.27304403,4.01534360798343,S7_32940091,7,101.9471039,3.55676205982883,dry.water_lost_total_22_BP14
9@34.95,S9_6724364,9,34.93391023,10.5749232747937,19.5552360889305,14.7172257236479,1.98618027929099,S9_5686516,9,31.99307473,7.28723226208771,S9_8279734,9,37.58932098,8.86677535596968,dry.water_lost_total_22_BP14
2@98.56,S2_45043544,2,98.51301522,4.97078769886951,8.39123048170018,10.4959483715126,2.1468215761607,S2_43829684,2,92.81876812,2.47827361662462,S2_45980428,2,106.3362737,2.18959663264411,dry.water_lost_total_23_BP14
7@99.96,S7_32133319,7,99.94477983,6.86236950974552,11.8858240376514,-18.2711251786254,3.14005847307905,S7_31494503,7,93.27304403,4.01534360798343,S7_32940091,7,101.9471039,3.55676205982883,dry.water_lost_total_23_BP14
9@34.96,S9_6724364,9,34.93391023,11.0875663763447,20.3532869361673,17.6743814300724,2.32120788021096,S9_5686516,9,31.99307473,7.28723226208771,S9_8279734,9,37.58932098,8.86677535596968,dry.water_lost_total_23_BP14
2@98.57,S2_45043544,2,98.51301522,4.9743642730008,8.31363130072867,12.1587638414183,2.48597639589108,S2_43829684,2,92.81876812,2.47827361662462,S2_45980428,2,106.3362737,2.18959663264411,dry.water_lost_total_24_BP14
7@99.97,S7_32133319,7,99.94477983,6.88346983420262,11.8064487215977,-21.1931479424754,3.63612483332335,S7_31494503,7,93.27304403,4.01534360798343,S7_32940091,7,101.9471039,3.55676205982883,dry.water_lost_total_24_BP14
9@34.97,S9_6724364,9,34.93391023,11.5388125624871,21.10152140553,20.944452513996,2.68791224396045,S9_5686516,9,31.99307473,7.28723226208771,S9_8279734,9,37.58932098,8.86677535596968,dry.water_lost_total_24_BP14
2@98.58,S2_45043544,2,98.51301522,4.9047814917051,8.14654759173114,13.9229700937758,2.86815577055697,S2_43829684,2,92.81876812,2.47827361662462,S2_45980428,2,106.3362737,2.18959663264411,dry.water_lost_total_25_BP14
7@99.98,S7_32133319,7,99.94477983,6.7732537876784,11.5389448571391,-24.2365011350662,4.19512125714439,S7_31494503,7,93.27304403,4.01534360798343,S7_32940091,7,101.9471039,3.55676205982883,dry.water_lost_total_25_BP14
9@34.98,S9_6724364,9,34.93391023,11.9384813011017,21.8387007657172,24.6477099399814,3.10113604699072,S9_5686516,9,31.99307473,7.28723226208771,S9_8279734,9,37.58932098,8.86677535596968,dry.water_lost_total_25_BP14
2@98.59,S2_45043544,2,98.51301522,4.76409357745197,7.89308351836306,15.6957483291504,3.28386621368169,S2_43829684,2,92.81876812,2.47827361662462,S2_45980428,2,106.3362737,2.18959663264411,dry.water_lost_total_26_BP14
7@99.99,S7_32133319,7,99.94477983,6.60243229197414,11.2150262728637,-27.3653249184355,4.80316205279154,S7_31494503,7,93.27304403,4.01534360798343,S7_32940091,7,101.9471039,3.55676205982883,dry.water_lost_total_26_BP14
9@34.99,S9_6724364,9,34.93391023,12.2246955810052,22.4381196165631,28.6134346269194,3.55061464697423,S9_5686516,9,31.99307473,7.28723226208771,S9_8279734,9,37.58932098,8.86677535596968,dry.water_lost_total_26_BP14
2@98.510,S2_45043544,2,98.51301522,4.56940327980384,7.5716513457036,17.5177476328571,3.74725338112942,S2_43829684,2,92.81876812,2.47827361662462,S2_45980428,2,106.3362737,2.18959663264411,dry.water_lost_total_27_BP14
7@99.910,S7_32133319,7,99.94477983,6.34663266171128,10.7729405737105,-30.5627112068494,5.48093742901192,S7_31494503,7,93.27304403,4.01534360798343,S7_32940091,7,101.9471039,3.55676205982883,dry.water_lost_total_27_BP14
9@34.910,S9_6724364,9,34.93391023,12.4662132204052,23.0225319034737,33.0276435018037,4.0516427513181,S9_5686516,9,31.99307473,7.28723226208771,S9_8279734,9,37.58932098,8.86677535596968,dry.water_lost_total_27_BP14
2@98.511,S2_45043544,2,98.51301522,4.33134931933546,7.192244867449,19.1577187616632,4.21593800724474,S2_43829684,2,92.81876812,2.47827361662462,S2_45980428,2,106.3362737,2.18959663264411,dry.water_lost_total_28_BP14
7@99.911,S7_32133319,7,99.94477983,6.14361978525529,10.454938403181,-33.7842346004236,6.16646115756846,S7_31494503,7,93.27304403,4.01534360798343,S7_32940091,7,101.9471039,3.55676205982883,dry.water_lost_total_28_BP14
9@34.911,S9_6724364,9,34.93391023,12.5749324887553,23.3823726280888,37.3485662356297,4.55839862686608,S9_5686516,9,31.99307473,7.28723226208771,S9_8279734,9,37.58932098,8.86677535596968,dry.water_lost_total_28_BP14
2@98.512,S2_45043544,2,98.51301522,4.06847206177059,6.79396347675249,20.5942512712656,4.6844839187325,S2_43829684,2,92.81876812,2.47827361662462,S2_45980428,2,106.3362737,2.18959663264411,dry.water_lost_total_29_BP14
7@99.912,S7_32133319,7,99.94477983,5.90168405840895,10.1026459535698,-36.7319305142478,6.85178199453565,S7_31494503,7,93.27304403,4.01534360798343,S7_32940091,7,101.9471039,3.55676205982883,dry.water_lost_total_29_BP14
9@34.912,S9_6724364,9,34.93391023,12.5584099946929,23.5617069003839,41.4673099414633,5.06500451999811,S9_5686516,9,31.99307473,7.28723226208771,S9_8279734,9,37.58932098,8.86677535596968,dry.water_lost_total_29_BP14
2@98.513,S2_45043544,2,98.51301522,3.80165777852006,6.39676582041382,21.8180561394258,5.14328953424804,S2_43829684,2,92.81876812,2.47827361662462,S2_45980428,2,106.3362737,2.18959663264411,dry.water_lost_total_30_BP14
7@99.913,S7_32133319,7,99.94477983,5.69733748738555,9.8351791653356,-39.5702460590627,7.52285614270603,S7_31494503,7,93.27304403,4.01534360798343,S7_32940091,7,101.9471039,3.55676205982883,dry.water_lost_total_30_BP14
9@34.913,S9_6724364,9,34.93391023,12.4238161411169,23.5270039949466,45.2415240855987,5.56107891297319,S9_5686516,9,31.99307473,7.28723226208771,S9_8279734,9,37.58932098,8.86677535596968,dry.water_lost_total_30_BP14
2@98.514,S2_45043544,2,98.51301522,3.51825202358953,5.98482840216771,22.8560383324321,5.61146735288765,S2_43829684,2,92.81876812,2.47827361662462,S2_45980428,2,106.3362737,2.18959663264411,dry.water_lost_total_31_BP14
7@99.914,S7_32133319,7,99.94477983,5.4734332336495,9.55969508942742,-42.2511864294653,8.20763858697234,S7_31494503,7,93.27304403,4.01534360798343,S7_32940091,7,101.9471039,3.55676205982883,dry.water_lost_total_31_BP14
9@34.914,S9_6724364,9,34.93391023,12.1629867174467,23.2897090485102,48.7500674294397,6.06728681307718,S9_5686516,9,31.99307473,7.28723226208771,S9_8279734,9,37.58932098,8.86677535596968,dry.water_lost_total_31_BP14
2@98.515,S2_45043544,2,98.51301522,3.21593115637818,5.54764649682297,23.6739960885703,6.09170406530985,S2_43829684,2,92.81876812,2.47827361662462,S2_45980428,2,106.3362737,2.18959663264411,dry.water_lost_total_32_BP14
7@99.915,S7_32133319,7,99.94477983,5.23746951713692,9.28449194641329,-44.7958764037492,8.91005902780923,S7_31494503,7,93.27304403,4.01534360798343,S7_32940091,7,101.9471039,3.55676205982883,dry.water_lost_total_32_BP14
9@34.915,S9_6724364,9,34.93391023,11.783840717736,22.8537440508327,51.9533966230316,6.58653315083505,S9_5686516,9,31.99307473,7.28723226208771,S9_8279734,9,37.58932098,8.86677535596968,dry.water_lost_total_32_BP14
2@98.516,S2_45043544,2,98.51301522,2.84136621886225,5.1106786783028,24.6339040700932,6.75937675495273,S2_43829684,2,92.81876812,2.47827361662462,S2_45980428,2,106.3362737,2.18959663264411,dry.water_lost_total_33_BP14
7@99.916,S7_32133319,7,99.94477983,4.87518367574456,9.01808532141579,-47.2147076585533,9.75287889257365,S7_31494503,7,93.27304403,4.01534360798343,S7_32940091,7,101.9471039,3.55676205982883,dry.water_lost_total_33_BP14
