,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@98.5,S2_45043544,2,98.51301522,2.49716060700284,4.63814977970518,2.04836148629909,0.602804554599539,0.346740300327497,2,37.47027379,0.150381084994191,0.992044448106071,2,114.5694173,0.784873179002803,dry.water_lost_total_17_BP14
5@115.1,S5_44003086,5,115.1315049,1.19874002920132,2.1882668915721,-1.46986553488358,0.62975231127958,0.270961333510513,5,36.4370551,0.168557028147986,0.460809292683109,5,136.1281106,0.340549274521904,dry.water_lost_total_17_BP14
7@99.9,S7_32133319,7,99.94477983,4.46971543941376,8.52489146177374,-4.06546411044272,0.882486378161125,2.90933693702954,7,93.27304403,2.36869355900736,3.17377494315633,7,101.9471039,2.81564787133801,dry.water_lost_total_17_BP14
9@34.9,S9_6724364,9,34.93391023,8.00238979504195,16.0136237364247,4.10779614108804,0.650588497661796,8.00031790790467,9,32.79210864,6.88063031516562,7.47810461323559,9,38.57941159,6.72909163472758,dry.water_lost_total_17_BP14
2@98.51,S2_45043544,2,98.51301522,3.37526181367573,6.04026161503647,3.19428622770382,0.803817209321124,0.346740300327497,2,37.47027379,0.150381084994191,0.992044448106071,2,114.5694173,0.784873179002803,dry.water_lost_total_18_BP14
5@115.11,S5_44003086,5,115.1315049,1.2038230556707,2.0926923218579,-1.96422796526465,0.839751029672573,0.270961333510513,5,36.4370551,0.168557028147986,0.460809292683109,5,136.1281106,0.340549274521904,dry.water_lost_total_18_BP14
7@99.91,S7_32133319,7,99.94477983,5.28085152694491,9.69645397366335,-5.92493936237762,1.17676240556714,2.90933693702954,7,93.27304403,2.36869355900736,3.17377494315633,7,101.9471039,2.81564787133801,dry.water_lost_total_18_BP14
9@34.91,S9_6724364,9,34.93391023,8.71695265143119,16.7737696261265,5.74501473800476,0.867535300814609,8.00031790790467,9,32.79210864,6.88063031516562,7.47810461323559,9,38.57941159,6.72909163472758,dry.water_lost_total_18_BP14
2@98.52,S2_45043544,2,98.51301522,3.92228351212313,6.82238783412726,4.41823570864111,1.02758888225079,0.346740300327497,2,37.47027379,0.150381084994191,0.992044448106071,2,114.5694173,0.784873179002803,dry.water_lost_total_19_BP14
5@115.12,S5_44003086,5,115.1315049,1.26962146991196,2.131336100187,-2.57988231102872,1.07352618473917,0.270961333510513,5,36.4370551,0.168557028147986,0.460809292683109,5,136.1281106,0.340549274521904,dry.water_lost_total_19_BP14
7@99.92,S7_32133319,7,99.94477983,5.79415733466927,10.336561127642,-7.96159723070501,1.50435689978915,2.90933693702954,7,93.27304403,2.36869355900736,3.17377494315633,7,101.9471039,2.81564787133801,dry.water_lost_total_19_BP14
9@34.92,S9_6724364,9,34.93391023,9.37761602672164,17.569583938741,7.65228741553699,1.10904521542913,8.00031790790467,9,32.79210864,6.88063031516562,7.47810461323559,9,38.57941159,6.72909163472758,dry.water_lost_total_19_BP14
2@98.53,S2_45043544,2,98.51301522,4.29569534399124,7.294887503178,5.7270648586241,1.26958827912649,0.346740300327497,2,37.47027379,0.150381084994191,0.992044448106071,2,114.5694173,0.784873179002803,dry.water_lost_total_20_BP14
5@115.13,S5_44003086,5,115.1315049,1.36113584271846,2.22234212773624,-3.30233788309246,1.3263439153749,0.270961333510513,5,36.4370551,0.168557028147986,0.460809292683109,5,136.1281106,0.340549274521904,dry.water_lost_total_20_BP14
7@99.93,S7_32133319,7,99.94477983,6.14010001851479,10.6906594330328,-10.1497778013757,1.85863619253253,2.90933693702954,7,93.27304403,2.36869355900736,3.17377494315633,7,101.9471039,2.81564787133801,dry.water_lost_total_20_BP14
9@34.93,S9_6724364,9,34.93391023,10.0280763399652,18.4156703398956,9.82078998232401,1.37022775435838,8.00031790790467,9,32.79210864,6.88063031516562,7.47810461323559,9,38.57941159,6.72909163472758,dry.water_lost_total_20_BP14
