,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@5.3,S2_1558172,2,5.312472497,0.257957021237406,0.747384714803722,3.64761098357926,3.53088255792088,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_17_BP14
2@98.5,S2_45043544,2,98.51301522,1.81973360943744,5.4611603241491,9.95105303504347,3.56347274325329,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_17_BP14
2@112.8,S2_46536006,2,112.8190907,0.00847544125282873,0.0244193792909755,-0.596183473239289,3.19271010002692,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_17_BP14
2@58.4,S2_33996396,2,58.40960484,0.162812015115822,0.470715093071121,2.6453290834958,3.22661767435838,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_17_BP14
2@82.7,S2_41447940,2,82.72432845,0.0029498212420318,0.00849795353721561,0.374671885237739,3.4012675293068,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_17_BP14
3@4.8,S3_1078088,3,4.847176955,0.0200726106417051,0.0578480559975105,-0.801230999751959,2.78779107250903,1.52947315829732,3,0,0.563431163054615,0.767909197879305,3,129.9167988,0.347662438146111,dry.wue_day_17_BP14
5@93.1,S5_38761953,5,93.06952405,4.9310187519941,15.8920468375646,-13.9115758476801,2.92033903366605,0.33779704144979,5,0,0.0803685620413014,2.32199797349432,5,136.1281106,0.760368861668048,dry.wue_day_17_BP14
9@32.8,S9_6184858,9,32.79210864,1.88180813658423,5.65540130930632,10.5901885497526,3.72665202046762,3.31787267748405,9,31.29811037,1.91513896490559,4.04952353785495,9,125.7813951,1.80095065192423,dry.wue_day_17_BP14
9@126.3,S9_46916335,9,126.2796557,1.18919165920621,3.51834621659506,6.8757040843182,3.0675719244678,3.31787267748405,9,31.29811037,1.91513896490559,4.04952353785495,9,125.7813951,1.80095065192423,dry.wue_day_17_BP14
9@87.9,S9_34338749,9,87.94089861,0.319124082741771,0.925873320087383,3.3053856091547,2.8747045125031,3.31787267748405,9,31.29811037,1.91513896490559,4.04952353785495,9,125.7813951,1.80095065192423,dry.wue_day_17_BP14
2@5.31,S2_1558172,2,5.312472497,0.0195033390694235,0.0304977022928128,-0.864108171910837,2.97862314634216,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_18_BP14
2@98.51,S2_45043544,2,98.51301522,2.15413510246544,3.46543612063488,10.5751375395186,3.41970059269012,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_18_BP14
2@112.81,S2_46536006,2,112.8190907,0.343595295878593,0.539596902477783,3.60521825275819,2.95445816825065,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_18_BP14
2@58.41,S2_33996396,2,58.40960484,0.345745824280112,0.54298966115396,3.56758656562305,2.91447106293452,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_18_BP14
2@82.71,S2_41447940,2,82.72432845,0.00836673279148314,0.0130812739640476,0.599320764930535,3.1543894573536,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_18_BP14
3@4.81,S3_1078088,3,4.847176955,0.196552040350568,0.308073052801973,-2.26390739460976,2.45534662038487,1.52947315829732,3,0,0.563431163054615,0.767909197879305,3,129.9167988,0.347662438146111,dry.wue_day_18_BP14
5@93.11,S5_38761953,5,93.06952405,5.24082338092233,8.78847149010534,-12.6617814188512,2.5711010513296,0.33779704144979,5,0,0.0803685620413014,2.32199797349432,5,136.1281106,0.760368861668048,dry.wue_day_18_BP14
9@32.81,S9_6184858,9,32.79210864,7.82699527188416,13.5956541440193,16.5760807523199,2.7062181831961,3.31787267748405,9,31.29811037,1.91513896490559,4.04952353785495,9,125.7813951,1.80095065192423,dry.wue_day_18_BP14
9@126.31,S9_46916335,9,126.2796557,2.13784652558903,3.43848382492289,7.88921446518507,2.5611279609223,3.31787267748405,9,31.29811037,1.91513896490559,4.04952353785495,9,125.7813951,1.80095065192423,dry.wue_day_18_BP14
9@87.91,S9_34338749,9,87.94089861,0.0943677251296791,0.14771071439722,1.57938662168727,2.47379361201167,3.31787267748405,9,31.29811037,1.91513896490559,4.04952353785495,9,125.7813951,1.80095065192423,dry.wue_day_18_BP14
2@5.32,S2_1558172,2,5.312472497,0.36632423333192,0.553832035572157,-3.53254172435324,2.80323139827602,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_19_BP14
2@98.52,S2_45043544,2,98.51301522,2.21634262698207,3.43433119316016,10.0993139834162,3.21833666199238,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_19_BP14
2@112.82,S2_46536006,2,112.8190907,0.637798865435371,0.967742514044019,4.63170039611894,2.78048933860729,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_19_BP14
2@58.42,S2_33996396,2,58.40960484,0.220360402214215,0.332511003969458,2.67821514961383,2.74285681390003,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_19_BP14
2@82.72,S2_41447940,2,82.72432845,0.00597126687470961,0.00898475441695012,0.476487071643313,2.96864797418341,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_19_BP14
3@4.82,S3_1078088,3,4.847176955,0.163720836214843,0.246859945909328,-1.94410997366716,2.31076722423452,1.52947315829732,3,0,0.563431163054615,0.767909197879305,3,129.9167988,0.347662438146111,dry.wue_day_19_BP14
5@93.12,S5_38761953,5,93.06952405,4.72768382163445,7.57718176770778,-11.2786131874043,2.41970562945451,0.33779704144979,5,0,0.0803685620413014,2.32199797349432,5,136.1281106,0.760368861668048,dry.wue_day_19_BP14
9@32.82,S9_6184858,9,32.79210864,8.61157757821285,14.5518951126576,16.451491946359,2.54686659204835,3.31787267748405,9,31.29811037,1.91513896490559,4.04952353785495,9,125.7813951,1.80095065192423,dry.wue_day_19_BP14
9@126.32,S9_46916335,9,126.2796557,2.36074684370126,3.66516034861804,7.81376725337831,2.41031978948951,3.31787267748405,9,31.29811037,1.91513896490559,4.04952353785495,9,125.7813951,1.80095065192423,dry.wue_day_19_BP14
9@87.92,S9_34338749,9,87.94089861,0.429785310233129,0.65032335434254,3.17914870528325,2.32812799247924,3.31787267748405,9,31.29811037,1.91513896490559,4.04952353785495,9,125.7813951,1.80095065192423,dry.wue_day_19_BP14
2@5.33,S2_1558172,2,5.312472497,0.733807854891058,1.06150104599845,-4.91669547612395,2.74997063300865,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_20_BP14
2@98.53,S2_45043544,2,98.51301522,1.84084883766196,2.70243109834561,9.00664272946062,3.15718899019791,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_20_BP14
2@112.83,S2_46536006,2,112.8190907,1.24117466192157,1.80758851673507,6.36392670628635,2.72766066735202,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_20_BP14
2@58.43,S2_33996396,2,58.40960484,0.543166447141054,0.783740480293282,4.1337425398532,2.69074315213918,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_20_BP14
2@82.73,S2_41447940,2,82.72432845,0.00370085621279159,0.00530197212060557,-0.367986231548106,2.91224433122633,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_20_BP14
3@4.83,S3_1078088,3,4.847176955,0.227281581003279,0.326576605629505,-2.24803403687376,2.26686316736887,1.52947315829732,3,0,0.563431163054615,0.767909197879305,3,129.9167988,0.347662438146111,dry.wue_day_20_BP14
5@93.13,S5_38761953,5,93.06952405,4.5410564848596,6.91242195660289,-10.8300834632577,2.37373176742308,0.33779704144979,5,0,0.0803685620413014,2.32199797349432,5,136.1281106,0.760368861668048,dry.wue_day_20_BP14
9@32.83,S9_6184858,9,32.79210864,8.94885563377247,14.4652609448501,16.490107282606,2.49847670036484,3.31787267748405,9,31.29811037,1.91513896490559,4.04952353785495,9,125.7813951,1.80095065192423,dry.wue_day_20_BP14
9@126.33,S9_46916335,9,126.2796557,3.16033829623078,4.72211966310018,8.91655943587351,2.36452425630369,3.31787267748405,9,31.29811037,1.91513896490559,4.04952353785495,9,125.7813951,1.80095065192423,dry.wue_day_20_BP14
9@87.93,S9_34338749,9,87.94089861,0.470061108952869,0.677598725489894,3.26247574118605,2.28389408492666,3.31787267748405,9,31.29811037,1.91513896490559,4.04952353785495,9,125.7813951,1.80095065192423,dry.wue_day_20_BP14
2@5.34,S2_1558172,2,5.312472497,1.68318358475613,2.52534308221632,-8.13074386228138,2.98378706224669,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_21_BP14
2@98.54,S2_45043544,2,98.51301522,1.08990104600151,1.62235333859941,7.4819591571201,3.42562918634287,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_21_BP14
2@112.84,S2_46536006,2,112.8190907,1.8554243156868,2.79016418166207,8.47709891799842,2.95958019033089,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_21_BP14
2@58.44,S2_33996396,2,58.40960484,0.931156701169723,1.38313560140243,5.88771329605029,2.91952376102211,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_21_BP14
2@82.74,S2_41447940,2,82.72432845,0.0444952014992737,0.0653203410917129,-1.38482233864443,3.15985809205078,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_21_BP14
3@4.84,S3_1078088,3,4.847176955,0.522236575594778,0.771527877583274,-3.7046155688535,2.45960335339243,1.52947315829732,3,0,0.563431163054615,0.767909197879305,3,129.9167988,0.347662438146111,dry.wue_day_21_BP14
5@93.14,S5_38761953,5,93.06952405,4.33872025205717,6.7455121422315,-11.4704679607903,2.57555846301239,0.33779704144979,5,0,0.0803685620413014,2.32199797349432,5,136.1281106,0.760368861668048,dry.wue_day_21_BP14
9@32.84,S9_6184858,9,32.79210864,7.1092292584772,11.4762533447372,15.7477095938581,2.71090984186883,3.31787267748405,9,31.29811037,1.91513896490559,4.04952353785495,9,125.7813951,1.80095065192423,dry.wue_day_21_BP14
9@126.34,S9_46916335,9,126.2796557,3.09239465464611,4.72789721578541,9.56576740876023,2.56556808267022,3.31787267748405,9,31.29811037,1.91513896490559,4.04952353785495,9,125.7813951,1.80095065192423,dry.wue_day_21_BP14
9@87.94,S9_34338749,9,87.94089861,0.162137883388738,0.238394472131411,2.07475146622049,2.47808232580659,3.31787267748405,9,31.29811037,1.91513896490559,4.04952353785495,9,125.7813951,1.80095065192423,dry.wue_day_21_BP14
2@5.35,S2_1558172,2,5.312472497,2.47806526373698,3.83508009918747,-10.7477170961822,3.23338963116581,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_22_BP14
2@98.55,S2_45043544,2,98.51301522,1.06468291355059,1.61694642101872,8.01215505082904,3.71219314926577,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_22_BP14
2@112.85,S2_46536006,2,112.8190907,1.94376620812777,2.98679281086763,9.40792487338932,3.20715778317444,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_22_BP14
2@58.45,S2_33996396,2,58.40960484,1.24929012345023,1.90197597655356,7.40586358343086,3.16375051566955,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_22_BP14
2@82.75,S2_41447940,2,82.72432845,0.162006402226645,0.243111605217216,-2.86570581408968,3.42418952078279,0.781715295856088,2,1.200339294,0.384837578076439,1.89428580387909,2,119.7658678,0.716214195984973,dry.wue_day_22_BP14
3@4.85,S3_1078088,3,4.847176955,1.17058056337444,1.78027978822559,-6.03629404602014,2.66535641241487,1.52947315829732,3,0,0.563431163054615,0.767909197879305,3,129.9167988,0.347662438146111,dry.wue_day_22_BP14
5@93.15,S5_38761953,5,93.06952405,3.06304786427793,4.77769624332252,-10.3548034583785,2.79101150820564,0.33779704144979,5,0,0.0803685620413014,2.32199797349432,5,136.1281106,0.760368861668048,dry.wue_day_22_BP14
9@32.85,S9_6184858,9,32.79210864,5.77652079238792,9.34608491854177,15.2437253686759,2.93768542823695,3.31787267748405,9,31.29811037,1.91513896490559,4.04952353785495,9,125.7813951,1.80095065192423,dry.wue_day_22_BP14
9@126.35,S9_46916335,9,126.2796557,2.89289180436765,4.50200724504776,10.0126219605818,2.78018540314657,3.31787267748405,9,31.29811037,1.91513896490559,4.04952353785495,9,125.7813951,1.80095065192423,dry.wue_day_22_BP14
9@87.95,S9_34338749,9,87.94089861,0.0975180893646375,0.146213631065969,1.74289346604602,2.68538120525433,3.31787267748405,9,31.29811037,1.91513896490559,4.04952353785495,9,125.7813951,1.80095065192423,dry.wue_day_22_BP14
