,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@98.5,S2_45043544,2,98.51301522,1.77605176362777,5.673982314694,1218.7244142769,430.436355060726,0.287395665403665,2,37.47027379,0.110811216397334,0.992044448106071,2,114.5694173,0.659287937934507,dry.ma_te_fit_total_17_BP14
4@52.9,S4_28815325,4,52.90088436,0.0114920994979819,0.0352846647480796,105.319575313704,471.697445432172,0.1054571372905,4,0,0.0229275137488217,0.0643142237316852,4,95.09955426,0.0278754698939799,dry.ma_te_fit_total_17_BP14
5@115.1,S5_44003086,5,115.1315049,0.314817883607347,0.973182977612531,-522.844212308459,445.884602871161,0.303248122028037,5,32.24837916,0.0953211796926025,0.498374922092978,5,136.1281106,0.336866889314074,dry.ma_te_fit_total_17_BP14
7@99.9,S7_32133319,7,99.94477983,2.12750703361559,6.85117673924945,-2879.73375693181,925.586847087165,2.90933693702948,7,93.27304403,2.20300254704068,3.17377494315622,7,101.9471039,2.75798583544126,dry.ma_te_fit_total_17_BP14
9@34.9,S9_6724364,9,34.93391023,5.17013166282531,17.8541258277771,2659.85583105984,529.585669795286,8.00031790790479,9,32.79210864,6.66678784380314,7.47810461323559,9,38.57941159,6.43860941402502,dry.ma_te_fit_total_17_BP14
2@98.51,S2_45043544,2,98.51301522,3.26352758256126,5.77841364252846,1575.94709269157,404.808553995507,0.287395665403665,2,37.47027379,0.110811216397334,0.992044448106071,2,114.5694173,0.659287937934507,dry.ma_te_fit_total_18_BP14
4@52.91,S4_28815325,4,52.90088436,0.345859063831874,0.589004772637097,528.467417728445,425.17837784112,0.1054571372905,4,0,0.0229275137488217,0.0643142237316852,4,95.09955426,0.0278754698939799,dry.ma_te_fit_total_18_BP14
5@115.11,S5_44003086,5,115.1315049,0.854537117171464,1.46514888993715,-854.159886330521,435.723168364488,0.303248122028037,5,32.24837916,0.0953211796926025,0.498374922092978,5,136.1281106,0.336866889314074,dry.ma_te_fit_total_18_BP14
7@99.91,S7_32133319,7,99.94477983,5.56328025465424,10.1607669744537,-3079.67661964406,596.560139253986,2.90933693702948,7,93.27304403,2.20300254704068,3.17377494315622,7,101.9471039,2.75798583544126,dry.ma_te_fit_total_18_BP14
9@34.91,S9_6724364,9,34.93391023,8.51659671199555,16.1942738250915,2850.10182645432,437.312607973397,8.00031790790479,9,32.79210864,6.66678784380314,7.47810461323559,9,38.57941159,6.43860941402502,dry.ma_te_fit_total_18_BP14
2@98.52,S2_45043544,2,98.51301522,3.79689938726195,6.51839786405602,2030.31820169088,481.775503424318,0.287395665403665,2,37.47027379,0.110811216397334,0.992044448106071,2,114.5694173,0.659287937934507,dry.ma_te_fit_total_19_BP14
4@52.92,S4_28815325,4,52.90088436,0.430891991644863,0.707220695853472,702.413170002568,506.018277054033,0.1054571372905,4,0,0.0229275137488217,0.0643142237316852,4,95.09955426,0.0278754698939799,dry.ma_te_fit_total_19_BP14
5@115.12,S5_44003086,5,115.1315049,0.879492244757067,1.45212554852476,-1031.47030770828,518.567966809245,0.303248122028037,5,32.24837916,0.0953211796926025,0.498374922092978,5,136.1281106,0.336866889314074,dry.ma_te_fit_total_19_BP14
7@99.92,S7_32133319,7,99.94477983,6.13641546887453,10.8734285647152,-3864.39470923459,709.985148720847,2.90933693702948,7,93.27304403,2.20300254704068,3.17377494315622,7,101.9471039,2.75798583544126,dry.ma_te_fit_total_19_BP14
9@34.92,S9_6724364,9,34.93391023,9.16523249109188,16.9273616037387,3534.52150948889,520.459609315774,8.00031790790479,9,32.79210864,6.66678784380314,7.47810461323559,9,38.57941159,6.43860941402502,dry.ma_te_fit_total_19_BP14
2@98.53,S2_45043544,2,98.51301522,4.159866414619,6.95259106101523,2520.48927983679,570.005444269463,0.287395665403665,2,37.47027379,0.110811216397334,0.992044448106071,2,114.5694173,0.659287937934507,dry.ma_te_fit_total_20_BP14
4@52.93,S4_28815325,4,52.90088436,0.532669986794915,0.848132776886274,924.623495553219,598.687917444026,0.1054571372905,4,0,0.0229275137488217,0.0643142237316852,4,95.09955426,0.0278754698939799,dry.ma_te_fit_total_20_BP14
5@115.13,S5_44003086,5,115.1315049,0.922412963505057,1.47631185904693,-1250.14830946906,613.535894216442,0.303248122028037,5,32.24837916,0.0953211796926025,0.498374922092978,5,136.1281106,0.336866889314074,dry.ma_te_fit_total_20_BP14
7@99.93,S7_32133319,7,99.94477983,6.5479335410644,11.3036863717169,-4736.15723306291,840.008255390511,2.90933693702948,7,93.27304403,2.20300254704068,3.17377494315622,7,101.9471039,2.75798583544126,dry.ma_te_fit_total_20_BP14
9@34.93,S9_6724364,9,34.93391023,9.80707944377516,17.7035904342971,4344.94722923876,615.773962610682,8.00031790790479,9,32.79210864,6.66678784380314,7.47810461323559,9,38.57941159,6.43860941402502,dry.ma_te_fit_total_20_BP14
2@98.54,S2_45043544,2,98.51301522,4.36491148094712,7.1308401956642,3045.97052312658,671.539451075658,0.287395665403665,2,37.47027379,0.110811216397334,0.992044448106071,2,114.5694173,0.659287937934507,dry.ma_te_fit_total_21_BP14
4@52.94,S4_28815325,4,52.90088436,0.647234723113083,1.0060624738768,1201.68131676438,705.33107970795,0.1054571372905,4,0,0.0229275137488217,0.0643142237316852,4,95.09955426,0.0278754698939799,dry.ma_te_fit_total_21_BP14
5@115.14,S5_44003086,5,115.1315049,0.981546894119347,1.53250687400676,-1519.90880816615,722.823898893408,0.303248122028037,5,32.24837916,0.0953211796926025,0.498374922092978,5,136.1281106,0.336866889314074,dry.ma_te_fit_total_21_BP14
7@99.94,S7_32133319,7,99.94477983,6.84484687262959,11.5646831841741,-5716.4546778586,989.637359423702,2.90933693702948,7,93.27304403,2.20300254704068,3.17377494315622,7,101.9471039,2.75798583544126,dry.ma_te_fit_total_21_BP14
9@34.94,S9_6724364,9,34.93391023,10.3862015273645,18.4226516274185,5289.00200424203,725.460630237026,8.00031790790479,9,32.79210864,6.66678784380314,7.47810461323559,9,38.57941159,6.43860941402502,dry.ma_te_fit_total_21_BP14
2@98.55,S2_45043544,2,98.51301522,4.554771967394,7.28893857686393,3634.36301011702,783.379555190802,0.287395665403665,2,37.47027379,0.110811216397334,0.992044448106071,2,114.5694173,0.659287937934507,dry.ma_te_fit_total_22_BP14
4@52.95,S4_28815325,4,52.90088436,0.77375020427781,1.17709922208972,1533.99584906513,822.798938467148,0.1054571372905,4,0,0.0229275137488217,0.0643142237316852,4,95.09955426,0.0278754698939799,dry.ma_te_fit_total_22_BP14
5@115.15,S5_44003086,5,115.1315049,1.03149812690593,1.57459166220772,-1818.19770015295,843.205061875962,0.303248122028037,5,32.24837916,0.0953211796926025,0.498374922092978,5,136.1281106,0.336866889314074,dry.ma_te_fit_total_22_BP14
7@99.95,S7_32133319,7,99.94477983,7.06322681573585,11.6946294261051,-6784.12655972534,1154.4544005326,2.90933693702948,7,93.27304403,2.20300254704068,3.17377494315622,7,101.9471039,2.75798583544126,dry.ma_te_fit_total_22_BP14
9@34.95,S9_6724364,9,34.93391023,10.9530585263181,19.1320496960946,6360.90963725747,846.280922011673,8.00031790790479,9,32.79210864,6.66678784380314,7.47810461323559,9,38.57941159,6.43860941402502,dry.ma_te_fit_total_22_BP14
2@98.56,S2_45043544,2,98.51301522,4.64487786276429,7.28755379260926,4308.10262080834,918.99248944407,0.287395665403665,2,37.47027379,0.110811216397334,0.992044448106071,2,114.5694173,0.659287937934507,dry.ma_te_fit_total_23_BP14
4@52.96,S4_28815325,4,52.90088436,0.919861928826307,1.37296437526456,1964.02167811311,965.235867803178,0.1054571372905,4,0,0.0229275137488217,0.0643142237316852,4,95.09955426,0.0278754698939799,dry.ma_te_fit_total_23_BP14
5@115.16,S5_44003086,5,115.1315049,1.076786481613,1.61054200134826,-2179.92801493883,989.174549923624,0.303248122028037,5,32.24837916,0.0953211796926025,0.498374922092978,5,136.1281106,0.336866889314074,dry.ma_te_fit_total_23_BP14
7@99.96,S7_32133319,7,99.94477983,7.24628678682937,11.7778373206834,-8071.0953734155,1354.30509574214,2.90933693702948,7,93.27304403,2.20300254704068,3.17377494315622,7,101.9471039,2.75798583544126,dry.ma_te_fit_total_23_BP14
9@34.96,S9_6724364,9,34.93391023,11.5248465076226,19.8697097027022,7684.81171978196,992.782880450721,8.00031790790479,9,32.79210864,6.66678784380314,7.47810461323559,9,38.57941159,6.43860941402502,dry.ma_te_fit_total_23_BP14
2@98.57,S2_45043544,2,98.51301522,4.64932372765463,7.16661079355842,4956.08945016187,1056.6819211581,0.287395665403665,2,37.47027379,0.110811216397334,0.992044448106071,2,114.5694173,0.659287937934507,dry.ma_te_fit_total_24_BP14
4@52.97,S4_28815325,4,52.90088436,1.07991336444702,1.58686476007244,2449.47873802843,1109.85378322077,0.1054571372905,4,0,0.0229275137488217,0.0643142237316852,4,95.09955426,0.0278754698939799,dry.ma_te_fit_total_24_BP14
5@115.17,S5_44003086,5,115.1315049,1.14423539564512,1.68282074907081,-2585.00940520837,1137.37911438895,0.303248122028037,5,32.24837916,0.0953211796926025,0.498374922092978,5,136.1281106,0.336866889314074,dry.ma_te_fit_total_24_BP14
7@99.97,S7_32133319,7,99.94477983,7.34863937423183,11.7504529656636,-9352.20636129288,1557.21589331891,2.90933693702948,7,93.27304403,2.20300254704068,3.17377494315622,7,101.9471039,2.75798583544126,dry.ma_te_fit_total_24_BP14
9@34.97,S9_6724364,9,34.93391023,12.0504020719856,20.5601190058203,9068.53964701775,1141.52806846349,8.00031790790479,9,32.79210864,6.66678784380314,7.47810461323559,9,38.57941159,6.43860941402502,dry.ma_te_fit_total_24_BP14
2@98.58,S2_45043544,2,98.51301522,4.58425865756455,6.94231269210185,5550.61473719279,1192.3323769655,0.287395665403665,2,37.47027379,0.110811216397334,0.992044448106071,2,114.5694173,0.659287937934507,dry.ma_te_fit_total_25_BP14
4@52.98,S4_28815325,4,52.90088436,1.28959976070416,1.86857231923991,3024.58256283012,1252.33012218232,0.1054571372905,4,0,0.0229275137488217,0.0643142237316852,4,95.09955426,0.0278754698939799,dry.ma_te_fit_total_25_BP14
5@115.18,S5_44003086,5,115.1315049,1.27936813841905,1.85349475880184,-3087.06413344636,1283.38898945484,0.303248122028037,5,32.24837916,0.0953211796926025,0.498374922092978,5,136.1281106,0.336866889314074,dry.ma_te_fit_total_25_BP14
7@99.98,S7_32133319,7,99.94477983,7.33528204709913,11.5312878881398,-10542.2292661556,1757.12188346562,2.90933693702948,7,93.27304403,2.20300254704068,3.17377494315622,7,101.9471039,2.75798583544126,dry.ma_te_fit_total_25_BP14
9@34.98,S9_6724364,9,34.93391023,12.56741042519,21.2370806705559,10487.6630250846,1288.07056124533,8.00031790790479,9,32.79210864,6.66678784380314,7.47810461323559,9,38.57941159,6.43860941402502,dry.ma_te_fit_total_25_BP14
2@98.59,S2_45043544,2,98.51301522,4.44872817555893,6.64830850113956,6088.65616197852,1328.89765848284,0.287395665403665,2,37.47027379,0.110811216397334,0.992044448106071,2,114.5694173,0.659287937934507,dry.ma_te_fit_total_26_BP14
4@52.99,S4_28815325,4,52.90088436,1.47839445231755,2.12310563649662,3613.87526650468,1395.76732056129,0.1054571372905,4,0,0.0229275137488217,0.0643142237316852,4,95.09955426,0.0278754698939799,dry.ma_te_fit_total_26_BP14
5@115.19,S5_44003086,5,115.1315049,1.41631137594511,2.03226784354871,-3623.40861084087,1430.38355408053,0.303248122028037,5,32.24837916,0.0953211796926025,0.498374922092978,5,136.1281106,0.336866889314074,dry.ma_te_fit_total_26_BP14
7@99.99,S7_32133319,7,99.94477983,7.2430265376447,11.2426449025629,-11668.2214983145,1958.3760381892,2.90933693702948,7,93.27304403,2.20300254704068,3.17377494315622,7,101.9471039,2.75798583544126,dry.ma_te_fit_total_26_BP14
9@34.99,S9_6724364,9,34.93391023,12.9688916393181,21.7883132990204,11907.483561721,1435.60133555706,8.00031790790479,9,32.79210864,6.66678784380314,7.47810461323559,9,38.57941159,6.43860941402502,dry.ma_te_fit_total_26_BP14
2@98.510,S2_45043544,2,98.51301522,4.25881444185126,6.29835683218946,6514.88167517617,1455.14544059516,0.287395665403665,2,37.47027379,0.110811216397334,0.992044448106071,2,114.5694173,0.659287937934507,dry.ma_te_fit_total_27_BP14
4@52.910,S4_28815325,4,52.90088436,1.64748192808093,2.35264321557963,4182.08086626996,1528.36784659946,0.1054571372905,4,0,0.0229275137488217,0.0643142237316852,4,95.09955426,0.0278754698939799,dry.ma_te_fit_total_27_BP14
5@115.110,S5_44003086,5,115.1315049,1.5699447882165,2.23960285555087,-4181.5700802964,1566.2726875438,0.303248122028037,5,32.24837916,0.0953211796926025,0.498374922092978,5,136.1281106,0.336866889314074,dry.ma_te_fit_total_27_BP14
7@99.910,S7_32133319,7,99.94477983,7.04646432705913,10.8225622112092,-12585.2688460808,2144.42545274349,2.90933693702948,7,93.27304403,2.20300254704068,3.17377494315622,7,101.9471039,2.75798583544126,dry.ma_te_fit_total_27_BP14
9@34.910,S9_6724364,9,34.93391023,13.3315406151091,22.3347758544913,13253.3607101637,1571.98616809449,8.00031790790479,9,32.79210864,6.66678784380314,7.47810461323559,9,38.57941159,6.43860941402502,dry.ma_te_fit_total_27_BP14
2@98.511,S2_45043544,2,98.51301522,4.02247697888661,5.91305499816579,6891.43922201494,1586.34961869557,0.287395665403665,2,37.47027379,0.110811216397334,0.992044448106071,2,114.5694173,0.659287937934507,dry.ma_te_fit_total_28_BP14
4@52.911,S4_28815325,4,52.90088436,1.75019498777867,2.49562568717976,4702.35252725773,1666.17417272598,0.1054571372905,4,0,0.0229275137488217,0.0643142237316852,4,95.09955426,0.0278754698939799,dry.ma_te_fit_total_28_BP14
5@115.111,S5_44003086,5,115.1315049,1.71532157198467,2.44476211497826,-4769.61414346628,1707.49672942806,0.303248122028037,5,32.24837916,0.0953211796926025,0.498374922092978,5,136.1281106,0.336866889314074,dry.ma_te_fit_total_28_BP14
7@99.911,S7_32133319,7,99.94477983,6.87506819248856,10.5046951210478,-13536.3086280294,2337.77903182609,2.90933693702948,7,93.27304403,2.20300254704068,3.17377494315622,7,101.9471039,2.75798583544126,dry.ma_te_fit_total_28_BP14
9@34.911,S9_6724364,9,34.93391023,13.5367867980877,22.6792688227191,14580.1104182671,1713.72536983757,8.00031790790479,9,32.79210864,6.66678784380314,7.47810461323559,9,38.57941159,6.43860941402502,dry.ma_te_fit_total_28_BP14
2@98.512,S2_45043544,2,98.51301522,3.75975751307267,5.51603364689753,7291.86287599307,1739.25088730721,0.287395665403665,2,37.47027379,0.110811216397334,0.992044448106071,2,114.5694173,0.659287937934507,dry.ma_te_fit_total_29_BP14
4@52.912,S4_28815325,4,52.90088436,1.82837434722158,2.61393928680441,5272.22914448457,1826.76937931558,0.1054571372905,4,0,0.0229275137488217,0.0643142237316852,4,95.09955426,0.0278754698939799,dry.ma_te_fit_total_29_BP14
5@115.112,S5_44003086,5,115.1315049,1.86982134325434,2.67467262950605,-5465.3921478743,1872.07483566826,0.303248122028037,5,32.24837916,0.0953211796926025,0.498374922092978,5,136.1281106,0.336866889314074,dry.ma_te_fit_total_29_BP14
7@99.912,S7_32133319,7,99.94477983,6.64904492277466,10.1440764192279,-14572.5598078033,2563.10727945024,2.90933693702948,7,93.27304403,2.20300254704068,3.17377494315622,7,101.9471039,2.75798583544126,dry.ma_te_fit_total_29_BP14
