,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.9,S2_44784129,2,96.94547802,8.18274033214215,13.4284260110177,19.8977974631205,3.10959623799763,S2_44209808,2,93.99718694,7.81356871208844,S2_45043544,2,98.51301522,7.70514572039708,wet.wue_total_17_BP14
3@48.6,S3_7671407,3,48.57267674,5.55435339818623,8.78657414402413,16.0266129839098,3.09630341733631,S3_7261171,3,47.15534623,3.81905102544102,S3_8325193,3,50.73315615,3.75050287997964,wet.wue_total_17_BP14
5@104.1,S5_42739726,5,104.1345531,8.49527893578968,14.0026942145633,-22.6249417172111,3.46252739548764,S5_36726739,5,88.88556146,5.61093431557452,S5_43240044,5,106.0943485,5.33973203316909,wet.wue_total_17_BP14
7@99.9,S7_32133319,7,99.94477983,7.35940819727709,11.9386798280536,-27.5866643927973,4.57227760195322,S7_31956171,7,96.48121012,4.63693522318592,S7_32940091,7,101.9471039,5.2250787614501,wet.wue_total_17_BP14
2@96.91,S2_44784129,2,96.94547802,9.11244420882843,14.7230131574597,19.9620628995582,2.93694135629367,S2_44209808,2,93.99718694,7.81356871208844,S2_45043544,2,98.51301522,7.70514572039708,wet.wue_total_18_BP14
3@48.61,S3_7671407,3,48.57267674,6.13799192282776,9.51238538108672,15.9768551532193,2.92438659620457,S3_7261171,3,47.15534623,3.81905102544102,S3_8325193,3,50.73315615,3.75050287997964,wet.wue_total_18_BP14
5@104.11,S5_42739726,5,104.1345531,8.12641111511763,12.9489603191509,-20.8455681120332,3.27027662975813,S5_36726739,5,88.88556146,5.61093431557452,S5_43240044,5,106.0943485,5.33973203316909,wet.wue_total_18_BP14
7@99.91,S7_32133319,7,99.94477983,7.93905745466739,12.617201464829,-27.1717228760269,4.31840990079108,S7_31956171,7,96.48121012,4.63693522318592,S7_32940091,7,101.9471039,5.2250787614501,wet.wue_total_18_BP14
2@96.92,S2_44784129,2,96.94547802,9.8945290529396,15.8477579131407,20.5909952116887,2.89126722050741,S2_44209808,2,93.99718694,7.81356871208844,S2_45043544,2,98.51301522,7.70514572039708,wet.wue_total_19_BP14
3@48.62,S3_7671407,3,48.57267674,6.45730954956842,9.85506874396817,16.1682405632639,2.87890770701929,S3_7261171,3,47.15534623,3.81905102544102,S3_8325193,3,50.73315615,3.75050287997964,wet.wue_total_19_BP14
5@104.12,S5_42739726,5,104.1345531,8.08819967997371,12.6289774771934,-20.4675911798927,3.21941859729312,S5_36726739,5,88.88556146,5.61093431557452,S5_43240044,5,106.0943485,5.33973203316909,wet.wue_total_19_BP14
7@99.92,S7_32133319,7,99.94477983,8.06615314476803,12.5906565257944,-26.9864774549351,4.25125171945158,S7_31956171,7,96.48121012,4.63693522318592,S7_32940091,7,101.9471039,5.2250787614501,wet.wue_total_19_BP14
2@96.93,S2_44784129,2,96.94547802,10.699750353942,17.0602272369848,21.2095154386575,2.8475681385496,S2_44209808,2,93.99718694,7.81356871208844,S2_45043544,2,98.51301522,7.70514572039708,wet.wue_total_20_BP14
3@48.63,S3_7671407,3,48.57267674,6.72890510221227,10.1456425632584,16.2861199671087,2.835395428754,S3_7261171,3,47.15534623,3.81905102544102,S3_8325193,3,50.73315615,3.75050287997964,wet.wue_total_20_BP14
5@104.13,S5_42739726,5,104.1345531,8.06915170317735,12.3968122668346,-20.1317982285496,3.17075978217504,S5_36726739,5,88.88556146,5.61093431557452,S5_43240044,5,106.0943485,5.33973203316909,wet.wue_total_20_BP14
7@99.93,S7_32133319,7,99.94477983,7.9665832604183,12.2216284316255,-26.395595652278,4.18699761108209,S7_31956171,7,96.48121012,4.63693522318592,S7_32940091,7,101.9471039,5.2250787614501,wet.wue_total_20_BP14
2@96.94,S2_44784129,2,96.94547802,11.3561227330772,18.1804381059812,21.9114179710293,2.84222962423878,S2_44209808,2,93.99718694,7.81356871208844,S2_45043544,2,98.51301522,7.70514572039708,wet.wue_total_21_BP14
3@48.64,S3_7671407,3,48.57267674,6.73132776671743,10.0962642557691,16.2587882702344,2.83007973538452,S3_7261171,3,47.15534623,3.81905102544102,S3_8325193,3,50.73315615,3.75050287997964,wet.wue_total_21_BP14
5@104.14,S5_42739726,5,104.1345531,8.05109355019436,12.3009049601457,-20.0690150479315,3.16481536025089,S5_36726739,5,88.88556146,5.61093431557452,S5_43240044,5,106.0943485,5.33973203316909,wet.wue_total_21_BP14
7@99.94,S7_32133319,7,99.94477983,7.61763917524313,11.5681187125544,-25.6997126544955,4.17914798446087,S7_31956171,7,96.48121012,4.63693522318592,S7_32940091,7,101.9471039,5.2250787614501,wet.wue_total_21_BP14
2@96.95,S2_44784129,2,96.94547802,11.9686160582535,19.4282061510036,22.087569635236,2.77864800167967,S2_44209808,2,93.99718694,7.81356871208844,S2_45043544,2,98.51301522,7.70514572039708,wet.wue_total_22_BP14
3@48.65,S3_7671407,3,48.57267674,6.68119296684201,10.0654305730266,15.8302316043491,2.76676990988244,S3_7261171,3,47.15534623,3.81905102544102,S3_8325193,3,50.73315615,3.75050287997964,wet.wue_total_22_BP14
5@104.15,S5_42739726,5,104.1345531,7.91794016577008,12.136826484034,-19.4389752892602,3.09401738742396,S5_36726739,5,88.88556146,5.61093431557452,S5_43240044,5,106.0943485,5.33973203316909,wet.wue_total_22_BP14
7@99.95,S7_32133319,7,99.94477983,6.82350497070629,10.3002671910264,-23.6474553197524,4.08565905327085,S7_31956171,7,96.48121012,4.63693522318592,S7_32940091,7,101.9471039,5.2250787614501,wet.wue_total_22_BP14
2@96.96,S2_44784129,2,96.94547802,11.9969691170655,20.2006526842162,21.6902660980549,2.72488880446933,S2_44209808,2,93.99718694,7.81356871208844,S2_45043544,2,98.51301522,7.70514572039708,wet.wue_total_23_BP14
3@48.66,S3_7671407,3,48.57267674,6.04027115242226,9.35159598197553,14.6948296833258,2.71324052108217,S3_7261171,3,47.15534623,3.81905102544102,S3_8325193,3,50.73315615,3.75050287997964,wet.wue_total_23_BP14
5@104.16,S5_42739726,5,104.1345531,7.11633739274732,11.1841640521627,-17.9710378769495,3.03415665990389,S5_36726739,5,88.88556146,5.61093431557452,S5_43240044,5,106.0943485,5.33973203316909,wet.wue_total_23_BP14
7@99.96,S7_32133319,7,99.94477983,5.97306748307528,9.23890902215216,-21.5685580942262,4.00661278665262,S7_31956171,7,96.48121012,4.63693522318592,S7_32940091,7,101.9471039,5.2250787614501,wet.wue_total_23_BP14
2@96.97,S2_44784129,2,96.94547802,11.7228458698478,20.6966717263952,20.77715175045,2.64568723037022,S2_44209808,2,93.99718694,7.81356871208844,S2_45043544,2,98.51301522,7.70514572039708,wet.wue_total_24_BP14
3@48.67,S3_7671407,3,48.57267674,5.50657819340762,8.90763108237247,13.5723914527492,2.63437751580037,S3_7261171,3,47.15534623,3.81905102544102,S3_8325193,3,50.73315615,3.75050287997964,wet.wue_total_24_BP14
5@104.17,S5_42739726,5,104.1345531,6.19249026305333,10.1131636280651,-16.1721771200069,2.94596591130031,S5_36726739,5,88.88556146,5.61093431557452,S5_43240044,5,106.0943485,5.33973203316909,wet.wue_total_24_BP14
7@99.97,S7_32133319,7,99.94477983,4.60864755448863,7.36294219397672,-18.221748145243,3.89015664393296,S7_31956171,7,96.48121012,4.63693522318592,S7_32940091,7,101.9471039,5.2250787614501,wet.wue_total_24_BP14
2@96.98,S2_44784129,2,96.94547802,11.1724152913072,20.8534031389976,19.4148359891456,2.54232846604226,S2_44209808,2,93.99718694,7.81356871208844,S2_45043544,2,98.51301522,7.70514572039708,wet.wue_total_25_BP14
3@48.68,S3_7671407,3,48.57267674,4.77972756726847,8.15597771462899,12.0899020317697,2.53146058681462,S3_7261171,3,47.15534623,3.81905102544102,S3_8325193,3,50.73315615,3.75050287997964,wet.wue_total_25_BP14
5@104.18,S5_42739726,5,104.1345531,5.06935000057993,8.68493740393644,-13.9514009106853,2.83087619364623,S5_36726739,5,88.88556146,5.61093431557452,S5_43240044,5,106.0943485,5.33973203316909,wet.wue_total_25_BP14
7@99.98,S7_32133319,7,99.94477983,3.31315827397777,5.54026602371281,-14.7142846719935,3.73818033352727,S7_31956171,7,96.48121012,4.63693522318592,S7_32940091,7,101.9471039,5.2250787614501,wet.wue_total_25_BP14
2@96.99,S2_44784129,2,96.94547802,10.1809171932477,20.2826971757539,17.7564254204116,2.45295795242034,S2_44209808,2,93.99718694,7.81356871208844,S2_45043544,2,98.51301522,7.70514572039708,wet.wue_total_26_BP14
3@48.69,S3_7671407,3,48.57267674,3.78936264866079,6.90434902090843,10.3155779884516,2.44247211192669,S3_7261171,3,47.15534623,3.81905102544102,S3_8325193,3,50.73315615,3.75050287997964,wet.wue_total_26_BP14
5@104.19,S5_42739726,5,104.1345531,3.78859314644276,6.90287378449113,-11.5344494641506,2.73136235709619,S5_36726739,5,88.88556146,5.61093431557452,S5_43240044,5,106.0943485,5.33973203316909,wet.wue_total_26_BP14
7@99.99,S7_32133319,7,99.94477983,2.21489188451456,3.9493169343872,-11.5207902583437,3.60677201989626,S7_31956171,7,96.48121012,4.63693522318592,S7_32940091,7,101.9471039,5.2250787614501,wet.wue_total_26_BP14
2@96.910,S2_44784129,2,96.94547802,9.28139186054591,19.6657630616323,16.1256104404545,2.34800701059519,S2_44209808,2,93.99718694,7.81356871208844,S2_45043544,2,98.51301522,7.70514572039708,wet.wue_total_27_BP14
3@48.610,S3_7671407,3,48.57267674,2.74234494842464,5.30531705090062,8.33980592116335,2.33796981164249,S3_7261171,3,47.15534623,3.81905102544102,S3_8325193,3,50.73315615,3.75050287997964,wet.wue_total_27_BP14
5@104.110,S5_42739726,5,104.1345531,2.68851540772937,5.19734162887002,-9.23082698735891,2.61449975390312,S5_36726739,5,88.88556146,5.61093431557452,S5_43240044,5,106.0943485,5.33973203316909,wet.wue_total_27_BP14
7@99.910,S7_32133319,7,99.94477983,1.36064818549604,2.58304637797292,-8.59321054840097,3.45245460892589,S7_31956171,7,96.48121012,4.63693522318592,S7_32940091,7,101.9471039,5.2250787614501,wet.wue_total_27_BP14
2@96.911,S2_44784129,2,96.94547802,8.33535768885083,18.6964418502202,14.6047696454294,2.25899553995867,S2_44209808,2,93.99718694,7.81356871208844,S2_45043544,2,98.51301522,7.70514572039708,wet.wue_total_28_BP14
3@48.611,S3_7671407,3,48.57267674,1.70217470157822,3.48286300558996,6.27657808196308,2.24933884491239,S3_7261171,3,47.15534623,3.81905102544102,S3_8325193,3,50.73315615,3.75050287997964,wet.wue_total_28_BP14
5@104.111,S5_42739726,5,104.1345531,1.80832617595415,3.7054281647051,-7.23975125710576,2.51538571079183,S5_36726739,5,88.88556146,5.61093431557452,S5_43240044,5,106.0943485,5.33973203316909,wet.wue_total_28_BP14
7@99.911,S7_32133319,7,99.94477983,0.740501338458261,1.49544351551636,-6.07335720525753,3.32157422370573,S7_31956171,7,96.48121012,4.63693522318592,S7_32940091,7,101.9471039,5.2250787614501,wet.wue_total_28_BP14
2@96.912,S2_44784129,2,96.94547802,7.15893873302288,16.9584722176902,13.0897303278952,2.2027750530832,S2_44209808,2,93.99718694,7.81356871208844,S2_45043544,2,98.51301522,7.70514572039708,wet.wue_total_29_BP14
3@48.612,S3_7671407,3,48.57267674,0.809194541317985,1.75617559954464,4.19431280694285,2.19335868790368,S3_7261171,3,47.15534623,3.81905102544102,S3_8325193,3,50.73315615,3.75050287997964,wet.wue_total_29_BP14
5@104.112,S5_42739726,5,104.1345531,1.00585062661038,2.1888198841592,-5.23638494976625,2.45278434357404,S5_36726739,5,88.88556146,5.61093431557452,S5_43240044,5,106.0943485,5.33973203316909,wet.wue_total_29_BP14
7@99.912,S7_32133319,7,99.94477983,0.295733783282568,0.637364752421334,-3.73129809679498,3.23890893431205,S7_31956171,7,96.48121012,4.63693522318592,S7_32940091,7,101.9471039,5.2250787614501,wet.wue_total_29_BP14
2@96.913,S2_44784129,2,96.94547802,5.86033850362749,14.5179358700997,11.599681233074,2.17710854962205,S2_44209808,2,93.99718694,7.81356871208844,S2_45043544,2,98.51301522,7.70514572039708,wet.wue_total_30_BP14
3@48.613,S3_7671407,3,48.57267674,0.199711711439328,0.457754345608098,2.05092304813241,2.16780190294017,S3_7261171,3,47.15534623,3.81905102544102,S3_8325193,3,50.73315615,3.75050287997964,wet.wue_total_30_BP14
5@104.113,S5_42739726,5,104.1345531,0.402852594501351,0.925916192785737,-3.26188520939751,2.4242047581299,S5_36726739,5,88.88556146,5.61093431557452,S5_43240044,5,106.0943485,5.33973203316909,wet.wue_total_30_BP14
7@99.913,S7_32133319,7,99.94477983,0.0471646019200245,0.107881575364921,-1.47026576838577,3.20116950773895,S7_31956171,7,96.48121012,4.63693522318592,S7_32940091,7,101.9471039,5.2250787614501,wet.wue_total_30_BP14
2@96.914,S2_44784129,2,96.94547802,3.47700002181811,9.32797683151112,9.01766764695461,2.2329620734298,S2_44209808,2,93.99718694,7.81356871208844,S2_45043544,2,98.51301522,7.70514572039708,wet.wue_total_31_BP14
3@48.614,S3_7671407,3,48.57267674,0.000245367238572936,0.00062646231297947,-0.0734417409953366,2.21909727398624,S3_7261171,3,47.15534623,3.81905102544102,S3_8325193,3,50.73315615,3.75050287997964,wet.wue_total_31_BP14
5@104.114,S5_42739726,5,104.1345531,0.0515705306870076,0.131763429986597,-1.17625633172441,2.45067307596257,S5_36726739,5,88.88556146,5.61093431557452,S5_43240044,5,106.0943485,5.33973203316909,wet.wue_total_31_BP14
7@99.914,S7_32133319,7,99.94477983,0.0480872779525399,0.122857623513095,1.52287786034412,3.28582832318706,S7_31956171,7,96.48121012,4.63693522318592,S7_32940091,7,101.9471039,5.2250787614501,wet.wue_total_31_BP14
2@96.915,S2_44784129,2,96.94547802,2.29612751021004,6.18843421810189,7.45372130270679,2.29053090190532,S2_44209808,2,93.99718694,7.81356871208844,S2_45043544,2,98.51301522,7.70514572039708,wet.wue_total_32_BP14
3@48.615,S3_7671407,3,48.57267674,0.224442329270123,0.587360040787877,-2.28207520719284,2.27630864889346,S3_7261171,3,47.15534623,3.81905102544102,S3_8325193,3,50.73315615,3.75050287997964,wet.wue_total_32_BP14
5@104.115,S5_42739726,5,104.1345531,0.0108980535936274,0.0284339867024812,0.554505261859331,2.51385479303623,S5_36726739,5,88.88556146,5.61093431557452,S5_43240044,5,106.0943485,5.33973203316909,wet.wue_total_32_BP14
7@99.915,S7_32133319,7,99.94477983,0.253119299161521,0.662675660498079,3.58919284084775,3.37054148933905,S7_31956171,7,96.48121012,4.63693522318592,S7_32940091,7,101.9471039,5.2250787614501,wet.wue_total_32_BP14
2@96.916,S2_44784129,2,96.94547802,1.12391275701651,3.44371862552735,5.90666995086185,2.61953590149639,S2_44209808,2,93.99718694,7.81356871208844,S2_45043544,2,98.51301522,7.70514572039708,wet.wue_total_33_BP14
3@48.616,S3_7671407,3,48.57267674,0.998313628513561,3.05252832976279,-5.5386003265441,2.60894939771598,S3_7261171,3,47.15534623,3.81905102544102,S3_8325193,3,50.73315615,3.75050287997964,wet.wue_total_33_BP14
5@104.116,S5_42739726,5,104.1345531,0.122469713275146,0.369101794295389,2.14575614678446,2.90671711294783,S5_36726739,5,88.88556146,5.61093431557452,S5_43240044,5,106.0943485,5.33973203316909,wet.wue_total_33_BP14
7@99.916,S7_32133319,7,99.94477983,0.525049635513852,1.59293660234267,5.6281661105895,3.66997530070524,S7_31956171,7,96.48121012,4.63693522318592,S7_32940091,7,101.9471039,5.2250787614501,wet.wue_total_33_BP14
